Company,Symbol
3M,MMM
American Express,AXP
Amgen,AMGN
Apple Inc.,AAPL
Boeing,BA
Caterpillar Inc.,CAT
Chevron Corporation,CVX
Cisco Systems,CSCO
The Coca-Cola Company,KO
Dow Inc.,DOW
Goldman Sachs,GS
The Home Depot,HD
Honeywell,HON
IBM,IBM
Intel,INTC
Johnson & Johnson,JNJ
JPMorgan Chase,JPM
McDonald's,MCD
Merck & Co.,MRK
Microsoft,MSFT
"Nike, Inc.",NKE
Procter & Gamble,PG
Salesforce,CRM
The Travelers Companies,TRV
UnitedHealth Group,UNH
Verizon Communications,VZ
Visa Inc.,V
Walgreens Boots Alliance,WBA
Walmart,WMT
The Walt Disney Company,DIS
3i,III
Admiral Group,ADM
Anglo American plc,AAL
Antofagasta,ANTO
Ashtead Group,AHT
Associated British Foods,ABF
AstraZeneca,AZN
Auto Trader Group,AUTO
Avast,AVST
Aveva,AVV
Aviva,AV.
B&M,BME
BAE Systems,BA.
Barclays,BARC
Barratt Developments,BDEV
Berkeley Group Holdings,BKG
BHP,BHP
BP,BP.
British American Tobacco,BATS
British Land,BLND
BT Group,BT.A
Bunzl,BNZL
Burberry,BRBY
Coca-Cola HBC,CCH
Compass Group,CPG
CRH plc,CRH
Croda International,CRDA
DCC plc,DCC
Diageo,DGE
Entain,ENT
Evraz,EVR
Experian,EXPN
Ferguson plc,FERG
Flutter Entertainment,FLTR
Fresnillo,FRES
GlaxoSmithKline,GSK
Glencore,GLEN
Halma,HLMA
Hargreaves Lansdown,HL.
Hikma Pharmaceuticals,HIK
HSBC,HSBA
IHG Hotels & Resorts,IHG
Imperial Brands,IMB
Informa,INF
Intermediate Capital Group,ICP
International Airlines Group,IAG
Intertek,ITRK
JD Sports,JD.
Johnson Matthey,JMAT
Just Eat Takeaway,JET
Kingfisher,KGF
Land Securities,LAND
Legal & General,LGEN
Lloyds Banking Group,LLOY
London Stock Exchange Group,LSEG
M&G,MNG
Melrose Industries,MRO
Mondi,MNDI
National Grid plc,NG.
NatWest Group,NWG
Next plc,NXT
Ocado Group,OCDO
Pearson plc,PSON
Pershing Square Holdings,PSH
Persimmon plc,PSN
Phoenix Group,PHNX
Polymetal International,POLY
Prudential plc,PRU
Reckitt,RKT
RELX,REL
Renishaw,RSW
Rentokil Initial,RTO
Rightmove,RMV
Rio Tinto,RIO
Rolls-Royce Holdings,RR.
Royal Dutch Shell,RDSA
RSA Insurance Group,RSA
Sage Group,SGE
Sainsbury's,SBRY
Schroders,SDR
Scottish Mortgage Investment Trust,SMT
Segro,SGRO
Severn Trent,SVT
DS Smith,SMDS
Smiths Group,SMIN
Smith & Nephew,SN.
Smurfit Kappa,SKG
Spirax-Sarco Engineering,SPX
SSE plc,SSE
Standard Chartered,STAN
Standard Life Aberdeen,SLA
St. James's Place plc,STJ
Taylor Wimpey,TW.
Tesco,TSCO
Unilever,ULVR
United Utilities,UU.
Vodafone Group,VOD
Weir Group,WEIR
Whitbread,WTB
WPP plc,WPP
3i Infrastructure,3IN
4imprint,FOUR
888 Holdings,888
Aberforth Smaller Companies Trust,ASL
Aggreko,AGK
Airtel Africa,AAF
Alliance Trust,ATST
Allianz Technology Trust,ATT
AO World,AO.
Apax Global Alpha,APAX
Ascential,ASCL
Ashmore Group,ASHM
Assura,AGR
Aston Martin Lagonda,AML
AVI Global Trust,AGT
Avon Rubber,AVON
Babcock International,BAB
Baillie Gifford Japan Trust,BGFD
Baillie Gifford Shin Nippon,BGS
Baillie Gifford US Growth Trust,USA
Balfour Beatty,BBY
Bankers Investment Trust,BNKR
BBGI,BBGI
BB Healthcare Trust,BBH
Beazley Group,BEZ
AJ Bell,AJB
Bellway,BWY
Biffa,BIFF
Big Yellow Group,BYG
BlackRock Smaller Companies Trust,BRSC
BlackRock World Mining Trust,BRWM
BMO Global Smaller Companies,BGSC
Bodycote,BOY
Brewin Dolphin Holdings,BRW
Britvic,BVIC
Bytes Technology Group,BYIT
C&C Group,CCR
Cairn Energy,CNE
Caledonia Investments,CLDN
Capita,CPI
Capital & Counties Properties,CAPC
Carnival Corporation & plc,CCL
Centamin,CEY
Centrica,CNA
Chemring Group,CHG
Chrysalis Investments,CHRY
Cineworld,CINE
City of London Investment Trust,CTY
Civitas Social Housing,CSH
Clarkson,CKN
Close Brothers Group,CBG
CLS Holdings,CLI
CMC Markets,CMCX
Coats,COA
Computacenter,CCC
ContourGlobal,GLO
ConvaTec,CTEC
Countryside Properties,CSP
Cranswick,CWK
Crest Nicholson,CRST
Dechra Pharmaceuticals,DPH
Derwent London,DLN
Diploma,DPLM
Direct Line Group,DLG
Diversified Energy,DEC
Dixons Carphone,DC.
Domino's Pizza,DOM
Drax Group,DRX
Dr. Martens,DOCS
Dunelm Group,DNLM
EasyJet,EZJ
Edinburgh Investment Trust,EDIN
Edinburgh Worldwide Investment Trust,EWI
Electrocomponents,ECM
Elementis,ELM
Energean,ENOG
Essentra,ESNT
Euromoney Institutional Investor,ERM
European Opportunities Trust,JEO
FDM Group,FDM
Ferrexpo,FXPO
Fidelity China Special Situations,FCSS
Fidelity European Values,FEV
Fidelity Special Values,FSV
Finsbury Growth & Income Trust,FGT
FirstGroup,FGP
Foreign & Colonial Investment Trust,FCIT
Foresight Solar Fund,FSFL
Frasers Group,FRAS
Future,FUTR
Games Workshop,GAW
Gamesys,GYS
GCP Infrastructure Investments,GCP
GCP Student Living,DIGS
Genesis Emerging Markets Fund,GSS
Genuit Group,GEN
