,ABEO
1980-09-19,100000.0
1980-09-22,120000.0
1980-09-23,122500.0
1980-09-24,115000.0
1980-09-25,120000.0
1980-09-26,115000.0
1980-09-29,112500.0
1980-09-30,117500.0
1980-10-01,120000.0
1980-10-02,120000.0
1980-10-03,120000.0
1980-10-06,122500.0
1980-10-07,127500.0
1980-10-08,135000.0
1980-10-09,130000.0
1980-10-10,130000.0
1980-10-13,137500.0
1980-10-14,142500.0
1980-10-15,142500.0
1980-10-16,142500.0
1980-10-17,142500.0
1980-10-20,145000.0
1980-10-21,145000.0
1980-10-22,145000.0
1980-10-23,145000.0
1980-10-24,145000.0
1980-10-27,145000.0
1980-10-28,145000.0
1980-10-29,150000.0
1980-10-30,150000.0
1980-10-31,150000.0
1980-11-03,150000.0
1980-11-05,152500.0
1980-11-06,150000.0
1980-11-07,150000.0
1980-11-10,150000.0
1980-11-11,142500.0
1980-11-12,147500.0
1980-11-13,152500.0
1980-11-14,165000.0
1980-11-17,172500.0
1980-11-18,175000.0
1980-11-19,175000.0
1980-11-20,175000.0
1980-11-21,172500.0
1980-11-24,167500.0
1980-11-25,165000.0
1980-11-26,165000.0
1980-11-28,165000.0
1980-12-01,152500.0
1980-12-02,150000.0
1980-12-03,152500.0
1980-12-04,147500.0
1980-12-05,147500.0
1980-12-08,142500.0
1980-12-09,145000.0
1980-12-10,140000.0
1980-12-11,137500.0
1980-12-12,145000.0
1980-12-15,147500.0
1980-12-16,145000.0
1980-12-17,142500.0
1980-12-18,135000.0
1980-12-19,135000.0
1980-12-22,132500.0
1980-12-23,132500.0
1980-12-24,127500.0
1980-12-26,127500.0
1980-12-29,125000.0
1980-12-30,125000.0
1980-12-31,132500.0
1981-01-02,132500.0
1981-01-05,135000.0
1981-01-06,137500.0
1981-01-07,137500.0
1981-01-08,140000.0
1981-01-09,147500.0
1981-01-12,155000.0
1981-01-13,152500.0
1981-01-14,155000.0
1981-01-15,167500.0
1981-01-16,177500.0
1981-01-19,177500.0
1981-01-20,160000.0
1981-01-21,167500.0
1981-01-22,170000.0
1981-01-23,167500.0
1981-01-26,165000.0
1981-01-27,165000.0
1981-01-28,165000.0
1981-01-29,177500.0
1981-01-30,182500.0
1981-02-02,185000.0
