,ABF
1988-04-29,10.988300323486328
1988-05-02,
1988-05-03,
1988-05-04,
1988-05-05,
1988-05-06,
1988-05-09,
1988-05-10,
1988-05-11,
1988-05-12,
1988-05-13,
1988-05-16,
1988-05-17,
1988-05-18,
1988-05-19,
1988-05-20,
1988-05-23,
1988-05-24,
1988-05-25,
1988-05-26,
1988-05-27,
1988-05-31,9.52322006225586
1988-06-01,
1988-06-02,
1988-06-03,
1988-06-06,
1988-06-07,
1988-06-08,
1988-06-09,
1988-06-10,
1988-06-13,
1988-06-14,
1988-06-15,
1988-06-16,
1988-06-17,
1988-06-20,
1988-06-21,
1988-06-22,
1988-06-23,
1988-06-24,
1988-06-27,
1988-06-28,
1988-06-29,
1988-06-30,7.325550079345703
1988-07-01,
1988-07-05,
1988-07-06,
1988-07-07,
1988-07-08,
1988-07-11,
1988-07-12,
1988-07-13,
1988-07-14,
1988-07-15,
1988-07-18,
1988-07-19,
1988-07-20,
1988-07-21,
1988-07-22,
1988-07-25,
1988-07-26,
1988-07-27,
1988-07-28,
1988-07-29,7.325550079345703
1988-08-01,
1988-08-02,
1988-08-03,
1988-08-04,
1988-08-05,
1988-08-08,
1988-08-09,
1988-08-10,
1988-08-11,
1988-08-12,
1988-08-15,
1988-08-16,
1988-08-17,
1988-08-18,
1988-08-19,
1988-08-22,
1988-08-23,
1988-08-24,
1988-08-25,
1988-08-26,
1988-08-29,
1988-08-30,
1988-08-31,8.058110237121582
1988-09-01,
1988-09-02,
1988-09-06,
1988-09-07,
1988-09-08,
1988-09-09,
1988-09-12,
1988-09-13,
1988-09-14,
1988-09-15,
1988-09-16,
1988-09-19,
1988-09-20,
1988-09-21,
1988-09-22,
1988-09-23,
1988-09-26,
1988-09-27,
1988-09-28,
1988-09-29,
1988-09-30,7.325550079345703
1988-10-03,
1988-10-04,
1988-10-05,
1988-10-06,
1988-10-07,
1988-10-10,
1988-10-11,
1988-10-12,
1988-10-13,
1988-10-14,
1988-10-17,
1988-10-18,
1988-10-19,
1988-10-20,
1988-10-21,
1988-10-24,
1988-10-25,
1988-10-26,
1988-10-27,
1988-10-28,
1988-10-31,7.325550079345703
1988-11-01,
1988-11-02,
1988-11-03,
1988-11-04,
1988-11-07,
1988-11-08,
1988-11-09,
1988-11-10,
1988-11-11,
1988-11-14,
1988-11-15,
1988-11-16,
1988-11-17,
1988-11-18,
1988-11-21,
1988-11-22,
1988-11-23,
1988-11-25,
1988-11-28,
1988-11-29,
1988-11-30,12.453399658203125
1988-12-01,
1988-12-02,
1988-12-05,
1988-12-06,
1988-12-07,
1988-12-08,
1988-12-09,
1988-12-12,
1988-12-13,
1988-12-14,
1988-12-15,
1988-12-16,
1988-12-19,
1988-12-20,
1988-12-21,
1988-12-22,
1988-12-23,
1988-12-27,
1988-12-28,
1988-12-29,
1988-12-30,10.988300323486328
1989-01-03,
1989-01-04,
1989-01-05,
1989-01-06,
1989-01-09,
1989-01-10,
1989-01-11,
1989-01-12,
1989-01-13,
1989-01-16,
1989-01-17,
1989-01-18,
1989-01-19,
1989-01-20,
1989-01-23,
1989-01-24,
1989-01-25,
1989-01-26,
1989-01-27,
1989-01-30,
1989-01-31,8.79065990447998
1989-02-01,
1989-02-02,
1989-02-03,
1989-02-06,
1989-02-07,
1989-02-08,
1989-02-09,
1989-02-10,
1989-02-13,
1989-02-14,
1989-02-15,
1989-02-16,
1989-02-17,
1989-02-21,
1989-02-22,
1989-02-23,
1989-02-24,
1989-02-27,
1989-02-28,8.79065990447998
1989-03-01,
1989-03-02,
1989-03-03,
1989-03-06,
1989-03-07,
1989-03-08,
1989-03-09,
1989-03-10,
1989-03-13,
1989-03-14,
1989-03-15,
1989-03-16,
1989-03-17,
1989-03-20,
1989-03-21,
