,ACHV
1995-10-12,272250.0
1995-10-13,282150.0
1995-10-16,287100.0
1995-10-17,277200.0
1995-10-18,282150.0
1995-10-19,282150.0
1995-10-20,282150.0
1995-10-23,316800.0
1995-10-24,316800.0
1995-10-25,301950.0
1995-10-26,297000.0
1995-10-27,311850.0
1995-10-30,316800.0
1995-10-31,316800.0
1995-11-01,316800.0
1995-11-02,321750.0
1995-11-03,306900.0
1995-11-06,306900.0
1995-11-07,346500.0
1995-11-08,366300.0
1995-11-09,396000.0
1995-11-10,391050.0
1995-11-13,391050.0
1995-11-14,398475.0
1995-11-15,396000.0
1995-11-16,400950.0
1995-11-17,396000.0
1995-11-20,405900.0
1995-11-21,415800.0
1995-11-22,410850.0
1995-11-24,410850.0
1995-11-27,415800.0
1995-11-28,396000.0
1995-11-29,400950.0
1995-11-30,410850.0
1995-12-01,410850.0
1995-12-04,410850.0
1995-12-05,410850.0
1995-12-06,410850.0
1995-12-07,410850.0
1995-12-08,410850.0
1995-12-11,396000.0
1995-12-12,410850.0
1995-12-13,410850.0
1995-12-14,415800.0
1995-12-15,415800.0
1995-12-18,415800.0
1995-12-19,405900.0
1995-12-20,400950.0
1995-12-21,415800.0
1995-12-22,445500.0
1995-12-26,465300.0
1995-12-27,495000.0
1995-12-28,495000.0
1995-12-29,485100.0
1996-01-02,495000.0
1996-01-03,475200.0
1996-01-04,475200.0
1996-01-05,475200.0
1996-01-08,485100.0
1996-01-09,455400.0
1996-01-10,425700.0
1996-01-11,495000.0
1996-01-12,504900.0
1996-01-15,514800.0
1996-01-16,524700.0
1996-01-17,574200.0
1996-01-18,539550.0
1996-01-19,529650.0
1996-01-22,495000.0
1996-01-23,514800.0
1996-01-24,514800.0
1996-01-25,499950.0
1996-01-26,504900.0
1996-01-29,514800.0
1996-01-30,504900.0
1996-01-31,499950.0
1996-02-01,490050.0
1996-02-02,514800.0
1996-02-05,485100.0
1996-02-06,475200.0
1996-02-07,455400.0
1996-02-08,465300.0
1996-02-09,445500.0
1996-02-12,455400.0
1996-02-13,445500.0
1996-02-14,465300.0
1996-02-15,485100.0
1996-02-16,534600.0
1996-02-20,514800.0
1996-02-21,554400.0
1996-02-22,554400.0
1996-02-23,584100.0
1996-02-26,594000.0
1996-02-27,574200.0
1996-02-28,594000.0
1996-02-29,584100.0
1996-03-01,584100.0
1996-03-04,584100.0
1996-03-05,564300.0
1996-03-06,584100.0
1996-03-07,574200.0
1996-03-08,554400.0
1996-03-11,594000.0
1996-03-12,653400.0
1996-03-13,702900.0
1996-03-14,722700.0
1996-03-15,732600.0
1996-03-18,722700.0
1996-03-19,722700.0
1996-03-20,683100.0
1996-03-21,752400.0
1996-03-22,752400.0
1996-03-25,732600.0
1996-03-26,722700.0
1996-03-27,693000.0
1996-03-28,633600.0
1996-03-29,633600.0
1996-04-01,693000.0
1996-04-02,663300.0
1996-04-03,683100.0
1996-04-04,653400.0
1996-04-08,683100.0
1996-04-09,693000.0
1996-04-10,693000.0
1996-04-11,648450.0
1996-04-12,683100.0
1996-04-15,683100.0
1996-04-16,697950.0
1996-04-17,693000.0
1996-04-18,693000.0
1996-04-19,663300.0
1996-04-22,663300.0
1996-04-23,663300.0
1996-04-24,668250.0
1996-04-25,643500.0
1996-04-26,683100.0
1996-04-29,673200.0
1996-04-30,683100.0
1996-05-01,643500.0
1996-05-02,683100.0
1996-05-03,683100.0
1996-05-06,668250.0
1996-05-07,643500.0
1996-05-08,628650.0
1996-05-09,633600.0
1996-05-10,603900.0
1996-05-13,648450.0
1996-05-14,648450.0
1996-05-15,811800.0
1996-05-16,792000.0
1996-05-17,811800.0
1996-05-20,772200.0
1996-05-21,777150.0
1996-05-22,792000.0
1996-05-23,787050.0
1996-05-24,792000.0
1996-05-28,782100.0
1996-05-29,792000.0
1996-05-30,801900.0
1996-05-31,796950.0
1996-06-03,782100.0
1996-06-04,792000.0
1996-06-05,782100.0
1996-06-06,895950.0
1996-06-07,831600.0
1996-06-10,851400.0
1996-06-11,920700.0
1996-06-12,881100.0
1996-06-13,891000.0
1996-06-14,851400.0
1996-06-17,821700.0
1996-06-18,782100.0
1996-06-19,821700.0
1996-06-20,747450.0
1996-06-21,757350.0
1996-06-24,742500.0
1996-06-25,752400.0
1996-06-26,752400.0
1996-06-27,792000.0
1996-06-28,801900.0
1996-07-01,772200.0
1996-07-02,792000.0
1996-07-03,787050.0
1996-07-05,811800.0
1996-07-08,782100.0
1996-07-09,752400.0
1996-07-10,782100.0
1996-07-11,702900.0
1996-07-12,702900.0
1996-07-15,727650.0
1996-07-16,643500.0
1996-07-17,712800.0
1996-07-18,732600.0
1996-07-19,722700.0
1996-07-22,693000.0
1996-07-23,683100.0
1996-07-24,683100.0
1996-07-25,702900.0
1996-07-26,697950.0
