,ACOR
2006-02-10,40.31999969482422
2006-02-13,36.0
2006-02-14,36.0
2006-02-15,36.2400016784668
2006-02-16,37.68000030517578
2006-02-17,37.31999969482422
2006-02-21,37.2599983215332
2006-02-22,37.97999954223633
2006-02-23,38.040000915527344
2006-02-24,36.959999084472656
2006-02-27,37.5
2006-02-28,37.20000076293945
2006-03-01,37.5
2006-03-02,36.720001220703125
2006-03-03,38.81999969482422
2006-03-06,39.29999923706055
2006-03-07,36.900001525878906
2006-03-08,36.599998474121094
2006-03-09,36.41999816894531
2006-03-10,36.29999923706055
2006-03-13,37.02000045776367
2006-03-14,36.900001525878906
2006-03-15,34.91999816894531
2006-03-16,35.400001525878906
2006-03-17,35.099998474121094
2006-03-20,35.880001068115234
2006-03-21,34.97999954223633
2006-03-22,36.0
2006-03-23,36.0
2006-03-24,35.400001525878906
2006-03-27,35.099998474121094
2006-03-28,33.959999084472656
2006-03-29,34.560001373291016
2006-03-30,32.220001220703125
2006-03-31,31.31999969482422
2006-04-03,31.200000762939453
2006-04-04,30.600000381469727
2006-04-05,31.5
2006-04-06,32.939998626708984
2006-04-07,32.34000015258789
2006-04-10,31.799999237060547
2006-04-11,31.440000534057617
2006-04-12,30.719999313354492
2006-04-13,31.020000457763672
2006-04-17,30.600000381469727
2006-04-18,30.84000015258789
2006-04-19,30.479999542236328
2006-04-20,28.860000610351562
2006-04-21,29.100000381469727
2006-04-24,29.219999313354492
2006-04-25,29.459999084472656
2006-04-26,27.719999313354492
2006-04-27,29.81999969482422
2006-04-28,29.399999618530273
2006-05-01,27.65999984741211
2006-05-02,27.18000030517578
2006-05-03,28.200000762939453
2006-05-04,30.360000610351562
2006-05-05,30.600000381469727
2006-05-08,30.1200008392334
2006-05-09,31.68000030517578
2006-05-10,30.65999984741211
2006-05-11,29.399999618530273
2006-05-12,29.280000686645508
2006-05-15,27.719999313354492
2006-05-16,25.31999969482422
2006-05-17,23.520000457763672
2006-05-18,23.760000228881836
2006-05-19,21.360000610351562
2006-05-22,22.5
2006-05-23,22.260000228881836
2006-05-24,22.68000030517578
2006-05-25,23.100000381469727
2006-05-26,23.100000381469727
2006-05-30,23.399999618530273
2006-05-31,23.100000381469727
2006-06-01,23.399999618530273
2006-06-02,23.15999984741211
2006-06-05,23.15999984741211
2006-06-06,22.5
2006-06-07,22.799999237060547
2006-06-08,23.100000381469727
2006-06-09,23.34000015258789
2006-06-12,22.260000228881836
2006-06-13,20.040000915527344
2006-06-14,22.739999771118164
2006-06-15,23.34000015258789
2006-06-16,23.15999984741211
2006-06-19,22.5
2006-06-20,22.559999465942383
2006-06-21,22.260000228881836
2006-06-22,22.3799991607666
2006-06-23,21.420000076293945
2006-06-26,22.799999237060547
2006-06-27,24.420000076293945
2006-06-28,24.84000015258789
2006-06-29,22.5
2006-06-30,25.020000457763672
2006-07-03,25.5
2006-07-05,23.399999618530273
2006-07-06,24.0
2006-07-07,24.65999984741211
2006-07-10,24.299999237060547
2006-07-11,24.780000686645508
2006-07-12,23.15999984741211
2006-07-13,23.760000228881836
2006-07-14,22.559999465942383
2006-07-17,22.5
2006-07-18,22.5
2006-07-19,22.200000762939453
2006-07-20,22.200000762939453
2006-07-21,23.700000762939453
2006-07-24,21.299999237060547
2006-07-25,21.0
2006-07-26,20.700000762939453
2006-07-27,20.459999084472656
2006-07-28,20.639999389648438
2006-07-31,19.200000762939453
2006-08-01,18.0
2006-08-02,17.639999389648438
2006-08-03,18.420000076293945
2006-08-04,20.399999618530273
2006-08-07,23.760000228881836
2006-08-08,22.799999237060547
2006-08-09,22.440000534057617
2006-08-10,21.1200008392334
2006-08-11,20.280000686645508
2006-08-14,20.399999618530273
2006-08-15,20.399999618530273
2006-08-16,20.15999984741211
2006-08-17,20.399999618530273
2006-08-18,20.579999923706055
2006-08-21,19.739999771118164
2006-08-22,19.139999389648438
2006-08-23,19.440000534057617
2006-08-24,19.979999542236328
2006-08-25,18.600000381469727
2006-08-28,15.899999618530273
2006-08-29,16.739999771118164
2006-08-30,17.399999618530273
2006-08-31,17.520000457763672
2006-09-01,17.219999313354492
2006-09-05,16.6200008392334
2006-09-06,18.0
2006-09-07,17.459999084472656
2006-09-08,16.799999237060547
2006-09-11,15.239999771118164
2006-09-12,14.640000343322754
2006-09-13,14.220000267028809
2006-09-14,13.4399995803833
2006-09-15,14.34000015258789
2006-09-18,13.920000076293945
2006-09-19,14.699999809265137
2006-09-20,14.100000381469727
2006-09-21,13.4399995803833
2006-09-22,13.319999694824219
2006-09-25,51.0
2006-09-26,66.0
2006-09-27,54.0
2006-09-28,51.900001525878906
2006-09-29,54.900001525878906
2006-10-02,52.20000076293945
2006-10-03,69.0
2006-10-04,63.0
2006-10-05,81.41999816894531
2006-10-06,89.4000015258789
2006-10-09,93.0
2006-10-10,96.95999908447266
2006-10-11,98.16000366210938
2006-10-12,102.72000122070312
2006-10-13,100.68000030517578
2006-10-16,98.0999984741211
2006-10-17,101.69999694824219
2006-10-18,104.0999984741211
2006-10-19,102.9000015258789
2006-10-20,102.18000030517578
2006-10-23,98.5199966430664
2006-10-24,101.87999725341797
2006-10-25,103.5
2006-10-26,104.5199966430664
2006-10-27,106.9800033569336
2006-10-30,107.94000244140625
2006-10-31,106.73999786376953
2006-11-01,103.37999725341797
2006-11-02,100.86000061035156
2006-11-03,98.63999938964844
2006-11-06,97.13999938964844
2006-11-07,91.19999694824219
2006-11-08,90.18000030517578
2006-11-09,88.9800033569336
2006-11-10,91.5
2006-11-13,89.5199966430664
2006-11-14,87.72000122070312
2006-11-15,92.0999984741211
2006-11-16,96.12000274658203
2006-11-17,105.30000305175781
2006-11-20,116.16000366210938
2006-11-21,119.63999938964844
2006-11-22,120.54000091552734
2006-11-24,120.0
2006-11-27,115.37999725341797
2006-11-28,113.27999877929688
2006-11-29,117.77999877929688
2006-11-30,116.16000366210938
2006-12-01,111.9000015258789
2006-12-04,108.9000015258789
2006-12-05,108.72000122070312
2006-12-06,110.16000366210938
2006-12-07,106.68000030517578
2006-12-08,102.77999877929688
2006-12-11,99.9000015258789
2006-12-12,95.76000213623047
2006-12-13,98.16000366210938
2006-12-14,99.0
2006-12-15,98.16000366210938
2006-12-18,98.94000244140625
2006-12-19,94.91999816894531
2006-12-20,94.37999725341797
2006-12-21,92.94000244140625
2006-12-22,92.33999633789062
2006-12-26,93.9000015258789
2006-12-27,97.37999725341797
2006-12-28,96.54000091552734
2006-12-29,95.04000091552734
2007-01-03,93.66000366210938
2007-01-04,92.0999984741211
2007-01-05,92.69999694824219
2007-01-08,93.5999984741211
2007-01-09,95.45999908447266
2007-01-10,97.0199966430664
2007-01-11,97.0199966430664
2007-01-12,101.63999938964844
2007-01-16,105.12000274658203
2007-01-17,107.4000015258789
2007-01-18,105.41999816894531
2007-01-19,105.23999786376953
2007-01-22,104.63999938964844
2007-01-23,105.0
2007-01-24,105.23999786376953
2007-01-25,103.19999694824219
2007-01-26,101.58000183105469
2007-01-29,101.27999877929688
2007-01-30,104.04000091552734
2007-01-31,103.73999786376953
2007-02-01,107.0999984741211
2007-02-02,112.91999816894531
2007-02-05,112.86000061035156
2007-02-06,114.77999877929688
2007-02-07,121.13999938964844
2007-02-08,128.63999938964844
2007-02-09,130.6199951171875
2007-02-12,135.89999389648438
2007-02-13,132.17999267578125
2007-02-14,132.77999877929688
2007-02-15,132.83999633789062
2007-02-16,144.17999267578125
2007-02-20,148.9199981689453
2007-02-21,135.66000366210938
2007-02-22,135.3000030517578
2007-02-23,145.02000427246094
2007-02-26,144.0
2007-02-27,131.5800018310547
2007-02-28,130.25999450683594
2007-03-01,124.68000030517578
2007-03-02,115.62000274658203
2007-03-05,113.4000015258789
2007-03-06,115.13999938964844
2007-03-07,118.9800033569336
2007-03-08,119.27999877929688
2007-03-09,118.62000274658203
2007-03-12,116.58000183105469
2007-03-13,109.9800033569336
2007-03-14,106.44000244140625
2007-03-15,104.81999969482422
2007-03-16,104.58000183105469
2007-03-19,113.5199966430664
2007-03-20,114.23999786376953
