,ACTCW
2020-11-24,1.2100000381469727
2020-11-25,1.149999976158142
2020-11-27,1.2100000381469727
2020-11-30,1.2300000190734863
2020-12-01,1.4199999570846558
2020-12-02,1.2599999904632568
2020-12-03,1.2999999523162842
2020-12-04,1.440000057220459
2020-12-07,1.690000057220459
2020-12-08,1.590000033378601
2020-12-09,1.5
2020-12-10,1.559999942779541
2020-12-11,1.5700000524520874
2020-12-14,1.75
2020-12-15,1.7400000095367432
2020-12-16,1.7699999809265137
2020-12-17,2.0
2020-12-18,1.9500000476837158
2020-12-21,1.9299999475479126
2020-12-22,1.909999966621399
2020-12-23,2.5999999046325684
2020-12-24,2.819999933242798
2020-12-28,2.5
2020-12-29,2.4000000953674316
2020-12-30,2.380000114440918
2020-12-31,2.3010001182556152
2021-01-04,2.200000047683716
2021-01-05,2.255000114440918
2021-01-06,2.3299999237060547
2021-01-07,2.319999933242798
2021-01-08,2.3399999141693115
2021-01-11,2.359999895095825
2021-01-12,7.820000171661377
2021-01-13,6.940000057220459
2021-01-14,7.940000057220459
2021-01-15,8.050000190734863
2021-01-19,8.75
2021-01-20,8.819999694824219
2021-01-21,8.380000114440918
2021-01-22,8.699999809265137
2021-01-25,8.670000076293945
2021-01-26,8.010000228881836
2021-01-27,7.099999904632568
2021-01-28,7.449999809265137
2021-01-29,7.389999866485596
2021-02-01,7.730000019073486
2021-02-02,7.900000095367432
2021-02-03,8.09000015258789
2021-02-04,8.050000190734863
2021-02-05,7.949999809265137
2021-02-08,8.020000457763672
2021-02-09,7.869999885559082
2021-02-10,7.920000076293945
2021-02-11,7.795000076293945
2021-02-12,8.119999885559082
2021-02-16,8.050000190734863
2021-02-17,8.430000305175781
2021-02-18,8.40999984741211
2021-02-19,8.449999809265137
2021-02-22,8.300000190734863
2021-02-23,7.25
2021-02-24,7.650000095367432
2021-02-25,7.215000152587891
2021-02-26,6.800000190734863
2021-03-01,7.260000228881836
2021-03-02,7.199999809265137
2021-03-03,5.960000038146973
2021-03-04,4.739999771118164
2021-03-05,5.0
2021-03-08,4.650000095367432
2021-03-09,5.389999866485596
2021-03-10,5.650000095367432
2021-03-11,6.300000190734863
2021-03-12,7.260000228881836
2021-03-15,6.800000190734863
2021-03-16,6.309999942779541
2021-03-17,6.489999771118164
2021-03-18,6.119999885559082
2021-03-19,6.150000095367432
2021-03-22,6.28000020980835
2021-03-23,5.513000011444092
2021-03-24,5.010000228881836
2021-03-25,4.889999866485596
2021-03-26,4.949999809265137
2021-03-29,4.619999885559082
2021-03-30,4.599999904632568
2021-03-31,5.71999979019165
2021-04-01,6.210000038146973
2021-04-05,6.03000020980835
2021-04-06,6.400000095367432
2021-04-07,6.5
2021-04-08,6.130000114440918
2021-04-09,5.949999809265137
2021-04-12,5.349999904632568
2021-04-13,5.150000095367432
2021-04-14,4.78000020980835
2021-04-15,4.880000114440918
2021-04-16,4.610000133514404
2021-04-19,3.950000047683716
2021-04-20,3.7699999809265137
2021-04-21,4.889999866485596
2021-04-22,4.686999797821045
2021-04-23,5.329999923706055
2021-04-26,5.71999979019165
2021-04-27,5.96999979019165
2021-04-28,5.699999809265137
2021-04-29,5.579999923706055
2021-04-30,5.289999961853027
2021-05-03,4.739999771118164
2021-05-04,4.369999885559082
2021-05-05,4.349999904632568
2021-05-06,4.159999847412109
2021-05-07,4.46999979019165
2021-05-10,4.170000076293945
2021-05-11,4.059999942779541
2021-05-12,3.9000000953674316
2021-05-13,3.75
2021-05-14,3.7929999828338623
