,AEP
1970-03-25,31.5
1970-03-26,31.0
1970-03-30,31.125
1970-03-31,31.125
1970-04-01,31.375
1970-04-02,31.0
1970-04-03,31.875
1970-04-06,31.875
1970-04-07,31.5
1970-04-08,31.375
1970-04-09,31.625
1970-04-10,31.5
1970-04-13,31.5
1970-04-14,31.375
1970-04-15,31.25
1970-04-16,30.875
1970-04-17,30.25
1970-04-20,30.25
1970-04-21,30.125
1970-04-22,30.25
1970-04-23,29.125
1970-04-24,28.25
1970-04-27,27.625
1970-04-28,27.625
1970-04-29,28.0
1970-04-30,28.125
1970-05-01,27.5
1970-05-04,26.75
1970-05-05,26.375
1970-05-06,26.375
1970-05-07,26.375
1970-05-08,26.125
1970-05-11,25.5
1970-05-12,25.875
1970-05-13,25.25
1970-05-14,25.25
1970-05-15,25.375
1970-05-18,25.125
1970-05-19,24.625
1970-05-20,24.125
1970-05-21,24.25
1970-05-22,24.375
1970-05-25,24.625
1970-05-26,24.375
1970-05-27,25.125
1970-05-28,26.375
1970-05-29,26.5
1970-06-01,26.625
1970-06-02,26.25
1970-06-03,26.25
1970-06-04,26.0
1970-06-05,25.125
1970-06-08,25.25
1970-06-09,24.625
1970-06-10,24.625
1970-06-11,24.625
1970-06-12,24.625
1970-06-15,24.5
1970-06-16,24.375
1970-06-17,24.375
1970-06-18,24.0
1970-06-19,24.125
1970-06-22,24.0
1970-06-23,23.625
1970-06-24,23.25
1970-06-25,23.375
1970-06-26,23.25
1970-06-29,22.5
1970-06-30,22.0
1970-07-01,22.25
1970-07-02,22.375
1970-07-06,22.625
1970-07-07,22.75
1970-07-08,24.5
1970-07-09,24.625
1970-07-10,24.75
1970-07-13,25.25
1970-07-14,25.25
1970-07-15,24.875
1970-07-16,25.25
1970-07-17,25.625
1970-07-20,25.75
1970-07-21,25.75
1970-07-22,26.0
1970-07-23,26.125
1970-07-24,26.125
1970-07-27,25.875
1970-07-28,26.125
1970-07-29,25.0
1970-07-30,24.75
1970-07-31,24.75
1970-08-03,25.0
1970-08-04,24.625
1970-08-05,24.875
1970-08-06,25.0
1970-08-07,25.0
1970-08-10,24.75
1970-08-11,24.25
1970-08-12,24.5
1970-08-13,24.125
1970-08-14,24.125
1970-08-17,24.0
1970-08-18,24.25
1970-08-19,24.375
1970-08-20,24.625
1970-08-21,24.625
1970-08-24,25.0
1970-08-25,25.0
1970-08-26,25.375
1970-08-27,25.75
1970-08-28,25.75
1970-08-31,25.875
1970-09-01,25.875
1970-09-02,25.875
1970-09-03,25.75
1970-09-04,25.5
