,AGC
2020-12-01,11.890000343322754
2020-12-02,11.819999694824219
2020-12-03,11.899999618530273
2020-12-04,12.399999618530273
2020-12-07,12.550000190734863
2020-12-08,12.376999855041504
2020-12-09,12.699999809265137
2020-12-10,12.649999618530273
2020-12-11,12.75
2020-12-14,13.199999809265137
2020-12-15,12.692000389099121
2020-12-16,12.609999656677246
2020-12-17,13.1899995803833
2020-12-18,13.039999961853027
2020-12-21,13.48799991607666
2020-12-22,13.619999885559082
2020-12-23,13.289999961853027
2020-12-24,13.319999694824219
2020-12-28,12.899999618530273
2020-12-29,12.9399995803833
2020-12-30,13.199999809265137
2020-12-31,12.859999656677246
2021-01-04,12.949999809265137
2021-01-05,12.850000381469727
2021-01-06,12.850000381469727
2021-01-07,13.75
2021-01-08,13.8149995803833
2021-01-11,14.010000228881836
2021-01-12,14.25
2021-01-13,14.029999732971191
2021-01-14,14.390000343322754
2021-01-15,14.850000381469727
2021-01-19,14.729999542236328
2021-01-20,14.880000114440918
2021-01-21,16.5
2021-01-22,16.75
2021-01-25,15.220000267028809
2021-01-26,14.470000267028809
2021-01-27,12.770000457763672
2021-01-28,14.0
2021-01-29,13.899999618530273
2021-02-01,14.119999885559082
2021-02-02,14.399999618530273
2021-02-03,14.399999618530273
2021-02-04,13.850000381469727
2021-02-05,14.350000381469727
2021-02-08,14.59000015258789
2021-02-09,14.300000190734863
2021-02-10,14.300000190734863
2021-02-11,13.989999771118164
2021-02-12,13.869999885559082
2021-02-16,13.880000114440918
2021-02-17,13.899999618530273
2021-02-18,14.0
2021-02-19,13.899999618530273
2021-02-22,13.640000343322754
2021-02-23,13.630000114440918
2021-02-24,13.260000228881836
2021-02-25,12.84000015258789
2021-02-26,12.949999809265137
2021-03-01,12.890000343322754
2021-03-02,12.699999809265137
2021-03-03,11.380000114440918
2021-03-04,11.300000190734863
2021-03-05,11.520000457763672
2021-03-08,10.979999542236328
2021-03-09,11.880000114440918
2021-03-10,12.0
2021-03-11,14.649999618530273
2021-03-12,13.949999809265137
2021-03-15,13.729999542236328
2021-03-16,12.850000381469727
2021-03-17,12.850000381469727
2021-03-18,12.949999809265137
2021-03-19,12.989999771118164
2021-03-22,13.5
2021-03-23,12.449999809265137
2021-03-24,11.579999923706055
2021-03-25,12.050000190734863
2021-03-26,11.670000076293945
2021-03-29,11.640000343322754
2021-03-30,11.350000381469727
2021-03-31,11.699999809265137
2021-04-01,11.949999809265137
2021-04-05,12.170000076293945
2021-04-06,12.699999809265137
2021-04-07,13.130000114440918
2021-04-08,14.100000381469727
2021-04-09,13.75
2021-04-12,13.949999809265137
2021-04-13,15.329999923706055
2021-04-14,14.399999618530273
2021-04-15,13.510000228881836
2021-04-16,12.520000457763672
2021-04-19,13.15999984741211
2021-04-20,12.720000267028809
2021-04-21,12.720000267028809
2021-04-22,12.699999809265137
2021-04-23,13.0600004196167
2021-04-26,13.630000114440918
2021-04-27,13.710000038146973
2021-04-28,13.369999885559082
2021-04-29,12.989999771118164
2021-04-30,13.3100004196167
2021-05-03,13.010000228881836
2021-05-04,13.0
2021-05-05,12.420000076293945
2021-05-06,11.84000015258789
2021-05-07,11.670000076293945
2021-05-10,11.710000038146973
2021-05-11,12.420000076293945
2021-05-12,11.5
2021-05-13,11.0600004196167
2021-05-14,11.5
