,AGCWW
2020-12-09,3.75
2020-12-10,4.5
2020-12-11,5.0
2020-12-14,5.610000133514404
2020-12-15,4.25
2020-12-16,4.0
2020-12-17,4.699999809265137
2020-12-18,5.849999904632568
2020-12-21,6.25
2020-12-22,5.929999828338623
2020-12-23,5.695000171661377
2020-12-24,5.400000095367432
2020-12-28,5.239999771118164
2020-12-29,5.119999885559082
2020-12-30,5.25
2020-12-31,5.474999904632568
2021-01-04,5.0
2021-01-05,4.300000190734863
2021-01-06,4.300000190734863
2021-01-07,4.369999885559082
2021-01-08,5.5
2021-01-11,5.199999809265137
2021-01-12,5.5
2021-01-13,5.900000095367432
2021-01-14,5.150000095367432
2021-01-15,5.099999904632568
2021-01-19,5.25
2021-01-20,5.050000190734863
2021-01-21,5.800000190734863
2021-01-22,6.03000020980835
2021-01-25,5.139999866485596
2021-01-26,4.808000087738037
2021-01-27,4.570000171661377
2021-01-28,4.724999904632568
2021-01-29,4.849999904632568
2021-02-01,5.0
2021-02-02,4.920000076293945
2021-02-03,4.800000190734863
2021-02-04,5.449999809265137
2021-02-05,5.21999979019165
2021-02-08,5.199999809265137
2021-02-09,5.349999904632568
2021-02-10,5.054999828338623
2021-02-11,5.050000190734863
2021-02-12,4.75
2021-02-16,4.349999904632568
2021-02-17,4.550000190734863
2021-02-18,4.630000114440918
2021-02-19,4.789999961853027
2021-02-22,4.869999885559082
2021-02-23,4.820000171661377
2021-02-24,4.295000076293945
2021-02-25,3.9800000190734863
2021-02-26,3.950000047683716
2021-03-01,3.950000047683716
2021-03-02,3.809999942779541
2021-03-03,3.490000009536743
2021-03-04,2.619999885559082
2021-03-05,3.069999933242798
2021-03-08,2.5199999809265137
2021-03-09,2.9600000381469727
2021-03-10,3.0
2021-03-11,5.150000095367432
2021-03-12,5.079999923706055
2021-03-15,5.0
2021-03-16,4.650000095367432
2021-03-17,4.460000038146973
2021-03-18,4.53000020980835
2021-03-19,4.5
2021-03-22,4.699999809265137
2021-03-23,4.400000095367432
2021-03-24,4.070000171661377
2021-03-25,3.9200000762939453
2021-03-26,3.619999885559082
2021-03-29,3.509999990463257
2021-03-30,3.069999933242798
2021-03-31,3.109999895095825
2021-04-01,3.569999933242798
2021-04-05,3.5299999713897705
2021-04-06,3.799999952316284
2021-04-07,4.554999828338623
2021-04-08,4.769999980926514
2021-04-09,4.989999771118164
2021-04-12,5.150000095367432
2021-04-13,5.260000228881836
2021-04-14,4.949999809265137
2021-04-15,4.498000144958496
2021-04-16,4.284999847412109
2021-04-19,4.400000095367432
2021-04-20,4.179999828338623
2021-04-21,3.9600000381469727
2021-04-22,3.9000000953674316
2021-04-23,3.890000104904175
2021-04-26,3.890000104904175
2021-04-27,3.9700000286102295
2021-04-28,3.859999895095825
2021-04-29,3.75
2021-04-30,3.7699999809265137
2021-05-03,3.549999952316284
2021-05-04,3.6700000762939453
2021-05-05,3.5
2021-05-06,3.1050000190734863
2021-05-07,3.319999933242798
2021-05-10,3.4200000762939453
2021-05-11,3.549999952316284
2021-05-12,3.3499999046325684
2021-05-13,3.130000114440918
2021-05-14,3.25
