,AGEN
2000-02-08,277.5
2000-02-09,264.0
2000-02-10,287.15625
2000-02-11,268.5
2000-02-14,274.5
2000-02-15,287.25
2000-02-16,310.5
2000-02-17,279.75
2000-02-18,264.75
2000-02-22,236.25
2000-02-23,270.0
2000-02-24,289.5
2000-02-25,270.0
2000-02-28,240.0
2000-02-29,270.0
2000-03-01,283.875
2000-03-02,275.25
2000-03-03,274.5
2000-03-06,267.0
2000-03-07,271.5
2000-03-08,300.0
2000-03-09,315.75
2000-03-10,301.5
2000-03-13,282.75
2000-03-14,249.75
2000-03-15,254.25
2000-03-16,204.0
2000-03-17,198.0
2000-03-20,178.5
2000-03-21,141.0
2000-03-22,181.5
2000-03-23,183.0
2000-03-24,177.0
2000-03-27,181.5
2000-03-28,156.75
2000-03-29,149.34375
2000-03-30,117.0
2000-03-31,122.25
2000-04-03,111.0
2000-04-04,115.5
2000-04-05,123.75
2000-04-06,111.0
2000-04-07,108.75
2000-04-10,96.0
2000-04-11,84.375
2000-04-12,84.375
2000-04-13,83.625
2000-04-14,64.875
2000-04-17,66.0
2000-04-18,84.75
2000-04-19,90.0
2000-04-20,90.0
2000-04-24,90.0
2000-04-25,91.5
2000-04-26,90.75
2000-04-27,89.25
2000-04-28,99.0
2000-05-01,120.0
2000-05-02,110.625
2000-05-03,111.75
2000-05-04,115.875
2000-05-05,114.75
2000-05-08,115.125
2000-05-09,112.125
2000-05-10,106.125
2000-05-11,104.25
2000-05-12,114.0
2000-05-15,116.625
2000-05-16,118.5
2000-05-17,129.0
2000-05-18,118.125
2000-05-19,122.25
2000-05-22,98.25
2000-05-23,87.0
2000-05-24,87.0
2000-05-25,83.25
2000-05-26,80.25
2000-05-30,86.625
2000-05-31,83.25
2000-06-01,86.25
2000-06-02,90.75
2000-06-05,96.0
2000-06-06,102.0
2000-06-07,102.0
2000-06-08,99.75
2000-06-09,108.75
2000-06-12,95.25
2000-06-13,96.375
2000-06-14,90.0
2000-06-15,89.25
2000-06-16,91.5
2000-06-19,94.125
2000-06-20,96.09375
2000-06-21,98.25
2000-06-22,87.09375
2000-06-23,93.75
2000-06-26,94.5
2000-06-27,96.75
2000-06-28,100.5
2000-06-29,99.0
2000-06-30,99.75
2000-07-03,97.875
2000-07-05,111.75
2000-07-06,113.71875
2000-07-07,114.0
2000-07-10,112.875
2000-07-11,126.0
2000-07-12,119.25
2000-07-13,110.25
2000-07-14,113.25
2000-07-17,108.75
2000-07-18,115.5
2000-07-19,104.25
2000-07-20,108.0
2000-07-21,102.375
2000-07-24,104.25
2000-07-25,106.125
2000-07-26,108.0
2000-07-27,102.75
2000-07-28,99.75
2000-07-31,105.0
2000-08-01,101.25
2000-08-02,95.25
2000-08-03,94.5
2000-08-04,99.0
2000-08-07,100.125
2000-08-08,95.625
2000-08-09,93.0
2000-08-10,97.5
2000-08-11,98.625
2000-08-14,97.5
2000-08-15,97.5
2000-08-16,93.75
2000-08-17,93.375
2000-08-18,95.25
2000-08-21,97.125
2000-08-22,96.0
2000-08-23,93.75
2000-08-24,96.75
2000-08-25,98.25
2000-08-28,97.875
2000-08-29,93.75
2000-08-30,93.375
2000-08-31,101.25
2000-09-01,109.125
2000-09-05,109.875
2000-09-06,103.5
