,AGNCP
2020-02-05,24.979999542236328
2020-02-06,25.0
2020-02-07,24.940000534057617
2020-02-10,24.920000076293945
2020-02-11,24.950000762939453
2020-02-12,24.889999389648438
2020-02-13,24.889999389648438
2020-02-14,24.899999618530273
2020-02-18,24.93000030517578
2020-02-19,24.93000030517578
2020-02-20,25.010000228881836
2020-02-21,24.979999542236328
2020-02-24,24.780000686645508
2020-02-25,24.739999771118164
2020-02-26,24.75
2020-02-27,24.489999771118164
2020-02-28,24.239999771118164
2020-03-02,24.149999618530273
2020-03-03,24.260000228881836
2020-03-04,24.719999313354492
2020-03-05,24.600000381469727
2020-03-06,24.389999389648438
2020-03-09,23.850000381469727
2020-03-10,23.5
2020-03-11,22.270000457763672
2020-03-12,17.489999771118164
2020-03-13,17.75
2020-03-16,16.610000610351562
2020-03-17,15.350000381469727
2020-03-18,9.869999885559082
2020-03-19,15.010000228881836
2020-03-20,14.119999885559082
2020-03-23,14.3100004196167
2020-03-24,15.539999961853027
2020-03-25,16.1200008392334
2020-03-26,19.059999465942383
2020-03-27,20.25
2020-03-30,18.790000915527344
2020-03-31,17.75
2020-04-01,16.889999389648438
2020-04-02,18.049999237060547
2020-04-03,17.989999771118164
2020-04-06,20.520000457763672
2020-04-07,20.399999618530273
2020-04-08,21.190000534057617
2020-04-09,21.5
2020-04-13,21.010000228881836
2020-04-14,21.049999237060547
2020-04-15,19.989999771118164
2020-04-16,20.489999771118164
2020-04-17,21.549999237060547
2020-04-20,21.200000762939453
2020-04-21,21.3799991607666
2020-04-22,20.959999084472656
2020-04-23,20.920000076293945
2020-04-24,20.520000457763672
2020-04-27,20.700000762939453
2020-04-28,21.25
2020-04-29,21.510000228881836
2020-04-30,21.760000228881836
2020-05-01,21.450000762939453
2020-05-04,21.260000228881836
2020-05-05,21.440000534057617
2020-05-06,21.469999313354492
2020-05-07,21.43000030517578
2020-05-08,21.559999465942383
2020-05-11,21.270000457763672
2020-05-12,20.799999237060547
2020-05-13,20.25
2020-05-14,20.459999084472656
2020-05-15,20.5
2020-05-18,20.959999084472656
2020-05-19,21.020000457763672
2020-05-20,21.190000534057617
2020-05-21,21.15999984741211
2020-05-22,21.18000030517578
2020-05-26,21.364999771118164
2020-05-27,21.43000030517578
2020-05-28,21.450000762939453
2020-05-29,21.3799991607666
2020-06-01,21.450000762939453
2020-06-02,21.469999313354492
2020-06-03,21.520000457763672
2020-06-04,21.479999542236328
2020-06-05,21.760000228881836
2020-06-08,22.020000457763672
2020-06-09,22.0
2020-06-10,22.059999465942383
2020-06-11,21.489999771118164
2020-06-12,21.479999542236328
2020-06-15,21.329999923706055
2020-06-16,21.5
2020-06-17,21.405000686645508
2020-06-18,21.149999618530273
2020-06-19,21.190000534057617
2020-06-22,21.40999984741211
2020-06-23,21.43000030517578
2020-06-24,21.459999084472656
2020-06-25,21.06999969482422
2020-06-26,21.110000610351562
2020-06-29,21.059999465942383
2020-06-30,20.540000915527344
2020-07-01,20.780000686645508
2020-07-02,20.540000915527344
2020-07-06,20.940000534057617
2020-07-07,20.920000076293945
2020-07-08,21.280000686645508
2020-07-09,21.049999237060547
2020-07-10,21.170000076293945
2020-07-13,20.950000762939453
2020-07-14,21.079999923706055
2020-07-15,21.399999618530273
2020-07-16,21.549999237060547
2020-07-17,21.450000762939453
2020-07-20,21.780000686645508
2020-07-21,21.989999771118164
2020-07-22,21.920000076293945
2020-07-23,21.940000534057617
2020-07-24,21.809999465942383
2020-07-27,22.0
2020-07-28,21.799999237060547
2020-07-29,22.079999923706055
2020-07-30,22.010000228881836
2020-07-31,22.010000228881836
2020-08-03,22.18000030517578
2020-08-04,22.139999389648438
2020-08-05,22.229999542236328
2020-08-06,22.350000381469727
2020-08-07,22.350000381469727
2020-08-10,22.59000015258789
2020-08-11,22.59000015258789
2020-08-12,22.600000381469727
2020-08-13,22.540000915527344
2020-08-14,22.649999618530273
2020-08-17,22.829999923706055
2020-08-18,22.690000534057617
2020-08-19,22.770000457763672
2020-08-20,22.889999389648438
2020-08-21,22.739999771118164
2020-08-24,22.780000686645508
2020-08-25,22.729999542236328
2020-08-26,22.8799991607666
2020-08-27,22.889999389648438
2020-08-28,22.809999465942383
2020-08-31,22.530000686645508
2020-09-01,22.68000030517578
2020-09-02,22.709999084472656
2020-09-03,22.6200008392334
2020-09-04,22.610000610351562
2020-09-08,22.579999923706055
2020-09-09,22.71500015258789
2020-09-10,22.600000381469727
2020-09-11,22.489999771118164
2020-09-14,22.639999389648438
2020-09-15,22.700000762939453
2020-09-16,22.790000915527344
2020-09-17,22.8799991607666
2020-09-18,22.90999984741211
2020-09-21,22.729999542236328
2020-09-22,22.867000579833984
2020-09-23,22.600000381469727
2020-09-24,22.700000762939453
2020-09-25,22.760000228881836
2020-09-28,22.8799991607666
2020-09-29,22.774999618530273
2020-09-30,22.1200008392334
2020-10-01,22.149999618530273
2020-10-02,22.010000228881836
2020-10-05,21.940000534057617
2020-10-06,21.950000762939453
2020-10-07,21.969999313354492
2020-10-08,22.360000610351562
2020-10-09,22.229999542236328
2020-10-12,22.219999313354492
2020-10-13,22.170000076293945
2020-10-14,22.06999969482422
2020-10-15,22.049999237060547
2020-10-16,22.25
2020-10-19,22.149999618530273
2020-10-20,22.149999618530273
2020-10-21,22.100000381469727
2020-10-22,22.0
2020-10-23,22.079999923706055
2020-10-26,21.850000381469727
2020-10-27,21.8799991607666
2020-10-28,21.600000381469727
2020-10-29,21.690000534057617
2020-10-30,21.649999618530273
2020-11-02,21.389999389648438
2020-11-03,21.510000228881836
2020-11-04,21.600000381469727
2020-11-05,21.81999969482422
2020-11-06,21.729999542236328
2020-11-09,21.8799991607666
2020-11-10,21.860000610351562
2020-11-11,21.56999969482422
2020-11-12,21.34000015258789
2020-11-13,21.450000762939453
2020-11-16,21.6200008392334
2020-11-17,21.6299991607666
2020-11-18,21.739999771118164
2020-11-19,21.8799991607666
2020-11-20,21.8700008392334
2020-11-23,22.059999465942383
2020-11-24,22.06999969482422
2020-11-25,22.270000457763672
2020-11-27,22.299999237060547
2020-11-30,22.299999237060547
2020-12-01,22.309999465942383
2020-12-02,22.440000534057617
2020-12-03,22.670000076293945
2020-12-04,22.899999618530273
2020-12-07,22.899999618530273
2020-12-08,23.139999389648438
2020-12-09,23.100000381469727
2020-12-10,23.0
2020-12-11,23.030000686645508
2020-12-14,22.940000534057617
2020-12-15,23.139999389648438
2020-12-16,23.34000015258789
2020-12-17,23.399999618530273
2020-12-18,23.489999771118164
2020-12-21,23.489999771118164
2020-12-22,23.5
2020-12-23,23.469999313354492
2020-12-24,23.690000534057617
2020-12-28,23.729999542236328
2020-12-29,24.020000457763672
2020-12-30,23.799999237060547
2020-12-31,23.889999389648438
2021-01-04,23.739999771118164
2021-01-05,23.760000228881836
2021-01-06,23.610000610351562
2021-01-07,23.770000457763672
2021-01-08,23.709999084472656
2021-01-11,23.729999542236328
2021-01-12,23.670000076293945
2021-01-13,23.969999313354492
2021-01-14,24.0
2021-01-15,24.100000381469727
2021-01-19,24.200000762939453
2021-01-20,24.360000610351562
2021-01-21,24.350000381469727
2021-01-22,24.280000686645508
2021-01-25,24.110000610351562
2021-01-26,24.09000015258789
2021-01-27,23.959999084472656
2021-01-28,24.06999969482422
2021-01-29,24.0
2021-02-01,23.959999084472656
2021-02-02,24.049999237060547
2021-02-03,24.06999969482422
2021-02-04,24.059999465942383
2021-02-05,24.149999618530273
2021-02-08,24.100000381469727
2021-02-09,23.996000289916992
2021-02-10,23.889999389648438
2021-02-11,23.84000015258789
2021-02-12,23.75
2021-02-16,23.56999969482422
2021-02-17,23.579999923706055
2021-02-18,23.700000762939453
2021-02-19,23.649999618530273
2021-02-22,23.579999923706055
2021-02-23,23.600000381469727
2021-02-24,23.399999618530273
2021-02-25,23.270000457763672
2021-02-26,23.40999984741211
2021-03-01,23.450000762939453
2021-03-02,23.584999084472656
2021-03-03,23.719999313354492
2021-03-04,23.674999237060547
2021-03-05,23.649999618530273
2021-03-08,23.6200008392334
2021-03-09,23.700000762939453
2021-03-10,23.75
2021-03-11,23.899999618530273
2021-03-12,23.700000762939453
2021-03-15,23.969999313354492
2021-03-16,24.06999969482422
2021-03-17,23.979999542236328
2021-03-18,23.969999313354492
2021-03-19,23.950000762939453
2021-03-22,23.920000076293945
2021-03-23,23.899999618530273
2021-03-24,23.850000381469727
2021-03-25,23.799999237060547
2021-03-26,23.899999618530273
2021-03-29,23.850000381469727
2021-03-30,23.920000076293945
2021-03-31,23.65999984741211
2021-04-01,23.81999969482422
2021-04-05,23.8700008392334
2021-04-06,24.059999465942383
2021-04-07,23.929000854492188
2021-04-08,23.90999984741211
2021-04-09,23.850000381469727
2021-04-12,23.8799991607666
2021-04-13,23.829999923706055
2021-04-14,23.799999237060547
2021-04-15,23.899999618530273
2021-04-16,23.770000457763672
2021-04-19,23.780000686645508
2021-04-20,23.770000457763672
2021-04-21,23.799999237060547
2021-04-22,23.81999969482422
2021-04-23,23.84000015258789
2021-04-26,24.0
2021-04-27,24.260000228881836
2021-04-28,24.350000381469727
2021-04-29,24.25
2021-04-30,24.020000457763672
2021-05-03,24.18000030517578
2021-05-04,24.450000762939453
2021-05-05,24.43000030517578
2021-05-06,24.420000076293945
2021-05-07,24.56999969482422
2021-05-10,24.600000381469727
2021-05-11,24.360000610351562
2021-05-12,23.90999984741211
2021-05-13,24.18000030517578
2021-05-14,24.360000610351562
