,AIH
2019-10-25,10.029999732971191
2019-10-28,9.350000381469727
2019-10-29,9.210000038146973
2019-10-30,8.800000190734863
2019-10-31,8.800000190734863
2019-11-01,8.369999885559082
2019-11-04,8.34000015258789
2019-11-05,8.329999923706055
2019-11-06,8.220000267028809
2019-11-07,8.3100004196167
2019-11-08,8.380000114440918
2019-11-11,8.390000343322754
2019-11-12,8.15999984741211
2019-11-13,8.210000038146973
2019-11-14,7.599999904632568
2019-11-15,6.949999809265137
2019-11-18,7.099999904632568
2019-11-19,7.139999866485596
2019-11-20,6.389999866485596
2019-11-21,6.400000095367432
2019-11-22,6.409999847412109
2019-11-25,6.630000114440918
2019-11-26,6.800000190734863
2019-11-27,6.869999885559082
2019-11-29,6.869999885559082
2019-12-02,6.579999923706055
2019-12-03,6.590000152587891
2019-12-04,6.754000186920166
2019-12-05,6.679999828338623
2019-12-06,6.815999984741211
2019-12-09,6.739999771118164
2019-12-10,6.659999847412109
2019-12-11,6.664999961853027
2019-12-12,6.480000019073486
2019-12-13,6.429999828338623
2019-12-16,6.340000152587891
2019-12-17,6.269999980926514
2019-12-18,6.769999980926514
2019-12-19,6.53000020980835
2019-12-20,6.570000171661377
2019-12-23,6.390999794006348
2019-12-24,6.190000057220459
2019-12-26,6.25
2019-12-27,6.400000095367432
2019-12-30,6.28000020980835
2019-12-31,6.420000076293945
2020-01-02,6.489999771118164
2020-01-03,6.828000068664551
2020-01-06,6.570000171661377
2020-01-07,6.610000133514404
2020-01-08,6.460000038146973
2020-01-09,6.429999828338623
2020-01-10,6.449999809265137
2020-01-13,6.570000171661377
2020-01-14,7.059999942779541
2020-01-15,7.519999980926514
2020-01-16,8.079999923706055
2020-01-17,8.130000114440918
2020-01-21,7.730000019073486
2020-01-22,7.71999979019165
2020-01-23,7.630000114440918
2020-01-24,7.650000095367432
2020-01-27,7.199999809265137
2020-01-28,7.429999828338623
2020-01-29,7.550000190734863
2020-01-30,7.619999885559082
2020-01-31,7.300000190734863
2020-02-03,7.150000095367432
2020-02-04,7.380000114440918
2020-02-05,7.610000133514404
2020-02-06,7.769999980926514
2020-02-07,7.829999923706055
2020-02-10,7.989999771118164
2020-02-11,8.0
2020-02-12,7.960000038146973
2020-02-13,8.069999694824219
2020-02-14,7.715000152587891
2020-02-18,7.590000152587891
2020-02-19,7.699999809265137
2020-02-20,7.820000171661377
2020-02-21,7.670000076293945
2020-02-24,7.53000020980835
2020-02-25,7.340000152587891
2020-02-26,7.449999809265137
2020-02-27,7.5
2020-02-28,7.570000171661377
2020-03-02,8.119999885559082
2020-03-03,8.270000457763672
2020-03-04,9.479999542236328
2020-03-05,10.279999732971191
2020-03-06,10.010000228881836
2020-03-09,9.510000228881836
2020-03-10,9.75
2020-03-11,9.579999923706055
2020-03-12,9.529999732971191
2020-03-13,9.59000015258789
2020-03-16,9.680000305175781
2020-03-17,9.260000228881836
2020-03-18,8.890000343322754
2020-03-19,8.630000114440918
2020-03-20,8.649999618530273
2020-03-23,8.050000190734863
2020-03-24,8.329999923706055
2020-03-25,8.329999923706055
2020-03-26,8.949999809265137
2020-03-27,8.859999656677246
2020-03-30,8.350000381469727
2020-03-31,9.069999694824219
2020-04-01,9.050000190734863
2020-04-02,8.649999618530273
2020-04-03,8.630000114440918
2020-04-06,8.369999885559082
2020-04-07,8.210000038146973
2020-04-08,8.529999732971191
2020-04-09,9.119999885559082
2020-04-13,9.279999732971191
2020-04-14,9.369999885559082
2020-04-15,8.949999809265137
2020-04-16,8.779999732971191
2020-04-17,8.739999771118164
2020-04-20,9.079999923706055
2020-04-21,8.920000076293945
2020-04-22,8.850000381469727
2020-04-23,8.609999656677246
2020-04-24,8.600000381469727
2020-04-27,8.489999771118164
2020-04-28,8.579999923706055
2020-04-29,8.350000381469727
2020-04-30,8.869999885559082
2020-05-01,8.970000267028809
2020-05-04,8.380000114440918
2020-05-05,8.420000076293945
2020-05-06,8.430000305175781
2020-05-07,8.829999923706055
2020-05-08,8.989999771118164
2020-05-11,8.5600004196167
2020-05-12,8.5600004196167
2020-05-13,8.3100004196167
2020-05-14,8.069999694824219
2020-05-15,8.0
2020-05-18,8.199999809265137
2020-05-19,8.170000076293945
2020-05-20,8.03499984741211
2020-05-21,8.210000038146973
2020-05-22,8.069999694824219
2020-05-26,8.039999961853027
2020-05-27,7.789999961853027
2020-05-28,7.929999828338623
2020-05-29,7.920000076293945
2020-06-01,7.730000019073486
2020-06-02,7.590000152587891
2020-06-03,7.380000114440918
2020-06-04,7.269999980926514
2020-06-05,7.130000114440918
2020-06-08,7.360000133514404
2020-06-09,7.170000076293945
2020-06-10,6.960000038146973
2020-06-11,6.570000171661377
2020-06-12,6.440000057220459
2020-06-15,6.230000019073486
2020-06-16,6.349999904632568
2020-06-17,6.360000133514404
2020-06-18,6.269999980926514
2020-06-19,6.579999923706055
2020-06-22,6.369999885559082
2020-06-23,6.099999904632568
2020-06-24,6.050000190734863
2020-06-25,6.230000019073486
2020-06-26,6.110000133514404
2020-06-29,6.099999904632568
2020-06-30,6.179999828338623
2020-07-01,6.079999923706055
2020-07-02,6.199999809265137
2020-07-06,5.940000057220459
2020-07-07,5.510000228881836
2020-07-08,5.099999904632568
2020-07-09,5.119999885559082
2020-07-10,5.480000019073486
2020-07-13,5.889999866485596
2020-07-14,5.71999979019165
2020-07-15,5.829999923706055
2020-07-16,5.380000114440918
2020-07-17,5.579999923706055
2020-07-20,5.139999866485596
2020-07-21,5.079999923706055
2020-07-22,5.090000152587891
2020-07-23,5.050000190734863
2020-07-24,4.71999979019165
2020-07-27,4.5
2020-07-28,4.46999979019165
2020-07-29,4.849999904632568
2020-07-30,5.195000171661377
2020-07-31,4.639999866485596
2020-08-03,4.860000133514404
2020-08-04,4.78000020980835
2020-08-05,4.539999961853027
2020-08-06,4.480000019073486
2020-08-07,4.400000095367432
2020-08-10,4.550000190734863
2020-08-11,4.579999923706055
2020-08-12,4.489999771118164
2020-08-13,4.460000038146973
2020-08-14,4.5
2020-08-17,4.570000171661377
2020-08-18,4.659999847412109
2020-08-19,4.835000038146973
2020-08-20,4.860000133514404
2020-08-21,4.869999885559082
2020-08-24,4.900000095367432
2020-08-25,4.860000133514404
2020-08-26,4.849999904632568
2020-08-27,4.570000171661377
2020-08-28,4.590000152587891
2020-08-31,4.630000114440918
2020-09-01,4.735000133514404
2020-09-02,4.630000114440918
2020-09-03,4.230000019073486
2020-09-04,3.990000009536743
2020-09-08,3.940000057220459
2020-09-09,4.03000020980835
2020-09-10,4.130000114440918
2020-09-11,4.139999866485596
2020-09-14,4.230000019073486
2020-09-15,4.329999923706055
2020-09-16,4.329999923706055
2020-09-17,4.329999923706055
2020-09-18,4.349999904632568
2020-09-21,4.340000152587891
2020-09-22,4.5
2020-09-23,4.449999809265137
2020-09-24,4.380000114440918
2020-09-25,4.230000019073486
2020-09-28,4.25
2020-09-29,4.289999961853027
2020-09-30,4.260000228881836
2020-10-01,4.329999923706055
2020-10-02,4.570000171661377
2020-10-05,4.690000057220459
2020-10-06,4.699999809265137
2020-10-07,4.929999828338623
2020-10-08,5.110000133514404
2020-10-09,5.340000152587891
2020-10-12,5.53000020980835
2020-10-13,6.190000057220459
2020-10-14,6.170000076293945
2020-10-15,6.340000152587891
2020-10-16,6.855000019073486
2020-10-19,7.449999809265137
2020-10-20,7.5
2020-10-21,7.039999961853027
2020-10-22,5.800000190734863
2020-10-23,5.909999847412109
2020-10-26,6.010000228881836
2020-10-27,5.489999771118164
2020-10-28,5.619999885559082
2020-10-29,5.570000171661377
2020-10-30,5.579999923706055
2020-11-02,5.349999904632568
2020-11-03,5.440000057220459
2020-11-04,5.199999809265137
2020-11-05,5.579999923706055
2020-11-06,5.829999923706055
2020-11-09,5.820000171661377
2020-11-10,5.599999904632568
2020-11-11,5.340000152587891
2020-11-12,5.309999942779541
2020-11-13,5.239999771118164
2020-11-16,5.190000057220459
2020-11-17,5.050000190734863
2020-11-18,4.820000171661377
2020-11-19,4.75
2020-11-20,4.849999904632568
2020-11-23,4.739999771118164
2020-11-24,4.980000019073486
2020-11-25,5.230000019073486
2020-11-27,5.739999771118164
2020-11-30,6.150000095367432
2020-12-01,5.519999980926514
2020-12-02,5.190000057220459
2020-12-03,5.139999866485596
2020-12-04,5.21999979019165
2020-12-07,5.050000190734863
2020-12-08,5.039999961853027
2020-12-09,5.019999980926514
2020-12-10,4.940000057220459
2020-12-11,4.460000038146973
2020-12-14,4.599999904632568
2020-12-15,4.699999809265137
2020-12-16,4.489999771118164
2020-12-17,4.940000057220459
2020-12-18,4.889999866485596
2020-12-21,4.550000190734863
2020-12-22,4.559999942779541
2020-12-23,4.590000152587891
2020-12-24,4.690000057220459
2020-12-28,4.789999961853027
2020-12-29,4.489999771118164
2020-12-30,4.829999923706055
2020-12-31,5.269999980926514
2021-01-04,4.900000095367432
2021-01-05,4.96999979019165
2021-01-06,4.829999923706055
2021-01-07,5.050000190734863
2021-01-08,5.059999942779541
2021-01-11,5.019999980926514
2021-01-12,5.159999847412109
2021-01-13,5.230000019073486
2021-01-14,5.260000228881836
2021-01-15,5.0
2021-01-19,5.039999961853027
2021-01-20,4.949999809265137
2021-01-21,4.989999771118164
2021-01-22,5.079999923706055
2021-01-25,5.230000019073486
2021-01-26,5.230000019073486
2021-01-27,5.199999809265137
2021-01-28,5.170000076293945
2021-01-29,5.119999885559082
2021-02-01,5.340000152587891
2021-02-02,5.735000133514404
2021-02-03,5.820000171661377
2021-02-04,6.230000019073486
2021-02-05,6.050000190734863
2021-02-08,6.239999771118164
2021-02-09,6.369999885559082
2021-02-10,6.599999904632568
2021-02-11,6.130000114440918
2021-02-12,6.510000228881836
2021-02-16,7.079999923706055
2021-02-17,7.099999904632568
2021-02-18,6.744999885559082
2021-02-19,6.980000019073486
2021-02-22,9.25
2021-02-23,7.800000190734863
2021-02-24,8.149999618530273
2021-02-25,7.53000020980835
2021-02-26,7.340000152587891
2021-03-01,7.619999885559082
2021-03-02,7.329999923706055
2021-03-03,7.110000133514404
2021-03-04,6.239999771118164
2021-03-05,6.619999885559082
2021-03-08,6.670000076293945
2021-03-09,6.380000114440918
2021-03-10,6.619999885559082
2021-03-11,6.829999923706055
2021-03-12,7.960000038146973
2021-03-15,8.199999809265137
2021-03-16,8.039999961853027
2021-03-17,7.690000057220459
2021-03-18,7.489999771118164
2021-03-19,7.699999809265137
2021-03-22,8.300000190734863
2021-03-23,7.5
2021-03-24,7.440000057220459
2021-03-25,7.409999847412109
2021-03-26,7.929999828338623
2021-03-29,7.599999904632568
2021-03-30,7.449999809265137
2021-03-31,7.360000133514404
2021-04-01,7.340000152587891
2021-04-05,7.309999942779541
2021-04-06,7.340000152587891
2021-04-07,7.599999904632568
2021-04-08,7.329999923706055
2021-04-09,7.420000076293945
2021-04-12,7.260000228881836
2021-04-13,7.130000114440918
2021-04-14,6.070000171661377
2021-04-15,5.510000228881836
2021-04-16,5.420000076293945
2021-04-19,5.300000190734863
2021-04-20,5.349999904632568
2021-04-21,5.800000190734863
2021-04-22,6.264999866485596
2021-04-23,6.28000020980835
2021-04-26,6.559999942779541
2021-04-27,6.420000076293945
2021-04-28,6.5
2021-04-29,6.440000057220459
2021-04-30,6.699999809265137
2021-05-03,7.099999904632568
2021-05-04,6.320000171661377
2021-05-05,6.239999771118164
2021-05-06,6.590000152587891
2021-05-07,6.489999771118164
2021-05-10,5.929999828338623
2021-05-11,6.110000133514404
2021-05-12,6.190000057220459
2021-05-13,5.989999771118164
2021-05-14,6.670000076293945
