,ALNY
2004-06-01,7.0
2004-06-02,7.210000038146973
2004-06-03,7.460000038146973
2004-06-04,7.679999828338623
2004-06-07,7.769999980926514
2004-06-08,8.0600004196167
2004-06-09,8.260000228881836
2004-06-10,7.900000095367432
2004-06-14,7.760000228881836
2004-06-15,7.21999979019165
2004-06-16,6.619999885559082
2004-06-17,6.119999885559082
2004-06-18,6.230000019073486
2004-06-21,5.900000095367432
2004-06-22,5.909999847412109
2004-06-23,6.0
2004-06-24,6.550000190734863
2004-06-25,7.349999904632568
2004-06-28,7.210000038146973
2004-06-29,7.099999904632568
2004-06-30,7.559999942779541
2004-07-01,7.010000228881836
2004-07-02,7.0
2004-07-06,7.170000076293945
2004-07-07,7.130000114440918
2004-07-08,6.929999828338623
2004-07-09,6.980000019073486
2004-07-12,7.239999771118164
2004-07-13,7.0
2004-07-14,6.659999847412109
2004-07-15,6.980000019073486
2004-07-16,7.0
2004-07-19,6.5
2004-07-20,6.159999847412109
2004-07-21,6.050000190734863
2004-07-22,5.849999904632568
2004-07-23,5.789999961853027
2004-07-26,5.699999809265137
2004-07-27,5.199999809265137
2004-07-28,5.25
2004-07-29,5.300000190734863
2004-07-30,5.150000095367432
2004-08-02,5.550000190734863
2004-08-03,5.349999904632568
2004-08-04,5.25
2004-08-05,5.230000019073486
2004-08-06,4.900000095367432
2004-08-09,4.949999809265137
2004-08-10,5.019999980926514
2004-08-11,4.449999809265137
2004-08-12,4.300000190734863
2004-08-13,4.0
2004-08-16,3.950000047683716
2004-08-17,4.0
2004-08-18,4.090000152587891
2004-08-19,4.650000095367432
2004-08-20,4.440000057220459
2004-08-23,4.380000114440918
2004-08-24,4.690000057220459
2004-08-25,5.25
2004-08-26,5.489999771118164
2004-08-27,5.610000133514404
2004-08-30,5.329999923706055
2004-08-31,5.5
2004-09-01,5.5
2004-09-02,5.71999979019165
2004-09-03,5.659999847412109
2004-09-07,5.849999904632568
2004-09-08,5.900000095367432
2004-09-09,5.510000228881836
2004-09-10,5.400000095367432
2004-09-13,5.820000171661377
2004-09-14,5.699999809265137
2004-09-15,5.739999771118164
2004-09-16,5.659999847412109
2004-09-17,5.400000095367432
2004-09-20,5.590000152587891
2004-09-21,5.650000095367432
2004-09-22,5.769999980926514
2004-09-23,5.409999847412109
2004-09-24,5.400000095367432
2004-09-27,5.590000152587891
2004-09-28,5.650000095367432
2004-09-29,5.670000076293945
2004-09-30,5.760000228881836
2004-10-01,5.610000133514404
2004-10-04,5.690000057220459
2004-10-05,5.75
2004-10-06,5.800000190734863
2004-10-07,5.699999809265137
2004-10-08,5.710000038146973
2004-10-11,5.889999866485596
2004-10-12,5.760000228881836
2004-10-13,5.550000190734863
2004-10-14,5.360000133514404
2004-10-15,5.300000190734863
2004-10-18,5.460000038146973
2004-10-19,5.5
2004-10-20,5.5
2004-10-21,5.440000057220459
2004-10-22,5.400000095367432
2004-10-25,5.269999980926514
2004-10-26,5.53000020980835
2004-10-27,5.400000095367432
2004-10-28,5.199999809265137
2004-10-29,5.25
2004-11-01,5.300000190734863
2004-11-02,5.340000152587891
2004-11-03,5.369999885559082
2004-11-04,5.309999942779541
2004-11-05,5.440000057220459
2004-11-08,5.489999771118164
2004-11-09,5.5
2004-11-10,6.179999828338623
2004-11-11,6.309999942779541
2004-11-12,6.420000076293945
2004-11-15,6.349999904632568
2004-11-16,6.46999979019165
2004-11-17,6.519999980926514
2004-11-18,6.349999904632568
2004-11-19,5.880000114440918
2004-11-22,6.900000095367432
2004-11-23,6.909999847412109
2004-11-24,7.860000133514404
2004-11-26,8.100000381469727
2004-11-29,8.229999542236328
2004-11-30,8.0
2004-12-01,8.100000381469727
2004-12-02,7.199999809265137
2004-12-03,6.570000171661377
2004-12-06,6.860000133514404
2004-12-07,6.78000020980835
2004-12-08,7.0
2004-12-09,6.78000020980835
2004-12-10,6.659999847412109
2004-12-13,6.75
2004-12-14,6.46999979019165
2004-12-15,6.599999904632568
2004-12-16,6.789999961853027
2004-12-17,6.860000133514404
2004-12-20,6.900000095367432
2004-12-21,7.46999979019165
2004-12-22,7.900000095367432
2004-12-23,7.639999866485596
2004-12-27,7.679999828338623
2004-12-28,7.489999771118164
2004-12-29,7.559999942779541
2004-12-30,7.400000095367432
2004-12-31,7.46999979019165
2005-01-03,7.579999923706055
2005-01-04,7.550000190734863
2005-01-05,8.050000190734863
2005-01-06,8.699999809265137
2005-01-07,9.0
2005-01-10,10.229999542236328
2005-01-11,9.09000015258789
2005-01-12,8.8100004196167
2005-01-13,8.729999542236328
2005-01-14,8.800000190734863
2005-01-18,8.369999885559082
2005-01-19,7.690000057220459
2005-01-20,7.5
2005-01-21,7.349999904632568
2005-01-24,7.0
2005-01-25,7.199999809265137
2005-01-26,7.050000190734863
2005-01-27,7.050000190734863
2005-01-28,6.909999847412109
2005-01-31,7.0
2005-02-01,7.0
2005-02-02,7.349999904632568
2005-02-03,7.679999828338623
2005-02-04,7.610000133514404
2005-02-07,8.020000457763672
2005-02-08,7.739999771118164
2005-02-09,8.100000381469727
2005-02-10,7.840000152587891
2005-02-11,7.809999942779541
2005-02-14,7.96999979019165
2005-02-15,7.75
2005-02-16,7.300000190734863
2005-02-17,7.039999961853027
2005-02-18,7.0
2005-02-22,7.099999904632568
2005-02-23,7.179999828338623
2005-02-24,7.170000076293945
2005-02-25,7.150000095367432
2005-02-28,7.150000095367432
2005-03-01,6.989999771118164
2005-03-02,7.0
2005-03-03,6.909999847412109
2005-03-04,6.909999847412109
2005-03-07,6.909999847412109
2005-03-08,6.909999847412109
2005-03-09,6.909999847412109
2005-03-10,6.909999847412109
2005-03-11,6.949999809265137
2005-03-14,6.900000095367432
2005-03-15,6.980000019073486
2005-03-16,6.980000019073486
2005-03-17,7.050000190734863
2005-03-18,7.130000114440918
2005-03-21,7.960000038146973
2005-03-22,7.730000019073486
2005-03-23,7.510000228881836
2005-03-24,7.420000076293945
2005-03-28,7.389999866485596
2005-03-29,7.25
2005-03-30,7.349999904632568
2005-03-31,7.329999923706055
2005-04-01,7.289999961853027
2005-04-04,7.340000152587891
