,ALTO
2005-03-24,1008.0
2005-03-28,1076.25
2005-03-29,1032.1500244140625
2005-03-30,1050.0
2005-03-31,1053.1500244140625
2005-04-01,1097.25
2005-04-04,1080.449951171875
2005-04-05,1155.0
2005-04-06,1333.5
2005-04-07,1358.699951171875
2005-04-08,1281.0
2005-04-11,1185.449951171875
2005-04-12,1118.25
2005-04-13,1079.4000244140625
2005-04-14,1139.25
2005-04-15,1137.1500244140625
2005-04-18,1051.050048828125
2005-04-19,1100.4000244140625
2005-04-20,1083.5999755859375
2005-04-21,953.4000244140625
2005-04-22,991.2000122070312
2005-04-25,945.0
2005-04-26,905.0999755859375
2005-04-27,903.0
2005-04-28,900.9000244140625
2005-04-29,910.3499755859375
2005-05-02,934.5
2005-05-03,959.7000122070312
2005-05-04,996.4500122070312
2005-05-05,1023.75
2005-05-06,1040.550048828125
2005-05-09,1050.0
2005-05-10,1075.199951171875
2005-05-11,1060.5
2005-05-12,1102.5
2005-05-13,1113.0
2005-05-16,1149.75
2005-05-17,1127.699951171875
2005-05-18,1097.25
2005-05-19,1048.949951171875
2005-05-20,1050.0
2005-05-23,1044.75
2005-05-24,1043.699951171875
2005-05-25,1050.0
2005-05-26,1073.0999755859375
2005-05-27,1122.449951171875
2005-05-31,1148.699951171875
2005-06-01,1097.25
2005-06-02,1059.449951171875
2005-06-03,1100.4000244140625
2005-06-06,1160.25
2005-06-07,1181.25
2005-06-08,1229.550048828125
2005-06-09,1212.75
2005-06-10,1242.1500244140625
2005-06-13,1227.449951171875
2005-06-14,1185.449951171875
2005-06-15,1130.8499755859375
2005-06-16,1149.75
2005-06-17,1160.25
2005-06-20,1039.5
2005-06-21,959.7000122070312
2005-06-22,960.75
2005-06-23,976.5
2005-06-24,1000.6500244140625
2005-06-27,991.2000122070312
2005-06-28,966.0
2005-06-29,1010.0999755859375
2005-06-30,1046.8499755859375
2005-07-01,1048.949951171875
2005-07-05,994.3499755859375
2005-07-06,995.4000244140625
2005-07-07,960.75
2005-07-08,962.8499755859375
2005-07-11,992.25
2005-07-12,972.2999877929688
2005-07-13,947.0999755859375
2005-07-14,934.5
2005-07-15,932.4000244140625
2005-07-18,866.25
2005-07-19,816.9000244140625
2005-07-20,838.9500122070312
2005-07-21,871.5
2005-07-22,887.25
2005-07-25,842.0999755859375
2005-07-26,866.25
2005-07-27,882.0
2005-07-28,871.5
2005-07-29,854.7000122070312
2005-08-01,843.1500244140625
2005-08-02,845.25
2005-08-03,835.7999877929688
2005-08-04,840.0
2005-08-05,855.75
2005-08-08,849.4500122070312
2005-08-09,843.1500244140625
2005-08-10,924.0
2005-08-11,907.2000122070312
2005-08-12,943.9500122070312
2005-08-15,1004.8499755859375
