,AMED
1994-08-17,5.25
1994-08-18,5.25
1994-08-19,5.25
1994-08-22,5.25
1994-08-23,5.25
1994-08-24,5.25
1994-08-25,5.25
1994-08-26,5.25
1994-08-29,5.25
1994-08-30,5.25
1994-08-31,5.25
1994-09-01,5.25
1994-09-02,5.4375
1994-09-06,5.4375
1994-09-07,5.4375
1994-09-08,5.0625
1994-09-09,5.0625
1994-09-12,5.0625
1994-09-13,5.0625
1994-09-14,5.0625
1994-09-15,5.0625
1994-09-16,5.4375
1994-09-19,5.261719226837158
1994-09-20,5.261719226837158
1994-09-21,5.261719226837158
1994-09-22,5.261719226837158
1994-09-23,5.261719226837158
1994-09-26,5.261719226837158
1994-09-27,5.261719226837158
1994-09-28,5.0625
1994-09-29,5.0625
1994-09-30,5.25
1994-10-03,5.25
1994-10-04,5.25
1994-10-05,5.25
1994-10-06,5.25
1994-10-07,5.25
1994-10-10,5.0625
1994-10-11,5.0625
1994-10-12,5.0625
1994-10-13,5.34375
1994-10-14,5.34375
1994-10-17,5.4375
1994-10-18,5.0625
1994-10-19,5.34375
1994-10-20,5.34375
1994-10-21,5.34375
1994-10-24,5.4375
1994-10-25,5.4375
1994-10-26,5.4375
1994-10-27,5.4375
1994-10-28,5.0625
1994-10-31,5.4375
1994-11-01,5.4375
1994-11-02,5.4375
1994-11-03,5.4375
1994-11-04,5.0625
1994-11-07,5.4375
1994-11-08,5.4375
1994-11-09,5.4375
1994-11-10,5.4375
1994-11-11,5.53125
1994-11-14,5.53125
1994-11-15,5.53125
1994-11-16,5.53125
1994-11-17,5.25
1994-11-18,5.25
1994-11-21,5.25
1994-11-22,5.25
1994-11-23,5.25
1994-11-25,5.25
1994-11-28,5.25
1994-11-29,5.25
1994-11-30,5.25
1994-12-01,5.25
1994-12-02,5.25
1994-12-05,5.25
1994-12-06,5.25
1994-12-07,5.25
1994-12-08,5.25
1994-12-09,5.25
1994-12-12,5.25
1994-12-13,5.25
1994-12-14,5.25
1994-12-15,5.25
1994-12-16,5.25
1994-12-19,5.25
1994-12-20,5.25
1994-12-21,5.25
1994-12-22,5.34375
1994-12-23,5.34375
1994-12-27,5.34375
1994-12-28,5.0625
1994-12-29,5.0625
1994-12-30,5.0625
1995-01-03,5.0625
1995-01-04,5.0625
1995-01-05,5.0625
1995-01-06,5.0625
1995-01-09,5.0625
1995-01-10,5.34375
1995-01-11,5.34375
1995-01-12,5.0625
1995-01-13,5.0625
1995-01-16,5.0625
1995-01-17,5.0625
1995-01-18,5.0625
1995-01-19,5.0625
1995-01-20,5.0625
1995-01-23,5.0625
1995-01-24,5.0625
1995-01-25,5.0625
1995-01-26,5.0625
1995-01-27,5.0625
1995-01-30,5.0625
1995-01-31,5.0625
1995-02-01,5.0625
1995-02-02,5.0625
1995-02-03,5.0625
1995-02-06,5.0625
1995-02-07,5.0625
1995-02-08,5.0625
1995-02-09,5.0625
1995-02-10,5.0625
1995-02-13,5.625
1995-02-14,5.625
1995-02-15,5.625
1995-02-16,5.625
1995-02-17,5.0625
1995-02-21,5.25
1995-02-22,5.0625
1995-02-23,5.34375
1995-02-24,5.0625
1995-02-27,5.25
1995-02-28,5.25
1995-03-01,5.25
1995-03-02,5.25
1995-03-03,5.25
1995-03-06,5.25
1995-03-07,5.25
1995-03-08,5.25
1995-03-09,5.25
1995-03-10,5.25
1995-03-13,5.25
1995-03-14,5.625
1995-03-15,5.625
1995-03-16,5.625
1995-03-17,5.625
1995-03-20,5.625
1995-03-21,5.625
1995-03-22,5.53125
1995-03-23,5.53125
1995-03-24,5.25
1995-03-27,5.25
1995-03-28,5.0625
1995-03-29,5.0625
1995-03-30,5.4375
1995-03-31,5.0625
1995-04-03,5.0625
1995-04-04,5.25
1995-04-05,5.25
1995-04-06,5.25
1995-04-07,5.34375
1995-04-10,5.625
1995-04-11,5.625
1995-04-12,5.53125
1995-04-13,5.4375
1995-04-17,5.625
1995-04-18,5.34375
1995-04-19,5.71875
1995-04-20,5.71875
1995-04-21,5.71875
1995-04-24,5.71875
1995-04-25,5.625
1995-04-26,6.0
1995-04-27,6.46875
1995-04-28,6.65625
1995-05-01,7.21875
1995-05-02,7.21875
1995-05-03,6.75
1995-05-04,6.75
1995-05-05,6.773437976837158
1995-05-08,6.75
1995-05-09,7.21875
1995-05-10,7.125
1995-05-11,7.21875
1995-05-12,6.75
1995-05-15,6.75
1995-05-16,7.21875
1995-05-17,6.761719226837158
1995-05-18,6.84375
1995-05-19,6.84375
1995-05-22,7.125
1995-05-23,6.761719226837158
1995-05-24,7.21875
1995-05-25,6.75
1995-05-26,6.75
1995-05-30,6.75
1995-05-31,6.75
1995-06-01,7.21875
1995-06-02,7.21875
1995-06-05,7.21875
1995-06-06,7.21875
1995-06-07,6.773437976837158
1995-06-08,6.75
1995-06-09,6.75
1995-06-12,6.75
1995-06-13,6.75
1995-06-14,6.773437976837158
1995-06-15,7.21875
1995-06-16,7.21875
1995-06-19,7.21875
1995-06-20,7.21875
1995-06-21,7.21875
1995-06-22,7.21875
1995-06-23,6.84375
1995-06-26,7.3125
1995-06-27,7.3125
1995-06-28,7.5
1995-06-29,6.9375
1995-06-30,7.6875
1995-07-03,8.8125
1995-07-05,8.4375
1995-07-06,8.25
1995-07-07,7.3125
1995-07-10,7.3125
1995-07-11,7.6875
1995-07-12,7.5
1995-07-13,7.5
1995-07-14,7.5
1995-07-17,7.3125
1995-07-18,7.3125
1995-07-19,7.6875
1995-07-20,7.125
1995-07-21,7.125
1995-07-24,7.59375
1995-07-25,7.59375
1995-07-26,7.6875
1995-07-27,7.5
1995-07-28,7.6875
1995-07-31,7.6875
1995-08-01,7.6875
1995-08-02,7.5
1995-08-03,7.5
1995-08-04,7.5
1995-08-07,7.5
1995-08-08,7.59375
1995-08-09,7.3125
1995-08-10,7.125
1995-08-11,7.125
1995-08-14,7.6875
1995-08-15,7.5
1995-08-16,7.5
1995-08-17,7.6875
1995-08-18,8.25
1995-08-21,8.25
1995-08-22,8.625
1995-08-23,8.0625
1995-08-24,8.4375
1995-08-25,8.0625
1995-08-28,8.4375
1995-08-29,7.96875
1995-08-30,7.875
1995-08-31,8.25
1995-09-01,7.875
1995-09-05,7.3125
1995-09-06,7.3125
1995-09-07,7.3125
1995-09-08,7.3125
1995-09-11,7.3125
1995-09-12,7.3125
1995-09-13,7.3125
1995-09-14,7.3125
1995-09-15,7.40625
1995-09-18,7.40625
1995-09-19,7.125
1995-09-20,7.125
1995-09-21,7.125
1995-09-22,7.125
1995-09-25,7.6875
1995-09-26,7.6875
1995-09-27,7.125
1995-09-28,7.125
1995-09-29,7.125
1995-10-02,7.125
1995-10-03,7.125
1995-10-04,7.125
1995-10-05,7.3125
1995-10-06,6.9375
1995-10-09,6.9375
1995-10-10,6.9375
1995-10-11,7.5
1995-10-12,7.5
1995-10-13,7.03125
1995-10-16,6.9375
1995-10-17,6.9375
1995-10-18,6.9375
1995-10-19,7.125
1995-10-20,7.5
1995-10-23,6.75
1995-10-24,7.3125
1995-10-25,7.125
1995-10-26,6.84375
1995-10-27,6.84375
1995-10-30,6.84375
1995-10-31,6.84375
1995-11-01,6.75
1995-11-02,6.75
1995-11-03,6.796875
1995-11-06,6.75
1995-11-07,6.9375
1995-11-08,6.75
1995-11-09,6.75
1995-11-10,7.3125
1995-11-13,6.9375
1995-11-14,7.3125
1995-11-15,7.3125
1995-11-16,7.21875
1995-11-17,7.3125
1995-11-20,7.3125
1995-11-21,6.9375
1995-11-22,7.3125
1995-11-24,7.3125
1995-11-27,7.3125
1995-11-28,6.75
1995-11-29,6.75
1995-11-30,6.75
1995-12-01,6.75
1995-12-04,6.5625
1995-12-05,6.5625
1995-12-06,6.5625
1995-12-07,6.5625
1995-12-08,6.0
1995-12-11,6.0
1995-12-12,6.0
1995-12-13,6.0
1995-12-14,6.0
1995-12-15,5.8125
1995-12-18,5.8125
1995-12-19,6.0
1995-12-20,6.0
1995-12-21,5.625
1995-12-22,6.28125
1995-12-26,5.625
1995-12-27,5.625
1995-12-28,6.09375
1995-12-29,6.09375
1996-01-02,6.09375
1996-01-03,5.625
1996-01-04,5.625
1996-01-05,5.625
1996-01-08,5.625
1996-01-09,5.625
1996-01-10,5.648437976837158
1996-01-11,5.765625
1996-01-12,5.625
1996-01-15,6.0
1996-01-16,5.625
1996-01-17,5.625
1996-01-18,5.625
1996-01-19,5.625
1996-01-22,5.625
1996-01-23,5.625
1996-01-24,5.625
1996-01-25,5.71875
1996-01-26,5.71875
1996-01-29,5.8125
1996-01-30,6.46875
1996-01-31,5.8125
1996-02-01,5.71875
1996-02-02,5.71875
1996-02-05,5.71875
1996-02-06,5.71875
1996-02-07,5.8125
1996-02-08,6.46875
1996-02-09,5.90625
1996-02-12,6.09375
1996-02-13,5.90625
1996-02-14,6.0
1996-02-15,6.046875
1996-02-16,6.046875
1996-02-20,6.046875
1996-02-21,6.046875
1996-02-22,6.0
1996-02-23,6.5625
1996-02-26,6.0
1996-02-27,6.0
1996-02-28,6.0
1996-02-29,6.1875
1996-03-01,6.1875
1996-03-04,6.0
1996-03-05,6.0
1996-03-06,6.0
1996-03-07,6.1875
1996-03-08,6.0
1996-03-11,6.1875
1996-03-12,6.0
1996-03-13,6.140625
1996-03-14,6.09375
1996-03-15,6.46875
