,AMST
2020-09-25,5.21999979019165
2020-09-28,4.789999961853027
2020-09-29,4.5
2020-09-30,4.400000095367432
2020-10-01,4.349999904632568
2020-10-02,4.769999980926514
2020-10-05,4.46999979019165
2020-10-06,4.75
2020-10-07,4.699999809265137
2020-10-08,4.519999980926514
2020-10-09,4.679999828338623
2020-10-12,4.590000152587891
2020-10-13,4.210000038146973
2020-10-14,4.559999942779541
2020-10-15,4.309999942779541
2020-10-16,4.300000190734863
2020-10-19,4.340000152587891
2020-10-20,4.380000114440918
2020-10-21,4.340000152587891
2020-10-22,4.46999979019165
2020-10-23,4.4730000495910645
2020-10-26,4.199999809265137
2020-10-27,4.340000152587891
2020-10-28,4.199999809265137
2020-10-29,4.28000020980835
2020-10-30,4.25
2020-11-02,4.210000038146973
2020-11-03,4.159999847412109
2020-11-04,4.139999866485596
2020-11-05,4.099999904632568
2020-11-06,4.119999885559082
2020-11-09,4.119999885559082
2020-11-10,4.099999904632568
2020-11-11,4.139999866485596
2020-11-12,4.090000152587891
2020-11-13,4.369999885559082
2020-11-16,4.800000190734863
2020-11-17,4.789999961853027
2020-11-18,4.889999866485596
2020-11-19,5.110000133514404
2020-11-20,4.920000076293945
2020-11-23,4.989999771118164
2020-11-24,4.639999866485596
2020-11-25,4.599999904632568
2020-11-27,4.599999904632568
2020-11-30,4.519999980926514
2020-12-01,4.4079999923706055
2020-12-02,4.940000057220459
2020-12-03,4.960000038146973
2020-12-04,5.130000114440918
2020-12-07,4.900000095367432
2020-12-08,5.0
2020-12-09,4.889999866485596
2020-12-10,4.730000019073486
2020-12-11,4.78000020980835
2020-12-14,4.699999809265137
2020-12-15,4.699999809265137
2020-12-16,4.619999885559082
2020-12-17,5.400000095367432
2020-12-18,5.099999904632568
2020-12-21,4.760000228881836
2020-12-22,4.650000095367432
2020-12-23,4.670000076293945
2020-12-24,4.730000019073486
2020-12-28,4.889999866485596
2020-12-29,4.179999828338623
2020-12-30,4.989999771118164
2020-12-31,4.849999904632568
2021-01-04,4.510000228881836
2021-01-05,4.510000228881836
2021-01-06,4.340000152587891
2021-01-07,4.360000133514404
2021-01-08,4.590000152587891
2021-01-11,4.489999771118164
2021-01-12,4.570000171661377
2021-01-13,4.579999923706055
2021-01-14,4.625
2021-01-15,4.510000228881836
2021-01-19,4.5
2021-01-20,4.34499979019165
2021-01-21,4.429999828338623
2021-01-22,4.300000190734863
2021-01-25,4.204999923706055
2021-01-26,4.489999771118164
2021-01-27,4.159999847412109
2021-01-28,4.21999979019165
2021-01-29,4.420000076293945
2021-02-01,5.170000076293945
2021-02-02,5.380000114440918
2021-02-03,5.489999771118164
2021-02-04,6.199999809265137
2021-02-05,6.320000171661377
2021-02-08,5.960000038146973
2021-02-09,5.929999828338623
2021-02-10,5.630000114440918
2021-02-11,5.5
2021-02-12,5.650000095367432
2021-02-16,7.110000133514404
2021-02-17,7.489999771118164
2021-02-18,7.550000190734863
2021-02-19,8.5
2021-02-22,8.039999961853027
2021-02-23,7.019999980926514
2021-02-24,7.070000171661377
2021-02-25,6.599999904632568
2021-02-26,6.110000133514404
2021-03-01,6.039999961853027
2021-03-02,6.449999809265137
2021-03-03,6.400000095367432
2021-03-04,5.199999809265137
2021-03-05,5.869999885559082
2021-03-08,6.409999847412109
2021-03-09,5.590000152587891
2021-03-10,5.730000019073486
2021-03-11,5.559999942779541
2021-03-12,5.679999828338623
2021-03-15,5.599999904632568
2021-03-16,5.449999809265137
2021-03-17,5.260000228881836
2021-03-18,5.159999847412109
2021-03-19,5.050000190734863
2021-03-22,4.880000114440918
2021-03-23,5.0
2021-03-24,5.139999866485596
2021-03-25,4.909999847412109
2021-03-26,4.829999923706055
2021-03-29,4.630000114440918
2021-03-30,4.230000019073486
2021-03-31,4.139999866485596
2021-04-01,4.159999847412109
2021-04-05,4.210000038146973
2021-04-06,4.0
2021-04-07,3.9000000953674316
2021-04-08,3.5999999046325684
2021-04-09,3.630000114440918
2021-04-12,3.2200000286102295
2021-04-13,3.0999999046325684
2021-04-14,3.299999952316284
2021-04-15,3.200000047683716
2021-04-16,2.740000009536743
2021-04-19,2.759999990463257
2021-04-20,2.7100000381469727
2021-04-21,2.930000066757202
2021-04-22,2.9800000190734863
2021-04-23,3.0
2021-04-26,2.950000047683716
2021-04-27,2.940000057220459
2021-04-28,2.890000104904175
2021-04-29,2.5799999237060547
2021-04-30,2.819999933242798
2021-05-03,2.890000104904175
2021-05-04,2.7899999618530273
2021-05-05,2.5999999046325684
2021-05-06,2.609999895095825
2021-05-07,2.700000047683716
2021-05-10,2.5399999618530273
2021-05-11,2.2699999809265137
2021-05-12,2.0999999046325684
2021-05-13,2.190000057220459
2021-05-14,2.380000114440918
