,AMTX
2006-06-27,39.375
2006-06-28,40.0
2006-06-29,40.0
2006-06-30,45.0
2006-07-03,45.0
2006-07-05,43.75
2006-07-06,42.5
2006-07-07,40.0
2006-07-10,41.25
2006-07-11,43.75
2006-07-12,57.5
2006-07-13,56.875
2006-07-14,55.625
2006-07-17,47.5
2006-07-18,50.0
2006-07-19,50.0
2006-07-20,50.0
2006-07-21,55.0
2006-07-24,55.0
2006-07-25,53.150001525878906
2006-07-26,53.25
2006-07-27,54.375
2006-07-28,53.75
2006-07-31,55.0
2006-08-01,57.275001525878906
2006-08-02,60.0
2006-08-03,57.5
2006-08-04,55.0
2006-08-07,53.75
2006-08-08,50.0
2006-08-09,45.0
2006-08-10,47.5
2006-08-11,47.5
2006-08-14,47.5
2006-08-15,45.0
2006-08-16,47.5
2006-08-17,45.0
2006-08-18,50.0
2006-08-21,47.5
2006-08-22,46.25
2006-08-23,45.0
2006-08-24,42.5
2006-08-25,43.125
2006-08-28,41.25
2006-08-29,42.5
2006-08-30,42.5
2006-08-31,50.0
2006-09-01,48.75
2006-09-05,46.25
2006-09-06,47.5
2006-09-07,45.0
2006-09-08,45.0
2006-09-11,43.125
2006-09-12,43.75
2006-09-13,43.125
2006-09-14,41.875
2006-09-15,43.125
2006-09-18,41.25
2006-09-19,41.875
2006-09-20,37.5
2006-09-21,36.25
2006-09-22,38.75
2006-09-25,38.125
2006-09-26,36.875
2006-09-27,42.5
2006-09-28,40.0
2006-09-29,40.625
2006-10-02,38.75
2006-10-03,38.75
2006-10-04,38.75
2006-10-05,38.75
2006-10-06,37.5
2006-10-09,40.375
2006-10-10,37.5
2006-10-11,38.125
2006-10-12,37.5
2006-10-13,38.75
2006-10-16,38.75
2006-10-17,37.5
2006-10-18,37.5
2006-10-19,38.75
2006-10-20,38.75
2006-10-23,36.275001525878906
2006-10-24,40.0
2006-10-25,39.375
2006-10-26,40.0
2006-10-27,40.0
2006-10-30,40.0
2006-10-31,38.75
2006-11-01,38.75
2006-11-02,36.25
2006-11-03,37.5
2006-11-06,37.5
2006-11-07,36.75
2006-11-08,38.75
2006-11-09,37.5
2006-11-10,36.32500076293945
2006-11-13,37.75
2006-11-14,38.75
2006-11-15,33.125
2006-11-16,30.625
