,AMYT
2020-07-08,11.25
2020-07-09,11.0
2020-07-10,11.074999809265137
2020-07-13,11.489999771118164
2020-07-14,11.5
2020-07-15,11.010000228881836
2020-07-16,11.5
2020-07-17,11.0
2020-07-20,11.112000465393066
2020-07-21,11.795000076293945
2020-07-22,11.510000228881836
2020-07-23,11.649999618530273
2020-07-24,11.5
2020-07-27,11.5
2020-07-28,11.390000343322754
2020-07-29,11.329999923706055
2020-07-30,10.800000190734863
2020-07-31,10.989999771118164
2020-08-03,11.25
2020-08-04,11.449999809265137
2020-08-05,11.125
2020-08-06,11.34000015258789
2020-08-07,11.609999656677246
2020-08-10,11.300000190734863
2020-08-11,11.300000190734863
2020-08-12,11.579999923706055
2020-08-13,11.390000343322754
2020-08-14,11.5
2020-08-17,11.239999771118164
2020-08-18,11.239999771118164
2020-08-19,11.329999923706055
2020-08-20,11.399999618530273
2020-08-21,11.40999984741211
2020-08-24,11.40999984741211
2020-08-25,11.579999923706055
2020-08-26,11.359999656677246
2020-08-27,11.149999618530273
2020-08-28,11.300000190734863
2020-08-31,11.010000228881836
2020-09-01,11.079999923706055
2020-09-02,11.0
2020-09-03,11.0
2020-09-04,10.829999923706055
2020-09-08,11.079999923706055
2020-09-09,13.5
2020-09-10,13.0
2020-09-11,11.800000190734863
2020-09-14,12.800000190734863
2020-09-15,13.0
2020-09-16,12.899999618530273
2020-09-17,12.725000381469727
2020-09-18,12.069999694824219
2020-09-21,12.100000381469727
2020-09-22,12.0
2020-09-23,11.25
2020-09-24,11.569999694824219
2020-09-25,11.850000381469727
2020-09-28,12.010000228881836
2020-09-29,12.890000343322754
2020-09-30,12.359999656677246
2020-10-01,12.75
2020-10-02,12.510000228881836
2020-10-05,12.90999984741211
2020-10-06,12.864999771118164
2020-10-07,13.052000045776367
2020-10-08,12.949999809265137
2020-10-09,12.510000228881836
2020-10-12,12.47700023651123
2020-10-13,12.600000381469727
2020-10-14,12.220000267028809
2020-10-15,12.5
2020-10-16,12.460000038146973
2020-10-19,12.75
2020-10-20,12.600000381469727
2020-10-21,12.600000381469727
2020-10-22,12.699999809265137
2020-10-23,12.767999649047852
2020-10-26,12.75
2020-10-27,12.850000381469727
2020-10-28,13.0
2020-10-29,13.0
2020-10-30,12.854999542236328
2020-11-02,13.0
2020-11-03,12.699999809265137
2020-11-04,12.699999809265137
2020-11-05,13.5
2020-11-06,13.017000198364258
2020-11-09,13.5
2020-11-10,13.25
2020-11-11,13.529999732971191
2020-11-12,13.850000381469727
2020-11-13,13.850000381469727
2020-11-16,13.25
2020-11-17,13.319999694824219
2020-11-18,13.550000190734863
2020-11-19,13.210000038146973
2020-11-20,12.989999771118164
2020-11-23,13.0
2020-11-24,12.949999809265137
2020-11-25,12.520000457763672
2020-11-27,12.625
2020-11-30,12.5
2020-12-01,12.489999771118164
2020-12-02,12.5
2020-12-03,13.270000457763672
2020-12-04,13.460000038146973
2020-12-07,13.854999542236328
2020-12-08,13.350000381469727
2020-12-09,13.75
2020-12-10,13.149999618530273
2020-12-11,13.180000305175781
2020-12-14,13.5
2020-12-15,13.25
2020-12-16,13.229999542236328
2020-12-17,13.369999885559082
2020-12-18,13.109000205993652
2020-12-21,13.109000205993652
2020-12-22,13.460000038146973
2020-12-23,13.449999809265137
2020-12-24,13.079999923706055
2020-12-28,13.09000015258789
2020-12-29,13.09000015258789
2020-12-30,13.350000381469727
2020-12-31,14.15999984741211
2021-01-04,13.65999984741211
2021-01-05,13.5
2021-01-06,13.5
2021-01-07,13.579999923706055
2021-01-08,13.300000190734863
2021-01-11,13.449999809265137
2021-01-12,13.399999618530273
2021-01-13,13.399999618530273
2021-01-14,13.550000190734863
2021-01-15,13.5
2021-01-19,13.6899995803833
2021-01-20,14.100000381469727
2021-01-21,13.984999656677246
2021-01-22,13.934000015258789
2021-01-25,13.559000015258789
2021-01-26,13.569999694824219
2021-01-27,13.5
2021-01-28,13.5
2021-01-29,13.369999885559082
2021-02-01,13.369999885559082
2021-02-02,13.369999885559082
2021-02-03,14.010000228881836
2021-02-04,14.050000190734863
2021-02-05,14.020000457763672
2021-02-08,14.020000457763672
2021-02-09,14.25
2021-02-10,14.300000190734863
2021-02-11,14.300000190734863
2021-02-12,14.149999618530273
2021-02-16,14.75
2021-02-17,14.25
2021-02-18,14.399999618530273
2021-02-19,14.510000228881836
2021-02-22,14.545000076293945
2021-02-23,14.524999618530273
2021-02-24,14.729999542236328
2021-02-25,14.413000106811523
2021-02-26,14.739999771118164
2021-03-01,14.430000305175781
2021-03-02,14.489999771118164
2021-03-03,14.449999809265137
2021-03-04,13.960000038146973
2021-03-05,14.020000457763672
2021-03-08,13.890000343322754
2021-03-09,14.109999656677246
2021-03-10,14.25
2021-03-11,14.550000190734863
2021-03-12,14.079999923706055
2021-03-15,14.399999618530273
2021-03-16,14.5
2021-03-17,14.430000305175781
2021-03-18,14.289999961853027
2021-03-19,13.800000190734863
2021-03-22,14.199999809265137
2021-03-23,13.9350004196167
2021-03-24,13.489999771118164
2021-03-25,13.109999656677246
2021-03-26,13.03499984741211
2021-03-29,13.600000381469727
2021-03-30,13.84000015258789
2021-03-31,13.930000305175781
2021-04-01,13.829999923706055
2021-04-05,14.289999961853027
2021-04-06,14.229999542236328
2021-04-07,14.27400016784668
2021-04-08,14.039999961853027
2021-04-09,14.0
2021-04-12,13.854999542236328
2021-04-13,13.720000267028809
2021-04-14,13.890000343322754
2021-04-15,13.989999771118164
2021-04-16,13.75
2021-04-19,13.75
2021-04-20,13.5
2021-04-21,13.300000190734863
2021-04-22,13.550000190734863
2021-04-23,13.170000076293945
2021-04-26,13.5600004196167
2021-04-27,13.454999923706055
2021-04-28,13.5
2021-04-29,13.210000038146973
2021-04-30,13.199999809265137
2021-05-03,13.550000190734863
2021-05-04,12.84000015258789
2021-05-05,11.5
2021-05-06,11.260000228881836
2021-05-07,11.25
2021-05-10,10.984999656677246
2021-05-11,10.899999618530273
2021-05-12,11.390000343322754
2021-05-13,10.960000038146973
2021-05-14,11.069999694824219
