,ANAB
2017-01-26,17.0
2017-01-27,17.530000686645508
2017-01-30,17.15999984741211
2017-01-31,16.950000762939453
2017-02-01,16.6200008392334
2017-02-02,16.899999618530273
2017-02-03,17.530000686645508
2017-02-06,18.84000015258789
2017-02-07,18.540000915527344
2017-02-08,19.809999465942383
2017-02-09,20.149999618530273
2017-02-10,22.520000457763672
2017-02-13,23.170000076293945
2017-02-14,23.59000015258789
2017-02-15,23.5
2017-02-16,23.5
2017-02-17,23.889999389648438
2017-02-21,23.729999542236328
2017-02-22,23.149999618530273
2017-02-23,23.56999969482422
2017-02-24,24.600000381469727
2017-02-27,24.0
2017-02-28,23.850000381469727
2017-03-01,23.06999969482422
2017-03-02,22.780000686645508
2017-03-03,22.65999984741211
2017-03-06,23.0
2017-03-07,23.850000381469727
2017-03-08,22.950000762939453
2017-03-09,23.100000381469727
2017-03-10,23.200000762939453
2017-03-13,25.559999465942383
2017-03-14,26.389999389648438
2017-03-15,25.93000030517578
2017-03-16,26.530000686645508
2017-03-17,26.520000457763672
2017-03-20,27.389999389648438
2017-03-21,27.520000457763672
2017-03-22,27.030000686645508
2017-03-23,27.600000381469727
2017-03-24,27.739999771118164
2017-03-27,27.530000686645508
2017-03-28,27.700000762939453
2017-03-29,27.8799991607666
2017-03-30,28.780000686645508
2017-03-31,27.75
2017-04-03,27.899999618530273
2017-04-04,27.290000915527344
2017-04-05,25.979999542236328
2017-04-06,24.889999389648438
2017-04-07,24.690000534057617
2017-04-10,25.110000610351562
2017-04-11,25.0
2017-04-12,25.3799991607666
2017-04-13,24.739999771118164
2017-04-17,24.950000762939453
2017-04-18,24.280000686645508
2017-04-19,24.639999389648438
2017-04-20,24.670000076293945
2017-04-21,24.520000457763672
2017-04-24,24.780000686645508
2017-04-25,25.389999389648438
2017-04-26,26.799999237060547
2017-04-27,26.950000762939453
2017-04-28,26.68000030517578
2017-05-01,26.219999313354492
2017-05-02,26.239999771118164
2017-05-03,26.100000381469727
2017-05-04,25.790000915527344
2017-05-05,26.139999389648438
2017-05-08,26.079999923706055
2017-05-09,25.809999465942383
2017-05-10,25.639999389648438
2017-05-11,26.68000030517578
2017-05-12,26.290000915527344
2017-05-15,26.389999389648438
2017-05-16,27.549999237060547
2017-05-17,26.739999771118164
2017-05-18,26.639999389648438
2017-05-19,26.899999618530273
2017-05-22,26.90999984741211
2017-05-23,27.290000915527344
2017-05-24,26.420000076293945
2017-05-25,26.700000762939453
2017-05-26,25.700000762939453
2017-05-30,25.989999771118164
2017-05-31,25.59000015258789
2017-06-01,24.81999969482422
2017-06-02,25.059999465942383
2017-06-05,22.43000030517578
2017-06-06,23.010000228881836
2017-06-07,19.290000915527344
2017-06-08,22.649999618530273
2017-06-09,22.450000762939453
2017-06-12,22.049999237060547
2017-06-13,22.329999923706055
2017-06-14,23.139999389648438
2017-06-15,23.399999618530273
2017-06-16,23.719999313354492
2017-06-19,24.139999389648438
2017-06-20,24.139999389648438
2017-06-21,23.399999618530273
2017-06-22,24.049999237060547
2017-06-23,24.889999389648438
2017-06-26,25.190000534057617
2017-06-27,24.809999465942383
2017-06-28,24.969999313354492
2017-06-29,24.809999465942383
2017-06-30,23.93000030517578
2017-07-03,25.010000228881836
2017-07-05,24.100000381469727
2017-07-06,24.200000762939453
2017-07-07,24.280000686645508
2017-07-10,24.260000228881836
2017-07-11,24.709999084472656
2017-07-12,25.43000030517578
2017-07-13,26.149999618530273
2017-07-14,26.260000228881836
2017-07-17,27.829999923706055
2017-07-18,26.90999984741211
2017-07-19,27.229999542236328
2017-07-20,27.100000381469727
2017-07-21,27.260000228881836
2017-07-24,30.549999237060547
2017-07-25,27.899999618530273
2017-07-26,25.770000457763672
2017-07-27,25.530000686645508
2017-07-28,24.5
2017-07-31,24.329999923706055
2017-08-01,23.93000030517578
2017-08-02,23.270000457763672
2017-08-03,21.610000610351562
2017-08-04,21.969999313354492
2017-08-07,22.780000686645508
2017-08-08,21.530000686645508
2017-08-09,21.809999465942383
2017-08-10,21.479999542236328
2017-08-11,21.989999771118164
2017-08-14,21.6299991607666
2017-08-15,20.68000030517578
2017-08-16,21.260000228881836
2017-08-17,21.290000915527344
2017-08-18,22.059999465942383
2017-08-21,21.190000534057617
2017-08-22,21.450000762939453
2017-08-23,21.1299991607666
2017-08-24,22.280000686645508
2017-08-25,23.850000381469727
2017-08-28,24.670000076293945
2017-08-29,25.18000030517578
2017-08-30,25.770000457763672
2017-08-31,27.969999313354492
2017-09-01,29.579999923706055
2017-09-05,29.420000076293945
2017-09-06,30.559999465942383
2017-09-07,31.68000030517578
2017-09-08,31.84000015258789
2017-09-11,32.400001525878906
2017-09-12,32.09000015258789
2017-09-13,32.59000015258789
2017-09-14,31.450000762939453
2017-09-15,32.06999969482422
2017-09-18,35.79999923706055
2017-09-19,34.779998779296875
2017-09-20,34.650001525878906
2017-09-21,34.529998779296875
2017-09-22,34.099998474121094
2017-09-25,34.0099983215332
2017-09-26,33.7400016784668
2017-09-27,34.380001068115234
2017-09-28,34.709999084472656
2017-09-29,34.95000076293945
2017-10-02,35.540000915527344
2017-10-03,35.29999923706055
2017-10-04,35.209999084472656
2017-10-05,35.95000076293945
2017-10-06,35.68000030517578
2017-10-09,35.0
2017-10-10,70.41000366210938
2017-10-11,69.94000244140625
2017-10-12,70.80000305175781
2017-10-13,69.55000305175781
2017-10-16,66.72000122070312
2017-10-17,65.5199966430664
2017-10-18,63.439998626708984
2017-10-19,66.73999786376953
2017-10-20,64.66999816894531
2017-10-23,64.5199966430664
2017-10-24,64.83999633789062
2017-10-25,66.56999969482422
2017-10-26,67.80999755859375
2017-10-27,64.72000122070312
2017-10-30,65.48999786376953
2017-10-31,66.02999877929688
2017-11-01,64.94999694824219
2017-11-02,66.0
2017-11-03,64.97000122070312
2017-11-06,64.7699966430664
2017-11-07,65.36000061035156
2017-11-08,65.58999633789062
2017-11-09,67.0999984741211
2017-11-10,66.5
2017-11-13,71.2300033569336
2017-11-14,71.08000183105469
