,APEN
2007-05-01,889.3499755859375
2007-05-02,857.010009765625
2007-05-03,835.4500122070312
2007-05-04,916.2999877929688
2007-05-07,970.2000122070312
2007-05-08,1078.0
2007-05-09,1051.050048828125
2007-05-10,1078.0
2007-05-11,1034.8800048828125
2007-05-14,1024.0999755859375
2007-05-15,997.1500244140625
2007-05-16,975.5900268554688
2007-05-17,1018.7100219726562
2007-05-18,1018.7100219726562
2007-05-21,1024.0999755859375
2007-05-22,997.1500244140625
2007-05-23,997.1500244140625
2007-05-24,1013.3200073242188
2007-05-25,1024.0999755859375
2007-05-29,997.1500244140625
2007-05-30,1007.9299926757812
2007-05-31,916.2999877929688
2007-06-01,991.760009765625
2007-06-04,970.2000122070312
2007-06-05,916.2999877929688
2007-06-06,927.0800170898438
2007-06-07,927.0800170898438
2007-06-08,927.0800170898438
2007-06-11,927.0800170898438
2007-06-12,905.52001953125
2007-06-13,970.2000122070312
2007-06-14,970.2000122070312
2007-06-15,943.25
2007-06-18,889.3499755859375
2007-06-19,873.1799926757812
2007-06-20,867.7899780273438
2007-06-21,867.7899780273438
2007-06-22,878.5700073242188
2007-06-25,878.5700073242188
2007-06-26,878.5700073242188
2007-06-27,797.719970703125
2007-06-28,754.5999755859375
2007-06-29,727.6500244140625
2007-07-02,727.6500244140625
2007-07-03,727.6500244140625
2007-07-05,689.9199829101562
2007-07-06,727.6500244140625
2007-07-09,754.5999755859375
2007-07-10,754.5999755859375
2007-07-11,889.3499755859375
2007-07-12,883.9600219726562
2007-07-13,889.3499755859375
2007-07-16,937.8599853515625
2007-07-17,943.25
2007-07-18,1024.0999755859375
2007-07-19,1024.0999755859375
2007-07-20,943.25
2007-07-23,1018.7100219726562
2007-07-24,980.97998046875
2007-07-25,916.2999877929688
2007-07-26,910.9099731445312
2007-07-27,889.3499755859375
2007-07-30,889.3499755859375
2007-07-31,970.2000122070312
2007-08-01,943.25
2007-08-02,943.25
2007-08-03,970.2000122070312
2007-08-06,970.2000122070312
2007-08-07,1007.9299926757812
2007-08-08,991.760009765625
2007-08-09,997.1500244140625
2007-08-10,997.1500244140625
2007-08-13,997.1500244140625
2007-08-14,980.97998046875
2007-08-15,970.2000122070312
2007-08-16,808.5
2007-08-17,808.5
2007-08-20,808.5
2007-08-21,824.6699829101562
2007-08-22,835.4500122070312
2007-08-23,835.4500122070312
2007-08-24,943.25
2007-08-27,916.2999877929688
2007-08-28,916.2999877929688
2007-08-29,916.2999877929688
2007-08-30,900.1300048828125
2007-08-31,943.25
2007-09-04,943.25
2007-09-05,921.6900024414062
2007-09-06,889.3499755859375
2007-09-07,889.3499755859375
2007-09-10,916.2999877929688
2007-09-11,835.4500122070312
2007-09-12,862.4000244140625
2007-09-13,862.4000244140625
2007-09-14,867.7899780273438
2007-09-17,862.4000244140625
2007-09-18,916.2999877929688
2007-09-19,927.0800170898438
2007-09-20,927.0800170898438
2007-09-21,937.8599853515625
2007-09-24,964.8099975585938
2007-09-25,954.030029296875
2007-09-26,964.8099975585938
2007-09-27,1007.9299926757812
2007-09-28,1051.050048828125
2007-10-01,1040.27001953125
2007-10-02,1083.3900146484375
2007-10-03,1126.510009765625
2007-10-04,1131.9000244140625
2007-10-05,1104.949951171875
2007-10-08,1072.6099853515625
2007-10-09,1158.8499755859375
2007-10-10,1207.3599853515625
2007-10-11,1024.0999755859375
2007-10-12,1131.9000244140625
2007-10-15,1083.3900146484375
2007-10-16,1104.949951171875
2007-10-17,1212.75
2007-10-18,1180.4100341796875
2007-10-19,1239.699951171875
2007-10-22,1158.8499755859375
2007-10-23,1239.699951171875
2007-10-24,1266.6500244140625
2007-10-25,1239.699951171875
2007-10-26,1266.6500244140625
2007-10-29,1266.6500244140625
2007-10-30,1272.0400390625
2007-10-31,1266.6500244140625
2007-11-01,1298.989990234375
2007-11-02,1320.550048828125
2007-11-05,1309.77001953125
2007-11-06,1320.550048828125
2007-11-07,1266.6500244140625
2007-11-08,1315.1600341796875
2007-11-09,1320.550048828125
2007-11-12,1331.3299560546875
2007-11-13,1320.550048828125
2007-11-14,1363.6700439453125
2007-11-15,1369.06005859375
2007-11-16,1347.5
2007-11-19,1320.550048828125
2007-11-20,1320.550048828125
2007-11-21,1293.5999755859375
2007-11-23,1293.5999755859375
2007-11-26,1164.239990234375
2007-11-27,1239.699951171875
2007-11-28,1239.699951171875
2007-11-29,1239.699951171875
2007-11-30,1239.699951171875
2007-12-03,1212.75
2007-12-04,1239.699951171875
2007-12-05,1234.31005859375
2007-12-06,1250.47998046875
2007-12-07,1245.0899658203125
2007-12-10,1239.699951171875
2007-12-11,1261.260009765625
2007-12-12,1212.75
2007-12-13,1239.699951171875
2007-12-14,1212.75
2007-12-17,1196.5799560546875
2007-12-18,1191.18994140625
2007-12-19,1239.699951171875
2007-12-20,1185.800048828125
2007-12-21,1212.75
2007-12-24,1261.260009765625
2007-12-26,1261.260009765625
2007-12-27,1239.699951171875
2007-12-28,1239.699951171875
2007-12-31,1250.47998046875
2008-01-02,1212.75
2008-01-03,1239.699951171875
2008-01-04,1234.31005859375
2008-01-07,1239.699951171875
2008-01-08,1212.75
2008-01-09,1212.75
2008-01-10,1191.18994140625
2008-01-11,1212.75
2008-01-14,1212.75
2008-01-15,1239.699951171875
2008-01-16,1239.699951171875
2008-01-17,1239.699951171875
2008-01-18,1212.75
2008-01-22,1158.8499755859375
2008-01-23,1153.4599609375
2008-01-24,1153.4599609375
2008-01-25,1212.75
2008-01-28,1212.75
2008-01-29,1196.5799560546875
2008-01-30,1185.800048828125
2008-01-31,1185.800048828125
2008-02-01,1104.949951171875
2008-02-04,1131.9000244140625
2008-02-05,1104.949951171875
2008-02-06,1158.8499755859375
2008-02-07,1175.02001953125
2008-02-08,1131.9000244140625
2008-02-11,1131.9000244140625
