,APM
2018-12-18,14.350000381469727
2018-12-19,13.510000228881836
2018-12-20,15.300000190734863
2018-12-21,15.149999618530273
2018-12-24,15.697999954223633
2018-12-26,15.680000305175781
2018-12-27,15.6899995803833
2018-12-28,15.350000381469727
2018-12-31,15.180000305175781
2019-01-02,15.640000343322754
2019-01-03,15.670000076293945
2019-01-04,15.670000076293945
2019-01-07,15.649999618530273
2019-01-08,15.0
2019-01-09,14.699999809265137
2019-01-10,15.0
2019-01-11,14.819999694824219
2019-01-14,14.649999618530273
2019-01-15,15.15999984741211
2019-01-16,15.180000305175781
2019-01-17,15.180000305175781
2019-01-18,14.460000038146973
2019-01-22,14.0
2019-01-23,14.869999885559082
2019-01-24,14.600000381469727
2019-01-25,14.239999771118164
2019-01-28,13.949999809265137
2019-01-29,13.960000038146973
2019-01-30,14.25
2019-01-31,15.1899995803833
2019-02-01,15.210000038146973
2019-02-04,14.899999618530273
2019-02-05,15.279999732971191
2019-02-06,15.199999809265137
2019-02-07,15.130000114440918
2019-02-08,14.920000076293945
2019-02-11,14.5
2019-02-12,14.979999542236328
2019-02-13,14.9399995803833
2019-02-14,14.829999923706055
2019-02-15,14.899999618530273
2019-02-19,14.829999923706055
2019-02-20,14.800000190734863
2019-02-21,14.649999618530273
2019-02-22,14.779999732971191
2019-02-25,14.720000267028809
2019-02-26,14.720000267028809
2019-02-27,14.729999542236328
2019-02-28,14.75
2019-03-01,15.010000228881836
2019-03-04,14.75
2019-03-05,14.75
2019-03-06,14.699999809265137
2019-03-07,14.380000114440918
2019-03-08,14.319999694824219
2019-03-11,13.920000076293945
2019-03-12,13.640000343322754
2019-03-13,13.319999694824219
2019-03-14,13.100000381469727
2019-03-15,12.90999984741211
2019-03-18,13.0600004196167
2019-03-19,13.057999610900879
2019-03-20,13.199999809265137
2019-03-21,13.140000343322754
2019-03-22,13.170000076293945
2019-03-25,13.100000381469727
2019-03-26,13.220000267028809
2019-03-27,13.25
2019-03-28,13.270000457763672
2019-03-29,13.460000038146973
2019-04-01,13.5
2019-04-02,13.390000343322754
2019-04-03,13.859999656677246
2019-04-04,13.819999694824219
2019-04-05,13.75
2019-04-08,13.699999809265137
2019-04-09,13.619999885559082
2019-04-10,13.670000076293945
2019-04-11,13.5
2019-04-12,13.380000114440918
2019-04-15,13.300000190734863
2019-04-16,13.539999961853027
2019-04-17,13.5600004196167
2019-04-18,13.399999618530273
2019-04-22,13.40999984741211
2019-04-23,13.449999809265137
2019-04-24,13.789999961853027
2019-04-25,14.479999542236328
2019-04-26,13.75
2019-04-29,13.979999542236328
2019-04-30,14.279999732971191
2019-05-01,14.848999977111816
2019-05-02,15.90999984741211
2019-05-03,17.25
2019-05-06,17.850000381469727
2019-05-07,19.770000457763672
2019-05-08,21.190000534057617
2019-05-09,21.0
2019-05-10,21.510000228881836
2019-05-13,20.6200008392334
2019-05-14,21.510000228881836
2019-05-15,22.010000228881836
2019-05-16,23.3799991607666
2019-05-17,24.739999771118164
2019-05-20,24.010000228881836
2019-05-21,24.030000686645508
2019-05-22,24.700000762939453
2019-05-23,26.5
2019-05-24,28.56999969482422
2019-05-28,29.5
2019-05-29,29.100000381469727
2019-05-30,29.30900001525879
2019-05-31,31.597999572753906
2019-06-03,32.310001373291016
2019-06-04,32.54999923706055
2019-06-05,32.29999923706055
2019-06-06,31.600000381469727
2019-06-07,32.279998779296875
2019-06-10,29.709999084472656
2019-06-11,29.790000915527344
2019-06-12,24.299999237060547
2019-06-13,22.950000762939453
2019-06-14,22.420000076293945
2019-06-17,23.799999237060547
2019-06-18,23.989999771118164
2019-06-19,25.562000274658203
2019-06-20,25.697999954223633
2019-06-21,25.700000762939453
2019-06-24,26.100000381469727
2019-06-25,26.299999237060547
2019-06-26,26.450000762939453
2019-06-27,25.5
2019-06-28,25.1200008392334
2019-07-01,24.0
2019-07-02,24.489999771118164
2019-07-03,23.780000686645508
2019-07-05,23.75
2019-07-08,23.059999465942383
2019-07-09,23.75
2019-07-10,22.940000534057617
2019-07-11,23.049999237060547
2019-07-12,23.200000762939453
2019-07-15,23.219999313354492
2019-07-16,22.489999771118164
2019-07-17,23.399999618530273
2019-07-18,22.399999618530273
2019-07-19,21.950000762939453
2019-07-22,22.350000381469727
2019-07-23,21.947999954223633
2019-07-24,21.920000076293945
