,ARAV
2014-03-21,188.22000122070312
2014-03-24,177.83999633789062
2014-03-25,186.72000122070312
2014-03-26,185.22000122070312
2014-03-27,180.05999755859375
2014-03-28,179.63999938964844
2014-03-31,180.3000030517578
2014-04-01,179.75999450683594
2014-04-02,180.17999267578125
2014-04-03,171.4199981689453
2014-04-04,164.16000366210938
2014-04-07,167.75999450683594
2014-04-08,166.44000244140625
2014-04-09,168.0
2014-04-10,162.72000122070312
2014-04-11,156.05999755859375
2014-04-14,147.36000061035156
2014-04-15,156.0
2014-04-16,160.13999938964844
2014-04-17,152.16000366210938
2014-04-21,160.1999969482422
2014-04-22,169.97999572753906
2014-04-23,178.25999450683594
2014-04-24,179.33999633789062
2014-04-25,179.6999969482422
2014-04-28,178.32000732421875
2014-04-29,179.10000610351562
2014-04-30,183.1199951171875
2014-05-01,183.77999877929688
2014-05-02,176.63999938964844
2014-05-05,172.5
2014-05-06,167.10000610351562
2014-05-07,174.36000061035156
2014-05-08,171.1199951171875
2014-05-09,168.1199951171875
2014-05-12,166.74000549316406
2014-05-13,163.67999267578125
2014-05-14,170.94000244140625
2014-05-15,164.16000366210938
2014-05-16,165.17999267578125
2014-05-19,164.39999389648438
2014-05-20,166.8000030517578
2014-05-21,156.05999755859375
2014-05-22,167.8800048828125
2014-05-23,166.13999938964844
2014-05-27,167.0399932861328
2014-05-28,163.74000549316406
2014-05-29,169.0800018310547
2014-05-30,179.33999633789062
2014-06-02,181.0800018310547
2014-06-03,180.83999633789062
2014-06-04,179.63999938964844
2014-06-05,178.86000061035156
2014-06-06,179.39999389648438
2014-06-09,193.5
2014-06-10,200.63999938964844
2014-06-11,191.75999450683594
2014-06-12,191.27999877929688
2014-06-13,204.0
2014-06-16,188.94000244140625
2014-06-17,180.0
2014-06-18,169.5
2014-06-19,173.10000610351562
2014-06-20,178.5
2014-06-23,173.22000122070312
2014-06-24,169.13999938964844
2014-06-25,167.75999450683594
2014-06-26,167.82000732421875
2014-06-27,171.36000061035156
2014-06-30,168.24000549316406
2014-07-01,172.0800018310547
2014-07-02,174.05999755859375
2014-07-03,172.3800048828125
2014-07-07,166.74000549316406
2014-07-08,167.6999969482422
2014-07-09,167.4600067138672
2014-07-10,162.36000061035156
2014-07-11,164.27999877929688
2014-07-14,169.0800018310547
2014-07-15,158.5800018310547
2014-07-16,159.4199981689453
2014-07-17,145.3800048828125
2014-07-18,139.9199981689453
2014-07-21,133.67999267578125
2014-07-22,142.74000549316406
2014-07-23,140.6999969482422
2014-07-24,132.17999267578125
2014-07-25,132.1199951171875
2014-07-28,131.63999938964844
2014-07-29,127.5
2014-07-30,128.94000244140625
2014-07-31,122.4000015258789
2014-08-01,126.12000274658203
2014-08-04,128.6999969482422
2014-08-05,123.5999984741211
2014-08-06,122.5199966430664
2014-08-07,120.36000061035156
2014-08-08,122.63999938964844
2014-08-11,123.36000061035156
2014-08-12,118.5
2014-08-13,119.04000091552734
2014-08-14,114.5999984741211
2014-08-15,116.27999877929688
2014-08-18,122.0999984741211
2014-08-19,118.55999755859375
2014-08-20,120.0
2014-08-21,118.80000305175781
2014-08-22,116.87999725341797
2014-08-25,119.45999908447266
2014-08-26,131.22000122070312
2014-08-27,136.02000427246094
2014-08-28,135.66000366210938
2014-08-29,138.0
2014-09-02,139.3800048828125
2014-09-03,131.75999450683594
2014-09-04,125.5199966430664
2014-09-05,123.05999755859375
2014-09-08,126.05999755859375
2014-09-09,119.5199966430664
2014-09-10,120.66000366210938
2014-09-11,119.81999969482422
2014-09-12,117.95999908447266
2014-09-15,115.68000030517578
2014-09-16,118.62000274658203
2014-09-17,128.8800048828125
2014-09-18,129.89999389648438
2014-09-19,123.0
2014-09-22,119.81999969482422
2014-09-23,120.41999816894531
2014-09-24,121.31999969482422
2014-09-25,120.5999984741211
2014-09-26,122.69999694824219
2014-09-29,118.37999725341797
2014-09-30,113.94000244140625
2014-10-01,114.18000030517578
2014-10-02,116.22000122070312
2014-10-03,118.5
2014-10-06,120.95999908447266
2014-10-07,115.55999755859375
2014-10-08,119.33999633789062
2014-10-09,118.80000305175781
2014-10-10,118.73999786376953
2014-10-13,121.68000030517578
2014-10-14,126.4800033569336
2014-10-15,126.5999984741211
2014-10-16,120.95999908447266
2014-10-17,123.5999984741211
2014-10-20,121.80000305175781
2014-10-21,117.66000366210938
2014-10-22,115.9800033569336
2014-10-23,117.0
2014-10-24,116.94000244140625
2014-10-27,116.94000244140625
2014-10-28,116.94000244140625
2014-10-29,115.13999938964844
2014-10-30,120.0
2014-10-31,119.45999908447266
2014-11-03,112.37999725341797
2014-11-04,111.9000015258789
2014-11-05,116.58000183105469
2014-11-06,116.04000091552734
2014-11-07,116.87999725341797
2014-11-10,115.80000305175781
2014-11-11,116.87999725341797
2014-11-12,117.18000030517578
2014-11-13,115.0199966430664
2014-11-14,111.23999786376953
2014-11-17,112.73999786376953
2014-11-18,116.94000244140625
2014-11-19,109.80000305175781
2014-11-20,110.45999908447266
2014-11-21,107.5199966430664
2014-11-24,109.08000183105469
2014-11-25,110.0999984741211
2014-11-26,109.68000030517578
2014-11-28,108.12000274658203
2014-12-01,109.86000061035156
2014-12-02,110.4000015258789
2014-12-03,105.77999877929688
2014-12-04,101.87999725341797
2014-12-05,104.69999694824219
2014-12-08,111.30000305175781
2014-12-09,111.95999908447266
2014-12-10,111.4800033569336
2014-12-11,110.69999694824219
2014-12-12,112.13999938964844
2014-12-15,114.36000061035156
2014-12-16,115.0199966430664
2014-12-17,115.19999694824219
2014-12-18,114.69000244140625
2014-12-19,119.33999633789062
2014-12-22,138.0
2014-12-23,134.16000366210938
2014-12-24,133.5
2014-12-26,133.44000244140625
2014-12-29,132.0
2014-12-30,127.19999694824219
2014-12-31,134.6999969482422
2015-01-02,133.97999572753906
2015-01-05,140.75999450683594
2015-01-06,131.52000427246094
2015-01-07,131.5500030517578
2015-01-08,134.27999877929688
2015-01-09,139.25999450683594
2015-01-12,137.5800018310547
2015-01-13,134.8800048828125
2015-01-14,124.31999969482422
2015-01-15,114.12000274658203
2015-01-16,113.94000244140625
2015-01-20,115.9800033569336
2015-01-21,103.73999786376953
2015-01-22,105.36000061035156
2015-01-23,103.80000305175781
2015-01-26,109.31999969482422
2015-01-27,111.05999755859375
2015-01-28,109.9800033569336
2015-01-29,111.12000274658203
2015-01-30,106.37999725341797
2015-02-02,104.63999938964844
2015-02-03,108.83999633789062
2015-02-04,102.4800033569336
2015-02-05,105.72000122070312
2015-02-06,103.91999816894531
2015-02-09,102.72000122070312
2015-02-10,106.19999694824219
2015-02-11,111.23999786376953
2015-02-12,111.54000091552734
2015-02-13,108.23999786376953
2015-02-17,104.5199966430664
2015-02-18,107.81999969482422
2015-02-19,112.44000244140625
2015-02-20,113.0999984741211
2015-02-23,116.81999969482422
2015-02-24,119.63999938964844
2015-02-25,123.30000305175781
2015-02-26,122.33999633789062
2015-02-27,118.86000061035156
2015-03-02,121.5
2015-03-03,120.4800033569336
2015-03-04,128.39999389648438
2015-03-05,128.5800018310547
2015-03-06,122.58000183105469
2015-03-09,119.76000213623047
2015-03-10,119.81999969482422
2015-03-11,119.76000213623047
2015-03-12,119.87999725341797
2015-03-13,118.37999725341797
2015-03-16,117.30000305175781
2015-03-17,119.4000015258789
2015-03-18,118.80000305175781
2015-03-19,119.94000244140625
2015-03-20,122.0999984741211
2015-03-23,120.41999816894531
2015-03-24,124.44000244140625
2015-03-25,119.69999694824219
2015-03-26,119.5199966430664
2015-03-27,115.68000030517578
2015-03-30,113.58000183105469
2015-03-31,110.22000122070312
2015-04-01,109.19999694824219
2015-04-02,107.0999984741211
2015-04-06,104.81999969482422
2015-04-07,109.37999725341797
2015-04-08,109.91999816894531
2015-04-09,108.83999633789062
2015-04-10,109.13999938964844
2015-04-13,117.23999786376953
2015-04-14,114.9000015258789
2015-04-15,119.4000015258789
2015-04-16,116.69999694824219
2015-04-17,114.05999755859375
2015-04-20,112.80000305175781
2015-04-21,114.72000122070312
2015-04-22,109.86000061035156
2015-04-23,110.33999633789062
2015-04-24,111.36000061035156
2015-04-27,102.83999633789062
2015-04-28,106.91999816894531
2015-04-29,104.27999877929688
2015-04-30,102.4800033569336
2015-05-01,104.94000244140625
2015-05-04,103.86000061035156
2015-05-05,103.31999969482422
2015-05-06,103.73999786376953
2015-05-07,92.76000213623047
2015-05-08,93.0
2015-05-11,91.13999938964844
2015-05-12,90.95999908447266
