,ARCB
1992-05-13,14.0
1992-05-14,14.0
1992-05-15,14.5
1992-05-18,14.5
1992-05-19,14.25
1992-05-20,14.5
1992-05-21,14.625
1992-05-22,14.5
1992-05-26,14.5
1992-05-27,14.5
1992-05-28,14.125
1992-05-29,14.375
1992-06-01,14.5
1992-06-02,14.25
1992-06-03,13.75
1992-06-04,13.875
1992-06-05,14.125
1992-06-08,14.875
1992-06-09,14.0
1992-06-10,13.875
1992-06-11,13.5
1992-06-12,13.375
1992-06-15,13.25
1992-06-16,12.0
1992-06-17,12.0
1992-06-18,11.875
1992-06-19,10.625
1992-06-22,10.5
1992-06-23,10.25
1992-06-24,10.0
1992-06-25,9.375
1992-06-26,10.0
1992-06-29,11.0
1992-06-30,11.625
1992-07-01,12.0
1992-07-02,11.75
1992-07-06,11.125
1992-07-07,10.75
1992-07-08,10.5
1992-07-09,11.0
1992-07-10,11.5
1992-07-13,11.625
1992-07-14,11.5
1992-07-15,12.0
1992-07-16,11.625
1992-07-17,11.25
1992-07-20,11.125
1992-07-21,11.0
1992-07-22,10.875
1992-07-23,11.0
1992-07-24,10.75
1992-07-27,11.0
1992-07-28,11.0
1992-07-29,11.375
1992-07-30,11.5
1992-07-31,11.75
1992-08-03,11.5
1992-08-04,11.5
1992-08-05,11.5
1992-08-06,11.875
1992-08-07,11.875
1992-08-10,11.625
1992-08-11,11.875
1992-08-12,11.5
1992-08-13,11.75
1992-08-14,11.5
1992-08-17,11.25
1992-08-18,11.625
1992-08-19,11.25
1992-08-20,11.0
1992-08-21,10.75
1992-08-24,10.75
1992-08-25,10.625
1992-08-26,10.75
1992-08-27,11.0
1992-08-28,11.0
1992-08-31,10.875
1992-09-01,11.125
1992-09-02,11.125
1992-09-03,10.875
1992-09-04,10.875
1992-09-08,10.875
1992-09-09,10.625
1992-09-10,10.5
1992-09-11,10.5
1992-09-14,10.375
1992-09-15,11.0
1992-09-16,11.0
1992-09-17,11.625
1992-09-18,11.0
1992-09-21,11.0
1992-09-22,10.75
1992-09-23,10.625
1992-09-24,11.125
1992-09-25,10.875
1992-09-28,11.0
1992-09-29,11.375
1992-09-30,11.125
1992-10-01,10.875
1992-10-02,11.0
1992-10-05,10.875
1992-10-06,10.625
1992-10-07,10.625
1992-10-08,10.75
1992-10-09,10.625
1992-10-12,10.75
1992-10-13,10.5
1992-10-14,10.5
1992-10-15,10.75
1992-10-16,10.875
1992-10-19,10.5
1992-10-20,11.125
1992-10-21,11.875
1992-10-22,12.375
1992-10-23,13.125
1992-10-26,13.375
1992-10-27,13.25
1992-10-28,12.75
1992-10-29,12.875
1992-10-30,12.75
1992-11-02,13.625
1992-11-03,13.625
1992-11-04,13.875
1992-11-05,13.875
1992-11-06,13.5
1992-11-09,13.375
1992-11-10,13.625
1992-11-11,13.875
1992-11-12,14.0
1992-11-13,15.125
1992-11-16,14.5
1992-11-17,14.75
1992-11-18,14.75
1992-11-19,14.625
1992-11-20,15.0
1992-11-23,15.125
1992-11-24,15.375
1992-11-25,16.0
1992-11-27,16.5
1992-11-30,16.5
1992-12-01,17.0
1992-12-02,16.0
1992-12-03,15.875
1992-12-04,15.875
1992-12-07,15.625
1992-12-08,15.875
1992-12-09,15.375
1992-12-10,15.625
1992-12-11,14.875
1992-12-14,14.875
1992-12-15,14.625
1992-12-16,14.625
1992-12-17,14.75
1992-12-18,14.625
1992-12-21,14.625
1992-12-22,14.625
1992-12-23,14.625
1992-12-24,14.625
1992-12-28,14.625
1992-12-29,15.0
1992-12-30,14.875
1992-12-31,15.125
1993-01-04,15.0
1993-01-05,15.25
1993-01-06,14.875
1993-01-07,15.0
1993-01-08,14.75
1993-01-11,15.0
1993-01-12,14.875
1993-01-13,15.0
1993-01-14,16.25
1993-01-15,16.25
1993-01-18,15.75
1993-01-19,15.5
1993-01-20,15.625
1993-01-21,16.5
1993-01-22,16.75
1993-01-25,16.625
1993-01-26,16.125
1993-01-27,15.75
1993-01-28,15.625
1993-01-29,15.625
1993-02-01,16.0
1993-02-02,16.0
1993-02-03,16.125
1993-02-04,16.0
1993-02-05,15.75
1993-02-08,15.5
1993-02-09,15.375
1993-02-10,15.625
1993-02-11,15.25
1993-02-12,15.5
1993-02-16,14.875
1993-02-17,14.75
1993-02-18,14.5
1993-02-19,14.875
1993-02-22,14.0
1993-02-23,13.375
1993-02-24,13.625
1993-02-25,14.25
1993-02-26,14.125
1993-03-01,14.125
1993-03-02,13.75
1993-03-03,13.5
1993-03-04,12.875
1993-03-05,12.375
1993-03-08,12.375
1993-03-09,12.125
1993-03-10,12.375
1993-03-11,12.5
1993-03-12,13.0
1993-03-15,13.75
1993-03-16,13.75
1993-03-17,14.0
1993-03-18,14.0
1993-03-19,13.75
1993-03-22,13.75
1993-03-23,13.5
1993-03-24,13.5
1993-03-25,13.125
1993-03-26,13.0
1993-03-29,13.125
1993-03-30,12.875
1993-03-31,12.875
1993-04-01,12.75
1993-04-02,12.0
1993-04-05,12.5
1993-04-06,13.0
1993-04-07,12.75
1993-04-08,12.5
1993-04-12,12.5
1993-04-13,12.375
1993-04-14,11.75
1993-04-15,12.0
1993-04-16,11.625
1993-04-19,11.125
1993-04-20,10.25
1993-04-21,10.125
1993-04-22,10.25
1993-04-23,10.375
1993-04-26,9.75
1993-04-27,9.625
1993-04-28,9.625
1993-04-29,9.625
1993-04-30,9.625
1993-05-03,9.5
1993-05-04,9.375
1993-05-05,9.375
1993-05-06,9.625
1993-05-07,10.25
1993-05-10,10.25
1993-05-11,10.25
1993-05-12,10.125
1993-05-13,9.625
1993-05-14,9.5
1993-05-17,9.625
1993-05-18,9.5
1993-05-19,9.375
1993-05-20,9.375
1993-05-21,9.375
1993-05-24,9.375
1993-05-25,9.375
1993-05-26,9.25
1993-05-27,9.25
1993-05-28,9.125
1993-06-01,9.25
1993-06-02,9.25
1993-06-03,8.875
1993-06-04,8.625
1993-06-07,8.625
1993-06-08,8.625
1993-06-09,8.75
1993-06-10,8.875
1993-06-11,9.0
1993-06-14,9.0
1993-06-15,8.75
1993-06-16,8.5
1993-06-17,8.625
1993-06-18,8.625
1993-06-21,8.625
1993-06-22,8.5
1993-06-23,8.375
1993-06-24,8.375
1993-06-25,8.5
1993-06-28,8.75
1993-06-29,9.0
1993-06-30,8.75
1993-07-01,8.875
1993-07-02,9.0
1993-07-06,9.0
1993-07-07,8.875
1993-07-08,8.875
1993-07-09,8.75
1993-07-12,9.0
1993-07-13,9.0
1993-07-14,9.125
1993-07-15,9.125
1993-07-16,9.125
1993-07-19,9.0
1993-07-20,8.875
1993-07-21,8.75
1993-07-22,8.625
1993-07-23,8.5
1993-07-26,8.625
1993-07-27,8.5
1993-07-28,8.625
1993-07-29,8.5
1993-07-30,8.75
1993-08-02,8.75
1993-08-03,8.875
1993-08-04,8.75
1993-08-05,8.75
1993-08-06,8.75
1993-08-09,8.75
1993-08-10,8.75
1993-08-11,8.625
1993-08-12,8.75
1993-08-13,9.25
1993-08-16,9.25
1993-08-17,9.625
1993-08-18,9.875
1993-08-19,10.0
1993-08-20,10.0
1993-08-23,9.875
1993-08-24,9.625
1993-08-25,9.375
1993-08-26,9.625
1993-08-27,9.625
1993-08-30,9.375
1993-08-31,9.25
1993-09-01,8.875
1993-09-02,8.75
1993-09-03,8.75
1993-09-07,8.625
1993-09-08,8.625
1993-09-09,10.5
1993-09-10,10.375
1993-09-13,10.375
1993-09-14,10.25
1993-09-15,10.25
1993-09-16,10.75
1993-09-17,11.0
1993-09-20,11.25
1993-09-21,11.5
1993-09-22,11.25
1993-09-23,11.375
1993-09-24,11.125
1993-09-27,10.5
1993-09-28,10.875
1993-09-29,11.0
1993-09-30,11.0
1993-10-01,11.25
1993-10-04,11.5
1993-10-05,11.5
1993-10-06,11.5
1993-10-07,11.125
1993-10-08,11.5
1993-10-11,11.375
1993-10-12,11.375
1993-10-13,11.375
1993-10-14,11.75
1993-10-15,11.625
1993-10-18,11.5
1993-10-19,12.5
1993-10-20,12.375
1993-10-21,12.125
1993-10-22,12.125
1993-10-25,12.375
1993-10-26,12.5
1993-10-27,12.375
1993-10-28,12.625
1993-10-29,12.75
1993-11-01,12.875
1993-11-02,13.0
1993-11-03,12.625
1993-11-04,12.0
1993-11-05,12.375
1993-11-08,12.625
1993-11-09,12.75
1993-11-10,12.875
1993-11-11,12.875
1993-11-12,12.875
1993-11-15,12.5
1993-11-16,12.625
1993-11-17,12.375
1993-11-18,12.5
1993-11-19,12.5
1993-11-22,12.125
1993-11-23,12.625
1993-11-24,12.75
1993-11-26,12.875
1993-11-29,12.875
1993-11-30,13.375
1993-12-01,14.25
1993-12-02,13.875
1993-12-03,13.875
1993-12-06,14.125
1993-12-07,14.125
1993-12-08,14.125
1993-12-09,14.0
1993-12-10,13.875
1993-12-13,13.875
1993-12-14,13.5
1993-12-15,14.0
1993-12-16,14.0
1993-12-17,14.125
1993-12-20,14.0
1993-12-21,14.5
1993-12-22,14.5
1993-12-23,14.875
1993-12-27,15.0
1993-12-28,15.5
1993-12-29,15.25
1993-12-30,15.25
1993-12-31,15.625
1994-01-03,15.0
1994-01-04,13.875
1994-01-05,14.125
1994-01-06,14.375
1994-01-07,14.375
1994-01-10,15.0
1994-01-11,15.0
1994-01-12,14.25
1994-01-13,14.375
1994-01-14,13.875
1994-01-17,13.875
1994-01-18,14.375
1994-01-19,14.0
1994-01-20,14.0
1994-01-21,14.0
1994-01-24,13.875
1994-01-25,14.0
1994-01-26,13.875
1994-01-27,14.0
1994-01-28,14.125
1994-01-31,14.75
1994-02-01,14.5
1994-02-02,14.5
1994-02-03,14.375
1994-02-04,14.25
1994-02-07,14.125
1994-02-08,14.375
1994-02-09,14.625
1994-02-10,15.0
1994-02-11,15.0
1994-02-14,15.0
1994-02-15,15.0
1994-02-16,15.125
1994-02-17,14.625
1994-02-18,14.625
1994-02-22,14.75
1994-02-23,14.375
1994-02-24,14.0
1994-02-25,13.5
1994-02-28,13.625
1994-03-01,13.75
1994-03-02,13.875
1994-03-03,14.125
1994-03-04,13.625
1994-03-07,13.625
1994-03-08,13.625
1994-03-09,13.5
1994-03-10,13.75
1994-03-11,13.5
1994-03-14,13.75
1994-03-15,13.875
1994-03-16,13.75
1994-03-17,13.75
1994-03-18,13.125
1994-03-21,13.25
1994-03-22,13.125
1994-03-23,13.125
1994-03-24,12.75
1994-03-25,12.875
1994-03-28,13.0
1994-03-29,12.875
1994-03-30,12.875
1994-03-31,13.0
1994-04-04,12.75
1994-04-05,13.125
1994-04-06,12.875
1994-04-07,12.875
1994-04-08,12.375
1994-04-11,11.75
1994-04-12,12.25
1994-04-13,12.125
1994-04-14,11.75
1994-04-15,12.0
1994-04-18,11.75
1994-04-19,11.875
1994-04-20,11.875
1994-04-21,11.875
1994-04-22,11.75
1994-04-25,12.125
1994-04-26,11.75
1994-04-28,12.375
1994-04-29,12.625
1994-05-02,12.4375
1994-05-03,12.5
1994-05-04,12.375
1994-05-05,12.4375
1994-05-06,12.75
1994-05-09,13.125
1994-05-10,12.625
1994-05-11,12.625
1994-05-12,12.125
1994-05-13,12.0
1994-05-16,11.5
1994-05-17,10.875
1994-05-18,11.0
1994-05-19,11.125
1994-05-20,10.75
1994-05-23,10.875
1994-05-24,10.9375
1994-05-25,11.125
1994-05-26,10.875
1994-05-27,11.125
1994-05-31,10.875
1994-06-01,10.875
1994-06-02,10.875
1994-06-03,10.5
1994-06-06,10.625
1994-06-07,10.625
1994-06-08,10.75
1994-06-09,10.875
1994-06-10,10.75
1994-06-13,10.875
1994-06-14,12.0625
1994-06-15,12.375
1994-06-16,12.375
1994-06-17,12.0
1994-06-20,11.9375
1994-06-21,12.125
1994-06-22,12.125
1994-06-23,12.0
1994-06-24,12.25
1994-06-27,12.25
1994-06-28,12.6875
1994-06-29,12.5625
1994-06-30,12.5
1994-07-01,13.5
1994-07-05,13.0
1994-07-06,13.125
1994-07-07,13.5625
1994-07-08,13.25
1994-07-11,13.0
1994-07-12,12.875
1994-07-13,12.75
1994-07-14,12.875
1994-07-15,13.125
1994-07-18,12.875
1994-07-19,12.5
1994-07-20,12.8125
1994-07-21,13.125
1994-07-22,13.125
1994-07-25,13.0
1994-07-26,12.875
1994-07-27,12.375
1994-07-28,12.375
1994-07-29,12.125
1994-08-01,12.375
1994-08-02,12.25
1994-08-03,11.875
1994-08-04,11.75
1994-08-05,11.75
1994-08-08,12.125
1994-08-09,11.875
1994-08-10,11.875
1994-08-11,11.5
1994-08-12,11.625
1994-08-15,11.875
1994-08-16,11.75
1994-08-17,11.875
1994-08-18,12.0
1994-08-19,12.125
1994-08-22,12.875
1994-08-23,13.0
1994-08-24,12.875
1994-08-25,12.625
1994-08-26,13.0
1994-08-29,12.875
1994-08-30,13.5
1994-08-31,13.75
1994-09-01,14.0
1994-09-02,13.875
1994-09-06,13.625
1994-09-07,13.5
1994-09-08,13.5625
1994-09-09,13.6875
1994-09-12,13.75
1994-09-13,13.5
1994-09-14,13.75
1994-09-15,13.75
1994-09-16,13.5
1994-09-19,13.5
1994-09-20,13.75
1994-09-21,13.625
1994-09-22,13.75
1994-09-23,13.875
1994-09-26,14.125
1994-09-27,14.125
1994-09-28,13.875
1994-09-29,13.8125
1994-09-30,14.0625
1994-10-03,13.875
1994-10-04,13.875
1994-10-05,13.5
1994-10-06,13.25
1994-10-07,13.0
1994-10-10,12.875
1994-10-11,13.0
1994-10-12,13.25
1994-10-13,13.125
1994-10-14,13.375
1994-10-17,13.25
1994-10-18,13.25
1994-10-19,13.25
1994-10-20,13.375
1994-10-21,13.375
1994-10-24,13.5
1994-10-25,13.375
1994-10-26,13.375
1994-10-27,13.125
1994-10-28,12.875
1994-10-31,12.9375
1994-11-01,12.625
1994-11-02,12.75
1994-11-03,12.75
1994-11-04,13.0
1994-11-07,12.625
1994-11-08,12.625
1994-11-09,12.75
1994-11-10,12.5
1994-11-11,12.875
1994-11-14,12.625
1994-11-15,12.5
1994-11-16,12.5
1994-11-17,11.875
1994-11-18,11.875
1994-11-21,11.75
1994-11-22,11.625
1994-11-23,11.625
1994-11-25,11.625
1994-11-28,11.6875
1994-11-29,12.25
1994-11-30,12.0
1994-12-01,11.625
1994-12-02,11.875
1994-12-05,12.25
1994-12-06,11.875
1994-12-07,11.6875
1994-12-08,10.875
1994-12-09,10.625
1994-12-12,11.375
1994-12-13,11.625
1994-12-14,11.75
1994-12-15,11.375
1994-12-16,11.25
1994-12-19,11.8125
1994-12-20,11.625
1994-12-21,11.5
1994-12-22,11.5
1994-12-23,11.375
1994-12-27,11.625
1994-12-28,11.5
1994-12-29,11.625
1994-12-30,12.125
1995-01-03,12.75
1995-01-04,12.375
1995-01-05,12.625
1995-01-06,12.375
1995-01-09,12.375
1995-01-10,11.875
1995-01-11,11.875
1995-01-12,12.125
1995-01-13,13.0
1995-01-16,12.75
1995-01-17,12.9375
1995-01-18,12.5
1995-01-19,12.5
1995-01-20,12.25
1995-01-23,12.0
1995-01-24,13.0
1995-01-25,12.875
1995-01-26,12.875
1995-01-27,12.5
1995-01-30,12.125
1995-01-31,12.25
1995-02-01,11.875
1995-02-02,12.625
1995-02-03,12.375
1995-02-06,12.3125
1995-02-07,12.125
1995-02-08,12.375
1995-02-09,12.5
1995-02-10,12.25
1995-02-13,12.375
1995-02-14,12.25
1995-02-15,12.25
1995-02-16,12.625
1995-02-17,12.625
1995-02-21,12.5
1995-02-22,12.5
1995-02-23,12.25
1995-02-24,12.375
1995-02-27,12.25
1995-02-28,12.5
1995-03-01,12.25
1995-03-02,12.25
1995-03-03,12.375
1995-03-06,12.375
1995-03-07,12.5
1995-03-08,12.25
1995-03-09,12.375
1995-03-10,12.5
1995-03-13,12.125
1995-03-14,12.0
1995-03-15,11.25
1995-03-16,11.0
1995-03-17,10.75
1995-03-20,10.75
1995-03-21,10.625
1995-03-22,11.0
1995-03-23,11.0
1995-03-24,11.125
1995-03-27,10.5625
1995-03-28,10.75
1995-03-29,10.75
1995-03-30,11.0
1995-03-31,10.625
1995-04-03,10.875
1995-04-04,11.125
1995-04-05,11.125
1995-04-06,10.875
1995-04-07,10.5
1995-04-10,10.25
1995-04-11,10.25
1995-04-12,10.5
1995-04-13,10.25
1995-04-17,10.375
1995-04-18,10.25
1995-04-19,10.25
1995-04-20,10.0
1995-04-21,9.875
1995-04-24,9.75
1995-04-25,10.0
1995-04-26,10.25
1995-04-27,10.15625
1995-04-28,10.125
1995-05-01,10.0
1995-05-02,10.0
1995-05-03,10.0
1995-05-04,9.75
1995-05-05,9.875
1995-05-08,9.875
1995-05-09,9.75
1995-05-10,9.75
1995-05-11,10.0
1995-05-12,9.875
1995-05-15,10.0
1995-05-16,10.125
1995-05-17,10.25
1995-05-18,10.0
1995-05-19,9.875
1995-05-22,9.9375
1995-05-23,9.75
1995-05-24,9.375
1995-05-25,9.375
1995-05-26,9.25
1995-05-30,9.0
1995-05-31,9.625
1995-06-01,9.75
1995-06-02,9.0
1995-06-05,9.0
1995-06-06,9.25
1995-06-07,9.1875
1995-06-08,9.25
1995-06-09,9.25
1995-06-12,8.375
1995-06-13,8.0
1995-06-14,8.125
1995-06-15,8.125
1995-06-16,8.0
1995-06-19,8.5
1995-06-20,8.25
1995-06-21,8.375
1995-06-22,8.5
1995-06-23,8.375
1995-06-26,8.5
1995-06-27,8.625
1995-06-28,8.75
1995-06-29,8.75
1995-06-30,9.0
1995-07-03,9.25
1995-07-05,9.25
1995-07-06,8.75
1995-07-07,8.875
1995-07-10,10.25
1995-07-11,12.625
1995-07-12,13.0
1995-07-13,12.75
1995-07-14,12.625
1995-07-17,12.75
1995-07-18,12.25
1995-07-19,11.875
1995-07-20,11.0
1995-07-21,11.0
1995-07-24,11.375
1995-07-25,11.125
1995-07-26,11.625
1995-07-27,11.75
1995-07-28,12.75
1995-07-31,12.375
1995-08-01,12.125
1995-08-02,11.625
1995-08-03,12.0
1995-08-04,12.125
1995-08-07,11.875
1995-08-08,12.0
1995-08-09,12.0
1995-08-10,11.875
1995-08-11,11.75
1995-08-14,11.75
1995-08-15,11.625
1995-08-16,11.75
1995-08-17,11.5
1995-08-18,11.6875
1995-08-21,12.375
1995-08-22,12.125
1995-08-23,12.25
1995-08-24,12.0
1995-08-25,11.75
1995-08-28,11.625
1995-08-29,11.25
1995-08-30,11.375
1995-08-31,11.5
1995-09-01,11.6875
1995-09-05,12.125
1995-09-06,12.25
1995-09-07,12.25
1995-09-08,12.625
1995-09-11,12.75
1995-09-12,12.5
1995-09-13,12.375
1995-09-14,12.25
1995-09-15,11.5
1995-09-18,11.0
1995-09-19,11.0
1995-09-20,11.0
1995-09-21,10.875
1995-09-22,10.875
1995-09-25,10.75
1995-09-26,10.6875
1995-09-27,10.875
1995-09-28,11.375
1995-09-29,11.875
1995-10-02,11.3125
1995-10-03,10.5
1995-10-04,10.25
1995-10-05,10.125
1995-10-06,9.875
1995-10-09,9.25
1995-10-10,9.25
1995-10-11,9.375
1995-10-12,9.5
1995-10-13,10.0
1995-10-16,9.5
1995-10-17,9.375
1995-10-18,9.75
1995-10-19,9.875
1995-10-20,9.5
1995-10-23,9.5
1995-10-24,9.75
1995-10-25,9.125
1995-10-26,9.125
1995-10-27,9.25
1995-10-30,9.125
1995-10-31,9.125
1995-11-01,8.75
1995-11-02,9.625
1995-11-03,10.0
1995-11-06,10.0
1995-11-07,10.0
1995-11-08,9.75
1995-11-09,9.75
1995-11-10,9.625
1995-11-13,9.375
1995-11-14,9.5
1995-11-15,9.4375
1995-11-16,9.375
1995-11-17,9.1875
1995-11-20,9.0
1995-11-21,9.0
1995-11-22,8.875
1995-11-24,8.9375
1995-11-27,8.875
1995-11-28,8.875
1995-11-29,8.875
1995-11-30,8.125
1995-12-01,8.5
1995-12-04,8.875
1995-12-05,8.75
1995-12-06,9.0
1995-12-07,8.875
1995-12-08,8.875
1995-12-11,8.875
1995-12-12,8.8125
1995-12-13,8.875
1995-12-14,8.75
1995-12-15,8.875
1995-12-18,8.625
1995-12-19,8.5
1995-12-20,8.0
1995-12-21,6.875
1995-12-22,7.125
1995-12-26,7.0
1995-12-27,6.875
1995-12-28,6.875
1995-12-29,7.875
1996-01-02,8.125
1996-01-03,7.5
1996-01-04,7.125
1996-01-05,7.25
1996-01-08,7.0
1996-01-09,7.0
1996-01-10,6.8125
1996-01-11,7.0
1996-01-12,7.0
1996-01-15,6.875
1996-01-16,6.75
1996-01-17,6.75
1996-01-18,6.5625
1996-01-19,6.375
1996-01-22,6.625
1996-01-23,6.5
1996-01-24,6.5
1996-01-25,6.4375
1996-01-26,6.375
1996-01-29,6.1875
1996-01-30,6.125
1996-01-31,6.375
1996-02-01,6.125
1996-02-02,5.0
1996-02-05,5.6875
1996-02-06,5.75
1996-02-07,5.5
1996-02-08,5.625
1996-02-09,5.5
1996-02-12,5.625
1996-02-13,5.5
1996-02-14,6.0
1996-02-15,6.3125
1996-02-16,6.125
1996-02-20,6.1875
1996-02-21,6.75
1996-02-22,6.8125
1996-02-23,6.75
1996-02-26,6.5
1996-02-27,6.3125
1996-02-28,6.25
1996-02-29,6.25
1996-03-01,6.5
1996-03-04,6.5
1996-03-05,6.625
1996-03-06,6.6875
1996-03-07,6.75
1996-03-08,6.625
1996-03-11,6.625
1996-03-12,7.0
1996-03-13,7.25
1996-03-14,8.25
1996-03-15,8.125
1996-03-18,8.25
