,AUPH
2014-09-03,4.0
2014-09-04,3.7300000190734863
2014-09-05,3.7300000190734863
2014-09-08,3.7300000190734863
2014-09-09,3.7300000190734863
2014-09-10,3.8399999141693115
2014-09-11,3.549999952316284
2014-09-12,3.5999999046325684
2014-09-15,3.5999999046325684
2014-09-16,3.5
2014-09-17,3.4000000953674316
2014-09-18,3.4000000953674316
2014-09-19,3.5
2014-09-22,3.5
2014-09-23,3.450000047683716
2014-09-24,3.450000047683716
2014-09-25,3.299999952316284
2014-09-26,3.4000000953674316
2014-09-29,3.4000000953674316
2014-09-30,3.200000047683716
2014-10-01,3.200000047683716
2014-10-02,3.200000047683716
2014-10-03,3.3299999237060547
2014-10-06,3.3299999237060547
2014-10-07,3.109999895095825
2014-10-08,3.109999895095825
2014-10-09,3.109999895095825
2014-10-10,3.109999895095825
2014-10-13,3.109999895095825
2014-10-14,2.890000104904175
2014-10-15,2.940000057220459
2014-10-16,3.5199999809265137
2014-10-17,3.3399999141693115
2014-10-20,3.3399999141693115
2014-10-21,3.049999952316284
2014-10-22,3.0999999046325684
2014-10-23,3.069999933242798
2014-10-24,2.9200000762939453
2014-10-27,3.4000000953674316
2014-10-28,3.5
2014-10-29,4.0
2014-10-30,3.625
2014-10-31,3.5999999046325684
2014-11-03,3.7899999618530273
2014-11-04,3.5999999046325684
2014-11-05,3.799999952316284
2014-11-06,3.6700000762939453
2014-11-07,3.6700000762939453
2014-11-10,3.5
2014-11-11,3.5999999046325684
2014-11-12,3.5
2014-11-13,3.509999990463257
2014-11-14,3.4700000286102295
2014-11-17,3.5
2014-11-18,3.299999952316284
2014-11-19,3.299999952316284
2014-11-20,3.3499999046325684
2014-11-21,3.434999942779541
2014-11-24,3.4800000190734863
2014-11-25,3.809999942779541
2014-11-26,3.890000104904175
2014-11-28,4.050000190734863
2014-12-01,3.869999885559082
2014-12-02,3.9000000953674316
2014-12-03,3.9000000953674316
2014-12-04,3.8499999046325684
2014-12-05,3.819999933242798
2014-12-08,3.7699999809265137
2014-12-09,3.7300000190734863
2014-12-10,3.799999952316284
2014-12-11,3.7200000286102295
2014-12-12,3.740000009536743
2014-12-15,3.7300000190734863
2014-12-16,3.7300000190734863
2014-12-17,3.6500000953674316
2014-12-18,3.509999990463257
2014-12-19,3.5899999141693115
2014-12-22,3.7300000190734863
2014-12-23,3.6600000858306885
2014-12-24,3.740000009536743
2014-12-26,3.6500000953674316
2014-12-29,3.759999990463257
2014-12-30,3.559999942779541
2014-12-31,3.640000104904175
2015-01-02,3.7339999675750732
2015-01-05,3.6679999828338623
2015-01-06,3.509999990463257
2015-01-07,3.5
2015-01-08,3.7160000801086426
2015-01-09,3.621000051498413
2015-01-12,3.630000114440918
2015-01-13,3.75600004196167
2015-01-14,3.609999895095825
2015-01-15,3.615000009536743
2015-01-16,3.690000057220459
2015-01-20,3.5899999141693115
2015-01-21,3.4600000381469727
2015-01-22,3.559999942779541
2015-01-23,3.5399999618530273
2015-01-26,3.549999952316284
2015-01-27,3.609999895095825
2015-01-28,3.390000104904175
2015-01-29,3.4200000762939453
2015-01-30,3.3499999046325684
2015-02-02,3.4590001106262207
2015-02-03,3.390000104904175
2015-02-04,3.3499999046325684
2015-02-05,3.5
2015-02-06,3.5
2015-02-09,3.440000057220459
2015-02-10,3.4600000381469727
2015-02-11,3.4000000953674316
2015-02-12,3.450000047683716
2015-02-13,3.4600000381469727
2015-02-17,3.4800000190734863
2015-02-18,3.5
2015-02-19,3.575000047683716
2015-02-20,3.8399999141693115
2015-02-23,3.640000104904175
2015-02-24,3.5799999237060547
2015-02-25,3.5899999141693115
2015-02-26,4.090000152587891
2015-02-27,4.699999809265137
2015-03-02,4.710000038146973
2015-03-03,4.519999980926514
2015-03-04,4.510000228881836
2015-03-05,4.510000228881836
2015-03-06,4.389999866485596
2015-03-09,4.380000114440918
2015-03-10,4.309999942779541
2015-03-11,4.480000019073486
2015-03-12,4.360000133514404
2015-03-13,4.480000019073486
2015-03-16,4.650000095367432
2015-03-17,4.75
2015-03-18,4.800000190734863
2015-03-19,5.239999771118164
2015-03-20,5.25
2015-03-23,5.300000190734863
2015-03-24,4.900000095367432
2015-03-25,4.599999904632568
2015-03-26,4.449999809265137
2015-03-27,4.5
2015-03-30,4.46999979019165
2015-03-31,4.360000133514404
2015-04-01,4.269999980926514
2015-04-02,4.420000076293945
2015-04-06,4.190000057220459
2015-04-07,4.170000076293945
2015-04-08,3.8299999237060547
2015-04-09,4.230000019073486
2015-04-10,4.170000076293945
2015-04-13,4.119999885559082
2015-04-14,4.039999961853027
2015-04-15,4.085000038146973
2015-04-16,4.170000076293945
2015-04-17,4.076000213623047
2015-04-20,3.990000009536743
2015-04-21,3.799999952316284
2015-04-22,3.8519999980926514
2015-04-23,4.0
2015-04-24,3.7899999618530273
2015-04-27,3.7799999713897705
2015-04-28,4.059000015258789
2015-04-29,3.9200000762939453
2015-04-30,3.819999933242798
2015-05-01,3.7100000381469727
2015-05-04,3.9600000381469727
2015-05-05,3.8499999046325684
2015-05-06,3.6500000953674316
2015-05-07,3.75
2015-05-08,3.940000057220459
2015-05-11,3.819999933242798
2015-05-12,3.75
2015-05-13,3.869999885559082
2015-05-14,4.0
2015-05-15,3.890000104904175
2015-05-18,3.8399999141693115
2015-05-19,3.6730000972747803
2015-05-20,3.5999999046325684
2015-05-21,3.609999895095825
2015-05-22,3.5899999141693115
2015-05-26,3.569999933242798
2015-05-27,3.5999999046325684
2015-05-28,3.5299999713897705
