,AVGOP
2019-09-25,1014.0
2019-09-26,1043.699951171875
2019-09-27,1022.0
2019-09-30,1025.385986328125
2019-10-01,1030.0
2019-10-02,1014.0
2019-10-03,1030.0
2019-10-04,1039.8189697265625
2019-10-07,1030.77001953125
2019-10-08,1017.8189697265625
2019-10-09,1017.8189697265625
2019-10-10,1030.2110595703125
2019-10-11,1048.9200439453125
2019-10-14,1052.81005859375
2019-10-15,1073.280029296875
2019-10-16,1065.7099609375
2019-10-17,1071.31005859375
2019-10-18,1067.5
2019-10-21,1076.85205078125
2019-10-22,1072.4100341796875
2019-10-23,1053.3800048828125
2019-10-24,1059.7099609375
2019-10-25,1078.6600341796875
2019-10-28,1081.4200439453125
2019-10-29,1076.31005859375
2019-10-30,1085.1600341796875
2019-10-31,1083.02001953125
2019-11-01,1098.5899658203125
2019-11-04,1119.5
2019-11-05,1146.5
2019-11-06,1146.4200439453125
2019-11-07,1146.4200439453125
2019-11-08,1141.5
2019-11-11,1141.989990234375
2019-11-12,1152.93994140625
2019-11-13,1145.18505859375
2019-11-14,1132.4599609375
2019-11-15,1141.52001953125
2019-11-18,1137.9300537109375
2019-11-19,1159.219970703125
2019-11-20,1142.6800537109375
2019-11-21,1155.2130126953125
2019-11-22,1157.1400146484375
2019-11-25,1168.1700439453125
2019-11-26,1162.6800537109375
2019-11-27,1168.699951171875
2019-11-29,1157.0
2019-12-02,1153.365966796875
2019-12-03,1134.739990234375
2019-12-04,1148.751953125
2019-12-05,1152.7900390625
2019-12-06,1158.06005859375
2019-12-09,1163.5
2019-12-10,1166.0
2019-12-11,1182.2099609375
2019-12-12,1188.4649658203125
2019-12-13,1161.25
2019-12-16,1183.8499755859375
2019-12-17,1184.72998046875
2019-12-18,1199.197021484375
2019-12-19,1186.8299560546875
2019-12-20,1173.81201171875
2019-12-23,1173.81201171875
2019-12-24,1173.81201171875
2019-12-26,1185.0
2019-12-27,1171.2249755859375
2019-12-30,1166.5899658203125
2019-12-31,1177.969970703125
2020-01-02,1192.595947265625
2020-01-03,1170.2349853515625
2020-01-06,1169.760009765625
2020-01-07,1168.1700439453125
2020-01-08,1157.8900146484375
2020-01-09,1150.25
2020-01-10,1127.5
2020-01-13,1135.3199462890625
2020-01-14,1155.9000244140625
2020-01-15,1139.1600341796875
2020-01-16,1150.9549560546875
2020-01-17,1155.1099853515625
2020-01-21,1156.75
2020-01-22,1163.75
2020-01-23,1183.5
2020-01-24,1198.8280029296875
2020-01-27,1152.8199462890625
2020-01-28,1178.6500244140625
2020-01-29,1178.9000244140625
2020-01-30,1164.0699462890625
2020-01-31,1148.5999755859375
2020-02-03,1144.5
2020-02-04,1162.25
2020-02-05,1182.300048828125
2020-02-06,1186.56005859375
2020-02-07,1186.56005859375
2020-02-10,1173.3399658203125
2020-02-11,1189.199951171875
2020-02-12,1201.93994140625
2020-02-13,1201.8299560546875
2020-02-14,1180.0
2020-02-18,1161.300048828125
2020-02-19,1176.6240234375
2020-02-20,1156.0
2020-02-21,1147.3399658203125
2020-02-24,1112.8299560546875
2020-02-25,1086.2099609375
2020-02-26,1095.6500244140625
2020-02-27,1070.0
2020-02-28,1034.1500244140625
2020-03-02,1075.25
2020-03-03,1057.9300537109375
2020-03-04,1083.010009765625
2020-03-05,1061.199951171875
2020-03-06,1045.280029296875
