,AZPN
1994-10-26,7.9375
1994-10-27,8.25
1994-10-28,8.8125
1994-10-31,8.5
1994-11-01,8.1875
1994-11-02,8.3125
1994-11-03,8.375
1994-11-04,8.5
1994-11-07,8.25
1994-11-08,8.1875
1994-11-09,8.25
1994-11-10,8.3125
1994-11-11,8.5
1994-11-14,8.3125
1994-11-15,8.0625
1994-11-16,8.3125
1994-11-17,8.34375
1994-11-18,9.0625
1994-11-21,8.8125
1994-11-22,8.0625
1994-11-23,8.125
1994-11-25,8.0625
1994-11-28,8.1875
1994-11-29,8.375
1994-11-30,8.4375
1994-12-01,8.5
1994-12-02,8.5625
1994-12-05,8.9375
1994-12-06,9.3125
1994-12-07,9.25
1994-12-08,8.6875
1994-12-09,8.4375
1994-12-12,8.5625
1994-12-13,8.75
1994-12-14,8.8125
1994-12-15,8.875
1994-12-16,8.9375
1994-12-19,9.0
1994-12-20,9.0625
1994-12-21,9.0
1994-12-22,9.125
1994-12-23,9.25
1994-12-27,9.8125
1994-12-28,9.6875
1994-12-29,9.875
1994-12-30,9.8125
1995-01-03,9.0
1995-01-04,9.0
1995-01-05,9.25
1995-01-06,9.3125
1995-01-09,9.375
1995-01-10,9.75
1995-01-11,9.875
1995-01-12,9.875
1995-01-13,9.625
1995-01-16,9.875
1995-01-17,9.6875
1995-01-18,9.8125
1995-01-19,9.8125
1995-01-20,9.625
1995-01-23,9.5
1995-01-24,9.0625
1995-01-25,9.0625
1995-01-26,8.875
1995-01-27,8.875
1995-01-30,9.0625
1995-01-31,9.125
1995-02-01,9.125
1995-02-02,9.25
1995-02-03,9.3125
1995-02-06,9.75
1995-02-07,9.75
1995-02-08,9.75
1995-02-09,10.125
1995-02-10,10.0
1995-02-13,10.25
1995-02-14,9.875
1995-02-15,10.75
1995-02-16,10.875
1995-02-17,10.75
1995-02-21,10.4375
1995-02-22,10.625
1995-02-23,10.0
1995-02-24,10.125
1995-02-27,9.875
1995-02-28,9.75
1995-03-01,10.125
1995-03-02,9.75
1995-03-03,10.125
1995-03-06,10.125
1995-03-07,9.75
1995-03-08,9.75
1995-03-09,9.5
1995-03-10,9.5
1995-03-13,9.25
1995-03-14,9.375
1995-03-15,9.625
1995-03-16,9.75
1995-03-17,9.875
1995-03-20,9.875
1995-03-21,9.875
1995-03-22,10.25
1995-03-23,10.125
1995-03-24,10.375
1995-03-27,10.125
1995-03-28,10.0
1995-03-29,9.75
1995-03-30,9.125
1995-03-31,9.875
1995-04-03,10.125
1995-04-04,10.0625
1995-04-05,9.875
1995-04-06,10.0625
1995-04-07,9.875
1995-04-10,9.875
1995-04-11,9.5
1995-04-12,9.5
1995-04-13,9.5
1995-04-17,9.75
1995-04-18,9.25
1995-04-19,8.5
1995-04-20,8.875
1995-04-21,9.625
1995-04-24,9.375
1995-04-25,9.625
1995-04-26,10.125
1995-04-27,10.125
1995-04-28,10.375
1995-05-01,10.25
1995-05-02,9.9375
1995-05-03,10.0625
1995-05-04,9.9375
1995-05-05,9.75
1995-05-08,10.0
1995-05-09,10.3125
1995-05-10,10.0
1995-05-11,10.25
1995-05-12,10.125
1995-05-15,10.125
1995-05-16,10.0
1995-05-17,9.5
1995-05-18,9.5
1995-05-19,9.375
1995-05-22,9.375
1995-05-23,10.25
1995-05-24,10.625
1995-05-25,10.875
1995-05-26,10.25
1995-05-30,10.375
1995-05-31,10.25
1995-06-01,10.0
1995-06-02,10.375
1995-06-05,10.625
1995-06-06,11.375
1995-06-07,11.75
1995-06-08,12.0
1995-06-09,11.875
1995-06-12,12.125
1995-06-13,11.875
1995-06-14,12.0
1995-06-15,12.0
1995-06-16,12.0
1995-06-19,11.9375
1995-06-20,11.875
1995-06-21,12.25
1995-06-22,12.875
1995-06-23,13.125
1995-06-26,12.5625
1995-06-27,12.375
1995-06-28,12.375
1995-06-29,12.625
1995-06-30,12.75
1995-07-03,12.75
1995-07-05,12.75
1995-07-06,12.875
1995-07-07,13.5
1995-07-10,13.625
1995-07-11,13.5
1995-07-12,13.25
1995-07-13,13.375
1995-07-14,13.375
1995-07-17,13.3125
1995-07-18,12.25
1995-07-19,11.75
1995-07-20,12.375
1995-07-21,13.0
1995-07-24,12.75
1995-07-25,13.125
1995-07-26,13.125
1995-07-27,13.125
1995-07-28,13.5
1995-07-31,13.25
1995-08-01,12.375
1995-08-02,12.5625
1995-08-03,12.25
1995-08-04,12.125
1995-08-07,12.125
1995-08-08,12.0
1995-08-09,13.0
1995-08-10,13.125
1995-08-11,13.125
1995-08-14,13.5
1995-08-15,12.875
1995-08-16,13.125
1995-08-17,13.125
1995-08-18,13.25
1995-08-21,13.25
1995-08-22,13.0
1995-08-23,12.875
1995-08-24,12.875
1995-08-25,13.25
1995-08-28,13.625
1995-08-29,13.25
1995-08-30,13.125
1995-08-31,13.5
1995-09-01,13.3125
1995-09-05,13.5
1995-09-06,14.25
1995-09-07,14.25
1995-09-08,14.5
1995-09-11,14.0625
1995-09-12,13.875
1995-09-13,13.5
1995-09-14,13.625
1995-09-15,13.125
1995-09-18,13.375
1995-09-19,13.25
1995-09-20,13.75
1995-09-21,14.5
1995-09-22,14.1875
1995-09-25,14.25
1995-09-26,13.875
1995-09-27,14.625
1995-09-28,14.625
1995-09-29,15.0
1995-10-02,15.0
1995-10-03,14.5
1995-10-04,13.625
1995-10-05,13.5
1995-10-06,13.875
1995-10-09,12.625
1995-10-10,12.625
1995-10-11,12.75
1995-10-12,13.5
1995-10-13,13.75
1995-10-16,13.375
1995-10-17,13.875
1995-10-18,13.625
1995-10-19,13.625
1995-10-20,13.625
1995-10-23,13.625
1995-10-24,13.3125
1995-10-25,13.625
1995-10-26,13.625
1995-10-27,13.25
1995-10-30,13.3125
1995-10-31,13.75
1995-11-01,13.875
1995-11-02,14.0
1995-11-03,13.75
1995-11-06,14.0
1995-11-07,14.0625
1995-11-08,14.125
1995-11-09,14.125
1995-11-10,14.0625
1995-11-13,14.25
1995-11-14,14.125
1995-11-15,14.125
1995-11-16,14.0625
1995-11-17,14.1875
1995-11-20,14.25
1995-11-21,14.375
1995-11-22,14.0625
1995-11-24,14.125
1995-11-27,13.9375
1995-11-28,14.25
1995-11-29,15.125
1995-11-30,15.0
1995-12-01,15.0
1995-12-04,15.0
1995-12-05,15.5
1995-12-06,15.5
1995-12-07,15.375
1995-12-08,15.367188453674316
1995-12-11,15.3125
1995-12-12,15.375
1995-12-13,16.0
1995-12-14,16.75
1995-12-15,16.25
1995-12-18,15.5
1995-12-19,15.625
1995-12-20,15.25
1995-12-21,15.375
1995-12-22,15.875
1995-12-26,16.75
1995-12-27,17.875
1995-12-28,17.125
1995-12-29,16.875
1996-01-02,16.875
1996-01-03,16.625
1996-01-04,16.375
1996-01-05,15.9375
1996-01-08,16.25
1996-01-09,15.9375
1996-01-10,19.03125
1996-01-11,19.75
1996-01-12,19.25
1996-01-15,19.0
1996-01-16,18.875
1996-01-17,18.3125
1996-01-18,18.625
1996-01-19,18.40625
1996-01-22,20.0
1996-01-23,19.375
1996-01-24,19.0
1996-01-25,19.0
1996-01-26,18.625
1996-01-29,18.5
1996-01-30,18.6875
1996-01-31,19.0
1996-02-01,20.875
1996-02-02,20.0
1996-02-05,20.375
1996-02-06,20.75
1996-02-07,20.375
1996-02-08,20.375
1996-02-09,20.25
1996-02-12,20.625
1996-02-13,20.5
1996-02-14,19.625
1996-02-15,19.375
1996-02-16,18.5625
1996-02-20,18.875
1996-02-21,19.0
1996-02-22,19.875
1996-02-23,19.875
1996-02-26,19.125
1996-02-27,19.5
1996-02-28,19.625
1996-02-29,19.5
1996-03-01,19.25
1996-03-04,19.0
1996-03-05,19.5
1996-03-06,20.125
1996-03-07,20.3125
1996-03-08,19.6875
1996-03-11,19.25
1996-03-12,19.3125
1996-03-13,19.3125
1996-03-14,19.4375
1996-03-15,19.4375
1996-03-18,18.8125
1996-03-19,18.4375
1996-03-20,18.375
1996-03-21,18.875
1996-03-22,19.125
1996-03-25,19.3125
1996-03-26,20.25
1996-03-27,20.5
1996-03-28,20.375
1996-03-29,21.5
1996-04-01,22.375
1996-04-02,23.25
1996-04-03,23.25
1996-04-04,23.375
1996-04-08,22.9375
1996-04-09,22.9375
1996-04-10,23.625
1996-04-11,23.0
1996-04-12,24.0
1996-04-15,24.875
1996-04-16,25.625
1996-04-17,26.375
1996-04-18,26.875
1996-04-19,26.25
1996-04-22,25.5
1996-04-23,25.5
1996-04-24,26.0
1996-04-25,25.875
1996-04-26,25.875
1996-04-29,27.0
1996-04-30,27.75
1996-05-01,26.375
1996-05-02,26.5
1996-05-03,26.9375
1996-05-06,25.6875
1996-05-07,25.6875
1996-05-08,25.125
1996-05-09,25.25
1996-05-10,25.625
1996-05-13,25.4375
1996-05-14,25.125
1996-05-15,26.875
1996-05-16,26.375
1996-05-17,27.125
1996-05-20,27.5
1996-05-21,27.625
1996-05-22,27.5
1996-05-23,27.625
1996-05-24,27.875
1996-05-28,28.25
1996-05-29,27.25
1996-05-30,27.25
1996-05-31,27.75
1996-06-03,27.125
1996-06-04,26.875
1996-06-05,26.5
1996-06-06,26.0
1996-06-07,25.5
1996-06-10,25.0
1996-06-11,26.75
1996-06-12,27.375
1996-06-13,27.5
1996-06-14,27.75
1996-06-17,27.25
1996-06-18,28.0
1996-06-19,26.125
1996-06-20,25.75
1996-06-21,25.375
1996-06-24,26.0
1996-06-25,25.375
1996-06-26,26.125
1996-06-27,25.75
1996-06-28,27.5
1996-07-01,27.625
1996-07-02,28.125
1996-07-03,27.5625
1996-07-05,27.25
1996-07-08,26.125
1996-07-09,28.125
1996-07-10,27.25
1996-07-11,26.375
1996-07-12,25.875
