,BCLI
2003-10-07,8.25
2003-10-08,7.650000095367432
2003-10-09,8.399999618530273
2003-10-10,8.399999618530273
2003-10-13,8.399999618530273
2003-10-14,9.75
2003-10-15,12.0
2003-10-16,13.350000381469727
2003-10-17,15.75
2003-10-20,17.700000762939453
2003-10-21,18.0
2003-10-22,18.0
2003-10-23,18.0
2003-10-24,18.0
2003-10-27,18.0
2003-10-28,18.0
2003-10-29,18.0
2003-10-30,18.0
2003-10-31,18.0
2003-11-03,18.0
2003-11-04,16.799999237060547
2003-11-05,16.5
2003-11-06,16.799999237060547
2003-11-07,18.0
2003-11-10,18.0
2003-11-11,16.950000762939453
2003-11-12,16.950000762939453
2003-11-13,16.950000762939453
2003-11-14,16.950000762939453
2003-11-17,16.950000762939453
2003-11-18,15.75
2003-11-19,15.75
2003-11-20,15.75
2003-11-21,15.75
2003-11-24,15.75
2003-11-25,15.75
2003-11-26,15.75
2003-11-28,15.75
2003-12-01,15.75
2003-12-02,15.75
2003-12-03,15.75
2003-12-04,15.75
2003-12-05,15.75
2003-12-08,15.75
2003-12-09,15.149999618530273
2003-12-10,15.149999618530273
2003-12-11,15.149999618530273
2003-12-12,15.149999618530273
2003-12-15,15.149999618530273
2003-12-16,13.5
2003-12-17,15.75
2003-12-18,15.0
2003-12-19,15.0
2003-12-22,15.0
2003-12-23,15.0
2003-12-24,15.0
2003-12-26,15.0
2003-12-29,15.0
2003-12-30,15.0
2003-12-31,15.0
2004-01-02,15.0
2004-01-05,15.0
2004-01-06,15.0
2004-01-07,15.0
2004-01-08,15.0
2004-01-09,15.0
2004-01-12,15.0
2004-01-13,15.0
2004-01-14,15.0
2004-01-15,15.0
2004-01-16,15.0
2004-01-20,15.0
2004-01-21,15.0
2004-01-22,15.0
2004-01-23,15.0
2004-01-26,15.0
2004-01-27,15.0
2004-01-28,15.0
2004-01-29,15.0
2004-01-30,15.0
2004-02-02,15.0
2004-02-03,15.0
2004-02-04,15.0
2004-02-05,15.0
2004-02-06,15.0
2004-02-09,15.0
2004-02-10,15.0
2004-02-11,15.75
2004-02-12,15.149999618530273
2004-02-13,15.149999618530273
2004-02-17,15.75
2004-02-18,15.75
2004-02-19,15.75
2004-02-20,15.75
2004-02-23,15.75
2004-02-24,15.600000381469727
2004-02-25,15.600000381469727
2004-02-26,15.600000381469727
2004-02-27,15.600000381469727
2004-03-01,15.600000381469727
2004-03-02,15.600000381469727
2004-03-03,15.600000381469727
2004-03-04,15.600000381469727
2004-03-05,15.600000381469727
2004-03-08,17.850000381469727
2004-03-09,17.850000381469727
2004-03-10,17.850000381469727
2004-03-11,18.0
2004-03-12,18.0
2004-03-15,18.0
2004-03-16,18.0
2004-03-17,18.0
2004-03-18,18.0
2004-03-19,18.0
2004-03-22,18.0
2004-03-23,18.0
2004-03-24,18.0
2004-03-25,18.0
2004-03-26,18.0
2004-03-29,18.0
