,BIS
2010-04-09,4808.0
2010-04-12,4812.7998046875
2010-04-13,4793.60009765625
2010-04-14,4741.60009765625
2010-04-15,4728.0
2010-04-16,4776.0
2010-04-19,4824.0
2010-04-20,4784.7998046875
2010-04-21,4941.60009765625
2010-04-22,5009.60009765625
2010-04-23,4916.0
2010-04-26,4968.0
2010-04-27,5088.0
2010-04-28,5081.60009765625
2010-04-29,4752.7998046875
2010-04-30,4826.39990234375
2010-05-03,4753.60009765625
2010-05-04,4920.0
2010-05-05,5128.0
2010-05-06,5856.0
2010-05-07,5840.0
2010-05-10,5481.60009765625
2010-05-11,5342.39990234375
2010-05-12,5163.2001953125
2010-05-13,5163.2001953125
2010-05-14,5482.39990234375
2010-05-17,5450.39990234375
2010-05-18,5563.2001953125
2010-05-19,5588.0
2010-05-20,5984.0
2010-05-21,6075.2001953125
2010-05-24,6115.2001953125
2010-05-25,6124.7998046875
2010-05-26,6232.0
2010-05-27,5912.0
2010-05-28,5912.0
2010-06-01,6168.0
2010-06-02,5740.0
2010-06-03,5643.2001953125
2010-06-04,5643.2001953125
2010-06-07,6217.60009765625
2010-06-08,6372.0
2010-06-09,6412.0
2010-06-10,6003.2001953125
2010-06-11,5860.0
2010-06-14,5860.0
2010-06-15,5576.0
2010-06-16,5619.2001953125
2010-06-17,5619.2001953125
2010-06-18,5609.60009765625
2010-06-21,5609.60009765625
2010-06-22,5852.0
2010-06-23,5845.60009765625
2010-06-24,5918.39990234375
2010-06-25,5747.2001953125
2010-06-28,5747.2001953125
2010-06-29,6171.2001953125
2010-06-30,6373.60009765625
2010-07-01,6652.7998046875
2010-07-02,6557.60009765625
2010-07-06,6688.7998046875
2010-07-07,6549.60009765625
2010-07-08,6344.7998046875
2010-07-09,6156.7998046875
2010-07-12,6197.60009765625
2010-07-13,5932.7998046875
2010-07-14,5932.7998046875
2010-07-15,5961.60009765625
2010-07-16,5961.60009765625
2010-07-19,6354.39990234375
2010-07-20,6278.39990234375
2010-07-21,6279.2001953125
2010-07-22,6083.2001953125
2010-07-23,5970.39990234375
2010-07-26,5619.2001953125
2010-07-27,5667.2001953125
2010-07-28,5883.2001953125
2010-07-29,5912.7998046875
2010-07-30,5724.7998046875
2010-08-02,5648.0
2010-08-03,5461.60009765625
2010-08-04,5324.0
2010-08-05,5375.2001953125
2010-08-06,5302.39990234375
2010-08-09,5280.0
2010-08-10,5309.60009765625
2010-08-11,5309.60009765625
2010-08-12,5526.39990234375
2010-08-13,5582.39990234375
2010-08-16,5588.7998046875
2010-08-17,5480.0
2010-08-18,5500.7998046875
2010-08-19,5740.7998046875
2010-08-20,5816.0
2010-08-23,5769.60009765625
2010-08-24,5956.7998046875
2010-08-25,5944.7998046875
2010-08-26,6048.0
2010-08-27,6048.0
2010-08-30,6048.0
2010-08-31,5944.0
2010-09-01,5652.7998046875
2010-09-02,5652.7998046875
2010-09-03,5446.39990234375
2010-09-07,5483.2001953125
2010-09-08,5501.60009765625
2010-09-09,5227.2001953125
2010-09-10,5148.0
2010-09-13,5084.0
2010-09-14,5138.39990234375
2010-09-15,5027.2001953125
2010-09-16,5084.7998046875
2010-09-17,5084.7998046875
2010-09-20,4920.0
2010-09-21,4880.7998046875
2010-09-22,4880.7998046875
2010-09-23,4880.7998046875
2010-09-24,4880.7998046875
2010-09-27,4851.2001953125
2010-09-28,4892.7998046875
2010-09-29,4890.39990234375
2010-09-30,4882.39990234375
2010-10-01,4882.39990234375
2010-10-04,4952.0
2010-10-05,4715.2001953125
2010-10-06,4768.7998046875
2010-10-07,4782.39990234375
2010-10-08,4737.60009765625
2010-10-11,4744.0
2010-10-12,4654.39990234375
2010-10-13,4628.7998046875
2010-10-14,4667.2001953125
2010-10-15,4568.7998046875
2010-10-18,4504.0
2010-10-19,4650.39990234375
2010-10-20,4618.39990234375
2010-10-21,4652.0
2010-10-22,4637.60009765625
2010-10-25,4568.0
2010-10-26,4590.39990234375
2010-10-27,4544.0
2010-10-28,4492.0
2010-10-29,4492.0
2010-11-01,4555.2001953125
2010-11-02,4555.2001953125
2010-11-03,4527.2001953125
2010-11-04,4527.2001953125
2010-11-05,4596.0
2010-11-08,4621.60009765625
2010-11-09,4621.60009765625
2010-11-10,4656.7998046875
2010-11-11,4656.7998046875
2010-11-12,4656.7998046875
2010-11-15,4657.60009765625
2010-11-16,4776.0
2010-11-17,4776.0
2010-11-18,4584.0
2010-11-19,4568.0
2010-11-22,4568.0
2010-11-23,4568.0
2010-11-24,4568.0
2010-11-26,4546.39990234375
2010-11-29,4583.2001953125
2010-11-30,4583.2001953125
2010-12-01,4583.2001953125
2010-12-02,4524.7998046875
2010-12-03,4483.2001953125
2010-12-06,4496.0
2010-12-07,4483.2001953125
2010-12-08,4483.2001953125
2010-12-09,4483.2001953125
2010-12-10,4483.2001953125
2010-12-13,4483.2001953125
2010-12-14,4483.2001953125
2010-12-15,4237.60009765625
2010-12-16,4121.60009765625
2010-12-17,4012.0
2010-12-20,4012.0
2010-12-21,3964.800048828125
2010-12-22,3971.199951171875
2010-12-23,3971.199951171875
2010-12-27,4012.800048828125
