,BLKB
2004-07-26,8.75
2004-07-27,8.479999542236328
2004-07-28,8.5600004196167
2004-07-29,8.600000381469727
2004-07-30,9.0
2004-08-02,9.59000015258789
2004-08-03,9.960000038146973
2004-08-04,9.550000190734863
2004-08-05,8.649999618530273
2004-08-06,9.100000381469727
2004-08-09,9.399999618530273
2004-08-10,9.239999771118164
2004-08-11,8.920000076293945
2004-08-12,9.0
2004-08-13,9.149999618530273
2004-08-16,9.039999961853027
2004-08-17,9.34000015258789
2004-08-18,9.25
2004-08-19,9.600000381469727
2004-08-20,9.229999542236328
2004-08-23,8.850000381469727
2004-08-24,9.0
2004-08-25,9.149999618530273
2004-08-26,9.850000381469727
2004-08-27,10.329999923706055
2004-08-30,10.260000228881836
2004-08-31,10.600000381469727
2004-09-01,11.0
2004-09-02,11.010000228881836
2004-09-03,11.0
2004-09-07,11.850000381469727
2004-09-08,11.579999923706055
2004-09-09,11.800000190734863
2004-09-10,12.069999694824219
2004-09-13,12.25
2004-09-14,11.84000015258789
2004-09-15,11.670000076293945
2004-09-16,11.010000228881836
2004-09-17,11.130000114440918
2004-09-20,10.949999809265137
2004-09-21,11.0
2004-09-22,11.039999961853027
2004-09-23,10.989999771118164
2004-09-24,10.25
2004-09-27,10.59000015258789
2004-09-28,10.329999923706055
2004-09-29,10.279999732971191
2004-09-30,9.800000190734863
2004-10-01,10.239999771118164
2004-10-04,10.220000267028809
2004-10-05,10.670000076293945
2004-10-06,10.789999961853027
2004-10-07,10.460000038146973
2004-10-08,10.550000190734863
2004-10-11,11.3100004196167
2004-10-12,10.6899995803833
2004-10-13,10.729999542236328
2004-10-14,10.199999809265137
2004-10-15,10.300000190734863
2004-10-18,10.460000038146973
2004-10-19,10.800000190734863
2004-10-20,11.1899995803833
2004-10-21,11.399999618530273
2004-10-22,11.09000015258789
2004-10-25,11.3100004196167
2004-10-26,11.5
2004-10-27,11.779999732971191
2004-10-28,12.399999618530273
2004-10-29,12.4399995803833
2004-11-01,11.640000343322754
2004-11-02,11.65999984741211
2004-11-03,12.100000381469727
2004-11-04,12.479999542236328
2004-11-05,12.779999732971191
2004-11-08,13.0
2004-11-09,13.0600004196167
2004-11-10,13.020000457763672
2004-11-11,14.40999984741211
2004-11-12,14.050000190734863
2004-11-15,14.350000381469727
2004-11-16,13.569999694824219
2004-11-17,13.600000381469727
2004-11-18,13.699999809265137
2004-11-19,13.5600004196167
2004-11-22,13.329999923706055
2004-11-23,12.680000305175781
2004-11-24,12.649999618530273
2004-11-26,12.600000381469727
2004-11-29,12.350000381469727
2004-11-30,12.5
2004-12-01,12.149999618530273
2004-12-02,13.359999656677246
2004-12-03,13.260000228881836
2004-12-06,13.119999885559082
2004-12-07,12.75
2004-12-08,12.800000190734863
2004-12-09,12.720000267028809
2004-12-10,13.050000190734863
2004-12-13,13.0
2004-12-14,12.970000267028809
2004-12-15,12.869999885559082
2004-12-16,12.960000038146973
2004-12-17,13.029999732971191
2004-12-20,13.850000381469727
2004-12-21,13.510000228881836
2004-12-22,13.75
2004-12-23,13.75
2004-12-27,13.739999771118164
2004-12-28,14.680000305175781
2004-12-29,14.680000305175781
2004-12-30,14.270000457763672
2004-12-31,14.640000343322754
2005-01-03,13.930000305175781
2005-01-04,14.0
2005-01-05,14.0
2005-01-06,13.569999694824219
2005-01-07,13.579999923706055
2005-01-10,13.890000343322754
2005-01-11,14.010000228881836
2005-01-12,13.970000267028809
2005-01-13,14.260000228881836
2005-01-14,13.75
2005-01-18,13.380000114440918
2005-01-19,13.119999885559082
2005-01-20,13.550000190734863
2005-01-21,13.5600004196167
2005-01-24,13.210000038146973
2005-01-25,13.279999732971191
2005-01-26,13.119999885559082
2005-01-27,12.899999618530273
2005-01-28,12.899999618530273
2005-01-31,13.329999923706055
2005-02-01,13.4399995803833
2005-02-02,13.029999732971191
2005-02-03,12.979999542236328
2005-02-04,13.0600004196167
2005-02-07,12.470000267028809
2005-02-08,12.399999618530273
2005-02-09,11.989999771118164
2005-02-10,11.850000381469727
2005-02-11,11.869999885559082
2005-02-14,11.979999542236328
2005-02-15,12.09000015258789
2005-02-16,11.9399995803833
2005-02-17,12.15999984741211
2005-02-18,11.949999809265137
2005-02-22,11.850000381469727
2005-02-23,11.84000015258789
2005-02-24,11.800000190734863
2005-02-25,11.800000190734863
2005-02-28,11.569999694824219
2005-03-01,11.149999618530273
2005-03-02,11.180000305175781
2005-03-03,11.010000228881836
2005-03-04,11.260000228881836
2005-03-07,11.640000343322754
2005-03-08,11.789999961853027
2005-03-09,11.829999923706055
2005-03-10,12.0
2005-03-11,12.010000228881836
2005-03-14,11.979999542236328
2005-03-15,11.960000038146973
2005-03-16,11.670000076293945
2005-03-17,11.770000457763672
2005-03-18,12.220000267028809
2005-03-21,12.199999809265137
2005-03-22,12.100000381469727
2005-03-23,12.050000190734863
2005-03-24,12.260000228881836
2005-03-28,12.25
2005-03-29,12.270000457763672
2005-03-30,12.520000457763672
2005-03-31,12.600000381469727
2005-04-01,12.569999694824219
2005-04-04,12.850000381469727
2005-04-05,12.9399995803833
2005-04-06,12.300000190734863
2005-04-07,12.210000038146973
2005-04-08,12.4399995803833
2005-04-11,12.84000015258789
2005-04-12,13.0
2005-04-13,12.329999923706055
2005-04-14,12.470000267028809
2005-04-15,12.59000015258789
2005-04-18,12.979999542236328
2005-04-19,12.859999656677246
2005-04-20,12.479999542236328
2005-04-21,12.829999923706055
2005-04-22,11.869999885559082
2005-04-25,12.15999984741211
2005-04-26,12.050000190734863
2005-04-27,12.069999694824219
2005-04-28,12.869999885559082
2005-04-29,13.050000190734863
2005-05-02,12.890000343322754
2005-05-03,13.0
2005-05-04,13.010000228881836
2005-05-05,13.010000228881836
2005-05-06,13.010000228881836
2005-05-09,13.010000228881836
2005-05-10,13.010000228881836
2005-05-11,12.640000343322754
2005-05-12,12.90999984741211
2005-05-13,12.979999542236328
2005-05-16,13.010000228881836
2005-05-17,12.960000038146973
2005-05-18,13.149999618530273
2005-05-19,13.319999694824219
2005-05-20,13.399999618530273
2005-05-23,13.420000076293945
2005-05-24,13.470000267028809
2005-05-25,13.5
2005-05-26,14.050000190734863
2005-05-27,14.050000190734863
2005-05-31,13.760000228881836
2005-06-01,13.0600004196167
2005-06-02,12.800000190734863
2005-06-03,12.699999809265137
2005-06-06,12.510000228881836
2005-06-07,12.359999656677246
2005-06-08,11.899999618530273
2005-06-09,11.989999771118164
2005-06-10,12.0
2005-06-13,12.119999885559082
2005-06-14,11.989999771118164
2005-06-15,12.0
2005-06-16,11.84000015258789
2005-06-17,11.989999771118164
2005-06-20,11.960000038146973
2005-06-21,12.0
2005-06-22,11.960000038146973
2005-06-23,11.979999542236328
2005-06-24,12.100000381469727
2005-06-27,12.15999984741211
2005-06-28,13.0
2005-06-29,13.5
2005-06-30,13.5
2005-07-01,13.550000190734863
2005-07-05,13.84000015258789
2005-07-06,13.850000381469727
2005-07-07,13.859999656677246
2005-07-08,13.819999694824219
2005-07-11,13.899999618530273
2005-07-12,13.859999656677246
2005-07-13,13.920000076293945
2005-07-14,13.890000343322754
2005-07-15,13.859999656677246
2005-07-18,13.649999618530273
2005-07-19,13.600000381469727
2005-07-20,13.930000305175781
2005-07-21,13.800000190734863
2005-07-22,13.930000305175781
2005-07-25,13.949999809265137
2005-07-26,13.890000343322754
2005-07-27,13.819999694824219
2005-07-28,14.239999771118164
2005-07-29,14.300000190734863
2005-08-01,14.069999694824219
2005-08-02,13.949999809265137
2005-08-03,13.970000267028809
2005-08-04,13.829999923706055
2005-08-05,13.649999618530273
2005-08-08,13.489999771118164
2005-08-09,13.100000381469727
2005-08-10,13.050000190734863
2005-08-11,12.800000190734863
2005-08-12,13.020000457763672
2005-08-15,13.140000343322754
2005-08-16,13.0
2005-08-17,13.100000381469727
2005-08-18,13.149999618530273
2005-08-19,13.170000076293945
2005-08-22,13.199999809265137
2005-08-23,13.100000381469727
2005-08-24,13.1899995803833
2005-08-25,13.199999809265137
2005-08-26,13.149999618530273
2005-08-29,13.300000190734863
2005-08-30,13.199999809265137
2005-08-31,13.109999656677246
2005-09-01,13.199999809265137
2005-09-02,13.180000305175781
2005-09-06,13.380000114440918
2005-09-07,13.489999771118164
2005-09-08,13.420000076293945
2005-09-09,13.59000015258789
2005-09-12,13.550000190734863
2005-09-13,13.600000381469727
2005-09-14,13.520000457763672
2005-09-15,13.520000457763672
2005-09-16,13.670000076293945
2005-09-19,13.699999809265137
2005-09-20,13.899999618530273
2005-09-21,13.989999771118164
2005-09-22,13.920000076293945
2005-09-23,13.890000343322754
2005-09-26,13.989999771118164
2005-09-27,13.819999694824219
2005-09-28,13.819999694824219
2005-09-29,14.100000381469727
2005-09-30,14.170000076293945
2005-10-03,14.220000267028809
2005-10-04,14.289999961853027
2005-10-05,14.09000015258789
2005-10-06,13.710000038146973
2005-10-07,13.539999961853027
2005-10-10,13.670000076293945
2005-10-11,13.460000038146973
2005-10-12,13.369999885559082
2005-10-13,13.600000381469727
2005-10-14,13.430000305175781
2005-10-17,13.8100004196167
2005-10-18,13.779999732971191
2005-10-19,14.25
2005-10-20,13.789999961853027
2005-10-21,14.1899995803833
2005-10-24,14.029999732971191
2005-10-25,14.319999694824219
2005-10-26,14.369999885559082
2005-10-27,14.390000343322754
2005-10-28,14.25
2005-10-31,14.399999618530273
2005-11-01,15.850000381469727
2005-11-02,16.420000076293945
2005-11-03,16.6299991607666
2005-11-04,16.719999313354492
2005-11-07,16.6299991607666
2005-11-08,16.600000381469727
2005-11-09,16.540000915527344
2005-11-10,17.049999237060547
2005-11-11,16.940000534057617
2005-11-14,17.010000228881836
2005-11-15,17.43000030517578
2005-11-16,17.40999984741211
2005-11-17,17.8700008392334
2005-11-18,17.700000762939453
2005-11-21,18.139999389648438
2005-11-22,16.93000030517578
2005-11-23,16.920000076293945
2005-11-25,16.809999465942383
2005-11-28,16.100000381469727
2005-11-29,16.8700008392334
2005-11-30,16.959999084472656
2005-12-01,17.059999465942383
2005-12-02,17.09000015258789
2005-12-05,17.149999618530273
2005-12-06,17.100000381469727
2005-12-07,17.149999618530273
2005-12-08,17.1299991607666
2005-12-09,17.100000381469727
2005-12-12,17.049999237060547
2005-12-13,17.1299991607666
2005-12-14,17.049999237060547
2005-12-15,17.149999618530273
2005-12-16,17.25
2005-12-19,17.309999465942383
2005-12-20,17.219999313354492
2005-12-21,17.34000015258789
2005-12-22,17.360000610351562
2005-12-23,17.31999969482422
2005-12-27,17.329999923706055
2005-12-28,17.420000076293945
2005-12-29,17.40999984741211
2005-12-30,17.079999923706055
2006-01-03,17.229999542236328
2006-01-04,17.200000762939453
2006-01-05,17.899999618530273
2006-01-06,17.829999923706055
2006-01-09,17.700000762939453
2006-01-10,17.399999618530273
2006-01-11,17.549999237060547
2006-01-12,17.5
2006-01-13,17.5
2006-01-17,17.399999618530273
2006-01-18,17.09000015258789
2006-01-19,17.030000686645508
2006-01-20,16.959999084472656
2006-01-23,16.6200008392334
2006-01-24,16.440000534057617
2006-01-25,16.360000610351562
2006-01-26,16.670000076293945
2006-01-27,16.420000076293945
2006-01-30,17.190000534057617
2006-01-31,17.190000534057617
2006-02-01,17.479999542236328
2006-02-02,17.34000015258789
2006-02-03,17.489999771118164
2006-02-06,17.690000534057617
2006-02-07,17.809999465942383
2006-02-08,18.09000015258789
2006-02-09,18.0
2006-02-10,17.899999618530273
2006-02-13,18.34000015258789
2006-02-14,18.229999542236328
2006-02-15,18.75
2006-02-16,18.600000381469727
2006-02-17,18.81999969482422
2006-02-21,18.229999542236328
2006-02-22,18.15999984741211
2006-02-23,18.0
2006-02-24,17.90999984741211
2006-02-27,18.18000030517578
2006-02-28,18.299999237060547
2006-03-01,18.690000534057617
2006-03-02,18.799999237060547
2006-03-03,18.979999542236328
2006-03-06,19.31999969482422
2006-03-07,19.040000915527344
2006-03-08,19.209999084472656
2006-03-09,19.469999313354492
2006-03-10,19.610000610351562
2006-03-13,20.010000228881836
2006-03-14,19.75
2006-03-15,19.90999984741211
2006-03-16,19.979999542236328
2006-03-17,19.93000030517578
2006-03-20,19.709999084472656
2006-03-21,19.649999618530273
2006-03-22,19.440000534057617
2006-03-23,19.5
2006-03-24,19.940000534057617
2006-03-27,20.729999542236328
2006-03-28,20.850000381469727
2006-03-29,20.799999237060547
2006-03-30,21.059999465942383
2006-03-31,21.190000534057617
2006-04-03,20.6200008392334
2006-04-04,20.489999771118164
