,BOWXW
2020-10-21,1.5
2020-10-22,1.2999999523162842
2020-10-23,1.2999999523162842
2020-10-26,1.2799999713897705
2020-10-27,1.2999999523162842
2020-10-28,1.2000000476837158
2020-10-29,1.2000000476837158
2020-10-30,1.190000057220459
2020-11-02,1.1799999475479126
2020-11-03,1.1799999475479126
2020-11-04,1.149999976158142
2020-11-05,1.2000000476837158
2020-11-06,1.2000000476837158
2020-11-09,1.2000000476837158
2020-11-10,1.2000000476837158
2020-11-11,1.0099999904632568
2020-11-12,1.0099999904632568
2020-11-13,1.100000023841858
2020-11-16,0.9900000095367432
2020-11-17,0.9800000190734863
2020-11-18,1.0499999523162842
2020-11-19,1.1399999856948853
2020-11-20,1.2000000476837158
2020-11-23,1.2000000476837158
2020-11-24,1.2000000476837158
2020-11-25,1.3339999914169312
2020-11-27,1.5
2020-11-30,1.2999999523162842
2020-12-01,1.3799999952316284
2020-12-02,1.399999976158142
2020-12-03,1.2999999523162842
2020-12-04,1.4900000095367432
2020-12-07,1.399999976158142
2020-12-08,1.559999942779541
2020-12-09,1.5
2020-12-10,1.5
2020-12-11,1.4800000190734863
2020-12-14,1.4800000190734863
2020-12-15,1.409999966621399
2020-12-16,1.3799999952316284
2020-12-17,1.3700000047683716
2020-12-18,1.409999966621399
2020-12-21,1.5
2020-12-22,1.4950000047683716
2020-12-23,1.6200000047683716
2020-12-24,1.7029999494552612
2020-12-28,1.9299999475479126
2020-12-29,1.7999999523162842
2020-12-30,1.840000033378601
2020-12-31,1.7100000381469727
2021-01-04,1.7999999523162842
2021-01-05,1.6790000200271606
2021-01-06,1.6200000047683716
2021-01-07,1.7799999713897705
2021-01-08,1.7100000381469727
2021-01-11,1.600000023841858
2021-01-12,2.049999952316284
2021-01-13,1.996000051498413
2021-01-14,1.8700000047683716
2021-01-15,1.8700000047683716
2021-01-19,2.049999952316284
2021-01-20,1.9900000095367432
2021-01-21,2.299999952316284
2021-01-22,2.2899999618530273
2021-01-25,2.0999999046325684
2021-01-26,1.9600000381469727
2021-01-27,1.6799999475479126
2021-01-28,1.9199999570846558
2021-01-29,1.9600000381469727
2021-02-01,2.0
2021-02-02,1.940000057220459
2021-02-03,2.0
2021-02-04,2.0
2021-02-05,2.0
2021-02-08,2.0
2021-02-09,1.9199999570846558
2021-02-10,1.9299999475479126
2021-02-11,1.8899999856948853
2021-02-12,1.9900000095367432
2021-02-16,1.9199999570846558
2021-02-17,1.899999976158142
2021-02-18,1.899999976158142
2021-02-19,2.1610000133514404
2021-02-22,2.0999999046325684
2021-02-23,2.0899999141693115
2021-02-24,1.7999999523162842
2021-02-25,1.690000057220459
2021-02-26,1.7799999713897705
2021-03-01,1.8200000524520874
2021-03-02,1.5499999523162842
2021-03-03,1.4049999713897705
2021-03-04,1.1799999475479126
2021-03-05,1.2999999523162842
2021-03-08,1.2400000095367432
2021-03-09,1.149999976158142
2021-03-10,1.2400000095367432
2021-03-11,1.378999948501587
2021-03-12,1.2799999713897705
2021-03-15,1.350000023841858
2021-03-16,1.2999999523162842
2021-03-17,1.25
2021-03-18,1.149999976158142
2021-03-19,1.190000057220459
2021-03-22,1.1699999570846558
2021-03-23,1.0399999618530273
2021-03-24,1.2300000190734863
2021-03-25,1.0700000524520874
2021-03-26,2.119999885559082
2021-03-29,1.8700000047683716
2021-03-30,2.0199999809265137
2021-03-31,2.140000104904175
2021-04-01,2.8499999046325684
2021-04-05,3.140000104904175
2021-04-06,2.9800000190734863
2021-04-07,2.75
2021-04-08,2.9800000190734863
2021-04-09,3.0899999141693115
2021-04-12,3.450000047683716
2021-04-13,3.5399999618530273
2021-04-14,3.0
2021-04-15,3.1600000858306885
2021-04-16,2.940000057220459
2021-04-19,2.799999952316284
2021-04-20,2.700000047683716
2021-04-21,2.869999885559082
2021-04-22,2.8299999237060547
2021-04-23,2.8399999141693115
2021-04-26,2.9000000953674316
2021-04-27,3.0
2021-04-28,2.8399999141693115
2021-04-29,3.200000047683716
2021-04-30,3.299999952316284
2021-05-03,3.2300000190734863
2021-05-04,3.2799999713897705
2021-05-05,3.2300000190734863
2021-05-06,3.1600000858306885
2021-05-07,3.1500000953674316
2021-05-10,3.1500000953674316
2021-05-11,3.0
2021-05-12,3.200000047683716
2021-05-13,3.109999895095825
2021-05-14,3.2699999809265137
