,BWAY
2019-04-17,11.09000015258789
2019-04-18,11.25
2019-04-22,11.5
2019-04-23,11.3100004196167
2019-04-24,11.25
2019-04-25,11.0
2019-04-26,11.010000228881836
2019-04-29,10.869999885559082
2019-04-30,10.869999885559082
2019-05-01,11.0
2019-05-02,11.029999732971191
2019-05-03,11.079999923706055
2019-05-06,11.029999732971191
2019-05-07,11.010000228881836
2019-05-08,10.86400032043457
2019-05-09,10.817000389099121
2019-05-10,10.800000190734863
2019-05-13,10.380000114440918
2019-05-14,10.710000038146973
2019-05-15,10.800000190734863
2019-05-16,10.819999694824219
2019-05-17,10.881999969482422
2019-05-20,10.550000190734863
2019-05-21,10.850000381469727
2019-05-22,10.82800006866455
2019-05-23,10.680000305175781
2019-05-24,10.880000114440918
2019-05-28,10.545000076293945
2019-05-29,10.180000305175781
2019-05-30,10.060999870300293
2019-05-31,10.270000457763672
2019-06-03,10.100000381469727
2019-06-04,9.90999984741211
2019-06-05,9.9399995803833
2019-06-06,9.932000160217285
2019-06-07,9.678000450134277
2019-06-10,9.550000190734863
2019-06-11,9.100000381469727
2019-06-12,8.890000343322754
2019-06-13,8.699999809265137
2019-06-14,8.65999984741211
2019-06-17,9.0
2019-06-18,9.289999961853027
2019-06-19,9.40999984741211
2019-06-20,10.25
2019-06-21,10.25
2019-06-24,10.489999771118164
2019-06-25,10.305000305175781
2019-06-26,10.380000114440918
2019-06-27,10.255000114440918
2019-06-28,10.48799991607666
2019-07-01,10.54699993133545
2019-07-02,10.800000190734863
2019-07-03,10.199999809265137
2019-07-05,10.27299976348877
2019-07-08,10.5
2019-07-09,10.510000228881836
2019-07-10,10.343999862670898
2019-07-11,10.069999694824219
2019-07-12,10.407999992370605
2019-07-15,10.100000381469727
2019-07-16,10.0
2019-07-17,10.279999732971191
2019-07-18,10.149999618530273
2019-07-19,10.177000045776367
2019-07-22,10.050000190734863
2019-07-23,9.960000038146973
2019-07-24,10.149999618530273
2019-07-25,10.149999618530273
2019-07-26,10.4399995803833
2019-07-29,10.130000114440918
2019-07-30,10.300000190734863
2019-07-31,9.885000228881836
2019-08-01,10.192999839782715
2019-08-02,10.029999732971191
2019-08-05,10.0
2019-08-06,9.949999809265137
2019-08-07,9.75
2019-08-08,9.40999984741211
2019-08-09,9.300000190734863
2019-08-12,9.3100004196167
2019-08-13,9.300000190734863
2019-08-14,8.550000190734863
2019-08-15,8.789999961853027
2019-08-16,9.0
2019-08-19,9.25
2019-08-20,10.1899995803833
2019-08-21,10.170000076293945
2019-08-22,10.050000190734863
2019-08-23,10.25
2019-08-26,10.34000015258789
2019-08-27,10.0
2019-08-28,10.0
2019-08-29,10.0
2019-08-30,10.069999694824219
2019-09-03,10.0
2019-09-04,10.390000343322754
2019-09-05,10.3100004196167
2019-09-06,10.371000289916992
2019-09-09,10.5
2019-09-10,10.5
2019-09-11,10.5
2019-09-12,10.5
2019-09-13,10.5
2019-09-16,10.569999694824219
2019-09-17,10.569999694824219
2019-09-18,10.6850004196167
2019-09-19,10.1899995803833
2019-09-20,10.373000144958496
2019-09-23,9.633000373840332
2019-09-24,9.279999732971191
2019-09-25,9.510000228881836
2019-09-26,9.510000228881836
2019-09-27,9.510000228881836
2019-09-30,9.109999656677246
2019-10-01,9.1899995803833
2019-10-02,9.039999961853027
2019-10-03,9.119999885559082
2019-10-04,9.029999732971191
2019-10-07,9.180000305175781
2019-10-08,8.319999694824219
2019-10-09,9.119999885559082
2019-10-10,9.0
2019-10-11,9.0
2019-10-14,9.09000015258789
2019-10-15,9.09000015258789
2019-10-16,8.800000190734863
2019-10-17,8.850000381469727
2019-10-18,8.84000015258789
2019-10-21,8.899999618530273
2019-10-22,8.529999732971191
2019-10-23,8.550000190734863
2019-10-24,8.526000022888184
2019-10-25,8.5600004196167
2019-10-28,8.649999618530273
2019-10-29,8.479999542236328
2019-10-30,8.715999603271484
2019-10-31,8.899999618530273
2019-11-01,9.3100004196167
2019-11-04,9.739999771118164
2019-11-05,9.770000457763672
2019-11-06,9.350000381469727
2019-11-07,9.350000381469727
2019-11-08,9.289999961853027
2019-11-11,9.0
2019-11-12,9.0600004196167
2019-11-13,9.069999694824219
2019-11-14,9.130000114440918
2019-11-15,8.949999809265137
2019-11-18,8.300000190734863
2019-11-19,8.699999809265137
2019-11-20,8.5
2019-11-21,8.54800033569336
2019-11-22,8.350000381469727
2019-11-25,9.399999618530273
2019-11-26,9.0600004196167
2019-11-27,9.40999984741211
2019-11-29,9.229999542236328
2019-12-02,10.800000190734863
2019-12-03,10.470000267028809
2019-12-04,10.557999610900879
2019-12-05,10.829999923706055
2019-12-06,10.649999618530273
2019-12-09,10.739999771118164
2019-12-10,10.5
2019-12-11,10.15999984741211
2019-12-12,10.369999885559082
2019-12-13,10.439000129699707
2019-12-16,10.029999732971191
2019-12-17,10.00100040435791
2019-12-18,9.550000190734863
2019-12-19,9.774999618530273
2019-12-20,9.649999618530273
2019-12-23,9.720000267028809
2019-12-24,9.720000267028809
2019-12-26,9.614999771118164
2019-12-27,9.6899995803833
2019-12-30,9.75
2019-12-31,9.75
2020-01-02,9.958999633789062
2020-01-03,10.197999954223633
2020-01-06,10.227999687194824
2020-01-07,9.946999549865723
2020-01-08,10.013999938964844
2020-01-09,10.0
2020-01-10,10.100000381469727
2020-01-13,10.583000183105469
2020-01-14,10.75
2020-01-15,10.789999961853027
2020-01-16,11.720000267028809
2020-01-17,11.710000038146973
2020-01-21,12.220000267028809
2020-01-22,12.3100004196167
2020-01-23,11.86400032043457
2020-01-24,12.130000114440918
2020-01-27,11.680000305175781
2020-01-28,11.220000267028809
2020-01-29,11.229999542236328
2020-01-30,11.84000015258789
2020-01-31,11.25
2020-02-03,11.180000305175781
2020-02-04,11.0
2020-02-05,10.88599967956543
2020-02-06,11.989999771118164
2020-02-07,11.899999618530273
2020-02-10,12.0
2020-02-11,12.03499984741211
2020-02-12,12.039999961853027
2020-02-13,11.979999542236328
2020-02-14,11.979999542236328
2020-02-18,11.803999900817871
2020-02-19,12.09000015258789
2020-02-20,12.0
2020-02-21,12.0
2020-02-24,11.5
2020-02-25,11.522000312805176
2020-02-26,11.550000190734863
2020-02-27,11.366999626159668
2020-02-28,10.59000015258789
2020-03-02,10.899999618530273
2020-03-03,10.75
2020-03-04,10.960000038146973
2020-03-05,10.298999786376953
2020-03-06,10.100000381469727
2020-03-09,8.130000114440918
2020-03-10,8.800000190734863
2020-03-11,8.196000099182129
2020-03-12,7.150000095367432
2020-03-13,7.570000171661377
2020-03-16,6.239999771118164
2020-03-17,6.019999980926514
2020-03-18,5.232999801635742
2020-03-19,6.0
2020-03-20,5.849999904632568
2020-03-23,5.980000019073486
2020-03-24,6.300000190734863
2020-03-25,6.599999904632568
2020-03-26,6.78000020980835
2020-03-27,6.650000095367432
2020-03-30,6.980000019073486
2020-03-31,7.940000057220459
2020-04-01,7.300000190734863
2020-04-02,7.480999946594238
2020-04-03,7.400000095367432
2020-04-06,7.557000160217285
2020-04-07,7.53000020980835
2020-04-08,7.599999904632568
2020-04-09,8.125
2020-04-13,8.050000190734863
2020-04-14,8.0
2020-04-15,8.0
2020-04-16,7.400000095367432
2020-04-17,7.650000095367432
2020-04-20,7.650000095367432
2020-04-21,7.564000129699707
2020-04-22,7.639999866485596
2020-04-23,7.900000095367432
2020-04-24,7.800000190734863
2020-04-27,8.0
2020-04-28,8.350000381469727
2020-04-29,8.470000267028809
2020-04-30,8.550000190734863
2020-05-01,8.550000190734863
2020-05-04,8.180000305175781
2020-05-05,8.180000305175781
2020-05-06,8.180000305175781
2020-05-07,8.51099967956543
2020-05-08,8.470000267028809
2020-05-11,8.460000038146973
2020-05-12,8.449999809265137
2020-05-13,8.229999542236328
2020-05-14,7.989999771118164
