,BZUN
2015-05-20,10.0
2015-05-21,10.4399995803833
2015-05-22,11.079999923706055
2015-05-26,12.779999732971191
2015-05-27,12.239999771118164
2015-05-28,11.880000114440918
2015-05-29,12.220000267028809
2015-06-01,11.489999771118164
2015-06-02,11.34000015258789
2015-06-03,10.90999984741211
2015-06-04,10.760000228881836
2015-06-05,10.960000038146973
2015-06-08,11.850000381469727
2015-06-09,11.369999885559082
2015-06-10,11.59000015258789
2015-06-11,11.850000381469727
2015-06-12,12.479999542236328
2015-06-15,11.84000015258789
2015-06-16,11.930000305175781
2015-06-17,11.890000343322754
2015-06-18,12.09000015258789
2015-06-19,11.770000457763672
2015-06-22,11.619999885559082
2015-06-23,11.75
2015-06-24,11.710000038146973
2015-06-25,11.4399995803833
2015-06-26,11.0600004196167
2015-06-29,10.119999885559082
2015-06-30,10.770000457763672
2015-07-01,10.3100004196167
2015-07-02,10.229999542236328
2015-07-06,9.550000190734863
2015-07-07,7.425000190734863
2015-07-08,7.159999847412109
2015-07-09,8.130000114440918
2015-07-10,8.329999923706055
2015-07-13,8.149999618530273
2015-07-14,8.09000015258789
2015-07-15,7.670000076293945
2015-07-16,7.46999979019165
2015-07-17,7.670000076293945
2015-07-20,7.360000133514404
2015-07-21,7.75
2015-07-22,8.970000267028809
2015-07-23,8.680000305175781
2015-07-24,8.130000114440918
2015-07-27,8.789999961853027
2015-07-28,8.369999885559082
2015-07-29,8.529999732971191
2015-07-30,8.350000381469727
2015-07-31,8.3100004196167
2015-08-03,8.380000114440918
2015-08-04,8.399999618530273
2015-08-05,8.40999984741211
2015-08-06,8.1899995803833
2015-08-07,8.279999732971191
2015-08-10,8.550000190734863
2015-08-11,8.239999771118164
2015-08-12,8.09000015258789
2015-08-13,7.699999809265137
2015-08-14,7.730000019073486
2015-08-17,7.739999771118164
2015-08-18,7.869999885559082
2015-08-19,6.900000095367432
2015-08-20,6.019999980926514
2015-08-21,5.650000095367432
2015-08-24,4.690000057220459
2015-08-25,4.659999847412109
2015-08-26,4.690000057220459
2015-08-27,5.179999828338623
2015-08-28,5.28000020980835
2015-08-31,5.119999885559082
2015-09-01,4.889999866485596
2015-09-02,4.940000057220459
2015-09-03,5.28000020980835
2015-09-04,5.150000095367432
2015-09-08,5.340000152587891
2015-09-09,5.099999904632568
2015-09-10,5.110000133514404
2015-09-11,5.090000152587891
2015-09-14,4.989999771118164
2015-09-15,5.079999923706055
2015-09-16,5.289999961853027
2015-09-17,5.349999904632568
2015-09-18,5.429999828338623
2015-09-21,5.150000095367432
2015-09-22,5.190000057220459
2015-09-23,4.960000038146973
2015-09-24,5.110000133514404
2015-09-25,5.03000020980835
2015-09-28,4.800000190734863
2015-09-29,4.800000190734863
2015-09-30,4.820000171661377
2015-10-01,4.639999866485596
2015-10-02,5.25
2015-10-05,5.21999979019165
2015-10-06,5.289999961853027
2015-10-07,5.820000171661377
2015-10-08,5.71999979019165
2015-10-09,5.489999771118164
2015-10-12,5.510000228881836
2015-10-13,5.659999847412109
2015-10-14,5.420000076293945
2015-10-15,5.800000190734863
2015-10-16,5.940000057220459
2015-10-19,5.820000171661377
2015-10-20,6.099999904632568
2015-10-21,5.940000057220459
2015-10-22,6.130000114440918
2015-10-23,6.53000020980835
2015-10-26,7.539999961853027
2015-10-27,7.329999923706055
2015-10-28,7.820000171661377
2015-10-29,8.300000190734863
2015-10-30,8.640000343322754
2015-11-02,8.350000381469727
2015-11-03,8.09000015258789
2015-11-04,7.849999904632568
2015-11-05,7.449999809265137
2015-11-06,7.300000190734863
2015-11-09,7.309999942779541
2015-11-10,6.929999828338623
2015-11-11,6.820000171661377
2015-11-12,7.0
2015-11-13,6.130000114440918
2015-11-16,6.349999904632568
2015-11-17,6.690000057220459
2015-11-18,6.78000020980835
2015-11-19,6.869999885559082
2015-11-20,7.599999904632568
2015-11-23,7.96999979019165
2015-11-24,8.880000114440918
2015-11-25,9.5
2015-11-27,8.789999961853027
2015-11-30,7.809999942779541
2015-12-01,8.1899995803833
2015-12-02,8.109999656677246
2015-12-03,7.78000020980835
2015-12-04,7.909999847412109
2015-12-07,7.659999847412109
2015-12-08,8.109999656677246
2015-12-09,8.050000190734863
2015-12-10,8.430000305175781
2015-12-11,8.050000190734863
2015-12-14,8.050000190734863
2015-12-15,8.430000305175781
2015-12-16,8.630000114440918
2015-12-17,8.569999694824219
2015-12-18,8.859999656677246
2015-12-21,8.720000267028809
2015-12-22,8.819999694824219
2015-12-23,8.40999984741211
2015-12-24,8.5600004196167
2015-12-28,8.369999885559082
2015-12-29,8.15999984741211
2015-12-30,8.210000038146973
2015-12-31,8.210000038146973
2016-01-04,7.46999979019165
2016-01-05,7.550000190734863
2016-01-06,7.519999980926514
2016-01-07,6.769999980926514
2016-01-08,6.75
2016-01-11,6.510000228881836
2016-01-12,6.71999979019165
2016-01-13,6.53000020980835
2016-01-14,6.940000057220459
2016-01-15,6.53000020980835
2016-01-19,6.460000038146973
2016-01-20,6.139999866485596
2016-01-21,6.46999979019165
2016-01-22,6.730000019073486
2016-01-25,6.699999809265137
2016-01-26,6.400000095367432
2016-01-27,6.25
2016-01-28,6.489999771118164
2016-01-29,6.599999904632568
2016-02-01,6.474999904632568
2016-02-02,6.360000133514404
2016-02-03,6.230000019073486
2016-02-04,6.03000020980835
2016-02-05,5.960000038146973
2016-02-08,5.349999904632568
2016-02-09,5.360000133514404
2016-02-10,5.420000076293945
2016-02-11,5.079999923706055
2016-02-12,4.909999847412109
2016-02-16,5.170000076293945
2016-02-17,5.400000095367432
2016-02-18,5.670000076293945
2016-02-19,5.659999847412109
2016-02-22,6.010000228881836
2016-02-23,6.019999980926514
2016-02-24,5.679999828338623
2016-02-25,5.78000020980835
2016-02-26,6.019999980926514
2016-02-29,5.900000095367432
2016-03-01,5.900000095367432
2016-03-02,5.670000076293945
2016-03-03,5.389999866485596
2016-03-04,5.889999866485596
2016-03-07,5.949999809265137
2016-03-08,5.800000190734863
2016-03-09,5.949999809265137
2016-03-10,5.71999979019165
2016-03-11,5.880000114440918
2016-03-14,5.880000114440918
2016-03-15,5.690000057220459
2016-03-16,5.75
2016-03-17,5.78000020980835
2016-03-18,5.849999904632568
2016-03-21,6.070000171661377
2016-03-22,6.019999980926514
2016-03-23,5.840000152587891
2016-03-24,5.840000152587891
2016-03-28,5.679999828338623
2016-03-29,5.699999809265137
2016-03-30,5.889999866485596
2016-03-31,5.840000152587891
2016-04-01,5.75
2016-04-04,5.800000190734863
2016-04-05,5.630000114440918
2016-04-06,6.159999847412109
2016-04-07,6.159999847412109
2016-04-08,6.28000020980835
2016-04-11,6.150000095367432
2016-04-12,6.199999809265137
2016-04-13,6.389999866485596
2016-04-14,6.380000114440918
2016-04-15,6.480000019073486
2016-04-18,6.409999847412109
2016-04-19,6.369999885559082
2016-04-20,6.320000171661377
2016-04-21,6.289999961853027
2016-04-22,6.199999809265137
2016-04-25,5.829999923706055
2016-04-26,6.079999923706055
2016-04-27,5.900000095367432
2016-04-28,5.980000019073486
2016-04-29,5.78000020980835
2016-05-02,5.71999979019165
2016-05-03,5.690000057220459
2016-05-04,5.760000228881836
2016-05-05,5.679999828338623
2016-05-06,5.690000057220459
2016-05-09,5.440000057220459
2016-05-10,5.78000020980835
2016-05-11,5.590000152587891
2016-05-12,5.46999979019165
2016-05-13,5.550000190734863
2016-05-16,5.489999771118164
2016-05-17,5.420000076293945
2016-05-18,5.659999847412109
2016-05-19,5.570000171661377
2016-05-20,5.730000019073486
2016-05-23,5.889999866485596
2016-05-24,5.909999847412109
2016-05-25,5.75
2016-05-26,5.940000057220459
2016-05-27,6.039999961853027
2016-05-31,6.420000076293945
2016-06-01,6.150000095367432
2016-06-02,6.300000190734863
2016-06-03,6.159999847412109
2016-06-06,6.679999828338623
2016-06-07,6.849999904632568
2016-06-08,7.150000095367432
2016-06-09,6.829999923706055
2016-06-10,6.590000152587891
2016-06-13,7.170000076293945
2016-06-14,6.889999866485596
2016-06-15,7.019999980926514
2016-06-16,6.949999809265137
2016-06-17,6.829999923706055
2016-06-20,6.920000076293945
2016-06-21,6.929999828338623
2016-06-22,6.889999866485596
2016-06-23,6.980000019073486
2016-06-24,6.389999866485596
2016-06-27,6.159999847412109
2016-06-28,6.329999923706055
2016-06-29,6.409999847412109
2016-06-30,6.489999771118164
2016-07-01,6.650000095367432
2016-07-05,6.320000171661377
2016-07-06,6.400000095367432
2016-07-07,6.75
2016-07-08,6.769999980926514
2016-07-11,7.0
2016-07-12,6.989999771118164
2016-07-13,6.900000095367432
2016-07-14,7.0
2016-07-15,6.929999828338623
2016-07-18,7.260000228881836
2016-07-19,7.489999771118164
2016-07-20,7.489999771118164
2016-07-21,7.090000152587891
2016-07-22,7.199999809265137
2016-07-25,7.139999866485596
2016-07-26,7.28000020980835
2016-07-27,7.340000152587891
2016-07-28,7.289999961853027
2016-07-29,7.070000171661377
2016-08-01,7.420000076293945
2016-08-02,8.59000015258789
2016-08-03,8.369999885559082
2016-08-04,7.880000114440918
2016-08-05,8.210000038146973
2016-08-08,7.820000171661377
2016-08-09,8.149999618530273
2016-08-10,8.609999656677246
2016-08-11,9.430000305175781
2016-08-12,9.430000305175781
2016-08-15,9.899999618530273
2016-08-16,9.600000381469727
2016-08-17,9.569999694824219
2016-08-18,9.34000015258789
2016-08-19,9.510000228881836
2016-08-22,9.5
2016-08-23,10.479999542236328
2016-08-24,10.199999809265137
2016-08-25,11.579999923706055
2016-08-26,11.220000267028809
2016-08-29,12.649999618530273
2016-08-30,13.430000305175781
2016-08-31,13.1899995803833
2016-09-01,13.449999809265137
2016-09-02,14.609999656677246
2016-09-06,14.170000076293945
2016-09-07,13.949999809265137
2016-09-08,13.819999694824219
2016-09-09,13.149999618530273
2016-09-12,13.670000076293945
2016-09-13,13.40999984741211
2016-09-14,14.079999923706055
2016-09-15,14.430000305175781
2016-09-16,15.630000114440918
2016-09-19,15.210000038146973
2016-09-20,14.979999542236328
2016-09-21,15.399999618530273
2016-09-22,15.489999771118164
2016-09-23,15.40999984741211
2016-09-26,14.989999771118164
2016-09-27,15.229999542236328
2016-09-28,15.364999771118164
2016-09-29,15.3100004196167
2016-09-30,15.09000015258789
2016-10-03,16.149999618530273
2016-10-04,16.420000076293945
2016-10-05,17.190000534057617
2016-10-06,17.200000762939453
2016-10-07,17.079999923706055
2016-10-10,18.5
2016-10-11,17.1200008392334
2016-10-12,17.110000610351562
2016-10-13,15.4350004196167
2016-10-14,14.954999923706055
2016-10-17,15.039999961853027
2016-10-18,15.109999656677246
2016-10-19,15.15999984741211
2016-10-20,14.920000076293945
2016-10-21,15.149999618530273
2016-10-24,15.119999885559082
2016-10-25,15.050000190734863
2016-10-26,14.930000305175781
2016-10-27,14.479999542236328
2016-10-28,14.319999694824219
2016-10-31,13.239999771118164
2016-11-01,13.260000228881836
2016-11-02,12.920000076293945
2016-11-03,13.0
2016-11-04,13.489999771118164
2016-11-07,14.430000305175781
2016-11-08,14.949999809265137
2016-11-09,14.8100004196167
2016-11-10,14.390000343322754
2016-11-11,15.130000114440918
2016-11-14,15.880000114440918
2016-11-15,16.690000534057617
2016-11-16,16.049999237060547
2016-11-17,16.020000457763672
2016-11-18,15.609999656677246
2016-11-21,15.979999542236328
2016-11-22,15.989999771118164
2016-11-23,16.200000762939453
2016-11-25,16.010000228881836
2016-11-28,15.260000228881836
2016-11-29,15.350000381469727
2016-11-30,15.09000015258789
2016-12-01,14.125
2016-12-02,14.180000305175781
2016-12-05,13.579999923706055
2016-12-06,12.880000114440918
2016-12-07,12.970000267028809
2016-12-08,12.520000457763672
2016-12-09,12.229999542236328
2016-12-12,11.829999923706055
2016-12-13,12.020000457763672
2016-12-14,12.25
2016-12-15,12.359999656677246
2016-12-16,12.760000228881836
2016-12-19,12.390000343322754
2016-12-20,12.350000381469727
2016-12-21,12.25
2016-12-22,12.069999694824219
2016-12-23,11.930000305175781
2016-12-27,11.600000381469727
2016-12-28,11.420000076293945
2016-12-29,11.170000076293945
2016-12-30,12.069999694824219
2017-01-03,11.399999618530273
2017-01-04,11.300000190734863
2017-01-05,11.600000381469727
2017-01-06,11.680000305175781
2017-01-09,11.680000305175781
2017-01-10,13.130000114440918
2017-01-11,13.609999656677246
2017-01-12,13.800000190734863
2017-01-13,13.9399995803833
2017-01-17,13.40999984741211
2017-01-18,13.359999656677246
2017-01-19,13.579999923706055
2017-01-20,13.630000114440918
2017-01-23,13.5600004196167
2017-01-24,13.899999618530273
2017-01-25,13.920000076293945
2017-01-26,13.319999694824219
2017-01-27,13.399999618530273
2017-01-30,13.170000076293945
2017-01-31,13.109999656677246
2017-02-01,13.199999809265137
2017-02-02,13.140000343322754
2017-02-03,13.569999694824219
2017-02-06,14.25
2017-02-07,14.380000114440918
2017-02-08,14.449999809265137
2017-02-09,14.930000305175781
2017-02-10,15.010000228881836
2017-02-13,15.199999809265137
2017-02-14,15.380000114440918
2017-02-15,15.34000015258789
2017-02-16,15.449999809265137
2017-02-17,14.949999809265137
2017-02-21,15.890000343322754
2017-02-22,15.420000076293945
2017-02-23,14.180000305175781
2017-02-24,14.479999542236328
2017-02-27,14.350000381469727
2017-02-28,14.380000114440918
2017-03-01,14.539999961853027
2017-03-02,14.369999885559082
2017-03-03,14.039999961853027
2017-03-06,14.079999923706055
2017-03-07,14.75
2017-03-08,15.489999771118164
2017-03-09,15.470000267028809
2017-03-10,15.229999542236328
2017-03-13,15.40999984741211
2017-03-14,15.25
2017-03-15,15.609999656677246
2017-03-16,15.5
2017-03-17,15.1899995803833
2017-03-20,15.130000114440918
2017-03-21,14.100000381469727
2017-03-22,14.329999923706055
2017-03-23,14.829999923706055
2017-03-24,14.970000267028809
2017-03-27,14.930000305175781
2017-03-28,15.0
2017-03-29,14.890000343322754
2017-03-30,14.680000305175781
2017-03-31,14.9399995803833
2017-04-03,15.390000343322754
2017-04-04,14.90999984741211
2017-04-05,15.199999809265137
2017-04-06,14.979999542236328
2017-04-07,15.5600004196167
2017-04-10,16.860000610351562
2017-04-11,16.709999084472656
2017-04-12,15.8100004196167
2017-04-13,14.979999542236328
2017-04-17,14.600000381469727
2017-04-18,14.739999771118164
2017-04-19,15.0
2017-04-20,14.859999656677246
2017-04-21,14.960000038146973
2017-04-24,14.949999809265137
2017-04-25,15.210000038146973
2017-04-26,14.989999771118164
2017-04-27,15.039999961853027
2017-04-28,15.270000457763672
2017-05-01,16.34000015258789
2017-05-02,16.229999542236328
2017-05-03,15.779999732971191
2017-05-04,15.699999809265137
2017-05-05,17.65999984741211
2017-05-08,17.639999389648438
2017-05-09,19.290000915527344
2017-05-10,19.6299991607666
2017-05-11,21.0
2017-05-12,19.979999542236328
2017-05-15,19.860000610351562
2017-05-16,22.780000686645508
2017-05-17,20.010000228881836
2017-05-18,21.8799991607666
2017-05-19,21.690000534057617
2017-05-22,21.200000762939453
2017-05-23,20.780000686645508
2017-05-24,21.139999389648438
2017-05-25,20.959999084472656
2017-05-26,21.1200008392334
2017-05-30,21.059999465942383
2017-05-31,20.549999237060547
2017-06-01,20.6200008392334
2017-06-02,20.889999389648438
2017-06-05,20.530000686645508
2017-06-06,20.959999084472656
2017-06-07,22.780000686645508
2017-06-08,23.43000030517578
2017-06-09,21.459999084472656
2017-06-12,20.899999618530273
2017-06-13,20.260000228881836
2017-06-14,20.229999542236328
2017-06-15,19.81999969482422
2017-06-16,20.489999771118164
2017-06-19,21.239999771118164
2017-06-20,20.709999084472656
2017-06-21,21.559999465942383
2017-06-22,21.940000534057617
2017-06-23,23.049999237060547
2017-06-26,22.670000076293945
2017-06-27,22.18000030517578
2017-06-28,22.3799991607666
2017-06-29,21.899999618530273
2017-06-30,22.170000076293945
2017-07-03,22.530000686645508
2017-07-05,24.559999465942383
2017-07-06,24.780000686645508
2017-07-07,25.1200008392334
2017-07-10,26.690000534057617
2017-07-11,27.200000762939453
2017-07-12,27.93000030517578
2017-07-13,29.020000457763672
2017-07-14,29.5
2017-07-17,29.200000762939453
2017-07-18,29.260000228881836
2017-07-19,29.510000228881836
2017-07-20,29.889999389648438
2017-07-21,32.380001068115234
2017-07-24,34.18000030517578
2017-07-25,32.209999084472656
2017-07-26,32.849998474121094
2017-07-27,34.88999938964844
2017-07-28,33.689998626708984
2017-07-31,32.459999084472656
2017-08-01,32.4900016784668
2017-08-02,30.600000381469727
2017-08-03,31.56999969482422
