,CATB
2015-06-25,130.0
2015-06-26,134.6999969482422
2015-06-29,117.05000305175781
2015-06-30,122.0999984741211
2015-07-01,132.0
2015-07-02,124.0
2015-07-06,136.39999389648438
2015-07-07,134.1999969482422
2015-07-08,130.0
2015-07-09,125.5
2015-07-10,143.8000030517578
2015-07-13,129.5
2015-07-14,139.6999969482422
2015-07-15,133.6999969482422
2015-07-16,133.0
2015-07-17,140.5
2015-07-20,137.60000610351562
2015-07-21,140.0
2015-07-22,141.39999389648438
2015-07-23,145.0
2015-07-24,139.0
2015-07-27,120.0
2015-07-28,130.89999389648438
2015-07-29,135.0
2015-07-30,139.60000610351562
2015-07-31,130.0
2015-08-03,124.0999984741211
2015-08-04,130.5
2015-08-05,132.64999389648438
2015-08-06,128.6999969482422
2015-08-07,126.5999984741211
2015-08-10,128.35000610351562
2015-08-11,122.30000305175781
2015-08-12,114.19999694824219
2015-08-13,119.9000015258789
2015-08-14,119.9000015258789
2015-08-17,120.69999694824219
2015-08-18,118.9000015258789
2015-08-19,119.4000015258789
2015-08-20,118.69999694824219
2015-08-21,112.5999984741211
2015-08-24,111.69999694824219
2015-08-25,110.5
2015-08-26,111.30000305175781
2015-08-27,119.30000305175781
2015-08-28,122.87999725341797
2015-08-31,113.9000015258789
2015-09-01,106.80000305175781
2015-09-02,119.80000305175781
2015-09-03,115.0
2015-09-04,111.9000015258789
2015-09-08,108.0999984741211
2015-09-09,119.0
2015-09-10,110.4000015258789
2015-09-11,106.19999694824219
2015-09-14,108.5
2015-09-15,110.9000015258789
2015-09-16,108.69999694824219
2015-09-17,111.0999984741211
2015-09-18,94.4000015258789
2015-09-21,97.80000305175781
2015-09-22,97.0999984741211
2015-09-23,95.9000015258789
2015-09-24,94.9000015258789
2015-09-25,79.0
2015-09-28,76.0
2015-09-29,77.0999984741211
2015-09-30,80.9000015258789
2015-10-01,72.4000015258789
2015-10-02,75.0999984741211
2015-10-05,71.0
2015-10-06,72.5999984741211
2015-10-07,76.4000015258789
2015-10-08,77.5999984741211
2015-10-09,76.5999984741211
2015-10-12,77.4000015258789
2015-10-13,84.5
2015-10-14,86.4000015258789
2015-10-15,89.80000305175781
2015-10-16,82.19999694824219
2015-10-19,82.69999694824219
2015-10-20,78.69999694824219
2015-10-21,70.69999694824219
2015-10-22,70.19999694824219
2015-10-23,79.80000305175781
2015-10-26,75.9000015258789
2015-10-27,69.80000305175781
2015-10-28,75.0999984741211
2015-10-29,72.30000305175781
2015-10-30,69.80000305175781
2015-11-02,74.4000015258789
2015-11-03,73.69999694824219
2015-11-04,75.80000305175781
2015-11-05,77.30000305175781
2015-11-06,75.0
2015-11-09,80.9000015258789
2015-11-10,83.5
2015-11-11,76.4000015258789
2015-11-12,72.5
2015-11-13,70.30000305175781
2015-11-16,67.5999984741211
2015-11-17,66.69999694824219
2015-11-18,71.19999694824219
2015-11-19,72.5
2015-11-20,72.69999694824219
2015-11-23,73.19999694824219
2015-11-24,77.4000015258789
2015-11-25,82.0
2015-11-27,78.4000015258789
2015-11-30,83.0
2015-12-01,87.5999984741211
2015-12-02,86.80000305175781
2015-12-03,82.19999694824219
2015-12-04,88.5
2015-12-07,85.9000015258789
2015-12-08,82.4000015258789
2015-12-09,83.80000305175781
2015-12-10,85.4000015258789
2015-12-11,83.0999984741211
2015-12-14,82.0999984741211
2015-12-15,82.80000305175781
2015-12-16,82.0999984741211
2015-12-17,90.9000015258789
2015-12-18,99.9000015258789
2015-12-21,107.5
2015-12-22,97.80000305175781
2015-12-23,95.69999694824219
2015-12-24,94.30000305175781
2015-12-28,89.19999694824219
2015-12-29,84.0999984741211
2015-12-30,75.9000015258789
2015-12-31,79.30000305175781
2016-01-04,72.9000015258789
2016-01-05,76.5999984741211
2016-01-06,76.0
2016-01-07,72.5
2016-01-08,72.9000015258789
2016-01-11,69.30000305175781
2016-01-12,69.0999984741211
2016-01-13,65.0999984741211
2016-01-14,66.30000305175781
2016-01-15,55.099998474121094
2016-01-19,54.400001525878906
2016-01-20,60.900001525878906
2016-01-21,58.70000076293945
2016-01-22,58.099998474121094
2016-01-25,66.5
2016-01-26,63.29999923706055
2016-01-27,58.400001525878906
2016-01-28,59.099998474121094
2016-01-29,66.19999694824219
2016-02-01,63.0
2016-02-02,60.29999923706055
2016-02-03,60.599998474121094
2016-02-04,62.5
2016-02-05,57.5
2016-02-08,48.900001525878906
2016-02-09,48.099998474121094
2016-02-10,45.5
2016-02-11,45.70000076293945
2016-02-12,44.599998474121094
2016-02-16,44.70000076293945
2016-02-17,44.599998474121094
2016-02-18,44.400001525878906
2016-02-19,47.20000076293945
2016-02-22,47.20000076293945
2016-02-23,46.099998474121094
2016-02-24,44.5
2016-02-25,43.0
2016-02-26,44.29999923706055
2016-02-29,42.0
2016-03-01,42.0
2016-03-02,44.0
2016-03-03,44.900001525878906
2016-03-04,64.5999984741211
2016-03-07,81.4000015258789
2016-03-08,72.5999984741211
2016-03-09,69.69999694824219
2016-03-10,65.0999984741211
2016-03-11,64.19999694824219
2016-03-14,64.80000305175781
2016-03-15,64.5
2016-03-16,64.19999694824219
2016-03-17,58.0
2016-03-18,59.900001525878906
2016-03-21,58.400001525878906
2016-03-22,58.79999923706055
2016-03-23,54.599998474121094
2016-03-24,52.0
2016-03-28,51.599998474121094
2016-03-29,47.099998474121094
2016-03-30,45.5
2016-03-31,50.400001525878906
2016-04-01,51.599998474121094
2016-04-04,51.900001525878906
2016-04-05,48.0
2016-04-06,48.599998474121094
2016-04-07,48.20000076293945
2016-04-08,49.5
2016-04-11,51.5
2016-04-12,50.5
2016-04-13,51.29999923706055
2016-04-14,51.79999923706055
