,CDMO
1994-04-04,91.875
1994-04-05,96.25
1994-04-06,91.875
1994-04-07,105.0
1994-04-08,122.5
1994-04-11,122.5
1994-04-12,113.75
1994-04-13,105.0
1994-04-14,105.0
1994-04-15,109.375
1994-04-18,109.375
1994-04-19,109.375
1994-04-20,105.0
1994-04-21,105.0
1994-04-22,100.625
1994-04-25,100.625
1994-04-26,105.0
1994-04-28,102.8125
1994-04-29,100.625
1994-05-02,96.25
1994-05-03,107.1875
1994-05-04,105.0
1994-05-05,107.1875
1994-05-06,102.8125
1994-05-09,102.8125
1994-05-10,105.0
1994-05-11,100.625
1994-05-12,107.1875
1994-05-13,102.8125
1994-05-16,105.0
1994-05-17,83.125
1994-05-18,91.875
1994-05-19,87.5
1994-05-20,105.0
1994-05-23,96.25
1994-05-24,96.25
1994-05-25,87.5
1994-05-26,98.4375
1994-05-27,87.5
1994-05-31,87.5
1994-06-01,100.625
1994-06-02,98.4375
1994-06-03,105.0
1994-06-06,105.0
1994-06-07,105.0
1994-06-08,109.375
1994-06-09,109.375
1994-06-10,100.625
1994-06-13,96.25
1994-06-14,96.25
1994-06-15,100.625
1994-06-16,105.0
1994-06-17,109.375
1994-06-20,105.0
1994-06-21,100.625
1994-06-22,96.25
1994-06-23,102.8125
1994-06-24,102.8125
1994-06-27,96.25
1994-06-28,96.25
1994-06-29,94.0625
1994-06-30,96.25
1994-07-01,102.8125
1994-07-05,97.34375
1994-07-06,94.0625
1994-07-07,91.875
1994-07-08,96.25
1994-07-11,89.6875
1994-07-12,94.0625
1994-07-13,91.875
1994-07-14,100.625
1994-07-15,96.25
1994-07-18,96.25
1994-07-19,94.0625
1994-07-20,96.25
1994-07-21,96.25
1994-07-22,100.625
1994-07-25,100.625
1994-07-26,98.4375
1994-07-27,98.4375
1994-07-28,89.6875
1994-07-29,91.875
1994-08-01,87.5
1994-08-02,83.125
1994-08-03,83.125
1994-08-04,70.0
1994-08-05,74.375
1994-08-08,70.0
1994-08-09,78.75
1994-08-10,74.375
1994-08-11,78.75
1994-08-12,78.75
1994-08-15,85.3125
1994-08-16,87.5
1994-08-17,80.9375
1994-08-18,80.9375
1994-08-19,78.75
1994-08-22,87.5
1994-08-23,100.625
1994-08-24,105.0
1994-08-25,105.0
1994-08-26,109.375
1994-08-29,105.0
1994-08-30,105.0
1994-08-31,105.0
1994-09-01,105.0
1994-09-02,105.0
1994-09-06,107.1875
1994-09-07,109.375
1994-09-08,100.625
1994-09-09,102.8125
1994-09-12,109.375
1994-09-13,100.625
1994-09-14,105.0
1994-09-15,102.8125
1994-09-16,109.375
1994-09-19,102.8125
1994-09-20,107.1875
1994-09-21,107.1875
1994-09-22,102.8125
1994-09-23,102.8125
1994-09-26,107.1875
1994-09-27,105.0
1994-09-28,102.8125
1994-09-29,100.625
1994-09-30,107.1875
1994-10-03,107.1875
1994-10-04,105.0
1994-10-05,98.4375
1994-10-06,100.625
1994-10-07,100.625
1994-10-10,105.0
1994-10-11,107.1875
1994-10-12,105.0
1994-10-13,107.1875
1994-10-14,107.1875
1994-10-17,105.0
1994-10-18,96.25
1994-10-19,100.625
1994-10-20,100.625
1994-10-21,96.25
1994-10-24,83.125
1994-10-25,80.9375
1994-10-26,78.75
1994-10-27,65.625
1994-10-28,78.75
1994-10-31,78.75
1994-11-01,74.375
1994-11-02,76.5625
1994-11-03,70.0
1994-11-04,76.5625
1994-11-07,70.0
1994-11-08,65.625
1994-11-09,70.0
1994-11-10,74.375
1994-11-11,74.375
1994-11-14,74.375
1994-11-15,72.1875
1994-11-16,70.0
1994-11-17,78.75
1994-11-18,74.375
1994-11-21,67.8125
1994-11-22,70.0
1994-11-23,63.4375
1994-11-25,61.25
1994-11-28,59.0625
1994-11-29,59.0625
1994-11-30,59.0625
1994-12-01,59.0625
1994-12-02,65.625
1994-12-05,65.625
1994-12-06,65.625
1994-12-07,65.625
1994-12-08,72.1875
1994-12-09,65.625
1994-12-12,74.375
1994-12-13,72.1875
1994-12-14,74.375
1994-12-15,74.375
1994-12-16,74.375
1994-12-19,72.1875
1994-12-20,63.4375
1994-12-21,63.4375
1994-12-22,72.1875
1994-12-23,52.5
