,CDZI
1989-01-03,515.625
1989-01-04,500.0
1989-01-05,500.0
1989-01-06,500.0
1989-01-09,500.0
1989-01-10,484.375
1989-01-11,500.0
1989-01-12,500.0
1989-01-13,500.0
1989-01-16,484.375
1989-01-17,500.0
1989-01-18,500.0
1989-01-19,500.0
1989-01-20,500.0
1989-01-23,500.0
1989-01-24,500.0
1989-01-25,500.0
1989-01-26,500.0
1989-01-27,500.0
1989-01-30,500.0
1989-01-31,500.0
1989-02-01,500.0
1989-02-02,515.625
1989-02-03,500.0
1989-02-06,515.625
1989-02-07,515.625
1989-02-08,515.625
1989-02-09,515.625
1989-02-10,531.25
1989-02-13,515.625
1989-02-14,515.625
1989-02-15,515.625
1989-02-16,500.0
1989-02-17,500.0
1989-02-21,500.0
1989-02-22,515.625
1989-02-23,500.0
1989-02-24,500.0
1989-02-27,484.375
1989-02-28,515.625
1989-03-01,500.0
1989-03-02,500.0
1989-03-03,500.0
1989-03-06,500.0
1989-03-07,468.75
1989-03-08,515.625
1989-03-09,484.375
1989-03-10,484.375
1989-03-13,484.375
1989-03-14,484.375
1989-03-15,484.375
1989-03-16,484.375
1989-03-17,468.75
1989-03-20,468.75
1989-03-21,468.75
1989-03-22,468.75
1989-03-23,468.75
1989-03-27,468.75
1989-03-28,500.0
1989-03-29,468.75
1989-03-30,468.75
1989-03-31,500.0
1989-04-03,484.375
1989-04-04,484.375
1989-04-05,468.75
1989-04-06,468.75
1989-04-07,515.625
1989-04-10,515.625
1989-04-11,500.0
1989-04-12,500.0
1989-04-13,515.625
1989-04-14,515.625
1989-04-17,515.625
1989-04-18,515.625
1989-04-19,515.625
1989-04-20,500.0
1989-04-21,531.25
1989-04-24,531.25
1989-04-25,500.0
1989-04-26,500.0
1989-04-27,500.0
1989-04-28,500.0
1989-05-01,500.0
1989-05-02,500.0
1989-05-03,500.0
1989-05-04,515.625
1989-05-05,484.375
1989-05-08,484.375
1989-05-09,484.375
1989-05-10,500.0
1989-05-11,500.0
1989-05-12,500.0
1989-05-15,500.0
1989-05-16,500.0
1989-05-17,500.0
1989-05-18,500.0
1989-05-19,515.625
1989-05-22,500.0
1989-05-23,515.625
1989-05-24,484.375
1989-05-25,484.375
1989-05-26,484.375
1989-05-30,500.0
1989-05-31,500.0
1989-06-01,500.0
1989-06-02,468.75
1989-06-05,468.75
1989-06-06,484.375
1989-06-07,484.375
1989-06-08,484.375
1989-06-09,484.375
