,CHK
2021-02-10,44.9900016784668
2021-02-11,42.79999923706055
2021-02-12,42.5099983215332
2021-02-16,43.54999923706055
2021-02-17,44.2599983215332
2021-02-18,43.0
2021-02-19,44.0
2021-02-22,43.84000015258789
2021-02-23,43.65999984741211
2021-02-24,45.0
2021-02-25,44.75
2021-02-26,44.18000030517578
2021-03-01,44.66999816894531
2021-03-02,45.29999923706055
2021-03-03,47.25
2021-03-04,46.18000030517578
2021-03-05,45.029998779296875
2021-03-08,44.369998931884766
2021-03-09,44.279998779296875
2021-03-10,44.75
2021-03-11,45.34000015258789
2021-03-12,45.75
2021-03-15,45.75
2021-03-16,44.810001373291016
2021-03-17,45.279998779296875
2021-03-18,43.5
2021-03-19,43.310001373291016
2021-03-22,42.75
2021-03-23,41.70000076293945
2021-03-24,41.599998474121094
2021-03-25,42.15999984741211
2021-03-26,43.33000183105469
2021-03-29,42.52000045776367
2021-03-30,43.13999938964844
2021-03-31,43.38999938964844
2021-04-01,44.93000030517578
2021-04-05,44.65999984741211
2021-04-06,45.209999084472656
2021-04-07,45.099998474121094
2021-04-08,45.33000183105469
2021-04-09,45.540000915527344
2021-04-12,45.45000076293945
2021-04-13,45.5099983215332
2021-04-14,46.189998626708984
2021-04-15,46.189998626708984
2021-04-16,45.650001525878906
2021-04-19,45.970001220703125
2021-04-20,45.709999084472656
2021-04-21,46.2400016784668
2021-04-22,46.08000183105469
2021-04-23,46.459999084472656
2021-04-26,46.880001068115234
2021-04-27,46.869998931884766
2021-04-28,46.18000030517578
2021-04-29,46.95000076293945
2021-04-30,45.56999969482422
2021-05-03,46.36000061035156
2021-05-04,46.0
2021-05-05,46.7400016784668
2021-05-06,47.5099983215332
2021-05-07,49.16999816894531
2021-05-10,49.56999969482422
2021-05-11,49.060001373291016
2021-05-12,49.47999954223633
2021-05-13,49.5
2021-05-14,48.869998931884766
