,CHKEZ
2021-02-11,19.010000228881836
2021-02-12,19.0
2021-02-16,22.0
2021-02-17,22.0
2021-02-18,21.0
2021-02-19,20.5
2021-02-22,19.799999237060547
2021-02-23,18.5
2021-02-24,19.809999465942383
2021-02-25,20.440000534057617
2021-02-26,20.440000534057617
2021-03-01,20.1299991607666
2021-03-02,20.2549991607666
2021-03-03,20.229999542236328
2021-03-04,21.0
2021-03-05,20.979999542236328
2021-03-08,20.690000534057617
2021-03-09,20.0
2021-03-10,20.299999237060547
2021-03-11,20.0
2021-03-12,19.5
2021-03-15,19.450000762939453
2021-03-16,19.739999771118164
2021-03-17,19.739999771118164
2021-03-18,19.25
2021-03-19,19.709999084472656
2021-03-22,18.790000915527344
2021-03-23,18.420000076293945
2021-03-24,18.25
2021-03-25,18.25
2021-03-26,18.03499984741211
2021-03-29,19.739999771118164
2021-03-30,19.739999771118164
2021-03-31,19.739999771118164
2021-04-01,19.889999389648438
2021-04-05,19.889999389648438
2021-04-06,19.899999618530273
2021-04-07,20.139999389648438
2021-04-08,20.5
2021-04-09,20.5
2021-04-12,20.5
2021-04-13,20.5
2021-04-14,19.950000762939453
2021-04-15,20.299999237060547
2021-04-16,20.0
2021-04-19,20.25
2021-04-20,20.25
2021-04-21,19.790000915527344
2021-04-22,20.459999084472656
2021-04-23,20.459999084472656
2021-04-26,20.600000381469727
2021-04-27,21.0
2021-04-28,20.25
2021-04-29,20.200000762939453
2021-04-30,21.690000534057617
2021-05-03,20.25
2021-05-04,20.25
2021-05-05,20.799999237060547
2021-05-06,21.0
2021-05-07,22.049999237060547
2021-05-10,22.260000228881836
2021-05-11,22.5
2021-05-12,24.450000762939453
2021-05-13,22.200000762939453
2021-05-14,23.059999465942383
