,CHRW
1997-10-16,5.6875
1997-10-17,5.59375
1997-10-20,5.53125
1997-10-21,5.59375
1997-10-22,5.71875
1997-10-23,5.59375
1997-10-24,5.71875
1997-10-27,5.421875
1997-10-28,5.59375
1997-10-29,5.65625
1997-10-30,5.5
1997-10-31,5.5
1997-11-03,5.734375
1997-11-04,5.78125
1997-11-05,5.90625
1997-11-06,6.25
1997-11-07,6.4375
1997-11-10,6.15625
1997-11-11,6.0
1997-11-12,5.6875
1997-11-13,5.5
1997-11-14,5.4375
1997-11-17,5.8125
1997-11-18,5.71875
1997-11-19,5.5625
1997-11-20,5.5625
1997-11-21,5.53125
1997-11-24,5.53125
1997-11-25,5.515625
1997-11-26,5.253905773162842
1997-11-28,5.25
1997-12-01,5.265625
1997-12-02,5.34375
1997-12-03,5.5
1997-12-04,5.546875
1997-12-05,5.6875
1997-12-08,5.71875
1997-12-09,5.59375
1997-12-10,5.375
1997-12-11,5.3125
1997-12-12,5.15625
1997-12-15,5.21875
1997-12-16,5.21875
1997-12-17,5.03125
1997-12-18,5.0
1997-12-19,4.9375
1997-12-22,5.0625
1997-12-23,5.0
1997-12-24,4.9375
1997-12-26,5.0625
1997-12-29,5.28125
1997-12-30,5.28125
1997-12-31,5.59375
1998-01-02,5.78125
1998-01-05,5.625
1998-01-06,5.421875
1998-01-07,5.5625
1998-01-08,5.75
1998-01-09,5.5
1998-01-12,5.34375
1998-01-13,5.4375
1998-01-14,5.359375
1998-01-15,5.375
1998-01-16,5.5625
1998-01-20,5.78125
1998-01-21,5.75
1998-01-22,5.65625
1998-01-23,5.8125
1998-01-26,5.71875
1998-01-27,5.625
1998-01-28,5.65625
1998-01-29,5.71875
1998-01-30,5.71875
1998-02-02,6.0
1998-02-03,6.0
1998-02-04,5.90625
1998-02-05,5.875
1998-02-06,5.9375
1998-02-09,6.0625
1998-02-10,6.25
1998-02-11,5.75
1998-02-12,5.90625
1998-02-13,5.9375
1998-02-17,5.90625
1998-02-18,5.90625
1998-02-19,5.84375
1998-02-20,5.78125
1998-02-23,5.71875
1998-02-24,5.5
1998-02-25,5.59375
1998-02-26,5.46875
1998-02-27,5.6875
1998-03-02,5.40625
1998-03-03,5.375
1998-03-04,5.40625
1998-03-05,5.40625
1998-03-06,5.4375
1998-03-09,5.4375
1998-03-10,5.375
1998-03-11,5.515625
1998-03-12,5.53125
1998-03-13,5.6875
1998-03-16,5.90625
1998-03-17,5.75
1998-03-18,5.78125
1998-03-19,5.875
1998-03-20,5.875
1998-03-23,5.8125
1998-03-24,6.0
1998-03-25,5.875
1998-03-26,5.875
1998-03-27,5.953125
1998-03-30,6.0
1998-03-31,6.5
1998-04-01,6.1875
1998-04-02,6.6875
1998-04-03,6.28125
1998-04-06,6.328125
1998-04-07,6.1875
1998-04-08,6.125
1998-04-09,6.0
1998-04-13,5.8125
1998-04-14,5.78125
1998-04-15,5.75
1998-04-16,5.828125
1998-04-17,5.828125
1998-04-20,5.8125
1998-04-21,5.75
1998-04-22,5.8125
1998-04-23,5.78125
1998-04-24,5.75
1998-04-27,5.625
1998-04-28,5.59375
1998-04-29,5.625
1998-04-30,5.71875
1998-05-01,5.734375
1998-05-04,5.6875
1998-05-05,5.6875
1998-05-06,5.71875
1998-05-07,5.6875
1998-05-08,5.6875
1998-05-11,5.648437976837158
1998-05-12,5.640625
1998-05-13,5.59375
1998-05-14,5.53125
1998-05-15,5.59375
1998-05-18,5.4375
1998-05-19,5.53125
1998-05-20,5.625
1998-05-21,5.65625
1998-05-22,5.6875
1998-05-26,5.6875
1998-05-27,5.703125
1998-05-28,5.71875
1998-05-29,5.78125
1998-06-01,5.890625
1998-06-02,5.96875
1998-06-03,5.96875
1998-06-04,5.890625
1998-06-05,5.8125
1998-06-08,5.9375
1998-06-09,5.921875
1998-06-10,5.71875
1998-06-11,5.5625
1998-06-12,5.53125
1998-06-15,5.5
1998-06-16,5.875
1998-06-17,5.71875
1998-06-18,5.765625
1998-06-19,5.96875
1998-06-22,6.0
1998-06-23,5.984375
1998-06-24,5.96875
1998-06-25,5.96875
1998-06-26,6.109375
1998-06-29,6.171875
1998-06-30,6.21875
1998-07-01,6.234375
1998-07-02,6.28125
1998-07-06,6.34375
1998-07-07,6.453125
1998-07-08,6.15625
1998-07-09,6.25
1998-07-10,6.09375
1998-07-13,6.125
1998-07-14,6.1875
1998-07-15,6.265625
1998-07-16,6.28125
1998-07-17,6.3125
1998-07-20,6.34375
1998-07-21,6.3125
1998-07-22,6.3125
1998-07-23,6.3125
1998-07-24,6.265625
1998-07-27,5.90625
1998-07-28,6.03125
1998-07-29,6.09375
1998-07-30,6.09375
1998-07-31,6.15625
1998-08-03,6.046875
1998-08-04,5.75
1998-08-05,5.9375
1998-08-06,5.84375
1998-08-07,5.820312976837158
1998-08-10,5.53125
1998-08-11,5.625
1998-08-12,5.703125
1998-08-13,5.5625
1998-08-14,5.515625
1998-08-17,5.75
1998-08-18,5.984375
1998-08-19,5.890625
1998-08-20,6.03125
1998-08-21,6.0625
1998-08-24,5.9375
1998-08-25,6.03125
1998-08-26,6.03125
1998-08-27,6.0
1998-08-28,5.6875
1998-08-31,5.0
1998-09-01,5.28125
1998-09-02,5.5
1998-09-03,4.96875
1998-09-04,4.625
1998-09-08,5.109375
1998-09-09,4.75
1998-09-10,4.375
1998-09-11,4.515625
1998-09-14,4.46875
1998-09-15,4.46875
1998-09-16,4.5625
1998-09-17,4.5
1998-09-18,4.671875
1998-09-21,4.804687976837158
1998-09-22,4.984375
1998-09-23,5.109375
1998-09-24,5.125
1998-09-25,5.0625
1998-09-28,5.09375
1998-09-29,5.0625
1998-09-30,5.03125
1998-10-01,4.75
1998-10-02,4.71875
1998-10-05,4.34375
1998-10-06,4.234375
1998-10-07,4.125
1998-10-08,3.6875
1998-10-09,3.921875
1998-10-12,4.5625
1998-10-13,4.515625
1998-10-14,4.5
1998-10-15,5.0
1998-10-16,4.75
1998-10-19,4.828125
1998-10-20,5.0
1998-10-21,5.25
1998-10-22,5.234375
1998-10-23,5.1875
1998-10-26,5.296875
1998-10-27,5.25
1998-10-28,5.265625
1998-10-29,5.34375
1998-10-30,5.546875
1998-11-02,5.6875
1998-11-03,5.703125
1998-11-04,5.953125
1998-11-05,5.859375
1998-11-06,5.921875
1998-11-09,5.984375
1998-11-10,6.015625
1998-11-11,5.992187976837158
1998-11-12,6.0
1998-11-13,5.984375
1998-11-16,5.578125
1998-11-17,5.75
1998-11-18,5.84375
1998-11-19,5.828125
1998-11-20,5.765625
1998-11-23,5.75
1998-11-24,5.65625
1998-11-25,5.5625
1998-11-27,5.609375
1998-11-30,5.640625
1998-12-01,5.859375
1998-12-02,5.71875
1998-12-03,5.90625
1998-12-04,6.0625
1998-12-07,5.96875
1998-12-08,6.0625
1998-12-09,5.90625
1998-12-10,5.984375
1998-12-11,5.9375
1998-12-14,5.875
1998-12-15,5.875
1998-12-16,6.0625
1998-12-17,6.171875
1998-12-18,6.234375
1998-12-21,6.25
1998-12-22,6.25
1998-12-23,6.375
1998-12-24,6.34375
1998-12-28,6.46875
1998-12-29,6.5
1998-12-30,6.421875
1998-12-31,6.484375
1999-01-04,6.375
1999-01-05,6.4375
1999-01-06,6.375
1999-01-07,6.4375
1999-01-08,6.25
1999-01-11,6.390625
1999-01-12,6.359375
1999-01-13,6.5
1999-01-14,6.5
1999-01-15,6.515625
1999-01-19,6.484375
1999-01-20,6.46875
1999-01-21,6.59375
1999-01-22,6.59375
1999-01-25,6.65625
1999-01-26,6.625
1999-01-27,6.6875
1999-01-28,6.734375
1999-01-29,6.84375
1999-02-01,7.046875
1999-02-02,7.34375
1999-02-03,7.40625
1999-02-04,7.25
1999-02-05,7.21875
1999-02-08,7.3125
1999-02-09,6.84375
1999-02-10,6.8125
1999-02-11,6.75
1999-02-12,6.296875
1999-02-16,6.421875
1999-02-17,6.421875
1999-02-18,6.34375
1999-02-19,6.28125
1999-02-22,6.5
1999-02-23,6.4375
1999-02-24,6.296875
1999-02-25,6.375
1999-02-26,6.5625
1999-03-01,6.90625
1999-03-02,6.875
1999-03-03,6.875
1999-03-04,6.875
1999-03-05,6.9375
1999-03-08,6.875
1999-03-09,6.796875
1999-03-10,6.8125
1999-03-11,6.78125
1999-03-12,6.71875
1999-03-15,6.695312976837158
1999-03-16,6.46875
1999-03-17,6.5
1999-03-18,6.46875
1999-03-19,6.4375
1999-03-22,6.382812976837158
1999-03-23,6.34375
1999-03-24,6.359375
1999-03-25,6.40625
1999-03-26,6.5
1999-03-29,6.679687976837158
1999-03-30,6.5625
1999-03-31,6.359375
1999-04-01,6.4375
1999-04-05,6.484375
1999-04-06,6.59375
1999-04-07,6.515625
1999-04-08,6.46875
1999-04-09,6.484375
1999-04-12,6.484375
1999-04-13,6.515625
1999-04-14,6.6875
1999-04-15,6.75
1999-04-16,6.773437976837158
1999-04-19,6.96875
1999-04-20,6.84375
1999-04-21,7.21875
1999-04-22,7.328125
1999-04-23,7.21875
1999-04-26,7.34375
1999-04-27,7.3125
1999-04-28,7.25
1999-04-29,7.25
1999-04-30,7.484375
1999-05-03,7.640625
1999-05-04,7.921875
1999-05-05,7.984375
1999-05-06,8.125
1999-05-07,7.9375
1999-05-10,8.125
1999-05-11,8.171875
1999-05-12,8.5
1999-05-13,8.53125
1999-05-14,8.125
1999-05-17,8.15625
1999-05-18,7.875
1999-05-19,7.84375
1999-05-20,7.9375
1999-05-21,8.0
1999-05-24,7.6875
1999-05-25,7.90625
1999-05-26,8.0625
1999-05-27,8.03125
1999-05-28,8.078125
1999-06-01,8.5625
1999-06-02,8.734375
1999-06-03,8.5625
1999-06-04,8.375
1999-06-07,8.265625
1999-06-08,8.203125
1999-06-09,7.8125
1999-06-10,7.875
1999-06-11,7.953125
1999-06-14,7.9375
1999-06-15,7.96875
1999-06-16,8.46875
1999-06-17,8.640625
1999-06-18,8.859375
1999-06-21,8.90625
1999-06-22,8.796875
1999-06-23,8.9375
1999-06-24,8.734375
1999-06-25,8.890625
1999-06-28,9.171875
1999-06-29,9.15625
1999-06-30,9.1875
1999-07-01,9.125
1999-07-02,9.34375
1999-07-06,9.21875
