,CLSN
1999-03-01,857.2634887695312
1999-03-02,798.1419067382812
1999-03-03,798.1419067382812
1999-03-04,872.0439453125
1999-03-05,812.9223022460938
1999-03-08,768.5810546875
1999-03-09,768.5810546875
1999-03-10,798.1419067382812
1999-03-11,872.0439453125
1999-03-12,916.3851318359375
1999-03-15,857.2634887695312
1999-03-16,857.2634887695312
1999-03-17,827.7026977539062
1999-03-18,798.1419067382812
1999-03-19,798.1419067382812
1999-03-22,798.1419067382812
1999-03-23,798.1419067382812
1999-03-24,768.5810546875
1999-03-25,753.8006591796875
1999-03-26,768.5810546875
1999-03-29,768.5810546875
1999-03-30,768.5810546875
1999-03-31,724.2398681640625
1999-04-01,724.2398681640625
1999-04-05,753.8006591796875
1999-04-06,724.2398681640625
1999-04-07,724.2398681640625
1999-04-08,783.3615112304688
1999-04-09,768.5810546875
1999-04-12,798.1419067382812
1999-04-13,724.2398681640625
1999-04-14,724.2398681640625
1999-04-15,724.2398681640625
1999-04-16,709.45947265625
1999-04-19,724.2398681640625
1999-04-20,798.1419067382812
1999-04-21,783.3615112304688
1999-04-22,753.8006591796875
1999-04-23,709.45947265625
1999-04-26,724.2398681640625
1999-04-27,739.020263671875
1999-04-28,724.2398681640625
1999-04-29,709.45947265625
1999-04-30,709.45947265625
1999-05-03,739.020263671875
1999-05-04,724.2398681640625
1999-05-05,709.45947265625
1999-05-06,753.8006591796875
1999-05-07,739.020263671875
1999-05-10,739.020263671875
1999-05-11,753.8006591796875
1999-05-12,753.8006591796875
1999-05-13,724.2398681640625
1999-05-14,694.6790771484375
1999-05-17,768.5810546875
1999-05-18,739.020263671875
1999-05-19,724.2398681640625
1999-05-20,753.8006591796875
1999-05-21,768.5810546875
1999-05-24,768.5810546875
1999-05-25,724.2398681640625
1999-05-26,709.45947265625
1999-05-27,694.6790771484375
1999-05-28,694.6790771484375
1999-06-01,694.6790771484375
1999-06-02,753.8006591796875
1999-06-03,739.020263671875
1999-06-04,783.3615112304688
1999-06-07,768.5810546875
1999-06-08,768.5810546875
1999-06-09,783.3615112304688
1999-06-10,783.3615112304688
1999-06-11,768.5810546875
1999-06-14,768.5810546875
1999-06-15,768.5810546875
1999-06-16,768.5810546875
1999-06-17,753.8006591796875
1999-06-18,768.5810546875
1999-06-21,768.5810546875
1999-06-22,739.020263671875
1999-06-23,768.5810546875
1999-06-24,768.5810546875
1999-06-25,768.5810546875
1999-06-28,768.5810546875
1999-06-29,753.8006591796875
1999-06-30,768.5810546875
1999-07-01,768.5810546875
1999-07-02,768.5810546875
1999-07-06,768.5810546875
1999-07-07,768.5810546875
1999-07-08,783.3615112304688
1999-07-09,827.7026977539062
1999-07-12,1123.310791015625
1999-07-13,1138.0911865234375
1999-07-14,1078.9696044921875
1999-07-15,1064.189208984375
1999-07-16,1049.4088134765625
1999-07-19,990.2871704101562
1999-07-20,1064.189208984375
1999-07-21,1064.189208984375
1999-07-22,1005.0675659179688
1999-07-23,1064.189208984375
1999-07-26,1034.62841796875
1999-07-27,1019.8479614257812
1999-07-28,1049.4088134765625
1999-07-29,1005.0675659179688
1999-07-30,990.2871704101562
1999-08-02,931.16552734375
1999-08-03,872.0439453125
1999-08-04,886.8243408203125
1999-08-05,798.1419067382812
1999-08-06,872.0439453125
1999-08-09,842.4830932617188
1999-08-10,783.3615112304688
1999-08-11,768.5810546875
1999-08-12,827.7026977539062
1999-08-13,768.5810546875
1999-08-16,990.2871704101562
1999-08-17,827.7026977539062
1999-08-18,827.7026977539062
1999-08-19,753.8006591796875
1999-08-20,827.7026977539062
1999-08-23,872.0439453125
1999-08-24,916.3851318359375
1999-08-25,931.16552734375
1999-08-26,945.9459228515625
1999-08-27,945.9459228515625
1999-08-30,901.604736328125
1999-08-31,931.16552734375
1999-09-01,931.16552734375
1999-09-02,916.3851318359375
1999-09-03,931.16552734375
1999-09-07,901.604736328125
1999-09-08,916.3851318359375
1999-09-09,945.9459228515625
1999-09-10,901.604736328125
