,CMCT
1993-12-17,225.0
1993-12-20,228.75
1993-12-21,225.0
1993-12-22,225.0
1993-12-23,228.75
1993-12-27,225.0
1993-12-28,225.0
1993-12-29,225.0
1993-12-30,225.0
1993-12-31,225.0
1994-01-03,221.25
1994-01-04,217.5
1994-01-05,217.5
1994-01-06,217.5
1994-01-07,219.375
1994-01-10,217.5
1994-01-11,217.5
1994-01-12,217.5
1994-01-13,225.0
1994-01-14,217.5
1994-01-17,221.25
1994-01-18,217.5
1994-01-19,210.0
1994-01-20,213.75
1994-01-21,213.75
1994-01-24,210.0
1994-01-25,213.75
1994-01-26,213.75
1994-01-27,217.5
1994-01-28,219.375
1994-01-31,221.25
1994-02-01,217.5
1994-02-02,217.5
1994-02-03,217.5
1994-02-04,217.5
1994-02-07,221.25
1994-02-08,217.5
1994-02-09,225.0
1994-02-10,217.5
1994-02-11,217.5
1994-02-14,217.5
1994-02-15,221.25
1994-02-16,228.75
1994-02-17,228.75
1994-02-18,228.75
1994-02-22,225.0
1994-02-23,225.0
1994-02-24,226.875
1994-02-25,228.75
1994-02-28,225.0
1994-03-01,225.0
1994-03-02,221.25
1994-03-03,221.25
1994-03-04,225.0
1994-03-07,221.25
1994-03-08,225.0
1994-03-09,221.25
1994-03-10,221.25
1994-03-11,221.25
1994-03-14,217.5
1994-03-15,221.25
1994-03-16,217.5
1994-03-17,223.125
1994-03-18,221.25
1994-03-21,217.5
1994-03-22,219.375
1994-03-23,217.5
1994-03-24,217.5
1994-03-25,217.5
1994-03-28,219.375
1994-03-29,213.75
1994-03-30,202.5
1994-03-31,210.0
1994-04-04,206.25
1994-04-05,206.25
1994-04-06,210.0
1994-04-07,206.25
1994-04-08,217.5
1994-04-11,217.5
1994-04-12,217.5
1994-04-13,225.0
1994-04-14,217.5
1994-04-15,225.0
1994-04-18,217.5
1994-04-19,225.0
1994-04-20,221.25
1994-04-21,221.25
1994-04-22,217.5
1994-04-25,217.5
1994-04-26,217.5
1994-04-28,215.625
1994-04-29,217.5
1994-05-02,217.5
1994-05-03,210.0
1994-05-04,215.625
1994-05-05,210.0
1994-05-06,217.5
1994-05-09,221.25
1994-05-10,217.5
1994-05-11,225.0
1994-05-12,217.5
1994-05-13,225.0
1994-05-16,224.0625
1994-05-17,217.5
1994-05-18,221.25
1994-05-19,217.5
1994-05-20,217.5
1994-05-23,225.0
1994-05-24,225.0
1994-05-25,225.0
1994-05-26,217.5
1994-05-27,219.375
1994-05-31,225.0
1994-06-01,224.0625
1994-06-02,219.375
1994-06-03,217.5
1994-06-06,217.5
1994-06-07,217.5
1994-06-08,224.0625
1994-06-09,221.25
1994-06-10,221.25
1994-06-13,225.0
1994-06-14,221.25
1994-06-15,221.25
1994-06-16,225.0
1994-06-17,225.0
1994-06-20,221.25
1994-06-21,213.75
1994-06-22,219.375
1994-06-23,225.0
1994-06-24,221.25
1994-06-27,222.1875
1994-06-28,217.5
1994-06-29,217.5
1994-06-30,217.5
1994-07-01,225.0
1994-07-05,225.0
1994-07-06,225.0
1994-07-07,213.75
1994-07-08,215.625
1994-07-11,213.75
1994-07-12,213.75
1994-07-13,221.25
1994-07-14,217.5
1994-07-15,213.75
1994-07-18,225.0
1994-07-19,221.25
1994-07-20,213.75
1994-07-21,213.75
1994-07-22,223.125
1994-07-25,213.75
1994-07-26,216.5625
1994-07-27,213.75
1994-07-28,213.75
1994-07-29,213.75
1994-08-01,214.6875
1994-08-02,221.25
1994-08-03,213.75
1994-08-04,221.25
1994-08-05,215.625
1994-08-08,210.0
1994-08-09,210.0
1994-08-10,217.5
1994-08-11,210.0
1994-08-12,210.0
1994-08-15,217.5
1994-08-16,217.5
1994-08-17,212.578125
1994-08-18,217.5
1994-08-19,217.5
1994-08-22,210.0
1994-08-23,210.0
1994-08-24,210.0
1994-08-25,210.0
1994-08-26,202.5
1994-08-29,202.5
1994-08-30,202.5
1994-08-31,202.5
1994-09-01,210.0
1994-09-02,202.5
1994-09-06,202.5
1994-09-07,210.0
1994-09-08,210.0
1994-09-09,202.5
1994-09-12,202.5
1994-09-13,210.0
1994-09-14,202.5
1994-09-15,211.875
1994-09-16,213.75
1994-09-19,202.5
1994-09-20,202.5
1994-09-21,202.5
1994-09-22,213.75
1994-09-23,203.4375
1994-09-26,213.75
1994-09-27,213.75
1994-09-28,213.75
1994-09-29,202.5
1994-09-30,213.75
1994-10-03,202.5
1994-10-04,213.75
1994-10-05,206.25
1994-10-06,196.875
1994-10-07,202.5
1994-10-10,206.25
1994-10-11,206.25
1994-10-12,206.25
1994-10-13,195.0
1994-10-14,202.5
1994-10-17,202.5
1994-10-18,202.5
1994-10-19,200.625
1994-10-20,198.75
1994-10-21,202.5
1994-10-24,195.0
1994-10-25,195.0
1994-10-26,202.5
1994-10-27,195.0
1994-10-28,195.0
1994-10-31,195.0
1994-11-01,198.75
1994-11-02,195.0
1994-11-03,195.0
1994-11-04,187.5
1994-11-07,191.25
1994-11-08,191.25
1994-11-09,183.75
1994-11-10,191.25
1994-11-11,191.25
1994-11-14,183.75
1994-11-15,183.75
1994-11-16,183.75
1994-11-17,183.75
1994-11-18,180.0
1994-11-21,180.0
1994-11-22,176.25
1994-11-23,176.25
1994-11-25,176.25
