,CNBKA
1987-05-20,6.875
1987-05-21,6.875
1987-05-22,6.875
1987-05-26,7.0
1987-05-27,7.0
1987-05-28,6.875
1987-05-29,7.0
1987-06-01,7.0
1987-06-02,7.0
1987-06-03,6.75
1987-06-04,6.75
1987-06-05,6.75
1987-06-08,7.0
1987-06-09,7.0
1987-06-10,6.75
1987-06-11,7.0
1987-06-12,6.75
1987-06-15,6.75
1987-06-16,6.75
1987-06-17,7.0
1987-06-18,7.125
1987-06-19,7.25
1987-06-22,7.25
1987-06-23,7.25
1987-06-24,7.0
1987-06-25,7.0
1987-06-26,7.0
1987-06-29,7.25
1987-06-30,7.375
1987-07-01,7.375
1987-07-02,7.25
1987-07-06,7.0
1987-07-07,6.875
1987-07-08,6.875
1987-07-09,6.875
1987-07-10,7.25
1987-07-13,6.75
1987-07-14,7.125
1987-07-15,6.75
1987-07-16,6.875
1987-07-17,6.625
1987-07-20,7.0
1987-07-21,6.75
1987-07-22,6.625
1987-07-23,7.0
1987-07-24,7.0
1987-07-27,6.625
1987-07-28,6.625
1987-07-29,6.5
1987-07-30,6.5
1987-07-31,6.25
1987-08-03,6.25
1987-08-04,6.25
1987-08-05,6.0
1987-08-06,6.0
1987-08-07,6.0
1987-08-10,6.0
1987-08-11,6.25
1987-08-12,6.375
1987-08-13,6.125
1987-08-14,6.125
1987-08-17,6.5
1987-08-18,6.5
1987-08-19,6.0
1987-08-20,5.75
1987-08-21,6.25
1987-08-24,6.0
1987-08-25,6.0
1987-08-26,6.0
1987-08-27,6.25
1987-08-28,6.25
1987-08-31,6.25
1987-09-01,6.25
1987-09-02,6.25
1987-09-03,6.25
1987-09-04,5.5
1987-09-08,5.5
1987-09-09,5.625
1987-09-10,5.5
1987-09-11,6.0
1987-09-14,6.25
1987-09-15,6.0
1987-09-16,5.875
1987-09-17,5.75
1987-09-18,6.125
1987-09-21,5.75
1987-09-22,5.75
1987-09-23,6.0
1987-09-24,6.125
1987-09-25,6.0
1987-09-28,6.0
1987-09-29,5.75
1987-09-30,5.5
1987-10-01,5.5
1987-10-02,5.5
1987-10-05,5.5
1987-10-06,5.875
1987-10-07,5.625
1987-10-08,5.5
1987-10-09,5.5
1987-10-12,5.5
1987-10-13,5.5
1987-10-14,5.5
1987-10-15,5.5
1987-10-16,5.25
1987-10-19,4.75
1987-10-20,4.75
1987-10-21,5.0
1987-10-22,5.0
1987-10-23,5.25
1987-10-26,4.75
1987-10-27,5.0
1987-10-28,4.75
1987-10-29,4.75
1987-10-30,5.0
1987-11-02,5.0
1987-11-03,4.5
1987-11-04,4.5
1987-11-05,4.5
1987-11-06,5.0
1987-11-09,5.0
1987-11-10,5.0
1987-11-11,4.5
1987-11-12,4.5
1987-11-13,4.5
1987-11-16,4.75
1987-11-17,4.5
1987-11-18,5.0
1987-11-19,4.5
1987-11-20,4.5
1987-11-23,4.5
1987-11-24,4.5
1987-11-25,4.5
1987-11-27,4.5
1987-11-30,4.5
1987-12-01,4.5
1987-12-02,4.75
1987-12-03,4.5
1987-12-04,4.25
1987-12-07,4.25
1987-12-08,4.5
1987-12-09,4.75
1987-12-10,4.75
1987-12-11,4.75
1987-12-14,4.75
1987-12-15,4.75
1987-12-16,4.5
1987-12-17,4.5
1987-12-18,4.5
1987-12-21,4.25
1987-12-22,3.75
1987-12-23,4.0
1987-12-24,4.0
1987-12-28,4.25
1987-12-29,4.25
1987-12-30,4.0
1987-12-31,4.0
1988-01-04,4.5
1988-01-05,4.75
1988-01-06,4.75
1988-01-07,4.75
1988-01-08,4.75
1988-01-11,4.75
1988-01-12,4.5
1988-01-13,4.5
1988-01-14,4.5
1988-01-15,4.5
1988-01-18,4.0
1988-01-19,4.5
1988-01-20,4.5
1988-01-21,4.5
1988-01-22,4.5
1988-01-25,4.5
1988-01-26,4.5
1988-01-27,4.75
1988-01-28,4.75
1988-01-29,4.75
1988-02-01,4.75
1988-02-02,5.0
1988-02-03,4.5
1988-02-04,4.5
1988-02-05,4.875
1988-02-08,4.875
1988-02-09,4.625
1988-02-10,5.0
1988-02-11,5.0
1988-02-12,4.625
1988-02-16,5.25
