,CNFRL
2018-10-31,25.100000381469727
2018-11-01,26.0
2018-11-02,26.0
2018-11-05,26.0
2018-11-06,26.0
2018-11-07,26.0
2018-11-08,26.0
2018-11-09,26.0
2018-11-12,26.0
2018-11-13,26.0
2018-11-14,26.0
2018-11-15,25.0
2018-11-16,25.0
2018-11-19,25.0
2018-11-20,25.0
2018-11-21,25.0
2018-11-23,25.0
2018-11-26,25.0
2018-11-27,24.780000686645508
2018-11-28,24.780000686645508
2018-11-29,24.780000686645508
2018-11-30,25.440000534057617
2018-12-03,25.399999618530273
2018-12-04,25.0
2018-12-06,24.75
2018-12-07,24.75
2018-12-10,25.0
2018-12-11,24.75
2018-12-12,24.75
2018-12-13,24.75
2018-12-14,24.75
2018-12-17,26.0
2018-12-18,26.0
2018-12-19,24.0
2018-12-20,24.0
2018-12-21,23.0
2018-12-24,23.0
2018-12-26,23.0
2018-12-27,23.0
2018-12-28,23.0
2018-12-31,21.0
2019-01-02,21.75
2019-01-03,21.75
2019-01-04,21.75
2019-01-07,21.75
2019-01-08,25.0
2019-01-09,25.0
2019-01-10,25.0
2019-01-11,24.0
2019-01-14,24.5
2019-01-15,24.5
2019-01-16,24.5
2019-01-17,24.829999923706055
2019-01-18,24.829999923706055
2019-01-22,24.079999923706055
2019-01-23,24.079999923706055
2019-01-24,24.75
2019-01-25,24.75
2019-01-28,24.75
2019-01-29,24.75
2019-01-30,24.0
2019-01-31,24.5
2019-02-01,24.5
2019-02-04,24.5
2019-02-05,25.0
2019-02-06,24.0
2019-02-07,24.0
2019-02-08,24.549999237060547
2019-02-11,24.25
2019-02-12,24.0
2019-02-13,24.5
2019-02-14,25.0
2019-02-15,25.0
2019-02-19,24.5
2019-02-20,24.5
2019-02-21,24.5
2019-02-22,24.5
2019-02-25,24.5
2019-02-26,24.5
2019-02-27,24.5
2019-02-28,24.399999618530273
2019-03-01,24.149999618530273
2019-03-04,24.5
2019-03-05,24.5
2019-03-06,24.25
2019-03-07,24.489999771118164
2019-03-08,24.489999771118164
2019-03-11,24.399999618530273
2019-03-12,24.399999618530273
2019-03-13,23.90999984741211
2019-03-14,24.100000381469727
2019-03-15,24.0
2019-03-18,23.850000381469727
2019-03-19,23.850000381469727
2019-03-20,23.6299991607666
2019-03-21,21.799999237060547
2019-03-22,22.3799991607666
2019-03-25,23.25
2019-03-26,23.329999923706055
2019-03-27,22.989999771118164
2019-03-28,23.0
2019-03-29,22.5
2019-04-01,23.459999084472656
2019-04-02,23.459999084472656
2019-04-03,23.459999084472656
2019-04-04,23.459999084472656
2019-04-05,23.450000762939453
2019-04-08,23.450000762939453
2019-04-09,23.450000762939453
2019-04-10,22.75
2019-04-11,23.0
2019-04-12,23.0
2019-04-15,22.489999771118164
2019-04-16,23.18000030517578
2019-04-17,23.170000076293945
2019-04-18,23.170000076293945
2019-04-22,22.75
2019-04-23,23.200000762939453
2019-04-24,23.200000762939453
2019-04-25,22.799999237060547
2019-04-26,22.75
2019-04-29,22.459999084472656
2019-04-30,22.459999084472656
2019-05-01,21.190000534057617
2019-05-02,21.190000534057617
2019-05-03,20.6299991607666
2019-05-06,21.25
2019-05-07,21.25
2019-05-08,23.0
2019-05-09,23.0
2019-05-10,21.729999542236328
2019-05-13,21.5
2019-05-14,21.5
2019-05-15,21.989999771118164
2019-05-16,21.84000015258789
2019-05-17,21.3799991607666
2019-05-20,21.5
2019-05-21,22.450000762939453
2019-05-22,22.450000762939453
2019-05-23,22.450000762939453
2019-05-24,22.299999237060547
2019-05-28,22.0
2019-05-29,22.010000228881836
2019-05-30,22.6200008392334
2019-05-31,22.6200008392334
2019-06-03,22.030000686645508
2019-06-04,22.600000381469727
2019-06-05,22.0
2019-06-06,21.559999465942383
2019-06-07,22.5
2019-06-10,22.0
2019-06-11,21.75
2019-06-12,22.040000915527344
2019-06-13,21.56999969482422
2019-06-14,21.350000381469727
2019-06-17,21.0
2019-06-18,21.280000686645508
2019-06-19,20.5
2019-06-20,20.510000228881836
2019-06-21,20.299999237060547
2019-06-24,21.0
2019-06-25,20.6299991607666
2019-06-26,20.440000534057617
2019-06-27,20.600000381469727
2019-06-28,21.049999237060547
2019-07-01,21.5
2019-07-02,23.0
2019-07-03,23.0
2019-07-05,23.0
2019-07-08,22.0
2019-07-09,22.350000381469727
2019-07-10,22.25
2019-07-11,21.719999313354492
2019-07-12,22.75
2019-07-15,22.75
2019-07-16,21.75
2019-07-17,21.31999969482422
2019-07-18,21.510000228881836
2019-07-19,22.700000762939453
2019-07-22,22.739999771118164
2019-07-23,23.25
2019-07-24,23.489999771118164
2019-07-25,23.5
2019-07-26,23.5
2019-07-29,24.0
2019-07-30,24.0
2019-07-31,23.40999984741211
2019-08-01,24.0
2019-08-02,24.0
2019-08-05,24.200000762939453
2019-08-06,24.200000762939453
2019-08-07,23.0
2019-08-08,23.0
2019-08-09,23.15999984741211
2019-08-12,23.0
2019-08-13,23.239999771118164
2019-08-14,23.239999771118164
2019-08-15,23.1299991607666
2019-08-16,23.1299991607666
2019-08-19,22.81999969482422
2019-08-20,22.780000686645508
2019-08-21,23.0
2019-08-22,22.950000762939453
2019-08-23,22.440000534057617
2019-08-26,22.5
2019-08-27,22.899999618530273
2019-08-28,23.0
2019-08-29,23.5
2019-08-30,24.899999618530273
2019-09-03,22.809999465942383
2019-09-04,24.489999771118164
2019-09-05,23.0
2019-09-06,24.5
2019-09-09,24.719999313354492
2019-09-10,24.549999237060547
2019-09-11,24.549999237060547
2019-09-12,24.5
2019-09-13,24.5
2019-09-16,24.5
2019-09-17,24.5
2019-09-18,24.5
2019-09-19,23.350000381469727
2019-09-20,23.350000381469727
2019-09-23,23.350000381469727
2019-09-24,23.0
2019-09-25,22.75
2019-09-26,22.200000762939453
2019-09-27,23.600000381469727
2019-09-30,23.0
2019-10-01,23.0
2019-10-02,23.0
2019-10-03,22.020000457763672
2019-10-04,21.670000076293945
2019-10-07,22.5
2019-10-08,21.600000381469727
2019-10-09,22.75
2019-10-10,21.920000076293945
2019-10-11,22.06999969482422
2019-10-14,22.06999969482422
2019-10-15,22.649999618530273
2019-10-16,22.649999618530273
2019-10-17,22.649999618530273
2019-10-18,22.649999618530273
2019-10-21,22.540000915527344
2019-10-22,22.540000915527344
2019-10-23,22.25
2019-10-24,22.5
2019-10-25,22.309999465942383
2019-10-28,22.75
2019-10-29,22.399999618530273
2019-10-30,22.75
2019-10-31,22.299999237060547
2019-11-01,22.299999237060547
2019-11-04,23.25
2019-11-05,22.700000762939453
2019-11-06,23.010000228881836
2019-11-07,22.899999618530273
2019-11-08,23.34000015258789
2019-11-11,23.389999389648438
2019-11-12,23.0
2019-11-13,23.170000076293945
2019-11-14,23.75
2019-11-15,23.959999084472656
2019-11-18,22.75
2019-11-19,22.75
2019-11-20,22.200000762939453
2019-11-21,22.75
2019-11-22,22.75
2019-11-25,22.270000457763672
2019-11-26,22.799999237060547
2019-11-27,23.479999542236328
2019-11-29,22.350000381469727
2019-12-02,22.350000381469727
2019-12-03,21.110000610351562
2019-12-04,22.0
2019-12-05,21.260000228881836
2019-12-06,22.6200008392334
2019-12-09,22.6200008392334
2019-12-10,21.520000457763672
2019-12-11,21.5
2019-12-12,21.489999771118164
2019-12-13,21.489999771118164
2019-12-16,21.450000762939453
2019-12-17,21.479999542236328
2019-12-18,22.899999618530273
2019-12-19,22.610000610351562
2019-12-20,22.309999465942383
2019-12-23,22.559999465942383
2019-12-24,22.559999465942383
2019-12-26,22.90999984741211
2019-12-27,22.299999237060547
2019-12-30,23.1299991607666
2019-12-31,22.350000381469727
2020-01-02,22.649999618530273
2020-01-03,23.239999771118164
2020-01-06,23.350000381469727
2020-01-07,23.1299991607666
2020-01-08,23.0
2020-01-09,23.0
2020-01-10,22.68000030517578
2020-01-13,22.700000762939453
2020-01-14,22.600000381469727
2020-01-15,22.829999923706055
2020-01-16,23.5
2020-01-17,23.0
2020-01-21,23.0
2020-01-22,23.0
2020-01-23,22.639999389648438
2020-01-24,22.399999618530273
2020-01-27,23.0
2020-01-28,22.829999923706055
2020-01-29,22.969999313354492
2020-01-30,22.969999313354492
2020-01-31,22.969999313354492
2020-02-03,23.469999313354492
2020-02-04,23.149999618530273
2020-02-05,23.149999618530273
2020-02-06,23.459999084472656
2020-02-07,23.360000610351562
2020-02-10,22.850000381469727
2020-02-11,23.0
2020-02-12,23.700000762939453
2020-02-13,23.0
2020-02-14,23.200000762939453
2020-02-18,23.200000762939453
2020-02-19,23.010000228881836
2020-02-20,23.110000610351562
2020-02-21,23.010000228881836
