,CNSP
2019-11-08,4.570000171661377
2019-11-11,4.25
2019-11-12,4.019999980926514
2019-11-13,4.079999923706055
2019-11-14,4.239999771118164
2019-11-15,4.380000114440918
2019-11-18,4.158999919891357
2019-11-19,4.320000171661377
2019-11-20,4.090000152587891
2019-11-21,4.289999961853027
2019-11-22,4.235000133514404
2019-11-25,4.21999979019165
2019-11-26,4.090000152587891
2019-11-27,4.166999816894531
2019-11-29,4.130000114440918
2019-12-02,4.059999942779541
2019-12-03,4.010000228881836
2019-12-04,4.050000190734863
2019-12-05,4.079999923706055
2019-12-06,3.990000009536743
2019-12-09,3.940000057220459
2019-12-10,3.7799999713897705
2019-12-11,3.869999885559082
2019-12-12,4.03000020980835
2019-12-13,3.950000047683716
2019-12-16,3.890000104904175
2019-12-17,3.8499999046325684
2019-12-18,3.869999885559082
2019-12-19,3.9700000286102295
2019-12-20,3.7300000190734863
2019-12-23,3.859999895095825
2019-12-24,3.8499999046325684
2019-12-26,3.9100000858306885
2019-12-27,3.9049999713897705
2019-12-30,3.869999885559082
2019-12-31,3.950000047683716
2020-01-02,3.9100000858306885
2020-01-03,4.0
2020-01-06,3.9600000381469727
2020-01-07,4.300000190734863
2020-01-08,4.25
2020-01-09,4.431000232696533
2020-01-10,4.989999771118164
2020-01-13,4.590000152587891
2020-01-14,4.369999885559082
2020-01-15,4.369999885559082
2020-01-16,4.460000038146973
2020-01-17,4.329999923706055
2020-01-21,4.480000019073486
2020-01-22,4.394000053405762
2020-01-23,4.449999809265137
2020-01-24,4.400000095367432
2020-01-27,4.320000171661377
2020-01-28,4.230000019073486
2020-01-29,4.119999885559082
2020-01-30,4.349999904632568
2020-01-31,4.309999942779541
2020-02-03,4.360000133514404
2020-02-04,4.599999904632568
2020-02-05,4.440000057220459
2020-02-06,4.369999885559082
2020-02-07,4.269999980926514
2020-02-10,4.059999942779541
2020-02-11,4.099999904632568
2020-02-12,4.110000133514404
2020-02-13,4.070000171661377
2020-02-14,4.01800012588501
2020-02-18,4.139999866485596
2020-02-19,4.139999866485596
2020-02-20,4.130000114440918
2020-02-21,4.099999904632568
2020-02-24,4.068999767303467
2020-02-25,3.990000009536743
2020-02-26,3.7899999618530273
2020-02-27,3.9000000953674316
2020-02-28,3.7200000286102295
2020-03-02,3.927000045776367
2020-03-03,3.9100000858306885
2020-03-04,4.0
2020-03-05,3.759999990463257
2020-03-06,3.7100000381469727
2020-03-09,3.5
2020-03-10,3.5199999809265137
2020-03-11,2.9049999713897705
2020-03-12,2.2100000381469727
2020-03-13,2.0
2020-03-16,1.4500000476837158
2020-03-17,1.75
2020-03-18,1.850000023841858
2020-03-19,2.240000009536743
2020-03-20,2.4800000190734863
2020-03-23,2.4000000953674316
2020-03-24,2.569999933242798
2020-03-25,2.5
2020-03-26,2.390000104904175
2020-03-27,2.119999885559082
2020-03-30,2.0899999141693115
2020-03-31,2.0999999046325684
2020-04-01,2.049999952316284
2020-04-02,2.0
2020-04-03,2.1600000858306885
2020-04-06,2.200000047683716
2020-04-07,2.0
2020-04-08,2.75
2020-04-09,3.3399999141693115
2020-04-13,3.700000047683716
2020-04-14,3.309999942779541
2020-04-15,3.2699999809265137
2020-04-16,3.1600000858306885
2020-04-17,3.0899999141693115
2020-04-20,3.2300000190734863
2020-04-21,3.069999933242798
2020-04-22,2.990000009536743
2020-04-23,2.950000047683716
2020-04-24,2.7899999618530273
2020-04-27,2.930000066757202
