,COA
2011-07-05,2.658099889755249
2011-07-06,2.7960000038146973
2011-07-07,3.049999952316284
2011-07-08,3.1626999378204346
2011-07-11,
2011-07-12,
2011-07-13,
2011-07-14,3.0399999618530273
2011-07-15,
2011-07-18,2.940000057220459
2011-07-19,3.0199999809265137
2011-07-20,2.990000009536743
2011-07-21,2.990000009536743
2011-07-22,
2011-07-25,3.0399999618530273
2011-07-26,
2011-07-27,
2011-07-28,2.9000000953674316
2011-07-29,
2011-08-01,2.9000000953674316
2011-08-02,2.7300000190734863
2011-08-03,2.809999942779541
2011-08-04,2.680000066757202
2011-08-05,2.5608999729156494
2011-08-08,2.498500108718872
2011-08-09,2.700000047683716
2011-08-10,2.7699999809265137
2011-08-11,2.800800085067749
2011-08-12,2.75
2011-08-15,2.9000000953674316
2011-08-16,2.880000114440918
2011-08-17,2.8299999237060547
2011-08-18,2.7200000286102295
2011-08-19,2.700000047683716
2011-08-22,2.619999885559082
2011-08-23,2.5999999046325684
2011-08-24,2.690000057220459
2011-08-25,2.6700000762939453
2011-08-26,
2011-08-29,
2011-08-30,
2011-08-31,
2011-09-01,2.7300000190734863
2011-09-02,
2011-09-06,2.690000057220459
2011-09-07,2.690000057220459
2011-09-08,2.700000047683716
2011-09-09,
2011-09-12,
2011-09-13,2.6958000659942627
2011-09-14,
2011-09-15,
2011-09-16,2.6700000762939453
2011-09-19,2.75
2011-09-20,2.6500000953674316
2011-09-21,2.6500000953674316
2011-09-22,2.7200000286102295
2011-09-23,2.619999885559082
2011-09-26,2.625999927520752
2011-09-27,2.8399999141693115
2011-09-28,3.0199999809265137
2011-09-29,2.950000047683716
2011-09-30,2.859999895095825
2011-10-03,2.86080002784729
2011-10-04,2.700000047683716
2011-10-05,2.934799909591675
2011-10-06,2.8980000019073486
2011-10-07,2.7899999618530273
2011-10-10,
2011-10-11,2.9200000762939453
2011-10-12,
2011-10-13,3.049999952316284
2011-10-14,
2011-10-17,3.086899995803833
2011-10-18,
2011-10-19,3.071199893951416
2011-10-20,
2011-10-21,3.009999990463257
2011-10-24,3.0494000911712646
2011-10-25,3.059999942779541
2011-10-26,3.0799999237060547
2011-10-27,3.119999885559082
2011-10-28,
2011-10-31,3.0999999046325684
2011-11-01,3.091900110244751
2011-11-02,
2011-11-03,3.120699882507324
2011-11-04,3.0199999809265137
2011-11-07,3.0799999237060547
2011-11-08,3.1150999069213867
2011-11-09,3.0741000175476074
2011-11-10,3.107599973678589
2011-11-11,3.0999999046325684
2011-11-14,3.0987000465393066
2011-11-15,
2011-11-16,3.0952000617980957
2011-11-17,3.0952000617980957
2011-11-18,3.0952000617980957
2011-11-21,3.0199999809265137
2011-11-22,2.930000066757202
2011-11-23,2.75
2011-11-25,2.75
