,COHR
1980-03-17,4.8333330154418945
1980-03-18,4.888888835906982
1980-03-19,4.888888835906982
1980-03-20,4.777778148651123
1980-03-21,4.777778148651123
1980-03-24,4.444444179534912
1980-03-25,4.388888835906982
1980-03-26,4.388888835906982
1980-03-27,3.8333330154418945
1980-03-28,4.1666669845581055
1980-03-31,4.388888835906982
1980-04-01,4.5
1980-04-02,4.555555820465088
1980-04-03,4.5
1980-04-07,4.3333330154418945
1980-04-08,4.444444179534912
1980-04-09,4.5
1980-04-10,4.388888835906982
1980-04-11,4.055555820465088
1980-04-14,3.8333330154418945
1980-04-15,3.777777910232544
1980-04-16,3.6666669845581055
1980-04-17,3.722222089767456
1980-04-18,3.777777910232544
1980-04-21,3.722222089767456
1980-04-22,3.944443941116333
1980-04-23,3.944443941116333
1980-04-24,4.111111164093018
1980-04-25,3.6666669845581055
1980-04-28,3.6111109256744385
1980-04-29,3.722222089767456
1980-04-30,3.722222089767456
1980-05-01,3.6666669845581055
1980-05-02,3.777777910232544
1980-05-05,3.777777910232544
1980-05-06,3.777777910232544
1980-05-07,3.777777910232544
1980-05-08,3.722222089767456
1980-05-09,3.6666669845581055
1980-05-12,3.6666669845581055
1980-05-13,3.6666669845581055
1980-05-14,3.6666669845581055
1980-05-15,3.6111109256744385
1980-05-16,3.555556058883667
1980-05-19,3.5
1980-05-20,3.277777910232544
1980-05-21,3.222222089767456
1980-05-22,3.222222089767456
1980-05-23,3.222222089767456
1980-05-27,3.3888890743255615
1980-05-28,3.6111109256744385
1980-05-29,3.6666669845581055
1980-05-30,3.722222089767456
1980-06-02,3.777777910232544
1980-06-03,3.777777910232544
1980-06-04,4.3333330154418945
1980-06-05,4.1666669845581055
1980-06-06,4.222221851348877
1980-06-09,4.222221851348877
1980-06-10,4.222221851348877
1980-06-11,4.3333330154418945
1980-06-12,4.1666669845581055
1980-06-13,4.222221851348877
1980-06-16,4.222221851348877
1980-06-17,4.1666669845581055
1980-06-18,4.1666669845581055
1980-06-19,3.944443941116333
1980-06-20,3.8888890743255615
1980-06-23,3.944443941116333
1980-06-24,4.055555820465088
1980-06-25,4.1666669845581055
1980-06-26,4.1666669845581055
1980-06-27,4.111111164093018
1980-06-30,4.111111164093018
1980-07-01,4.111111164093018
1980-07-02,4.111111164093018
1980-07-03,4.111111164093018
1980-07-07,4.277778148651123
1980-07-08,4.277778148651123
1980-07-09,4.055555820465088
1980-07-10,4.055555820465088
1980-07-11,4.055555820465088
1980-07-14,3.944443941116333
1980-07-15,3.944443941116333
1980-07-16,4.222221851348877
1980-07-17,4.222221851348877
1980-07-18,4.222221851348877
1980-07-21,4.277778148651123
1980-07-22,4.1666669845581055
1980-07-23,4.0
1980-07-24,4.0
1980-07-25,4.0
1980-07-28,4.0
1980-07-29,4.0
1980-07-30,4.055555820465088
1980-07-31,4.0
1980-08-01,3.8333330154418945
1980-08-04,3.777777910232544
1980-08-05,3.8333330154418945
1980-08-06,4.055555820465088
1980-08-07,4.277778148651123
1980-08-08,4.3333330154418945
1980-08-11,4.611111164093018
1980-08-12,4.444444179534912
1980-08-13,4.444444179534912
1980-08-14,4.5
1980-08-15,4.555555820465088
1980-08-18,4.611111164093018
1980-08-19,4.722221851348877
