,CPTAG
2017-07-17,25.5
2017-07-18,25.549999237060547
2017-07-19,25.649999618530273
2017-07-20,25.459999084472656
2017-07-21,25.5
2017-07-24,25.639999389648438
2017-07-25,25.25
2017-07-26,25.343000411987305
2017-07-27,25.3700008392334
2017-07-28,25.469999313354492
2017-07-31,25.459999084472656
2017-08-01,25.5
2017-08-02,25.549999237060547
2017-08-03,25.5
2017-08-04,25.448999404907227
2017-08-07,25.5
2017-08-08,25.239999771118164
2017-08-09,24.996999740600586
2017-08-10,24.850000381469727
2017-08-11,24.75
2017-08-14,24.790000915527344
2017-08-15,25.139999389648438
2017-08-16,25.0
2017-08-17,25.06999969482422
2017-08-18,25.100000381469727
2017-08-21,25.02199935913086
2017-08-22,25.051000595092773
2017-08-23,25.072999954223633
2017-08-24,24.798999786376953
2017-08-25,24.799999237060547
2017-08-28,24.969999313354492
2017-08-29,24.93000030517578
2017-08-30,24.899999618530273
2017-08-31,24.999000549316406
2017-09-01,24.950000762939453
2017-09-05,24.799999237060547
2017-09-06,24.75
2017-09-07,24.75
2017-09-08,24.700000762939453
2017-09-11,24.799999237060547
2017-09-12,24.709999084472656
2017-09-13,24.729999542236328
2017-09-14,24.700000762939453
2017-09-15,24.700000762939453
2017-09-18,24.683000564575195
2017-09-19,24.799999237060547
2017-09-20,24.79800033569336
2017-09-21,24.799999237060547
2017-09-22,24.899999618530273
2017-09-25,24.940000534057617
2017-09-26,24.989999771118164
2017-09-27,24.920000076293945
2017-09-28,24.68000030517578
2017-09-29,24.950000762939453
2017-10-02,24.989999771118164
2017-10-03,24.950000762939453
2017-10-04,24.979999542236328
2017-10-05,24.979999542236328
2017-10-06,25.0
2017-10-09,24.979999542236328
2017-10-10,25.0
2017-10-11,25.049999237060547
2017-10-12,25.049999237060547
2017-10-13,25.040000915527344
2017-10-16,25.049999237060547
2017-10-17,25.0
2017-10-18,25.049999237060547
2017-10-19,25.049999237060547
2017-10-20,25.0
2017-10-23,25.010000228881836
2017-10-24,25.09000015258789
2017-10-25,25.049999237060547
2017-10-26,25.049999237060547
2017-10-27,25.100000381469727
2017-10-30,25.079999923706055
2017-10-31,25.100000381469727
2017-11-01,25.086000442504883
2017-11-02,25.100000381469727
2017-11-03,25.100000381469727
2017-11-06,25.100000381469727
2017-11-07,25.09000015258789
2017-11-08,25.0
2017-11-09,25.0
2017-11-10,25.0
2017-11-13,24.989999771118164
2017-11-14,24.799999237060547
2017-11-15,24.799999237060547
2017-11-16,24.540000915527344
2017-11-17,24.559999465942383
2017-11-20,24.799999237060547
2017-11-21,24.899999618530273
2017-11-22,24.639999389648438
2017-11-24,24.84000015258789
2017-11-27,24.8799991607666
2017-11-28,24.850000381469727
2017-11-29,24.75
