,CREE
1993-02-09,1.21875
1993-02-10,1.375
1993-02-11,1.4375
1993-02-12,1.390625
1993-02-16,1.25
1993-02-17,1.234375
1993-02-18,1.1875
1993-02-19,1.203125
1993-02-22,1.296875
1993-02-23,1.3125
1993-02-24,1.28125
1993-02-25,1.296875
1993-02-26,1.28125
1993-03-01,1.3125
1993-03-02,1.3125
1993-03-03,1.25
1993-03-04,1.28125
1993-03-05,1.375
1993-03-08,1.5625
1993-03-09,1.671875
1993-03-10,1.96875
1993-03-11,1.984375
1993-03-12,2.03125
1993-03-15,2.03125
1993-03-16,2.1875
1993-03-17,2.34375
1993-03-18,2.09375
1993-03-19,2.0625
1993-03-22,2.03125
1993-03-23,2.0
1993-03-24,2.0
1993-03-25,2.03125
1993-03-26,2.1875
1993-03-29,2.171875
1993-03-30,2.1875
1993-03-31,2.140625
1993-04-01,2.234375
1993-04-02,2.1875
1993-04-05,2.359375
1993-04-06,2.40625
1993-04-07,2.5625
1993-04-08,2.90625
1993-04-12,3.09375
1993-04-13,2.921875
1993-04-14,3.0
1993-04-15,2.78125
1993-04-16,2.71875
1993-04-19,2.765625
1993-04-20,2.75
1993-04-21,3.0
1993-04-22,2.9375
1993-04-23,2.515625
1993-04-26,2.34375
1993-04-27,2.375
1993-04-28,2.84375
1993-04-29,2.96875
1993-04-30,2.84375
1993-05-03,2.71875
1993-05-04,2.71875
1993-05-05,2.84375
1993-05-06,2.78125
1993-05-07,2.78125
1993-05-10,2.71875
1993-05-11,2.59375
1993-05-12,2.53125
1993-05-13,2.4375
1993-05-14,2.5
1993-05-17,2.5
1993-05-18,2.53125
1993-05-19,2.5
1993-05-20,2.40625
1993-05-21,2.4375
1993-05-24,2.421875
1993-05-25,2.40625
1993-05-26,2.3125
1993-05-27,2.40625
1993-05-28,2.34375
1993-06-01,2.25
1993-06-02,2.15625
1993-06-03,2.125
1993-06-04,2.21875
1993-06-07,2.375
1993-06-08,2.375
1993-06-09,2.34375
1993-06-10,2.3125
1993-06-11,2.375
1993-06-14,2.375
1993-06-15,2.125
1993-06-16,2.0
1993-06-17,1.90625
1993-06-18,1.734375
1993-06-21,1.6875
1993-06-22,1.75
1993-06-23,1.78125
1993-06-24,1.75
1993-06-25,1.71875
1993-06-28,1.703125
1993-06-29,1.46875
1993-06-30,1.59375
1993-07-01,1.703125
1993-07-02,1.78125
1993-07-06,1.78125
1993-07-07,1.78125
1993-07-08,1.78125
1993-07-09,2.125
1993-07-12,2.15625
1993-07-13,2.09375
1993-07-14,2.125
1993-07-15,2.09375
1993-07-16,2.09375
1993-07-19,2.125
1993-07-20,2.15625
1993-07-21,2.125
1993-07-22,2.0625
1993-07-23,2.078125
1993-07-26,2.03125
1993-07-27,1.890625
1993-07-28,1.84375
1993-07-29,1.75
1993-07-30,1.78125
1993-08-02,1.78125
1993-08-03,1.75
1993-08-04,1.6875
1993-08-05,1.59375
1993-08-06,1.625
1993-08-09,1.53125
1993-08-10,1.75
1993-08-11,1.8125
1993-08-12,1.75
1993-08-13,1.8125
1993-08-16,1.8125
1993-08-17,1.78125
1993-08-18,1.734375
1993-08-19,1.765625
1993-08-20,1.703125
1993-08-23,1.6875
1993-08-24,1.71875
1993-08-25,1.71875
1993-08-26,1.765625
1993-08-27,1.71875
1993-08-30,1.6875
1993-08-31,1.75
1993-09-01,1.6875
1993-09-02,1.625
1993-09-03,1.6875
1993-09-07,1.5625
1993-09-08,1.59375
1993-09-09,1.5
1993-09-10,1.59375
1993-09-13,1.625
1993-09-14,1.59375
1993-09-15,1.53125
1993-09-16,1.5625
1993-09-17,1.5
1993-09-20,1.5
1993-09-21,1.4375
1993-09-22,1.53125
1993-09-23,1.53125
1993-09-24,1.46875
1993-09-27,1.53125
1993-09-28,1.65625
1993-09-29,1.78125
1993-09-30,1.6875
1993-10-01,1.78125
1993-10-04,1.75
1993-10-05,1.734375
1993-10-06,1.71875
1993-10-07,1.625
1993-10-08,1.59375
1993-10-11,1.5
1993-10-12,1.5
1993-10-13,1.625
1993-10-14,1.5625
1993-10-15,1.78125
1993-10-18,1.6875
1993-10-19,1.734375
1993-10-20,1.75
1993-10-21,1.65625
1993-10-22,1.6875
1993-10-25,1.65625
1993-10-26,1.703125
1993-10-27,1.75
1993-10-28,1.8125
1993-10-29,1.8125
1993-11-01,1.875
1993-11-02,1.9375
1993-11-03,1.84375
1993-11-04,1.84375
1993-11-05,1.875
1993-11-08,1.796875
1993-11-09,1.78125
1993-11-10,1.875
1993-11-11,1.78125
1993-11-12,1.875
1993-11-15,1.78125
1993-11-16,1.875
1993-11-17,1.78125
1993-11-18,1.8125
1993-11-19,1.875
1993-11-22,1.78125
1993-11-23,1.78125
1993-11-24,1.75
1993-11-26,1.71875
1993-11-29,1.796875
1993-11-30,1.8125
1993-12-01,1.84375
1993-12-02,1.8125
1993-12-03,1.8125
1993-12-06,1.875
1993-12-07,1.875
1993-12-08,1.75
1993-12-09,1.75
1993-12-10,1.875
1993-12-13,1.875
1993-12-14,1.75
1993-12-15,1.875
1993-12-16,1.84375
1993-12-17,1.84375
1993-12-20,1.84375
1993-12-21,1.75
1993-12-22,1.84375
1993-12-23,1.84375
1993-12-27,1.84375
1993-12-28,1.84375
1993-12-29,1.75
1993-12-30,1.75
1993-12-31,1.84375
1994-01-03,1.90625
1994-01-04,1.90625
1994-01-05,1.8125
1994-01-06,1.75
1994-01-07,1.875
1994-01-10,1.875
1994-01-11,1.875
1994-01-12,1.765625
1994-01-13,1.8125
1994-01-14,1.75
1994-01-17,1.8125
1994-01-18,1.75
1994-01-19,1.71875
1994-01-20,1.8125
1994-01-21,1.71875
1994-01-24,1.8125
1994-01-25,1.8125
1994-01-26,1.75
1994-01-27,1.71875
1994-01-28,1.5625
1994-01-31,1.46875
1994-02-01,1.5
1994-02-02,1.578125
1994-02-03,1.625
1994-02-04,1.46875
1994-02-07,1.46875
1994-02-08,1.34375
1994-02-09,1.375
1994-02-10,1.40625
1994-02-11,1.3125
1994-02-14,1.28125
1994-02-15,1.203125
1994-02-16,1.375
1994-02-17,1.3125
1994-02-18,1.40625
1994-02-22,1.34375
1994-02-23,1.3125
1994-02-24,1.3125
1994-02-25,1.375
1994-02-28,1.28125
1994-03-01,1.25
1994-03-02,1.25
1994-03-03,1.15625
1994-03-04,1.1875
1994-03-07,1.25
1994-03-08,1.125
1994-03-09,1.140625
1994-03-10,1.125
1994-03-11,1.15625
1994-03-14,1.0625
1994-03-15,1.125
1994-03-16,1.125
1994-03-17,1.03125
1994-03-18,1.125
1994-03-21,1.03125
1994-03-22,1.03125
1994-03-23,1.0
1994-03-24,1.0625
1994-03-25,0.9375
1994-03-28,0.96875
1994-03-29,1.125
1994-03-30,1.03125
1994-03-31,1.03125
1994-04-04,1.03125
1994-04-05,1.0625
1994-04-06,0.90625
1994-04-07,1.03125
1994-04-08,1.09375
1994-04-11,1.09375
1994-04-12,1.09375
