,CRIS
2000-08-01,121.875
2000-08-02,115.625
2000-08-03,113.4375
2000-08-04,107.8125
2000-08-07,92.8125
2000-08-08,89.6875
2000-08-09,82.1875
2000-08-10,75.3125
2000-08-11,72.5
2000-08-14,71.25
2000-08-15,86.5625
2000-08-16,92.5
2000-08-17,101.25
2000-08-18,98.75
2000-08-21,100.0
2000-08-22,98.75
2000-08-23,93.125
2000-08-24,100.0
2000-08-25,104.0625
2000-08-28,103.125
2000-08-29,102.8125
2000-08-30,100.9375
2000-08-31,101.5625
2000-09-01,101.5625
2000-09-05,107.5
2000-09-06,104.375
2000-09-07,104.0625
2000-09-08,105.0
2000-09-11,99.375
2000-09-12,88.75
2000-09-13,90.9375
2000-09-14,92.5
2000-09-15,89.375
2000-09-18,82.8125
2000-09-19,85.0
2000-09-20,88.125
2000-09-21,87.5
2000-09-22,93.4375
2000-09-25,100.0
2000-09-26,95.0
2000-09-27,90.0
2000-09-28,91.875
2000-09-29,99.6875
2000-10-02,94.6875
2000-10-03,86.875
2000-10-04,80.9375
2000-10-05,80.0
2000-10-06,75.9375
2000-10-09,76.5625
2000-10-10,79.0625
2000-10-11,75.9375
2000-10-12,75.0
2000-10-13,74.375
2000-10-16,73.125
2000-10-17,67.8125
2000-10-18,71.875
2000-10-19,64.375
2000-10-20,67.8125
2000-10-23,69.6875
2000-10-24,74.375
2000-10-25,70.0
2000-10-26,67.5
2000-10-27,66.25
2000-10-30,61.5625
2000-10-31,63.125
2000-11-01,60.625
2000-11-02,58.75
2000-11-03,62.5
2000-11-06,63.4375
2000-11-07,60.0
2000-11-08,58.4375
2000-11-09,58.75
2000-11-10,53.75
2000-11-13,50.0
2000-11-14,65.0
2000-11-15,65.0
2000-11-16,61.25
2000-11-17,59.6875
2000-11-20,53.203125
2000-11-21,51.5625
2000-11-22,50.0
2000-11-24,52.1875
2000-11-27,53.75
2000-11-28,51.875
2000-11-29,52.5
2000-11-30,51.25
2000-12-01,53.125
2000-12-04,62.1875
2000-12-05,64.6875
2000-12-06,65.0
2000-12-07,58.75
2000-12-08,57.8125
2000-12-11,55.625
2000-12-12,55.9375
2000-12-13,60.9375
2000-12-14,59.6875
2000-12-15,58.75
2000-12-18,58.4375
2000-12-19,50.0
2000-12-20,44.375
2000-12-21,36.5625
2000-12-22,41.875
2000-12-26,37.8125
2000-12-27,34.53125
2000-12-28,38.75
2000-12-29,44.375
2001-01-02,41.875
2001-01-03,49.0625
2001-01-04,50.0
2001-01-05,46.875
2001-01-08,43.75
2001-01-09,40.0
2001-01-10,46.25
2001-01-11,48.75
2001-01-12,49.6875
2001-01-16,49.375
2001-01-17,47.5
2001-01-18,49.375
2001-01-19,54.0625
2001-01-22,55.0
2001-01-23,59.375
2001-01-24,58.75
2001-01-25,57.5
2001-01-26,62.1875
2001-01-29,65.0
2001-01-30,34.6875
2001-01-31,30.859375
2001-02-01,32.96875
