,CWST
1997-10-29,22.25
1997-10-30,22.0
1997-10-31,22.125
1997-11-03,21.625
1997-11-04,22.5
1997-11-05,22.5
1997-11-06,22.625
1997-11-07,22.5
1997-11-10,22.125
1997-11-11,22.125
1997-11-12,21.5
1997-11-13,21.25
1997-11-14,20.875
1997-11-17,20.625
1997-11-18,20.625
1997-11-19,21.0
1997-11-20,20.75
1997-11-21,20.5
1997-11-24,19.25
1997-11-25,19.875
1997-11-26,20.375
1997-11-28,20.25
1997-12-01,20.375
1997-12-02,20.25
1997-12-03,19.75
1997-12-04,19.75
1997-12-05,20.0
1997-12-08,20.125
1997-12-09,20.125
1997-12-10,20.5
1997-12-11,20.875
1997-12-12,20.875
1997-12-15,21.125
1997-12-16,20.8125
1997-12-17,21.625
1997-12-18,22.25
1997-12-19,22.25
1997-12-22,22.375
1997-12-23,24.25
1997-12-24,25.5
1997-12-26,25.0
1997-12-29,25.125
1997-12-30,24.875
1997-12-31,26.375
1998-01-02,25.75
1998-01-05,25.125
1998-01-06,26.0
1998-01-07,26.125
1998-01-08,25.625
1998-01-09,25.25
1998-01-12,25.25
1998-01-13,25.25
1998-01-14,25.0
1998-01-15,25.0
1998-01-16,24.5
1998-01-20,24.625
1998-01-21,24.5625
1998-01-22,24.125
1998-01-23,24.0
1998-01-26,23.875
1998-01-27,24.0
1998-01-28,24.25
1998-01-29,24.1875
1998-01-30,24.75
1998-02-02,24.375
1998-02-03,24.875
1998-02-04,25.0
1998-02-05,25.125
1998-02-06,25.5
1998-02-09,25.75
1998-02-10,26.0
1998-02-11,26.0
1998-02-12,26.125
1998-02-13,26.125
1998-02-17,25.75
1998-02-18,26.0
1998-02-19,25.625
1998-02-20,25.75
1998-02-23,25.125
1998-02-24,24.75
1998-02-25,23.875
1998-02-26,23.875
1998-02-27,24.375
1998-03-02,24.125
1998-03-03,24.125
1998-03-04,24.25
1998-03-05,24.125
1998-03-06,24.125
1998-03-09,24.5
1998-03-10,24.5
1998-03-11,25.0
1998-03-12,25.625
1998-03-13,25.625
1998-03-16,27.0
1998-03-17,27.25
1998-03-18,26.875
1998-03-19,28.0
1998-03-20,28.0
1998-03-23,27.375
1998-03-24,26.875
1998-03-25,26.125
1998-03-26,26.5
1998-03-27,26.5
1998-03-30,26.5
1998-03-31,26.4375
1998-04-01,26.5
1998-04-02,27.5
1998-04-03,28.125
1998-04-06,28.0
1998-04-07,28.0
1998-04-08,28.25
1998-04-09,28.375
1998-04-13,28.125
1998-04-14,28.875
1998-04-15,30.75
1998-04-16,32.125
1998-04-17,33.625
1998-04-20,32.125
1998-04-21,32.375
1998-04-22,33.125
1998-04-23,33.25
1998-04-24,33.0
1998-04-27,32.5
1998-04-28,32.25
1998-04-29,31.5
1998-04-30,31.125
1998-05-01,30.3125
1998-05-04,30.125
1998-05-05,29.75
1998-05-06,28.375
1998-05-07,28.25
1998-05-08,28.625
1998-05-11,28.5
1998-05-12,28.125
1998-05-13,28.125
1998-05-14,28.0
1998-05-15,28.125
1998-05-18,28.0
1998-05-19,28.125
1998-05-20,28.0
1998-05-21,28.125
1998-05-22,27.25
1998-05-26,27.3125
1998-05-27,26.875
1998-05-28,26.5
1998-05-29,26.625
1998-06-01,26.5
1998-06-02,26.375
1998-06-03,26.625
1998-06-04,26.375
1998-06-05,26.625
1998-06-08,26.5
1998-06-09,27.0
1998-06-10,26.625
1998-06-11,26.5
1998-06-12,26.5
1998-06-15,26.53125
1998-06-16,26.0
1998-06-17,26.09375
1998-06-18,26.0625
1998-06-19,25.25
1998-06-22,25.0
1998-06-23,24.75
1998-06-24,24.75
1998-06-25,24.75
1998-06-26,25.625
1998-06-29,25.625
1998-06-30,27.0
1998-07-01,25.875
1998-07-02,25.75
1998-07-06,25.75
1998-07-07,25.625
1998-07-08,25.625
1998-07-09,26.0
1998-07-10,26.25
1998-07-13,27.375
1998-07-14,27.625
1998-07-15,28.0
1998-07-16,27.875
1998-07-17,29.0
1998-07-20,27.5
1998-07-21,27.5
1998-07-22,30.75
1998-07-23,29.5
1998-07-24,30.125
1998-07-27,30.0
1998-07-28,29.875
1998-07-29,29.875
1998-07-30,29.625
1998-07-31,29.375
1998-08-03,29.0
1998-08-04,28.5
1998-08-05,28.5
1998-08-06,28.75
1998-08-07,28.0
1998-08-10,28.0
1998-08-11,26.75
1998-08-12,28.125
1998-08-13,28.0
1998-08-14,28.75
1998-08-17,28.3125
1998-08-18,28.1875
1998-08-19,29.625
1998-08-20,29.625
1998-08-21,29.46875
1998-08-24,29.375
1998-08-25,28.75
1998-08-26,27.875
1998-08-27,27.25
1998-08-28,27.3125
1998-08-31,25.125
1998-09-01,25.0
1998-09-02,24.75
1998-09-03,25.375
1998-09-04,25.5625
1998-09-08,27.0
1998-09-09,27.75
1998-09-10,27.6875
1998-09-11,27.625
1998-09-14,27.25
1998-09-15,27.625
