,CYRX
2005-08-22,750.0
2005-08-23,750.0
2005-08-24,712.7999877929688
2005-08-25,756.0
2005-08-26,756.0
2005-08-29,720.0
2005-08-30,696.0
2005-08-31,682.7999877929688
2005-09-01,682.7999877929688
2005-09-02,744.0
2005-09-06,744.0
2005-09-07,744.0
2005-09-08,744.0
2005-09-09,750.0
2005-09-12,722.4000244140625
2005-09-13,744.0
2005-09-14,750.0
2005-09-15,738.0
2005-09-16,738.0
2005-09-19,750.0
2005-09-20,748.7999877929688
2005-09-21,756.0
2005-09-22,744.0
2005-09-23,750.0
2005-09-26,750.0
2005-09-27,760.7999877929688
2005-09-28,756.0
2005-09-29,762.0
2005-09-30,759.5999755859375
2005-10-03,760.7999877929688
2005-10-04,762.0
2005-10-05,762.0
2005-10-06,756.0
2005-10-07,760.7999877929688
2005-10-10,762.0
2005-10-11,760.7999877929688
2005-10-12,762.0
2005-10-13,762.0
2005-10-14,750.0
2005-10-17,765.5999755859375
2005-10-18,765.5999755859375
2005-10-19,720.0
2005-10-20,720.0
2005-10-21,720.0
2005-10-24,765.5999755859375
2005-10-25,720.0
2005-10-26,720.0
2005-10-27,732.0
2005-10-28,732.0
2005-10-31,720.0
2005-11-01,732.0
2005-11-02,720.0
2005-11-03,720.0
2005-11-04,750.0
2005-11-07,720.0
2005-11-08,720.0
2005-11-09,720.0
2005-11-10,726.0
2005-11-11,720.0
2005-11-14,720.0
2005-11-15,720.0
2005-11-16,720.0
2005-11-17,684.0
2005-11-18,690.0
2005-11-21,732.0
2005-11-22,708.0
2005-11-23,654.0
2005-11-25,702.0
2005-11-28,654.0
2005-11-29,690.0
2005-11-30,552.0
2005-12-01,684.0
2005-12-02,660.0
2005-12-05,660.0
2005-12-06,588.0
2005-12-07,588.0
2005-12-08,588.0
2005-12-09,600.0
2005-12-12,658.7999877929688
2005-12-13,618.0
2005-12-14,618.0
2005-12-15,606.0
2005-12-16,600.0
2005-12-19,606.0
2005-12-20,652.7999877929688
2005-12-21,654.0
2005-12-22,672.0
2005-12-23,672.0
2005-12-27,648.0
2005-12-28,642.0
2005-12-29,636.0
2005-12-30,660.0
2006-01-03,726.0
2006-01-04,726.0
2006-01-05,720.0
2006-01-06,720.0
2006-01-09,702.0
2006-01-10,696.0
2006-01-11,606.0
2006-01-12,606.0
2006-01-13,660.0
2006-01-17,660.0
2006-01-18,660.0
2006-01-19,660.0
2006-01-20,658.7999877929688
2006-01-23,658.7999877929688
2006-01-24,658.7999877929688
2006-01-25,690.0
2006-01-26,690.0
2006-01-27,636.0
2006-01-30,660.0
2006-01-31,660.0
2006-02-01,656.4000244140625
2006-02-02,656.4000244140625
2006-02-03,660.0
2006-02-06,658.7999877929688
2006-02-07,658.7999877929688
2006-02-08,658.7999877929688
2006-02-09,658.7999877929688
2006-02-10,658.7999877929688
2006-02-13,636.0
2006-02-14,624.0
2006-02-15,624.0
2006-02-16,624.0
2006-02-17,624.0
2006-02-21,660.0
2006-02-22,660.0
2006-02-23,684.0
2006-02-24,690.0
2006-02-27,690.0
2006-02-28,608.4000244140625
2006-03-01,690.0
2006-03-02,690.0
2006-03-03,511.20001220703125
2006-03-06,520.7999877929688
2006-03-07,523.2000122070312
2006-03-08,524.4000244140625
2006-03-09,516.0
2006-03-10,516.0
2006-03-13,516.0
2006-03-14,516.0
2006-03-15,516.0
2006-03-16,522.0
2006-03-17,524.4000244140625
2006-03-20,654.0
2006-03-21,642.0
2006-03-22,526.7999877929688
2006-03-23,630.0
2006-03-24,516.0
2006-03-27,516.0
2006-03-28,480.0
2006-03-29,480.0
2006-03-30,480.0
2006-03-31,480.0
2006-04-03,480.0
2006-04-04,480.0
2006-04-05,504.0
2006-04-06,504.0
2006-04-07,504.0
2006-04-10,504.0
2006-04-11,504.0
2006-04-12,504.0
2006-04-13,504.0
2006-04-17,498.0
2006-04-18,450.0
2006-04-19,384.0
2006-04-20,360.0
2006-04-21,372.0
2006-04-24,342.0
2006-04-25,348.0
2006-04-26,348.0
2006-04-27,348.0
2006-04-28,342.0
2006-05-01,342.0
2006-05-02,336.0
2006-05-03,300.0
2006-05-04,300.0
2006-05-05,294.0
2006-05-08,342.0
2006-05-09,342.0
2006-05-10,342.0
2006-05-11,342.0
2006-05-12,342.0
2006-05-15,342.0
2006-05-16,336.0
2006-05-17,336.0
2006-05-18,336.0
2006-05-19,336.0
2006-05-22,342.0
2006-05-23,348.0
2006-05-24,348.0
2006-05-25,360.0
2006-05-26,360.0
2006-05-30,360.0
2006-05-31,360.0
2006-06-01,360.0
2006-06-02,360.0
2006-06-05,360.0
2006-06-06,300.0
2006-06-07,300.0
2006-06-08,300.0
2006-06-09,300.0
2006-06-12,300.0
2006-06-13,300.0
2006-06-14,298.79998779296875
2006-06-15,298.79998779296875
2006-06-16,294.0
2006-06-19,294.0
2006-06-20,294.0
2006-06-21,294.0
2006-06-22,294.0
2006-06-23,240.0
2006-06-26,294.0
2006-06-27,294.0
2006-06-28,294.0
2006-06-29,294.0
2006-06-30,294.0
2006-07-03,294.0
2006-07-05,216.0
2006-07-06,300.0
2006-07-07,300.0
2006-07-10,300.0
2006-07-11,300.0
2006-07-12,300.0
2006-07-13,300.0
2006-07-14,192.0
2006-07-17,192.0
2006-07-18,192.0
2006-07-19,192.0
2006-07-20,120.0
2006-07-21,120.0
2006-07-24,144.0
2006-07-25,144.0
2006-07-26,144.0
2006-07-27,132.0
2006-07-28,144.0
2006-07-31,144.0
2006-08-01,144.0
2006-08-02,144.0
2006-08-03,126.0
2006-08-04,126.0
2006-08-07,126.0
2006-08-08,126.0
2006-08-09,126.0
2006-08-10,126.0
2006-08-11,120.0
2006-08-14,120.0
2006-08-15,126.0
2006-08-16,126.0
2006-08-17,114.0
