,DCPH
2017-09-28,17.649999618530273
2017-09-29,18.989999771118164
2017-10-02,19.729999542236328
2017-10-03,19.709999084472656
2017-10-04,20.25
2017-10-05,22.170000076293945
2017-10-06,22.90999984741211
2017-10-09,23.309999465942383
2017-10-10,22.899999618530273
2017-10-11,22.3799991607666
2017-10-12,22.8799991607666
2017-10-13,24.200000762939453
2017-10-16,24.0
2017-10-17,21.43000030517578
2017-10-18,19.959999084472656
2017-10-19,19.84000015258789
2017-10-20,20.149999618530273
2017-10-23,20.790000915527344
2017-10-24,20.350000381469727
2017-10-25,19.31999969482422
2017-10-26,19.399999618530273
2017-10-27,18.639999389648438
2017-10-30,19.09000015258789
2017-10-31,19.190000534057617
2017-11-01,19.079999923706055
2017-11-02,17.959999084472656
2017-11-03,19.010000228881836
2017-11-06,18.959999084472656
2017-11-07,18.049999237060547
2017-11-08,17.0
2017-11-09,16.729999542236328
2017-11-10,17.399999618530273
2017-11-13,17.670000076293945
2017-11-14,17.510000228881836
2017-11-15,17.850000381469727
2017-11-16,17.770000457763672
2017-11-17,19.600000381469727
2017-11-20,20.81999969482422
2017-11-21,21.06999969482422
2017-11-22,20.469999313354492
2017-11-24,20.09000015258789
2017-11-27,20.049999237060547
2017-11-28,20.360000610351562
2017-11-29,19.239999771118164
2017-11-30,19.860000610351562
2017-12-01,19.549999237060547
2017-12-04,17.770000457763672
2017-12-05,17.889999389648438
2017-12-06,17.06999969482422
2017-12-07,17.8799991607666
2017-12-08,18.209999084472656
2017-12-11,16.829999923706055
2017-12-12,16.600000381469727
2017-12-13,17.81999969482422
2017-12-14,16.75
2017-12-15,16.540000915527344
2017-12-18,17.149999618530273
2017-12-19,17.09000015258789
2017-12-20,18.65999984741211
2017-12-21,19.600000381469727
2017-12-22,21.510000228881836
2017-12-26,21.600000381469727
2017-12-27,21.0
2017-12-28,22.31999969482422
2017-12-29,22.670000076293945
2018-01-02,25.209999084472656
2018-01-03,26.139999389648438
2018-01-04,25.010000228881836
2018-01-05,25.809999465942383
2018-01-08,24.989999771118164
2018-01-09,25.06999969482422
2018-01-10,25.65999984741211
2018-01-11,24.989999771118164
2018-01-12,24.540000915527344
2018-01-16,24.3799991607666
2018-01-17,24.979999542236328
2018-01-18,26.040000915527344
2018-01-19,27.469999313354492
2018-01-22,27.899999618530273
2018-01-23,28.09000015258789
2018-01-24,26.6299991607666
2018-01-25,27.079999923706055
