,DCRBU
2020-10-20,9.880000114440918
2020-10-21,9.899999618530273
2020-10-22,9.90999984741211
2020-10-23,9.920000076293945
2020-10-26,9.90999984741211
2020-10-27,9.90999984741211
2020-10-28,9.930000305175781
2020-10-29,9.930000305175781
2020-10-30,9.930000305175781
2020-11-02,9.9399995803833
2020-11-03,9.9399995803833
2020-11-04,9.949999809265137
2020-11-05,9.970000267028809
2020-11-06,9.984000205993652
2020-11-09,10.0
2020-11-10,9.920000076293945
2020-11-11,9.90999984741211
2020-11-12,9.9399995803833
2020-11-13,9.914999961853027
2020-11-16,10.0
2020-11-17,9.899999618530273
2020-11-18,9.99899959564209
2020-11-19,9.989999771118164
2020-11-20,10.0
2020-11-23,9.96500015258789
2020-11-24,10.0
2020-11-25,9.989999771118164
2020-11-27,10.050000190734863
2020-11-30,10.170000076293945
2020-12-01,10.239999771118164
2020-12-02,10.229999542236328
2020-12-03,10.255000114440918
2020-12-04,10.399999618530273
2020-12-07,10.397000312805176
2020-12-08,10.350000381469727
2020-12-09,10.350000381469727
2020-12-10,10.329999923706055
2020-12-11,10.5
2020-12-14,10.722000122070312
2020-12-15,10.550000190734863
2020-12-16,10.890000343322754
2020-12-17,10.899999618530273
2020-12-18,10.979999542236328
2020-12-21,11.029999732971191
2020-12-22,11.140000343322754
2020-12-23,11.260000228881836
2020-12-24,11.25
2020-12-28,11.529999732971191
2020-12-29,11.5
2020-12-30,11.399999618530273
2020-12-31,11.489999771118164
2021-01-04,11.399999618530273
2021-01-05,11.15999984741211
2021-01-06,11.170000076293945
2021-01-07,11.380000114440918
2021-01-08,11.630000114440918
2021-01-11,11.729999542236328
2021-01-12,12.65999984741211
2021-01-13,13.050000190734863
2021-01-14,13.380000114440918
2021-01-15,13.079999923706055
2021-01-19,13.5
2021-01-20,13.489999771118164
2021-01-21,13.520000457763672
2021-01-22,15.199999809265137
2021-01-25,15.539999961853027
2021-01-26,15.470000267028809
2021-01-27,13.569999694824219
2021-01-28,13.430000305175781
2021-01-29,13.710000038146973
2021-02-01,14.460000038146973
2021-02-02,14.789999961853027
2021-02-03,15.149999618530273
2021-02-04,15.140000343322754
2021-02-05,18.40999984741211
2021-02-08,20.290000915527344
2021-02-09,18.31999969482422
2021-02-10,18.020000457763672
2021-02-11,17.25
2021-02-12,17.579999923706055
2021-02-16,17.760000228881836
2021-02-17,17.045000076293945
2021-02-18,16.639999389648438
2021-02-19,16.75
2021-02-22,16.010000228881836
2021-02-23,14.350000381469727
2021-02-24,13.779999732971191
2021-02-25,13.029999732971191
2021-02-26,13.020000457763672
2021-03-01,14.5
2021-03-02,13.720000267028809
2021-03-03,12.65999984741211
2021-03-04,12.010000228881836
2021-03-05,12.260000228881836
2021-03-08,11.770000457763672
2021-03-09,12.569999694824219
2021-03-10,12.180000305175781
2021-03-11,13.039999961853027
2021-03-12,13.579999923706055
2021-03-15,13.4399995803833
2021-03-16,12.859999656677246
2021-03-17,12.399999618530273
2021-03-18,11.989999771118164
2021-03-19,12.0600004196167
2021-03-22,12.5
2021-03-23,11.649999618530273
2021-03-24,11.020000457763672
2021-03-25,11.180000305175781
2021-03-26,11.65999984741211
2021-03-29,11.199999809265137
2021-03-30,11.25
2021-03-31,10.609999656677246
2021-04-01,12.0
2021-04-05,12.140000343322754
2021-04-06,11.510000228881836
2021-04-07,11.460000038146973
2021-04-08,11.65999984741211
2021-04-09,11.550000190734863
2021-04-12,11.300000190734863
2021-04-13,11.40999984741211
2021-04-14,11.199999809265137
2021-04-15,10.770000457763672
2021-04-16,11.140000343322754
2021-04-19,10.779999732971191
2021-04-20,10.9399995803833
2021-04-21,10.869999885559082
2021-04-22,11.0
2021-04-23,11.190999984741211
2021-04-26,11.25
2021-04-27,11.449999809265137
2021-04-28,11.300000190734863
2021-04-29,11.0600004196167
2021-04-30,11.378999710083008
2021-05-03,11.322999954223633
2021-05-04,11.3100004196167
2021-05-05,11.140000343322754
2021-05-06,11.149999618530273
2021-05-07,11.342000007629395
2021-05-10,11.149999618530273
2021-05-11,10.880000114440918
2021-05-12,10.869999885559082
2021-05-13,10.8100004196167
2021-05-14,10.850000381469727
