,DGE
2004-02-27,441.1000061035156
2004-03-01,444.3599853515625
2004-03-02,440.7200012207031
2004-03-03,439.8900146484375
2004-03-04,442.1300048828125
2004-03-05,445.3699951171875
2004-03-08,442.3800048828125
2004-03-09,438.79998779296875
2004-03-10,428.75
2004-03-11,421.239990234375
2004-03-12,422.07000732421875
2004-03-15,416.6000061035156
2004-03-16,419.1000061035156
2004-03-17,418.0899963378906
2004-03-18,418.3599853515625
2004-03-19,414.1099853515625
2004-03-22,409.2799987792969
2004-03-23,409.9700012207031
2004-03-24,405.05999755859375
2004-03-25,406.8999938964844
2004-03-26,406.29998779296875
2004-03-29,412.9200134277344
2004-03-30,411.2900085449219
2004-03-31,413.0799865722656
2004-04-01,417.67999267578125
2004-04-02,420.67999267578125
2004-04-05,423.57000732421875
2004-04-06,423.75
2004-04-07,424.5
2004-04-08,420.1499938964844
2004-04-12,422.6099853515625
2004-04-13,418.95001220703125
2004-04-14,422.1199951171875
2004-04-15,434.17999267578125
2004-04-16,434.8999938964844
2004-04-19,432.9800109863281
2004-04-20,424.5899963378906
2004-04-21,427.6700134277344
2004-04-22,430.94000244140625
2004-04-23,429.989990234375
2004-04-26,426.75
2004-04-27,429.1499938964844
2004-04-28,424.760009765625
2004-04-29,421.8699951171875
2004-04-30,421.1300048828125
2004-05-03,426.489990234375
2004-05-04,426.1700134277344
2004-05-05,430.25
2004-05-06,426.70001220703125
2004-05-07,422.57000732421875
2004-05-10,414.8500061035156
2004-05-11,415.4599914550781
2004-05-12,417.0400085449219
2004-05-13,415.4599914550781
2004-05-14,416.95001220703125
2004-05-17,416.6000061035156
2004-05-18,417.6600036621094
2004-05-19,413.82000732421875
2004-05-20,411.1400146484375
2004-05-21,409.9800109863281
2004-05-24,407.1400146484375
2004-05-25,412.7200012207031
2004-05-26,413.95001220703125
2004-05-27,419.05999755859375
2004-05-28,417.6700134277344
2004-06-01,418.6400146484375
2004-06-02,417.6199951171875
2004-06-03,415.8699951171875
2004-06-04,419.6199951171875
2004-06-07,422.75
2004-06-08,423.3800048828125
2004-06-09,416.7699890136719
2004-06-10,417.1700134277344
2004-06-14,412.69000244140625
