,DMLP
2003-02-03,16.0
2003-02-04,15.100000381469727
2003-02-05,14.300000190734863
2003-02-06,13.0
2003-02-07,13.430000305175781
2003-02-10,13.619999885559082
2003-02-11,13.720000267028809
2003-02-12,13.75
2003-02-13,14.329999923706055
2003-02-14,14.229999542236328
2003-02-18,13.850000381469727
2003-02-19,13.670000076293945
2003-02-20,14.100000381469727
2003-02-21,14.319999694824219
2003-02-24,14.789999961853027
2003-02-25,14.609999656677246
2003-02-26,15.0
2003-02-27,14.960000038146973
2003-02-28,14.699999809265137
2003-03-03,14.520000457763672
2003-03-04,14.609999656677246
2003-03-05,14.960000038146973
2003-03-06,14.800000190734863
2003-03-07,14.800000190734863
2003-03-10,14.899999618530273
2003-03-11,14.989999771118164
2003-03-12,14.649999618530273
2003-03-13,14.5
2003-03-14,14.420000076293945
2003-03-17,14.40999984741211
2003-03-18,14.4399995803833
2003-03-19,14.5
2003-03-20,14.25
2003-03-21,14.229999542236328
2003-03-24,14.140000343322754
2003-03-25,14.350000381469727
2003-03-26,13.899999618530273
2003-03-27,13.899999618530273
2003-03-28,14.0
2003-03-31,14.350000381469727
2003-04-01,14.300000190734863
2003-04-02,14.300000190734863
2003-04-03,14.300000190734863
2003-04-04,14.600000381469727
2003-04-07,14.699999809265137
2003-04-08,14.399999618530273
2003-04-09,14.710000038146973
2003-04-10,15.0
2003-04-11,14.989999771118164
2003-04-14,15.09000015258789
2003-04-15,15.199999809265137
2003-04-16,15.020000457763672
2003-04-17,15.25
2003-04-21,15.600000381469727
2003-04-22,15.550000190734863
2003-04-23,15.1899995803833
2003-04-24,15.039999961853027
2003-04-25,15.25
2003-04-28,15.350000381469727
2003-04-29,15.399999618530273
2003-04-30,15.520000457763672
2003-05-01,16.010000228881836
2003-05-02,16.399999618530273
2003-05-05,15.680000305175781
2003-05-06,15.949999809265137
2003-05-07,15.899999618530273
2003-05-08,16.030000686645508
2003-05-09,16.049999237060547
2003-05-12,16.229999542236328
2003-05-13,16.100000381469727
2003-05-14,16.399999618530273
2003-05-15,16.40999984741211
2003-05-16,16.440000534057617
2003-05-19,16.510000228881836
2003-05-20,16.760000228881836
2003-05-21,16.850000381469727
2003-05-22,17.149999618530273
2003-05-23,17.299999237060547
2003-05-27,17.5
2003-05-28,17.559999465942383
2003-05-29,17.760000228881836
2003-05-30,18.0
2003-06-02,18.1299991607666
2003-06-03,17.989999771118164
2003-06-04,18.040000915527344
2003-06-05,18.020000457763672
2003-06-06,18.989999771118164
2003-06-09,18.8799991607666
2003-06-10,19.0
2003-06-11,18.100000381469727
2003-06-12,17.770000457763672
2003-06-13,17.360000610351562
2003-06-16,17.549999237060547
2003-06-17,17.350000381469727
2003-06-18,18.040000915527344
2003-06-19,17.6200008392334
2003-06-20,17.950000762939453
2003-06-23,18.18000030517578
2003-06-24,18.059999465942383
2003-06-25,18.200000762939453
2003-06-26,18.0
2003-06-27,17.530000686645508
2003-06-30,17.56999969482422
2003-07-01,17.280000686645508
2003-07-02,17.40999984741211
2003-07-03,17.40999984741211
2003-07-07,17.690000534057617
2003-07-08,17.229999542236328
2003-07-09,17.399999618530273
2003-07-10,17.34000015258789
2003-07-11,17.299999237060547
2003-07-14,17.399999618530273
2003-07-15,17.049999237060547
2003-07-16,16.950000762939453
2003-07-17,17.299999237060547
2003-07-18,17.420000076293945
2003-07-21,17.700000762939453
2003-07-22,17.75
2003-07-23,18.049999237060547
2003-07-24,17.639999389648438
2003-07-25,17.649999618530273
2003-07-28,17.799999237060547
2003-07-29,17.850000381469727
2003-07-30,18.09000015258789
2003-07-31,18.0
2003-08-01,17.940000534057617
2003-08-04,18.020000457763672
2003-08-05,17.989999771118164
2003-08-06,17.309999465942383
2003-08-07,17.600000381469727
2003-08-08,17.549999237060547
2003-08-11,17.68000030517578
2003-08-12,17.65999984741211
2003-08-13,17.75
2003-08-14,17.700000762939453
2003-08-15,17.600000381469727
2003-08-18,17.510000228881836
2003-08-19,17.59000015258789
2003-08-20,18.0
2003-08-21,17.530000686645508
2003-08-22,17.600000381469727
2003-08-25,17.639999389648438
2003-08-26,17.299999237060547
2003-08-27,17.399999618530273
2003-08-28,17.829999923706055
2003-08-29,17.600000381469727
2003-09-02,17.440000534057617
2003-09-03,17.600000381469727
2003-09-04,17.59000015258789
2003-09-05,18.0
2003-09-08,17.940000534057617
2003-09-09,17.75
2003-09-10,17.739999771118164
2003-09-11,17.850000381469727
2003-09-12,17.739999771118164
2003-09-15,17.530000686645508
2003-09-16,17.530000686645508
2003-09-17,17.75
2003-09-18,17.600000381469727
2003-09-19,17.200000762939453
2003-09-22,17.200000762939453
2003-09-23,17.25
2003-09-24,17.06999969482422
2003-09-25,17.5
2003-09-26,17.5
2003-09-29,17.0
2003-09-30,16.850000381469727
2003-10-01,17.09000015258789
2003-10-02,17.5
2003-10-03,17.489999771118164
2003-10-06,16.899999618530273
2003-10-07,17.020000457763672
2003-10-08,16.93000030517578
2003-10-09,17.25
2003-10-10,17.450000762939453
2003-10-13,17.5
2003-10-14,17.5
2003-10-15,17.75
2003-10-16,17.75
2003-10-17,17.75
2003-10-20,17.719999313354492
2003-10-21,17.59000015258789
2003-10-22,17.600000381469727
2003-10-23,17.799999237060547
2003-10-24,17.950000762939453
2003-10-27,17.81999969482422
2003-10-28,17.81999969482422
2003-10-29,18.149999618530273
2003-10-30,17.270000457763672
2003-10-31,17.649999618530273
2003-11-03,17.739999771118164
2003-11-04,17.5
2003-11-05,17.729999542236328
2003-11-06,17.75
2003-11-07,17.850000381469727
2003-11-10,17.690000534057617
2003-11-11,17.510000228881836
2003-11-12,17.649999618530273
2003-11-13,17.75
2003-11-14,17.850000381469727
2003-11-17,17.700000762939453
2003-11-18,17.709999084472656
2003-11-19,17.850000381469727
2003-11-20,17.850000381469727
2003-11-21,17.850000381469727
2003-11-24,17.799999237060547
2003-11-25,17.75
2003-11-26,17.989999771118164
2003-11-28,18.0
2003-12-01,18.469999313354492
2003-12-02,18.229999542236328
2003-12-03,18.559999465942383
2003-12-04,18.739999771118164
2003-12-05,18.899999618530273
2003-12-08,19.420000076293945
2003-12-09,19.399999618530273
2003-12-10,19.350000381469727
2003-12-11,18.93000030517578
2003-12-12,19.770000457763672
2003-12-15,19.739999771118164
2003-12-16,19.920000076293945
2003-12-17,20.0
2003-12-18,19.809999465942383
2003-12-19,19.850000381469727
2003-12-22,19.959999084472656
2003-12-23,19.860000610351562
2003-12-24,19.75
2003-12-26,19.729999542236328
2003-12-29,19.950000762939453
2003-12-30,19.700000762939453
2003-12-31,19.40999984741211
2004-01-02,19.309999465942383
2004-01-05,19.299999237060547
2004-01-06,19.93000030517578
2004-01-07,19.649999618530273
2004-01-08,19.649999618530273
2004-01-09,19.770000457763672
2004-01-12,19.899999618530273
2004-01-13,19.799999237060547
2004-01-14,20.0
2004-01-15,19.969999313354492
2004-01-16,19.649999618530273
2004-01-20,19.6299991607666
2004-01-21,19.799999237060547
2004-01-22,19.260000228881836
2004-01-23,18.90999984741211
2004-01-26,19.0
2004-01-27,18.860000610351562
2004-01-28,18.549999237060547
2004-01-29,18.25
2004-01-30,18.049999237060547
2004-02-02,17.899999618530273
2004-02-03,18.0
2004-02-04,17.950000762939453
2004-02-05,17.780000686645508
2004-02-06,17.649999618530273
2004-02-09,17.81999969482422
2004-02-10,17.809999465942383
2004-02-11,17.989999771118164
2004-02-12,17.739999771118164
2004-02-13,17.860000610351562
2004-02-17,17.799999237060547
2004-02-18,17.899999618530273
2004-02-19,17.899999618530273
2004-02-20,17.81999969482422
2004-02-23,17.65999984741211
2004-02-24,17.649999618530273
2004-02-25,17.5
2004-02-26,17.309999465942383
2004-02-27,17.25
2004-03-01,18.25
2004-03-02,17.959999084472656
2004-03-03,17.25
2004-03-04,17.5
2004-03-05,17.950000762939453
2004-03-08,18.0
2004-03-09,17.860000610351562
2004-03-10,17.75
2004-03-11,17.649999618530273
2004-03-12,17.5
2004-03-15,17.350000381469727
2004-03-16,17.489999771118164
2004-03-17,17.799999237060547
2004-03-18,17.790000915527344
2004-03-19,17.799999237060547
2004-03-22,17.940000534057617
2004-03-23,17.489999771118164
2004-03-24,17.5
2004-03-25,18.100000381469727
2004-03-26,17.65999984741211
2004-03-29,18.149999618530273
2004-03-30,18.100000381469727
2004-03-31,17.899999618530273
2004-04-01,18.239999771118164
2004-04-02,17.940000534057617
2004-04-05,17.950000762939453
2004-04-06,18.1200008392334
2004-04-07,18.100000381469727
2004-04-08,18.049999237060547
2004-04-12,18.0
2004-04-13,17.5
2004-04-14,17.290000915527344
2004-04-15,17.399999618530273
2004-04-16,17.389999389648438
2004-04-19,18.190000534057617
2004-04-20,17.860000610351562
2004-04-21,17.950000762939453
2004-04-22,18.200000762939453
2004-04-23,17.90999984741211
2004-04-26,18.270000457763672
2004-04-27,18.25
2004-04-28,17.739999771118164
2004-04-29,17.229999542236328
2004-04-30,17.649999618530273
2004-05-03,17.299999237060547
2004-05-04,17.969999313354492
2004-05-05,18.030000686645508
2004-05-06,17.979999542236328
2004-05-07,17.979999542236328
2004-05-10,17.360000610351562
2004-05-11,17.489999771118164
2004-05-12,17.25
2004-05-13,17.260000228881836
2004-05-14,17.350000381469727
2004-05-17,17.739999771118164
2004-05-18,17.40999984741211
2004-05-19,17.860000610351562
2004-05-20,17.989999771118164
2004-05-21,17.969999313354492
2004-05-24,17.989999771118164
2004-05-25,17.950000762939453
2004-05-26,17.889999389648438
2004-05-27,18.0
2004-05-28,17.75
2004-06-01,17.760000228881836
2004-06-02,17.84000015258789
2004-06-03,17.719999313354492
2004-06-04,17.670000076293945
2004-06-07,17.8700008392334
2004-06-08,17.93000030517578
2004-06-09,17.809999465942383
2004-06-10,18.139999389648438
2004-06-14,18.15999984741211
2004-06-15,17.959999084472656
2004-06-16,18.399999618530273
2004-06-17,18.600000381469727
2004-06-18,18.700000762939453
2004-06-21,19.209999084472656
2004-06-22,19.25
2004-06-23,19.309999465942383
2004-06-24,18.459999084472656
2004-06-25,19.25
2004-06-28,19.139999389648438
2004-06-29,18.850000381469727
2004-06-30,19.020000457763672
2004-07-01,19.030000686645508
2004-07-02,19.0
2004-07-06,19.15999984741211
2004-07-07,19.239999771118164
2004-07-08,18.81999969482422
2004-07-09,18.889999389648438
2004-07-12,18.989999771118164
2004-07-13,19.0
2004-07-14,19.309999465942383
2004-07-15,19.399999618530273
2004-07-16,19.40999984741211
2004-07-19,19.5
2004-07-20,19.5
2004-07-21,19.399999618530273
2004-07-22,18.760000228881836
2004-07-23,18.93000030517578
2004-07-26,18.81999969482422
2004-07-27,19.09000015258789
2004-07-28,19.09000015258789
2004-07-29,19.25
2004-07-30,19.239999771118164
2004-08-02,19.469999313354492
2004-08-03,19.75
2004-08-04,19.489999771118164
2004-08-05,19.690000534057617
2004-08-06,19.0
2004-08-09,19.469999313354492
2004-08-10,19.389999389648438
2004-08-11,19.170000076293945
2004-08-12,19.239999771118164
2004-08-13,19.200000762939453
2004-08-16,19.100000381469727
2004-08-17,19.100000381469727
2004-08-18,19.350000381469727
2004-08-19,19.479999542236328
2004-08-20,19.479999542236328
2004-08-23,19.25
2004-08-24,19.459999084472656
2004-08-25,19.600000381469727
2004-08-26,19.6299991607666
2004-08-27,19.940000534057617
2004-08-30,19.940000534057617
2004-08-31,20.190000534057617
2004-09-01,20.149999618530273
2004-09-02,20.1200008392334
2004-09-03,20.100000381469727
2004-09-07,19.799999237060547
2004-09-08,19.8799991607666
2004-09-09,19.8799991607666
2004-09-10,19.75
2004-09-13,19.420000076293945
2004-09-14,19.84000015258789
2004-09-15,20.0
2004-09-16,20.0
2004-09-17,19.989999771118164
2004-09-20,20.0
2004-09-21,19.950000762939453
2004-09-22,19.989999771118164
2004-09-23,19.989999771118164
2004-09-24,19.700000762939453
2004-09-27,20.049999237060547
2004-09-28,20.299999237060547
2004-09-29,20.280000686645508
2004-09-30,20.270000457763672
2004-10-01,20.309999465942383
2004-10-04,20.25
2004-10-05,20.399999618530273
2004-10-06,21.360000610351562
2004-10-07,23.290000915527344
2004-10-08,22.649999618530273
2004-10-11,22.40999984741211
2004-10-12,22.059999465942383
2004-10-13,21.670000076293945
2004-10-14,23.0
2004-10-15,22.739999771118164
2004-10-18,23.719999313354492
2004-10-19,23.18000030517578
2004-10-20,23.149999618530273
2004-10-21,22.579999923706055
2004-10-22,22.59000015258789
2004-10-25,22.75
2004-10-26,23.299999237060547
2004-10-27,23.200000762939453
2004-10-28,23.0
2004-10-29,22.920000076293945
2004-11-01,22.75
2004-11-02,22.260000228881836
2004-11-03,23.579999923706055
2004-11-04,22.850000381469727
2004-11-05,22.68000030517578
2004-11-08,23.170000076293945
2004-11-09,23.219999313354492
2004-11-10,22.8799991607666
2004-11-11,23.0
2004-11-12,23.0
2004-11-15,23.149999618530273
2004-11-16,23.389999389648438
2004-11-17,23.040000915527344
2004-11-18,23.25
2004-11-19,23.110000610351562
2004-11-22,23.440000534057617
2004-11-23,23.649999618530273
2004-11-24,23.649999618530273
2004-11-26,23.950000762939453
2004-11-29,24.0
2004-11-30,24.110000610351562
2004-12-01,24.239999771118164
2004-12-02,22.969999313354492
2004-12-03,23.200000762939453
2004-12-06,23.270000457763672
2004-12-07,22.81999969482422
2004-12-08,22.75
2004-12-09,22.90999984741211
2004-12-10,23.670000076293945
2004-12-13,23.1200008392334
2004-12-14,23.010000228881836
2004-12-15,23.170000076293945
2004-12-16,23.440000534057617
2004-12-17,23.59000015258789
2004-12-20,23.809999465942383
2004-12-21,23.84000015258789
2004-12-22,23.5
2004-12-23,23.399999618530273
2004-12-27,23.489999771118164
2004-12-28,23.5
2004-12-29,23.889999389648438
2004-12-30,23.649999618530273
2004-12-31,23.920000076293945
2005-01-03,23.450000762939453
2005-01-04,22.989999771118164
2005-01-05,22.360000610351562
2005-01-06,23.239999771118164
2005-01-07,23.520000457763672
2005-01-10,23.239999771118164
2005-01-11,23.299999237060547
2005-01-12,23.510000228881836
2005-01-13,23.510000228881836
