,DRX
2000-01-04,28.600000381469727
2000-01-05,27.25
2000-01-06,28.0
2000-01-07,28.420000076293945
2000-01-10,28.738000869750977
2000-01-11,28.700000762939453
2000-01-12,28.5
2000-01-13,26.350000381469727
2000-01-14,28.010000228881836
2000-01-18,27.6200008392334
2000-01-19,26.600000381469727
2000-01-20,26.46500015258789
2000-01-21,26.440000534057617
2000-01-24,26.399999618530273
2000-01-25,27.850000381469727
2000-01-26,27.540000915527344
2000-01-27,27.5
2000-01-28,29.549999237060547
2000-01-31,30.260000228881836
2000-02-01,31.030000686645508
2000-02-02,33.27000045776367
2000-02-03,32.72999954223633
2000-02-04,33.0
2000-02-07,32.119998931884766
2000-02-08,32.5
2000-02-09,39.25
2000-02-10,38.0
2000-02-11,37.630001068115234
2000-02-14,37.099998474121094
2000-02-15,35.709999084472656
2000-02-16,36.220001220703125
2000-02-17,37.970001220703125
2000-02-18,37.279998779296875
2000-02-22,35.0
2000-02-23,35.959999084472656
2000-02-24,36.97999954223633
2000-02-25,37.0
2000-02-28,37.29999923706055
2000-02-29,39.0
2000-03-01,43.189998626708984
2000-03-02,42.5
2000-03-03,42.0
2000-03-06,41.25
2000-03-07,41.290000915527344
2000-03-08,41.29999923706055
2000-03-09,41.0
2000-03-10,40.529998779296875
2000-03-13,40.529998779296875
2000-03-14,41.09000015258789
2000-03-15,40.650001525878906
2000-03-16,46.86000061035156
2000-03-17,46.86000061035156
2000-03-20,47.5
2000-03-21,46.150001525878906
2000-03-22,44.099998474121094
2000-03-23,44.849998474121094
2000-03-24,45.45000076293945
2000-03-27,44.380001068115234
2000-03-28,44.5
2000-03-29,48.54999923706055
2000-03-30,48.33000183105469
2000-03-31,50.7400016784668
2000-04-03,50.95000076293945
2000-04-04,47.70000076293945
2000-04-05,47.0
2000-04-06,49.540000915527344
2000-04-07,46.0
2000-04-10,43.599998474121094
2000-04-11,42.20000076293945
2000-04-12,44.900001525878906
2000-04-13,44.099998474121094
2000-04-14,44.099998474121094
2000-04-17,45.31999969482422
2000-04-18,46.20000076293945
2000-04-19,49.79999923706055
2000-04-20,48.02000045776367
2000-04-24,48.02000045776367
2000-04-25,50.20000076293945
2000-04-26,51.40999984741211
2000-04-27,49.5
2000-04-28,49.0
2000-05-01,49.0
2000-05-02,48.5
2000-05-03,50.0
2000-05-04,49.5
2000-05-05,51.31999969482422
2000-05-08,50.02750015258789
2000-05-09,50.02750015258789
2000-05-10,47.20000076293945
2000-05-11,46.54999923706055
2000-05-12,45.060001373291016
2000-05-15,44.86750030517578
2000-05-16,49.0
2000-05-17,49.20000076293945
2000-05-18,48.81999969482422
2000-05-19,48.599998474121094
2000-05-22,44.310001373291016
2000-05-23,43.630001068115234
2000-05-24,42.599998474121094
2000-05-25,43.70000076293945
2000-05-26,42.442501068115234
2000-05-30,43.650001525878906
2000-05-31,43.5
2000-06-01,43.0
2000-06-02,42.0
2000-06-05,42.0
2000-06-06,40.70000076293945
2000-06-07,41.47999954223633
2000-06-08,40.880001068115234
2000-06-09,40.66999816894531
2000-06-12,38.0
2000-06-13,41.75
2000-06-14,40.0
2000-06-15,40.0
2000-06-16,44.20000076293945
2000-06-19,44.20000076293945
2000-06-20,47.5099983215332
2000-06-21,47.72999954223633
2000-06-22,45.45000076293945
2000-06-23,47.400001525878906
2000-06-26,45.79999923706055
2000-06-27,46.25
2000-06-28,46.400001525878906
2000-06-29,47.849998474121094
2000-06-30,48.849998474121094
2000-07-03,50.0
2000-07-05,48.70000076293945
2000-07-06,49.0
2000-07-07,49.0
2000-07-10,53.0
2000-07-11,54.619998931884766
2000-07-12,55.0
2000-07-13,53.0
2000-07-14,52.75
2000-07-17,54.5
2000-07-18,55.0
2000-07-19,55.25
2000-07-20,55.25
2000-07-21,53.0
2000-07-24,53.0
2000-07-25,53.75
2000-07-26,53.79999923706055
2000-07-27,53.79999923706055
2000-07-28,54.599998474121094
2000-07-31,55.29999923706055
2000-08-01,59.43000030517578
2000-08-02,58.97999954223633
2000-08-03,59.5
2000-08-04,61.0
2000-08-07,59.0
2000-08-08,58.599998474121094
2000-08-09,60.5
2000-08-10,60.0
2000-08-11,59.400001525878906
2000-08-14,62.0
2000-08-15,58.5
2000-08-16,58.880001068115234
2000-08-17,62.0
2000-08-18,65.87999725341797
2000-08-21,64.5
2000-08-22,66.0
2000-08-23,64.27999877929688
2000-08-24,64.5
2000-08-25,64.04000091552734
2000-08-28,64.0
2000-08-29,63.75
2000-08-30,65.0
2000-08-31,66.5
2000-09-01,66.5
2000-09-05,64.5
2000-09-06,63.08000183105469
2000-09-07,63.5
2000-09-08,59.5
2000-09-11,57.0
2000-09-12,60.20000076293945
2000-09-13,61.5
2000-09-14,60.25
2000-09-15,59.5
2000-09-18,61.25
2000-09-19,58.70000076293945
2000-09-20,60.70000076293945
2000-09-21,63.33000183105469
2000-09-22,62.099998474121094
2000-09-25,63.150001525878906
2000-09-26,61.029998779296875
2000-09-27,62.75
2000-09-28,63.0
2000-09-29,63.5
2000-10-02,62.75
2000-10-03,62.75
2000-10-04,66.5999984741211
2000-10-05,66.75
2000-10-06,66.5
2000-10-09,64.25
2000-10-10,65.30000305175781
2000-10-11,63.75
2000-10-12,63.0
2000-10-13,61.5
2000-10-16,61.20000076293945
2000-10-17,62.20000076293945
2000-10-18,61.0
2000-10-19,61.25
2000-10-20,63.0
2000-10-23,63.5
2000-10-24,63.5
2000-10-25,64.0
2000-10-26,62.5
2000-10-27,65.0
2000-10-30,65.0
2000-10-31,65.0
2000-11-01,61.29999923706055
2000-11-02,60.79999923706055
2000-11-03,60.900001525878906
2000-11-06,60.45000076293945
2000-11-07,61.310001373291016
2000-11-08,61.75
2000-11-09,59.79999923706055
2000-11-10,60.0
2000-11-13,56.75
2000-11-14,56.0
2000-11-15,58.0
2000-11-16,59.5
2000-11-17,60.400001525878906
2000-11-20,59.70000076293945
2000-11-21,59.150001525878906
2000-11-22,59.25
2000-11-24,60.5
2000-11-27,61.75
2000-11-28,61.20000076293945
2000-11-29,63.0
2000-11-30,62.0
2000-12-01,62.29999923706055
2000-12-04,61.5
2000-12-05,63.0
2000-12-06,61.5
2000-12-07,60.0
2000-12-08,60.0
2000-12-11,58.029998779296875
2000-12-12,58.0
2000-12-13,58.33000183105469
2000-12-14,58.79999923706055
2000-12-15,58.0
2000-12-18,55.900001525878906
2000-12-19,55.97999954223633
2000-12-20,52.04999923706055
2000-12-21,50.54999923706055
2000-12-22,51.470001220703125
2000-12-26,
2000-12-27,52.75
2000-12-28,51.83000183105469
2000-12-29,51.79999923706055
2001-01-02,51.369998931884766
2001-01-03,49.0
2001-01-04,48.5
2001-01-05,47.5
2001-01-08,47.5
2001-01-09,47.400001525878906
2001-01-10,47.0
2001-01-11,48.75
2001-01-12,49.0
2001-01-16,50.5
2001-01-17,50.75
2001-01-18,50.5
2001-01-19,52.25
2001-01-22,52.5
2001-01-23,52.68000030517578
2001-01-24,
2001-01-25,58.06999969482422
2001-01-26,
2001-01-29,58.75
2001-01-30,54.25
2001-01-31,55.099998474121094
2001-02-01,54.0
2001-02-02,54.0
2001-02-05,54.79999923706055
2001-02-06,55.5
2001-02-07,58.5
2001-02-08,59.29999923706055
2001-02-09,59.0
2001-02-12,60.5
2001-02-13,62.43000030517578
2001-02-14,61.0
2001-02-15,61.25
2001-02-16,61.0
2001-02-20,60.93000030517578
2001-02-21,60.5
2001-02-22,60.47999954223633
2001-02-23,60.849998474121094
2001-02-26,60.0
2001-02-27,59.5
2001-02-28,59.5
2001-03-01,60.900001525878906
2001-03-02,59.25
2001-03-05,59.0
2001-03-06,58.5
2001-03-07,56.849998474121094
2001-03-08,53.95000076293945
2001-03-09,54.0
2001-03-12,53.0
2001-03-13,51.5
2001-03-14,
2001-03-15,56.0
2001-03-16,55.75
2001-03-19,54.54999923706055
2001-03-20,55.91999816894531
2001-03-21,55.5
2001-03-22,52.0
2001-03-23,53.5
2001-03-26,56.5
2001-03-27,60.0
2001-03-28,61.0
2001-03-29,61.0
2001-03-30,61.0
2001-04-02,60.0
2001-04-03,58.18000030517578
2001-04-04,56.40999984741211
2001-04-05,58.400001525878906
2001-04-06,59.439998626708984
2001-04-09,60.20000076293945
2001-04-10,62.0
2001-04-11,61.849998474121094
2001-04-12,59.75
2001-04-16,59.75
2001-04-17,61.25
2001-04-18,60.5
2001-04-19,56.5
2001-04-20,54.5
2001-04-23,54.75
2001-04-24,54.779998779296875
2001-04-25,56.400001525878906
2001-04-26,55.5
2001-04-27,56.59000015258789
2001-04-30,57.75
2001-05-01,57.75
2001-05-02,57.75
2001-05-03,58.0
2001-05-04,58.25
2001-05-07,58.25
2001-05-08,57.9900016784668
2001-05-09,58.5
2001-05-10,60.349998474121094
2001-05-11,60.75
2001-05-14,61.75
2001-05-15,61.29999923706055
2001-05-16,61.79999923706055
2001-05-17,62.0
2001-05-18,62.25
2001-05-21,61.18000030517578
2001-05-22,64.5
2001-05-23,66.06999969482422
2001-05-24,64.5
2001-05-25,65.43000030517578
2001-05-29,67.8499984741211
2001-05-30,67.25
2001-05-31,67.1500015258789
2001-06-01,68.5
2001-06-04,68.5
2001-06-05,69.80000305175781
2001-06-06,68.80000305175781
2001-06-07,67.72000122070312
2001-06-08,68.0
2001-06-11,67.80000305175781
2001-06-12,66.68000030517578
2001-06-13,66.41999816894531
2001-06-14,68.0
2001-06-15,71.25
2001-06-18,71.80000305175781
2001-06-19,71.97000122070312
2001-06-20,73.80000305175781
2001-06-21,72.9000015258789
2001-06-22,73.0
2001-06-25,69.5999984741211
2001-06-26,68.97000122070312
2001-06-27,69.37000274658203
2001-06-28,70.0
2001-06-29,73.0
2001-07-02,72.30000305175781
2001-07-03,71.30000305175781
2001-07-05,71.5999984741211
2001-07-06,70.7300033569336
2001-07-09,71.5
2001-07-10,71.91000366210938
2001-07-11,71.1500015258789
2001-07-12,71.80000305175781
2001-07-13,71.80000305175781
2001-07-16,70.69999694824219
2001-07-17,68.80000305175781
2001-07-18,70.0
2001-07-19,72.0
2001-07-20,68.75
2001-07-23,71.5
2001-07-24,68.5
2001-07-25,64.75
2001-07-26,65.08999633789062
2001-07-27,67.0
2001-07-30,66.0
2001-07-31,65.9000015258789
2001-08-01,65.87999725341797
2001-08-02,65.19999694824219
