,DVAX
2004-02-19,94.0
2004-02-20,90.0
2004-02-23,86.0
2004-02-24,85.5
2004-02-25,86.0
2004-02-26,88.0
2004-02-27,84.0
2004-03-01,82.0999984741211
2004-03-02,82.0
2004-03-03,81.5
2004-03-04,88.5
2004-03-05,82.4000015258789
2004-03-08,82.0
2004-03-09,80.0
2004-03-10,81.5
2004-03-11,80.0
2004-03-12,80.5
2004-03-15,80.5
2004-03-16,77.5999984741211
2004-03-17,79.9000015258789
2004-03-18,78.4000015258789
2004-03-19,75.5
2004-03-22,73.80000305175781
2004-03-23,74.0999984741211
2004-03-24,72.0
2004-03-25,72.0
2004-03-26,73.9000015258789
2004-03-29,76.30000305175781
2004-03-30,77.0
2004-03-31,75.80000305175781
2004-04-01,74.80000305175781
2004-04-02,74.69999694824219
2004-04-05,77.4000015258789
2004-04-06,76.0
2004-04-07,69.5999984741211
2004-04-08,66.9000015258789
2004-04-12,72.0
2004-04-13,68.80000305175781
2004-04-14,71.30000305175781
2004-04-15,71.5
2004-04-16,71.5
2004-04-19,70.0
2004-04-20,67.5
2004-04-21,63.29999923706055
2004-04-22,66.69999694824219
2004-04-23,64.5
2004-04-26,65.5999984741211
2004-04-27,67.19999694824219
2004-04-28,65.0
2004-04-29,65.0
2004-04-30,69.80000305175781
2004-05-03,65.0
2004-05-04,65.0
2004-05-05,64.69999694824219
2004-05-06,66.4000015258789
2004-05-07,63.099998474121094
2004-05-10,62.5
2004-05-11,65.0
2004-05-12,75.5
2004-05-13,69.80000305175781
2004-05-14,79.5
2004-05-17,80.0
2004-05-18,81.0999984741211
2004-05-19,75.0
2004-05-20,80.0
2004-05-21,87.5
2004-05-24,86.9000015258789
2004-05-25,87.5
2004-05-26,90.0
2004-05-27,90.5
2004-05-28,93.0
2004-06-01,92.19999694824219
2004-06-02,92.69999694824219
2004-06-03,90.0
2004-06-04,90.19999694824219
2004-06-07,90.0
2004-06-08,87.9000015258789
2004-06-09,89.30000305175781
2004-06-10,89.0
2004-06-14,89.5999984741211
2004-06-15,90.4000015258789
2004-06-16,87.5999984741211
2004-06-17,88.5
2004-06-18,87.4000015258789
2004-06-21,88.9000015258789
2004-06-22,87.0
2004-06-23,89.5999984741211
2004-06-24,88.19999694824219
2004-06-25,81.4000015258789
2004-06-28,75.80000305175781
2004-06-29,70.30000305175781
2004-06-30,66.5999984741211
2004-07-01,65.0999984741211
2004-07-02,65.80000305175781
2004-07-06,64.30000305175781
2004-07-07,63.0
2004-07-08,55.599998474121094
2004-07-09,55.099998474121094
2004-07-12,62.29999923706055
2004-07-13,59.29999923706055
2004-07-14,55.099998474121094
2004-07-15,57.29999923706055
2004-07-16,55.0
2004-07-19,58.5
2004-07-20,55.0
2004-07-21,52.20000076293945
2004-07-22,49.0
2004-07-23,45.900001525878906
2004-07-26,41.79999923706055
2004-07-27,46.5
2004-07-28,50.0
2004-07-29,51.79999923706055
2004-07-30,50.20000076293945
2004-08-02,50.0
2004-08-03,45.0
2004-08-04,45.20000076293945
2004-08-05,45.0
2004-08-06,45.099998474121094
2004-08-09,48.79999923706055
2004-08-10,60.0
2004-08-11,63.0
2004-08-12,64.4000015258789
2004-08-13,64.9000015258789
2004-08-16,62.5
2004-08-17,60.0
2004-08-18,54.29999923706055
2004-08-19,52.099998474121094
2004-08-20,53.5
2004-08-23,51.0
2004-08-24,51.20000076293945
2004-08-25,50.79999923706055
2004-08-26,45.79999923706055
2004-08-27,42.5
2004-08-30,44.0
2004-08-31,45.900001525878906
2004-09-01,47.79999923706055
2004-09-02,48.5
2004-09-03,49.5
2004-09-07,46.099998474121094
2004-09-08,46.0
2004-09-09,48.0
2004-09-10,49.0
2004-09-13,52.099998474121094
2004-09-14,52.0
2004-09-15,52.5
2004-09-16,53.900001525878906
2004-09-17,55.5
2004-09-20,57.099998474121094
2004-09-21,59.5
2004-09-22,64.5
2004-09-23,58.900001525878906
2004-09-24,58.70000076293945
2004-09-27,56.5
2004-09-28,57.400001525878906
2004-09-29,55.79999923706055
2004-09-30,54.400001525878906
2004-10-01,55.0
2004-10-04,59.0
2004-10-05,58.900001525878906
2004-10-06,62.599998474121094
2004-10-07,60.5
2004-10-08,59.5
2004-10-11,58.599998474121094
2004-10-12,55.20000076293945
2004-10-13,55.20000076293945
2004-10-14,53.099998474121094
2004-10-15,55.20000076293945
2004-10-18,56.0
2004-10-19,52.599998474121094
2004-10-20,54.70000076293945
2004-10-21,53.70000076293945
2004-10-22,51.0
2004-10-25,53.5
2004-10-26,51.5
2004-10-27,52.70000076293945
2004-10-28,52.5
2004-10-29,51.79999923706055
2004-11-01,52.20000076293945
2004-11-02,53.099998474121094
2004-11-03,55.70000076293945
2004-11-04,56.599998474121094
2004-11-05,56.79999923706055
2004-11-08,56.5
2004-11-09,56.400001525878906
2004-11-10,59.900001525878906
2004-11-11,63.0
2004-11-12,61.20000076293945
2004-11-15,61.400001525878906
2004-11-16,59.0
2004-11-17,61.0
2004-11-18,61.599998474121094
2004-11-19,63.20000076293945
2004-11-22,61.0
2004-11-23,63.400001525878906
2004-11-24,61.900001525878906
2004-11-26,61.5
2004-11-29,63.0
2004-11-30,70.69999694824219
2004-12-01,66.5
2004-12-02,69.0
2004-12-03,64.9000015258789
2004-12-06,65.0999984741211
2004-12-07,65.0
2004-12-08,73.0
2004-12-09,80.0
2004-12-10,79.4000015258789
2004-12-13,76.0
2004-12-14,76.4000015258789
2004-12-15,74.69999694824219
2004-12-16,71.19999694824219
2004-12-17,74.0
2004-12-20,74.30000305175781
2004-12-21,81.30000305175781
2004-12-22,87.19999694824219
2004-12-23,86.4000015258789
2004-12-27,83.0
2004-12-28,76.30000305175781
2004-12-29,80.5999984741211
2004-12-30,80.5999984741211
2004-12-31,80.0
2005-01-03,77.9000015258789
2005-01-04,73.19999694824219
2005-01-05,68.19999694824219
2005-01-06,71.0
2005-01-07,70.80000305175781
2005-01-10,71.4000015258789
2005-01-11,74.4000015258789
2005-01-12,73.30000305175781
2005-01-13,71.9000015258789
2005-01-14,79.9000015258789
2005-01-18,78.5999984741211
2005-01-19,75.80000305175781
2005-01-20,74.9000015258789
2005-01-21,72.5
2005-01-24,73.0999984741211
2005-01-25,73.80000305175781
2005-01-26,76.4000015258789
2005-01-27,73.0
2005-01-28,70.0
2005-01-31,72.30000305175781
2005-02-01,70.30000305175781
2005-02-02,70.69999694824219
2005-02-03,70.80000305175781
2005-02-04,71.4000015258789
2005-02-07,70.4000015258789
2005-02-08,71.0
2005-02-09,70.0
2005-02-10,70.0
2005-02-11,71.80000305175781
2005-02-14,70.0999984741211
2005-02-15,71.30000305175781
2005-02-16,69.19999694824219
2005-02-17,64.69999694824219
2005-02-18,63.0
2005-02-22,59.20000076293945
2005-02-23,59.599998474121094
2005-02-24,60.5
2005-02-25,59.79999923706055
2005-02-28,60.5
2005-03-01,52.20000076293945
2005-03-02,50.900001525878906
