,DZSI
2003-11-14,168.0
2003-11-17,165.0
2003-11-18,144.5
2003-11-19,134.75
2003-11-20,134.25
2003-11-21,131.25
2003-11-24,135.0
2003-11-25,135.0
2003-11-26,140.0
2003-11-28,138.25
2003-12-01,149.25
2003-12-02,143.75
2003-12-03,148.25
2003-12-04,142.5
2003-12-05,142.5
2003-12-08,132.5
2003-12-09,129.0
2003-12-10,116.75
2003-12-11,115.0
2003-12-12,111.0
2003-12-15,109.0
2003-12-16,105.25
2003-12-17,105.25
2003-12-18,117.0
2003-12-19,115.5
2003-12-22,115.0
2003-12-23,116.75
2003-12-24,119.25
2003-12-26,115.5
2003-12-29,118.75
2003-12-30,119.25
2003-12-31,123.5
2004-01-02,127.0
2004-01-05,128.5
2004-01-06,132.75
2004-01-07,134.75
2004-01-08,139.75
2004-01-09,148.5
2004-01-12,155.0
2004-01-13,155.0
2004-01-14,155.0
2004-01-15,153.25
2004-01-16,181.0
2004-01-20,183.25
2004-01-21,176.0
2004-01-22,163.75
2004-01-23,159.75
2004-01-26,161.75
2004-01-27,157.25
2004-01-28,154.5
2004-01-29,146.25
2004-01-30,153.5
2004-02-02,144.0
2004-02-03,153.25
2004-02-04,137.25
2004-02-05,129.25
2004-02-06,134.5
2004-02-09,133.0
2004-02-10,135.0
2004-02-11,128.25
2004-02-12,130.25
2004-02-13,125.75
2004-02-17,127.25
2004-02-18,124.75
2004-02-19,119.5
2004-02-20,115.25
2004-02-23,110.5
2004-02-24,104.75
2004-02-25,106.25
2004-02-26,115.0
2004-02-27,122.25
2004-03-01,120.5
2004-03-02,116.5
2004-03-03,117.75
2004-03-04,115.0
2004-03-05,110.75
2004-03-08,101.0
2004-03-09,99.25
2004-03-10,90.25
2004-03-11,90.75
2004-03-12,97.75
2004-03-15,92.5
2004-03-16,91.25
2004-03-17,98.75
2004-03-18,94.25
2004-03-19,90.0
2004-03-22,86.25
2004-03-23,86.25
2004-03-24,82.5
2004-03-25,86.25
2004-03-26,87.5
2004-03-29,93.25
2004-03-30,93.25
2004-03-31,97.25
2004-04-01,102.25
2004-04-02,103.5
2004-04-05,100.5
2004-04-06,96.5
2004-04-07,96.75
2004-04-08,101.25
2004-04-12,100.5
2004-04-13,94.5
2004-04-14,95.75
2004-04-15,94.5
2004-04-16,92.25
2004-04-19,91.5
2004-04-20,90.5
2004-04-21,96.0
2004-04-22,97.25
2004-04-23,89.75
2004-04-26,87.75
2004-04-27,87.75
2004-04-28,87.25
2004-04-29,85.75
2004-04-30,84.5
2004-05-03,83.75
2004-05-04,82.5
2004-05-05,82.5
2004-05-06,84.0
2004-05-07,84.5
2004-05-10,82.75
2004-05-11,87.0
2004-05-12,86.75
2004-05-13,84.5
2004-05-14,83.75
2004-05-17,83.0
2004-05-18,82.0
2004-05-19,81.0
2004-05-20,81.75
2004-05-21,82.25
2004-05-24,81.75
2004-05-25,83.75
2004-05-26,83.5
2004-05-27,83.0
2004-05-28,82.0
2004-06-01,82.75
2004-06-02,82.0
2004-06-03,81.5
2004-06-04,82.25
2004-06-07,82.5
2004-06-08,83.0
2004-06-09,83.75
2004-06-10,87.5
2004-06-14,84.25
2004-06-15,85.0
2004-06-16,86.75
2004-06-17,85.5
2004-06-18,86.5
2004-06-21,92.5
2004-06-22,91.25
2004-06-23,97.0
2004-06-24,99.0
2004-06-25,99.5
2004-06-28,100.75
2004-06-29,97.5
2004-06-30,97.5
2004-07-01,91.25
2004-07-02,88.25
2004-07-06,87.0
2004-07-07,87.25
2004-07-08,82.25
2004-07-09,82.5
2004-07-12,83.0
2004-07-13,83.25
2004-07-14,82.0
2004-07-15,83.5
2004-07-16,80.5
2004-07-19,79.75
2004-07-20,66.25
2004-07-21,64.0
2004-07-22,70.75
2004-07-23,70.75
2004-07-26,74.5
2004-07-27,78.5
2004-07-28,77.75
2004-07-29,80.75
2004-07-30,76.75
2004-08-02,77.0
2004-08-03,73.0
2004-08-04,72.0
2004-08-05,71.75
2004-08-06,66.5
2004-08-09,68.5
2004-08-10,69.5
2004-08-11,67.25
2004-08-12,64.25
2004-08-13,64.5
2004-08-16,66.25
2004-08-17,65.5
2004-08-18,67.5
2004-08-19,73.25
2004-08-20,74.25
2004-08-23,74.25
2004-08-24,72.75
2004-08-25,75.5
2004-08-26,74.5
2004-08-27,76.25
2004-08-30,78.25
2004-08-31,80.0
