,EARS
2014-08-06,1200.0
2014-08-07,1202.0
2014-08-08,1216.0
2014-08-11,1311.0
2014-08-12,1358.0
2014-08-13,1320.0
2014-08-14,1350.0
2014-08-15,1308.0
2014-08-18,1280.0
2014-08-19,1244.0
2014-08-20,1238.0
2014-08-21,1222.0
2014-08-22,1230.0
2014-08-25,1232.0
2014-08-26,1218.0
2014-08-27,1234.0
2014-08-28,1220.0
2014-08-29,1230.0
2014-09-02,1136.0
2014-09-03,1180.0
2014-09-04,1074.0
2014-09-05,1194.0
2014-09-08,1218.0
2014-09-09,1258.0
2014-09-10,1400.0
2014-09-11,1340.0
2014-09-12,1446.0
2014-09-15,1302.0
2014-09-16,1208.0
2014-09-17,1220.0
2014-09-18,1241.5999755859375
2014-09-19,1212.0
2014-09-22,1218.0
2014-09-23,1182.0
2014-09-24,1174.0
2014-09-25,1154.0
2014-09-26,1200.0
2014-09-29,1170.0
2014-09-30,1154.0
2014-10-01,1150.0
2014-10-02,1114.0
2014-10-03,1064.0
2014-10-06,1084.0
2014-10-07,964.0
2014-10-08,992.0
2014-10-09,982.0
2014-10-10,982.0
2014-10-13,950.0
2014-10-14,920.0
2014-10-15,884.0
2014-10-16,834.0
2014-10-17,853.2000122070312
2014-10-20,926.0
2014-10-21,940.0
2014-10-22,876.0
2014-10-23,908.2000122070312
2014-10-24,910.0
2014-10-27,936.0
2014-10-28,932.0
2014-10-29,904.2000122070312
2014-10-30,900.0
2014-10-31,913.2000122070312
2014-11-03,852.0
2014-11-04,872.0
2014-11-05,926.0
2014-11-06,934.0
2014-11-07,922.0
2014-11-10,880.0
2014-11-11,880.0
2014-11-12,876.0
2014-11-13,842.0
2014-11-14,838.0
2014-11-17,850.0
2014-11-18,903.2000122070312
2014-11-19,930.0
2014-11-20,860.0
2014-11-21,884.0
2014-11-24,906.0
2014-11-25,880.0
2014-11-26,902.0
2014-11-28,898.0
2014-12-01,910.0
2014-12-02,904.0
2014-12-03,894.0
2014-12-04,932.0
2014-12-05,903.0
2014-12-08,876.0
2014-12-09,921.2000122070312
2014-12-10,816.0
2014-12-11,800.0
2014-12-12,790.0
2014-12-15,722.0
2014-12-16,731.5999755859375
2014-12-17,734.0
2014-12-18,746.4000244140625
2014-12-19,730.0
2014-12-22,726.0
2014-12-23,701.0
2014-12-24,722.0
2014-12-26,760.0
2014-12-29,784.0
2014-12-30,796.0
2014-12-31,780.0
2015-01-02,788.0
