,EDSA
2010-06-21,84.0
2010-06-22,84.0
2010-06-23,84.0
2010-06-24,84.0
2010-06-25,88.19999694824219
2010-06-28,88.19999694824219
2010-06-29,88.19999694824219
2010-06-30,88.19999694824219
2010-07-01,88.19999694824219
2010-07-02,88.19999694824219
2010-07-06,88.19999694824219
2010-07-07,88.19999694824219
2010-07-08,88.19999694824219
2010-07-09,88.19999694824219
2010-07-12,88.19999694824219
2010-07-13,88.19999694824219
2010-07-14,88.19999694824219
2010-07-15,88.19999694824219
2010-07-16,88.19999694824219
2010-07-19,88.19999694824219
2010-07-20,88.19999694824219
2010-07-21,88.19999694824219
2010-07-22,88.19999694824219
2010-07-23,88.19999694824219
2010-07-26,88.19999694824219
2010-07-27,88.19999694824219
2010-07-28,88.19999694824219
2010-07-29,88.19999694824219
2010-07-30,88.19999694824219
2010-08-02,88.19999694824219
2010-08-03,147.0
2010-08-04,147.0
2010-08-05,147.0
2010-08-06,147.0
2010-08-09,147.0
2010-08-10,147.0
2010-08-11,147.0
2010-08-12,147.0
2010-08-13,121.80000305175781
2010-08-16,121.80000305175781
2010-08-17,121.80000305175781
2010-08-18,121.80000305175781
2010-08-19,121.80000305175781
2010-08-20,121.80000305175781
2010-08-23,121.80000305175781
2010-08-24,121.80000305175781
2010-08-25,100.80000305175781
2010-08-26,100.80000305175781
2010-08-27,100.80000305175781
2010-08-30,100.80000305175781
2010-08-31,121.80000305175781
2010-09-01,121.80000305175781
2010-09-02,121.80000305175781
2010-09-03,138.60000610351562
2010-09-07,138.60000610351562
2010-09-08,142.8000030517578
2010-09-09,151.1999969482422
2010-09-10,168.0
2010-09-13,180.60000610351562
2010-09-14,168.0
2010-09-15,155.39999389648438
2010-09-16,159.60000610351562
2010-09-17,168.0
2010-09-20,197.39999389648438
2010-09-21,193.1999969482422
2010-09-22,197.39999389648438
2010-09-23,184.8000030517578
2010-09-24,184.8000030517578
2010-09-27,184.8000030517578
2010-09-28,184.8000030517578
2010-09-29,189.0
2010-09-30,197.39999389648438
2010-10-01,197.39999389648438
2010-10-04,189.0
2010-10-05,189.0
2010-10-06,193.1999969482422
2010-10-07,197.39999389648438
2010-10-08,189.0
2010-10-11,189.0
2010-10-12,193.1999969482422
2010-10-13,201.60000610351562
2010-10-14,231.0
2010-10-15,226.8000030517578
2010-10-18,226.8000030517578
2010-10-19,222.60000610351562
2010-10-20,289.79998779296875
2010-10-21,306.6000061035156
2010-10-22,319.20001220703125
2010-10-25,323.3999938964844
2010-10-26,327.6000061035156
2010-10-27,323.3999938964844
2010-10-28,327.6000061035156
2010-10-29,357.0
2010-11-01,336.0
2010-11-02,331.79998779296875
2010-11-03,336.0
2010-11-04,373.79998779296875
2010-11-05,428.3999938964844
2010-11-08,453.6000061035156
2010-11-09,462.0
2010-11-10,445.20001220703125
2010-11-11,411.6000061035156
2010-11-12,403.20001220703125
2010-11-15,411.6000061035156
2010-11-16,361.20001220703125
2010-11-17,407.3999938964844
2010-11-18,411.6000061035156
2010-11-19,428.3999938964844
2010-11-22,424.20001220703125
2010-11-23,424.20001220703125
2010-11-24,403.20001220703125
2010-11-26,415.79998779296875
2010-11-29,428.3999938964844
2010-11-30,441.0
2010-12-01,457.79998779296875
2010-12-02,453.6000061035156
2010-12-03,445.20001220703125
2010-12-06,453.6000061035156
2010-12-07,474.6000061035156
2010-12-08,432.6000061035156
2010-12-09,478.79998779296875
2010-12-10,554.4000244140625
2010-12-13,529.2000122070312
2010-12-14,525.0
2010-12-15,487.20001220703125
2010-12-16,525.0
2010-12-17,495.6000061035156
2010-12-20,487.20001220703125
2010-12-21,487.20001220703125
2010-12-22,470.3999938964844
2010-12-23,478.79998779296875
2010-12-27,478.79998779296875
2010-12-28,478.79998779296875
2010-12-29,504.0
2010-12-30,596.4000244140625
2010-12-31,600.5999755859375
2011-01-03,600.5999755859375
2011-01-04,546.0
2011-01-05,579.5999755859375
2011-01-06,520.7999877929688
2011-01-07,495.6000061035156
2011-01-10,495.6000061035156
2011-01-11,478.79998779296875
2011-01-12,495.6000061035156
2011-01-13,462.0
2011-01-14,478.79998779296875
2011-01-18,470.3999938964844
2011-01-19,462.0
2011-01-20,436.79998779296875
2011-01-21,432.6000061035156
2011-01-24,428.3999938964844
2011-01-25,457.79998779296875
2011-01-26,466.20001220703125
2011-01-27,445.20001220703125
2011-01-28,441.0
2011-01-31,445.20001220703125
2011-02-01,424.20001220703125
2011-02-02,462.0
2011-02-03,441.0
2011-02-04,457.79998779296875
2011-02-07,449.3999938964844
2011-02-08,474.6000061035156
2011-02-09,483.0
2011-02-10,495.6000061035156
2011-02-11,508.20001220703125
2011-02-14,487.20001220703125
2011-02-15,495.6000061035156
2011-02-16,487.20001220703125
2011-02-17,462.0
2011-02-18,478.79998779296875
2011-02-22,428.3999938964844
2011-02-23,436.79998779296875
2011-02-24,424.20001220703125
2011-02-25,441.0
2011-02-28,445.20001220703125
2011-03-01,441.0
2011-03-02,441.0
2011-03-03,441.0
2011-03-04,441.0
2011-03-07,420.0
2011-03-08,415.79998779296875
2011-03-09,373.79998779296875
2011-03-10,352.79998779296875
2011-03-11,357.0
2011-03-14,331.79998779296875
2011-03-15,323.3999938964844
2011-03-16,315.0
2011-03-17,331.79998779296875
2011-03-18,310.79998779296875
2011-03-21,357.0
2011-03-22,382.20001220703125
2011-03-23,382.20001220703125
2011-03-24,369.6000061035156
2011-03-25,365.3999938964844
2011-03-28,420.0
2011-03-29,420.0
2011-03-30,407.3999938964844
2011-03-31,399.0
2011-04-01,365.3999938964844
2011-04-04,348.6000061035156
2011-04-05,357.0
2011-04-06,357.0
2011-04-07,390.6000061035156
2011-04-08,415.79998779296875
2011-04-11,382.20001220703125
2011-04-12,373.79998779296875
2011-04-13,361.20001220703125
2011-04-14,365.3999938964844
2011-04-15,365.3999938964844
2011-04-18,340.20001220703125
2011-04-19,352.79998779296875
2011-04-20,369.6000061035156
2011-04-21,352.79998779296875
2011-04-25,327.6000061035156
2011-04-26,327.6000061035156
2011-04-27,357.0
2011-04-28,357.0
2011-04-29,340.20001220703125
2011-05-02,323.3999938964844
2011-05-03,323.3999938964844
2011-05-04,331.79998779296875
2011-05-05,310.79998779296875
2011-05-06,331.79998779296875
2011-05-09,327.6000061035156
2011-05-10,331.79998779296875
2011-05-11,315.0
2011-05-12,319.20001220703125
2011-05-13,323.3999938964844
2011-05-16,298.20001220703125
2011-05-17,294.0
2011-05-18,281.3999938964844
2011-05-19,281.3999938964844
2011-05-20,277.20001220703125
2011-05-23,277.20001220703125
2011-05-24,277.20001220703125
2011-05-25,277.20001220703125
2011-05-26,298.20001220703125
2011-05-27,289.79998779296875
2011-05-31,268.79998779296875
2011-06-01,264.6000061035156
2011-06-02,264.6000061035156
2011-06-03,264.6000061035156
2011-06-06,264.6000061035156
2011-06-07,268.79998779296875
2011-06-08,260.3999938964844
2011-06-09,260.3999938964844
2011-06-10,252.0
2011-06-13,256.20001220703125
2011-06-14,256.20001220703125
2011-06-15,247.8000030517578
2011-06-16,247.8000030517578
2011-06-17,260.3999938964844
2011-06-20,252.0
2011-06-21,235.1999969482422
2011-06-22,235.1999969482422
2011-06-23,235.1999969482422
2011-06-24,235.1999969482422
2011-06-27,235.1999969482422
2011-06-28,235.1999969482422
2011-06-29,239.39999389648438
2011-06-30,226.8000030517578
2011-07-01,226.8000030517578
2011-07-05,239.39999389648438
2011-07-06,239.39999389648438
2011-07-07,264.6000061035156
2011-07-08,273.0
2011-07-11,268.79998779296875
2011-07-12,252.0
2011-07-13,252.0
2011-07-14,252.0
2011-07-15,260.3999938964844
2011-07-18,277.20001220703125
2011-07-19,298.20001220703125
2011-07-20,285.6000061035156
2011-07-21,289.79998779296875
2011-07-22,281.3999938964844
2011-07-25,289.79998779296875
2011-07-26,294.0
2011-07-27,289.79998779296875
2011-07-28,268.79998779296875
2011-07-29,247.8000030517578
2011-08-01,247.8000030517578
2011-08-02,231.0
2011-08-03,235.1999969482422
2011-08-04,252.0
2011-08-05,256.20001220703125
2011-08-08,218.39999389648438
2011-08-09,231.0
2011-08-10,247.8000030517578
2011-08-11,247.8000030517578
2011-08-12,247.8000030517578
2011-08-15,277.20001220703125
2011-08-16,285.6000061035156
2011-08-17,273.0
2011-08-18,256.20001220703125
2011-08-19,239.39999389648438
2011-08-22,243.60000610351562
2011-08-23,252.0
2011-08-24,252.0
2011-08-25,252.0
2011-08-26,235.1999969482422
2011-08-29,243.60000610351562
2011-08-30,252.0
2011-08-31,235.1999969482422
2011-09-01,235.1999969482422
2011-09-02,226.8000030517578
2011-09-06,226.8000030517578
2011-09-07,231.0
2011-09-08,222.60000610351562
2011-09-09,218.39999389648438
2011-09-12,218.39999389648438
2011-09-13,218.39999389648438
2011-09-14,214.1999969482422
2011-09-15,214.1999969482422
2011-09-16,197.39999389648438
2011-09-19,189.0
2011-09-20,214.1999969482422
2011-09-21,193.1999969482422
2011-09-22,193.1999969482422
2011-09-23,163.8000030517578
2011-09-26,163.8000030517578
2011-09-27,168.0
2011-09-28,168.0
2011-09-29,172.1999969482422
2011-09-30,172.1999969482422
2011-10-03,172.1999969482422
2011-10-04,138.60000610351562
2011-10-05,180.60000610351562
2011-10-06,180.60000610351562
2011-10-07,184.8000030517578
2011-10-10,184.8000030517578
2011-10-11,184.8000030517578
2011-10-12,184.8000030517578
2011-10-13,159.60000610351562
2011-10-14,159.60000610351562
2011-10-17,180.60000610351562
2011-10-18,189.0
2011-10-19,189.0
2011-10-20,168.0
2011-10-21,168.0
2011-10-24,168.0
2011-10-25,168.0
2011-10-26,163.8000030517578
2011-10-27,163.8000030517578
2011-10-28,168.0
2011-10-31,168.0
