,EDTK
2020-07-23,4.75
2020-07-24,4.460000038146973
2020-07-27,3.809999942779541
2020-07-28,4.449999809265137
2020-07-29,4.289999961853027
2020-07-30,4.300000190734863
2020-07-31,4.010000228881836
2020-08-03,3.6700000762939453
2020-08-04,3.809999942779541
2020-08-05,4.190000057220459
2020-08-06,4.090000152587891
2020-08-07,4.199999809265137
2020-08-10,4.28000020980835
2020-08-11,4.260000228881836
2020-08-12,4.539999961853027
2020-08-13,4.46999979019165
2020-08-14,4.465000152587891
2020-08-17,4.5
2020-08-18,4.46999979019165
2020-08-19,4.829999923706055
2020-08-20,4.599999904632568
2020-08-21,4.539999961853027
2020-08-24,3.990000009536743
2020-08-25,3.9200000762939453
2020-08-26,4.010000228881836
2020-08-27,4.074999809265137
2020-08-28,4.28000020980835
2020-08-31,4.019999980926514
2020-09-01,3.8399999141693115
2020-09-02,3.950000047683716
2020-09-03,3.8499999046325684
2020-09-04,3.6600000858306885
2020-09-08,3.990000009536743
2020-09-09,3.9749999046325684
2020-09-10,3.940000057220459
2020-09-11,3.7200000286102295
2020-09-14,3.609999895095825
2020-09-15,3.2200000286102295
2020-09-16,3.299999952316284
2020-09-17,3.2200000286102295
2020-09-18,3.140000104904175
2020-09-21,3.059999942779541
2020-09-22,3.119999885559082
2020-09-23,2.930000066757202
2020-09-24,3.0199999809265137
2020-09-25,3.009999990463257
2020-09-28,3.1010000705718994
2020-09-29,3.069999933242798
2020-09-30,3.1600000858306885
2020-10-01,3.049999952316284
2020-10-02,3.069999933242798
2020-10-05,3.0199999809265137
2020-10-06,3.049999952316284
2020-10-07,2.930000066757202
2020-10-08,2.8499999046325684
2020-10-09,2.759999990463257
2020-10-12,3.5
2020-10-13,3.0299999713897705
2020-10-14,3.0899999141693115
2020-10-15,3.119999885559082
2020-10-16,3.109999895095825
2020-10-19,3.1600000858306885
2020-10-20,3.630000114440918
2020-10-21,3.2899999618530273
2020-10-22,3.299999952316284
2020-10-23,3.309999942779541
2020-10-26,3.13700008392334
2020-10-27,3.0999999046325684
2020-10-28,2.9800000190734863
2020-10-29,3.0
2020-10-30,2.9000000953674316
2020-11-02,2.859999895095825
2020-11-03,2.930000066757202
2020-11-04,2.930000066757202
2020-11-05,2.940000057220459
2020-11-06,2.9000000953674316
2020-11-09,2.8399999141693115
2020-11-10,2.809999942779541
2020-11-11,2.7799999713897705
2020-11-12,3.1029999256134033
2020-11-13,3.0999999046325684
2020-11-16,3.059999942779541
2020-11-17,2.9800000190734863
2020-11-18,3.059999942779541
2020-11-19,3.0199999809265137
2020-11-20,2.9700000286102295
2020-11-23,3.0399999618530273
2020-11-24,3.109999895095825
2020-11-25,3.359999895095825
2020-11-27,3.1600000858306885
2020-11-30,3.130000114440918
2020-12-01,3.059999942779541
2020-12-02,3.0899999141693115
2020-12-03,2.9800000190734863
2020-12-04,3.0199999809265137
2020-12-07,3.0399999618530273
2020-12-08,2.9600000381469727
2020-12-09,3.005000114440918
2020-12-10,3.0199999809265137
2020-12-11,2.9700000286102295
2020-12-14,2.984999895095825
2020-12-15,2.9000000953674316
2020-12-16,2.8949999809265137
2020-12-17,3.5
2020-12-18,3.5799999237060547
2020-12-21,3.2300000190734863
2020-12-22,3.009999990463257
2020-12-23,2.950000047683716
2020-12-24,3.0399999618530273
2020-12-28,3.0999999046325684
2020-12-29,3.25
2020-12-30,3.0999999046325684
2020-12-31,3.069999933242798
2021-01-04,3.0299999713897705
2021-01-05,3.109999895095825
2021-01-06,3.059999942779541
2021-01-07,3.180000066757202
2021-01-08,3.2300000190734863
2021-01-11,3.2300000190734863
2021-01-12,3.2100000381469727
2021-01-13,3.1500000953674316
2021-01-14,3.1600000858306885
2021-01-15,3.4700000286102295
2021-01-19,3.2699999809265137
2021-01-20,3.3499999046325684
2021-01-21,3.3399999141693115
2021-01-22,3.390000104904175
2021-01-25,3.2899999618530273
2021-01-26,3.200000047683716
2021-01-27,3.0399999618530273
2021-01-28,3.0899999141693115
2021-01-29,3.259999990463257
2021-02-01,3.2899999618530273
2021-02-02,3.2100000381469727
2021-02-03,3.194999933242798
2021-02-04,3.609999895095825
2021-02-05,3.549999952316284
2021-02-08,3.549999952316284
2021-02-09,3.5899999141693115
2021-02-10,3.819999933242798
2021-02-11,4.110000133514404
2021-02-12,4.099999904632568
2021-02-16,4.0
2021-02-17,3.630000114440918
2021-02-18,4.380000114440918
2021-02-19,4.25
2021-02-22,4.199999809265137
