,EFOI
1994-08-18,256.25
1994-08-19,268.75
1994-08-22,300.0
1994-08-23,306.25
1994-08-24,300.0
1994-08-25,293.75
1994-08-26,293.75
1994-08-29,293.75
1994-08-30,306.25
1994-08-31,293.75
1994-09-01,300.0
1994-09-02,293.75
1994-09-06,293.75
1994-09-07,275.0
1994-09-08,293.75
1994-09-09,281.25
1994-09-12,281.25
1994-09-13,275.0
1994-09-14,268.75
1994-09-15,281.25
1994-09-16,281.25
1994-09-19,287.5
1994-09-20,287.5
1994-09-21,268.75
1994-09-22,275.0
1994-09-23,275.0
1994-09-26,268.75
1994-09-27,275.0
1994-09-28,293.75
1994-09-29,325.0
1994-09-30,356.25
1994-10-03,337.5
1994-10-04,343.75
1994-10-05,343.75
1994-10-06,337.5
1994-10-07,343.75
1994-10-10,343.75
1994-10-11,337.5
1994-10-12,356.25
1994-10-13,337.5
1994-10-14,318.75
1994-10-17,325.0
1994-10-18,300.0
1994-10-19,300.0
1994-10-20,306.25
1994-10-21,318.75
1994-10-24,318.75
1994-10-25,306.25
1994-10-26,309.375
1994-10-27,287.5
1994-10-28,300.0
1994-10-31,287.5
1994-11-01,300.0
1994-11-02,275.0
1994-11-03,275.0
1994-11-04,293.75
1994-11-07,287.5
1994-11-08,293.75
1994-11-09,293.75
1994-11-10,293.75
1994-11-11,281.25
1994-11-14,312.5
1994-11-15,281.25
1994-11-16,281.25
1994-11-17,281.25
1994-11-18,293.75
1994-11-21,293.75
1994-11-22,256.25
1994-11-23,256.25
1994-11-25,256.25
1994-11-28,256.25
1994-11-29,262.5
1994-11-30,287.5
1994-12-01,268.75
1994-12-02,268.75
1994-12-05,275.0
1994-12-06,293.75
1994-12-07,293.75
1994-12-08,293.75
1994-12-09,293.75
1994-12-12,293.75
1994-12-13,287.5
1994-12-14,268.75
1994-12-15,287.5
1994-12-16,287.5
1994-12-19,293.75
1994-12-20,281.25
1994-12-21,281.25
1994-12-22,281.25
1994-12-23,293.75
1994-12-27,275.0
1994-12-28,275.0
1994-12-29,275.0
1994-12-30,287.5
1995-01-03,287.5
1995-01-04,287.5
1995-01-05,287.5
1995-01-06,287.5
1995-01-09,293.75
1995-01-10,287.5
1995-01-11,293.75
1995-01-12,293.75
1995-01-13,293.75
1995-01-16,293.75
1995-01-17,293.75
1995-01-18,281.25
1995-01-19,281.25
1995-01-20,293.75
1995-01-23,281.25
1995-01-24,268.75
1995-01-25,275.0
1995-01-26,275.0
1995-01-27,293.75
1995-01-30,293.75
1995-01-31,293.75
1995-02-01,293.75
1995-02-02,287.5
1995-02-03,293.75
1995-02-06,287.5
1995-02-07,287.5
1995-02-08,275.0
1995-02-09,275.0
1995-02-10,268.75
1995-02-13,293.75
1995-02-14,281.25
1995-02-15,300.0
1995-02-16,300.0
1995-02-17,293.75
1995-02-21,287.5
1995-02-22,296.875
1995-02-23,300.0
1995-02-24,293.75
1995-02-27,303.125
1995-02-28,300.0
1995-03-01,293.75
1995-03-02,293.75
1995-03-03,293.75
1995-03-06,287.5
1995-03-07,275.0
1995-03-08,262.5
1995-03-09,268.75
1995-03-10,268.75
1995-03-13,281.25
1995-03-14,281.25
1995-03-15,293.75
1995-03-16,287.5
1995-03-17,262.5
1995-03-20,275.0
1995-03-21,287.5
1995-03-22,300.0
1995-03-23,312.5
1995-03-24,287.5
1995-03-27,300.0
1995-03-28,306.25
1995-03-29,293.75
1995-03-30,281.25
1995-03-31,293.75
1995-04-03,281.25
1995-04-04,281.25
1995-04-05,281.25
1995-04-06,275.0
1995-04-07,287.5
1995-04-10,275.0
1995-04-11,275.0
1995-04-12,275.0
1995-04-13,300.0
1995-04-17,290.625
1995-04-18,281.25
1995-04-19,275.0
1995-04-20,275.0
1995-04-21,300.0
1995-04-24,300.0
1995-04-25,303.125
1995-04-26,293.75
1995-04-27,287.5
1995-04-28,275.0
1995-05-01,275.0
1995-05-02,293.75
1995-05-03,287.5
1995-05-04,287.5
1995-05-05,281.25
1995-05-08,287.5
1995-05-09,293.75
1995-05-10,281.25
1995-05-11,281.25
1995-05-12,275.0
1995-05-15,271.875
1995-05-16,268.75
1995-05-17,281.25
1995-05-18,275.0
1995-05-19,262.5
1995-05-22,262.5
1995-05-23,268.75
1995-05-24,268.75
1995-05-25,268.75
1995-05-26,262.5
1995-05-30,268.75
1995-05-31,268.75
1995-06-01,262.5
1995-06-02,275.0
1995-06-05,262.5
1995-06-06,262.5
1995-06-07,262.5
1995-06-08,262.5
1995-06-09,250.0
1995-06-12,250.0
1995-06-13,250.0
1995-06-14,237.5
1995-06-15,250.0
1995-06-16,237.5
1995-06-19,237.5
1995-06-20,262.5
1995-06-21,250.0
1995-06-22,262.5
1995-06-23,262.5
1995-06-26,262.5
1995-06-27,243.75
1995-06-28,237.5
1995-06-29,225.0
1995-06-30,218.75
1995-07-03,225.0
1995-07-05,225.0
1995-07-06,218.75
1995-07-07,206.25
1995-07-10,193.75
1995-07-11,200.0
1995-07-12,193.75
1995-07-13,203.125
1995-07-14,206.25
1995-07-17,200.0
1995-07-18,206.25
1995-07-19,206.25
