,EFSC
2003-07-15,13.399999618530273
2003-07-16,13.399999618530273
2003-07-17,13.449999809265137
2003-07-18,13.300000190734863
2003-07-21,13.300000190734863
2003-07-22,13.350000381469727
2003-07-23,13.050000190734863
2003-07-24,13.350000381469727
2003-07-25,13.050000190734863
2003-07-28,13.050000190734863
2003-07-29,13.149999618530273
2003-07-30,13.149999618530273
2003-07-31,13.199999809265137
2003-08-01,13.100000381469727
2003-08-04,13.100000381469727
2003-08-05,13.100000381469727
2003-08-06,13.149999618530273
2003-08-07,13.149999618530273
2003-08-08,13.149999618530273
2003-08-11,12.899999618530273
2003-08-12,12.850000381469727
2003-08-13,12.949999809265137
2003-08-14,12.850000381469727
2003-08-15,13.149999618530273
2003-08-18,13.149999618530273
2003-08-19,13.149999618530273
2003-08-20,13.119999885559082
2003-08-21,13.119999885559082
2003-08-22,13.050000190734863
2003-08-25,13.050000190734863
2003-08-26,13.0600004196167
2003-08-27,13.0600004196167
2003-08-28,13.100000381469727
2003-08-29,13.100000381469727
2003-09-02,13.100000381469727
2003-09-03,13.100000381469727
2003-09-04,13.149999618530273
2003-09-05,13.199999809265137
2003-09-08,13.199999809265137
2003-09-09,13.199999809265137
2003-09-10,13.149999618530273
2003-09-11,13.100000381469727
2003-09-12,12.949999809265137
2003-09-15,13.0
2003-09-16,13.0
2003-09-17,12.949999809265137
2003-09-18,12.949999809265137
2003-09-19,12.75
2003-09-22,12.75
2003-09-23,13.0
2003-09-24,13.0
2003-09-25,13.40999984741211
2003-09-26,13.5
2003-09-29,13.149999618530273
2003-09-30,13.149999618530273
2003-10-01,12.75
2003-10-02,12.899999618530273
2003-10-03,13.0
2003-10-06,13.199999809265137
2003-10-07,13.199999809265137
2003-10-08,13.25
2003-10-09,13.25
2003-10-10,13.0
2003-10-13,12.75
2003-10-14,12.949999809265137
2003-10-15,12.899999618530273
2003-10-16,13.0
2003-10-17,13.149999618530273
2003-10-20,13.149999618530273
2003-10-21,12.800000190734863
2003-10-22,12.800000190734863
2003-10-23,12.800000190734863
2003-10-24,13.0
2003-10-27,13.0
2003-10-28,13.0
2003-10-29,13.25
2003-10-30,13.199999809265137
2003-10-31,13.149999618530273
2003-11-03,13.199999809265137
2003-11-04,13.350000381469727
2003-11-05,13.350000381469727
2003-11-06,13.300000190734863
2003-11-07,13.350000381469727
2003-11-10,13.5
2003-11-11,13.5
2003-11-12,13.5
2003-11-13,13.5
2003-11-14,13.479999542236328
2003-11-17,13.5
2003-11-18,13.5
2003-11-19,13.550000190734863
2003-11-20,14.0
2003-11-21,13.649999618530273
2003-11-24,13.649999618530273
2003-11-25,13.75
2003-11-26,13.75
2003-11-28,13.649999618530273
2003-12-01,13.75
2003-12-02,13.75
2003-12-03,13.699999809265137
2003-12-04,13.699999809265137
2003-12-05,13.850000381469727
2003-12-08,14.0
2003-12-09,14.0
2003-12-10,14.029999732971191
2003-12-11,14.050000190734863
2003-12-12,14.0
2003-12-15,14.0
2003-12-16,14.0
2003-12-17,14.0
2003-12-18,14.100000381469727
2003-12-19,13.800000190734863
2003-12-22,13.949999809265137
2003-12-23,13.949999809265137
2003-12-24,14.0
2003-12-26,14.0
2003-12-29,13.850000381469727
2003-12-30,14.0
2003-12-31,14.0
2004-01-02,13.800000190734863
2004-01-05,13.899999618530273
2004-01-06,13.75
2004-01-07,13.75
