,EKSO
2014-01-17,257.25
2014-01-21,278.25
2014-01-22,278.25
2014-01-23,248.85000610351562
2014-01-24,266.70001220703125
2014-01-27,273.0
2014-01-28,262.5
2014-01-29,273.0
2014-01-30,256.20001220703125
2014-01-31,257.25
2014-02-03,246.75
2014-02-04,252.0
2014-02-05,262.5
2014-02-06,308.70001220703125
2014-02-07,333.8999938964844
2014-02-10,315.0
2014-02-11,312.8999938964844
2014-02-12,315.0
2014-02-13,315.0
2014-02-14,299.25
2014-02-18,315.0
2014-02-19,346.5
2014-02-20,400.04998779296875
2014-02-21,544.9500122070312
2014-02-24,803.25
2014-02-25,625.7999877929688
2014-02-26,672.0
2014-02-27,682.5
2014-02-28,630.0
2014-03-03,557.5499877929688
2014-03-04,540.75
2014-03-05,567.0
2014-03-06,605.8499755859375
2014-03-07,567.0
2014-03-10,543.9000244140625
2014-03-11,509.25
2014-03-12,476.70001220703125
2014-03-13,472.5
2014-03-14,464.1000061035156
2014-03-17,467.25
2014-03-18,522.9000244140625
2014-03-19,467.25
2014-03-20,446.25
2014-03-21,408.45001220703125
2014-03-24,374.8500061035156
2014-03-25,361.20001220703125
2014-03-26,343.3500061035156
2014-03-27,346.5
2014-03-28,346.5
2014-03-31,334.95001220703125
2014-04-01,340.20001220703125
2014-04-02,330.75
2014-04-03,325.5
2014-04-04,315.0
2014-04-07,283.5
2014-04-08,273.0
2014-04-09,263.54998779296875
2014-04-10,263.54998779296875
2014-04-11,238.35000610351562
2014-04-14,242.5500030517578
2014-04-15,245.6999969482422
2014-04-16,257.25
2014-04-17,278.25
2014-04-21,265.6499938964844
2014-04-22,281.3999938964844
2014-04-23,294.0
2014-04-24,367.5
2014-04-25,325.5
2014-04-28,298.20001220703125
2014-04-29,294.0
2014-04-30,299.25
2014-05-01,294.0
2014-05-02,286.6499938964844
2014-05-05,277.20001220703125
2014-05-06,297.1499938964844
2014-05-07,275.1000061035156
2014-05-08,273.0
2014-05-09,261.45001220703125
2014-05-12,241.5
2014-05-13,247.8000030517578
2014-05-14,256.20001220703125
2014-05-15,255.14999389648438
2014-05-16,252.0
2014-05-19,256.20001220703125
2014-05-20,241.5
2014-05-21,225.75
2014-05-22,235.1999969482422
2014-05-23,235.1999969482422
2014-05-27,231.0
2014-05-28,241.5
2014-05-29,244.64999389648438
2014-05-30,273.0
2014-06-02,299.25
2014-06-03,294.0
2014-06-04,292.95001220703125
2014-06-05,304.5
2014-06-06,299.25
2014-06-09,299.25
2014-06-10,283.5
2014-06-11,282.45001220703125
2014-06-12,282.45001220703125
2014-06-13,283.5
2014-06-16,241.5
2014-06-17,239.39999389648438
2014-06-18,229.9499969482422
2014-06-19,234.14999389648438
2014-06-20,237.3000030517578
2014-06-23,176.39999389648438
2014-06-24,164.42999267578125
2014-06-25,173.25
2014-06-26,168.0
2014-06-27,163.8000030517578
2014-06-30,154.35000610351562
2014-07-01,154.35000610351562
2014-07-02,153.3000030517578
2014-07-03,149.10000610351562
2014-07-07,159.60000610351562
2014-07-08,154.35000610351562
2014-07-09,149.10000610351562
2014-07-10,152.25
2014-07-11,155.39999389648438
2014-07-14,141.75
2014-07-15,141.75
2014-07-16,141.75
2014-07-17,144.89999389648438
2014-07-18,142.8000030517578
2014-07-21,142.8000030517578
2014-07-22,145.9499969482422
2014-07-23,148.0500030517578
2014-07-24,144.89999389648438
2014-07-25,141.75
2014-07-28,139.64999389648438
2014-07-29,137.5500030517578
2014-07-30,136.5
2014-07-31,128.10000610351562
2014-08-01,126.0
2014-08-04,126.0
2014-08-05,123.9000015258789
2014-08-06,124.94999694824219
2014-08-07,120.75
2014-08-08,107.0999984741211
2014-08-11,108.1500015258789
2014-08-12,115.5
2014-08-13,112.3499984741211
2014-08-14,114.44999694824219
2014-08-15,120.75
2014-08-18,115.5
2014-08-19,113.4000015258789
2014-08-20,112.3499984741211
2014-08-21,108.1500015258789
2014-08-22,110.25
2014-08-25,112.3499984741211
2014-08-26,108.1500015258789
2014-08-27,105.0
2014-08-28,99.75
2014-08-29,122.8499984741211
2014-09-02,111.30000305175781
2014-09-03,105.0
2014-09-04,107.0999984741211
2014-09-05,124.94999694824219
2014-09-08,110.25
2014-09-09,101.8499984741211
2014-09-10,103.94999694824219
2014-09-11,101.8499984741211
2014-09-12,123.9000015258789
2014-09-15,103.94999694824219
2014-09-16,94.6050033569336
2014-09-17,102.9000015258789
2014-09-18,97.125
2014-09-19,97.6500015258789
2014-09-22,90.30000305175781
2014-09-23,92.4000015258789
2014-09-24,92.92500305175781
2014-09-25,86.625
2014-09-26,82.94999694824219
2014-09-29,87.1500015258789
2014-09-30,88.19999694824219
2014-10-01,79.80000305175781
2014-10-02,103.94999694824219
2014-10-03,111.30000305175781
2014-10-06,150.14999389648438
2014-10-07,156.4499969482422
2014-10-08,140.6999969482422
2014-10-09,144.89999389648438
2014-10-10,136.5
2014-10-13,132.3000030517578
2014-10-14,118.6500015258789
2014-10-15,128.10000610351562
2014-10-16,131.25
2014-10-17,159.60000610351562
2014-10-20,160.64999389648438
2014-10-21,154.35000610351562
2014-10-22,144.89999389648438
2014-10-23,137.5500030517578
2014-10-24,136.5
2014-10-27,148.0500030517578
2014-10-28,147.0
2014-10-29,149.10000610351562
2014-10-30,144.89999389648438
2014-10-31,143.85000610351562
2014-11-03,144.89999389648438
2014-11-04,143.85000610351562
2014-11-05,155.39999389648438
2014-11-06,152.25
2014-11-07,180.60000610351562
2014-11-10,194.25
2014-11-11,181.64999389648438
2014-11-12,191.10000610351562
2014-11-13,200.5500030517578
2014-11-14,192.14999389648438
2014-11-17,183.75
2014-11-18,184.8000030517578
2014-11-19,183.75
2014-11-20,169.0500030517578
2014-11-21,158.5500030517578
2014-11-24,183.75
2014-11-25,176.39999389648438
2014-11-26,175.35000610351562
2014-11-28,176.39999389648438
2014-12-01,162.75
2014-12-02,158.5500030517578
2014-12-03,156.4499969482422
2014-12-04,157.5
2014-12-05,157.5
2014-12-08,162.75
2014-12-09,161.6999969482422
2014-12-10,161.6999969482422
2014-12-11,151.1999969482422
2014-12-12,155.39999389648438
2014-12-15,141.75
2014-12-16,120.75
2014-12-17,129.14999389648438
2014-12-18,130.1999969482422
2014-12-19,151.1999969482422
2014-12-22,132.3000030517578
2014-12-23,137.5500030517578
2014-12-24,143.85000610351562
2014-12-26,151.1999969482422
2014-12-29,144.89999389648438
2014-12-30,148.0500030517578
2014-12-31,142.8000030517578
2015-01-02,143.85000610351562
2015-01-05,141.75
2015-01-06,138.60000610351562
2015-01-07,140.6999969482422
2015-01-08,141.75
2015-01-09,150.14999389648438
2015-01-12,147.0
2015-01-13,132.3000030517578
2015-01-14,134.39999389648438
2015-01-15,134.39999389648438
2015-01-16,135.4499969482422
2015-01-20,142.48500061035156
2015-01-21,139.44000244140625
2015-01-22,134.39999389648438
2015-01-23,130.1999969482422
2015-01-26,131.25
2015-01-27,126.94499969482422
2015-01-28,124.73999786376953
2015-01-29,121.80000305175781
2015-01-30,147.0
2015-02-02,152.25
2015-02-03,147.0
2015-02-04,144.375
2015-02-05,145.9499969482422
2015-02-06,147.0
2015-02-09,144.89999389648438
2015-02-10,139.64999389648438
2015-02-11,137.5500030517578
2015-02-12,136.5
2015-02-13,139.64999389648438
2015-02-17,134.39999389648438
2015-02-18,145.9499969482422
2015-02-19,138.60000610351562
2015-02-20,137.5500030517578
2015-02-23,133.35000610351562
2015-02-24,132.3000030517578
2015-02-25,132.3000030517578
2015-02-26,133.35000610351562
2015-02-27,135.55499267578125
2015-03-02,134.39999389648438
2015-03-03,131.25
2015-03-04,128.10000610351562
2015-03-05,132.3000030517578
2015-03-06,134.39999389648438
2015-03-09,129.14999389648438
2015-03-10,128.10000610351562
2015-03-11,130.1999969482422
2015-03-12,129.14999389648438
2015-03-13,135.4499969482422
2015-03-16,136.5
2015-03-17,140.6999969482422
2015-03-18,128.625
2015-03-19,128.10000610351562
2015-03-20,130.1999969482422
2015-03-23,131.25
2015-03-24,129.14999389648438
2015-03-25,132.3000030517578
2015-03-26,137.5500030517578
2015-03-27,145.9499969482422
2015-03-30,153.3000030517578
2015-03-31,162.75
2015-04-01,208.9499969482422
2015-04-02,219.4499969482422
2015-04-06,196.35000610351562
2015-04-07,196.35000610351562
2015-04-08,201.60000610351562
2015-04-09,208.9499969482422
2015-04-10,203.6999969482422
2015-04-13,211.0500030517578
2015-04-14,211.0500030517578
2015-04-15,208.9499969482422
2015-04-16,204.75
2015-04-17,206.85000610351562
2015-04-20,202.64999389648438
2015-04-21,197.39999389648438
2015-04-22,177.4499969482422
2015-04-23,177.4499969482422
2015-04-24,171.14999389648438
2015-04-27,176.39999389648438
2015-04-28,172.1999969482422
2015-04-29,166.9499969482422
2015-04-30,172.1999969482422
2015-05-01,170.10000610351562
2015-05-04,168.0
2015-05-05,172.1999969482422
2015-05-06,169.0500030517578
2015-05-07,171.14999389648438
2015-05-08,163.8000030517578
2015-05-11,147.0
2015-05-12,148.0500030517578
2015-05-13,185.85000610351562
2015-05-14,196.35000610351562
2015-05-15,184.8000030517578
2015-05-18,200.5500030517578
2015-05-19,202.64999389648438
2015-05-20,210.0
2015-05-21,211.0500030517578
2015-05-22,208.9499969482422
2015-05-26,193.1999969482422
2015-05-27,183.75
2015-05-28,189.0
2015-05-29,184.8000030517578
2015-06-01,181.64999389648438
2015-06-02,142.8000030517578
2015-06-03,162.22500610351562
2015-06-04,147.0
2015-06-05,146.7899932861328
2015-06-08,145.9499969482422
2015-06-09,145.9499969482422
2015-06-10,147.0
2015-06-11,143.85000610351562
2015-06-12,140.6999969482422
2015-06-15,142.8000030517578
2015-06-16,136.5
2015-06-17,134.39999389648438
2015-06-18,133.35000610351562
2015-06-19,133.35000610351562
2015-06-22,130.72500610351562
2015-06-23,130.1999969482422
2015-06-24,124.42500305175781
2015-06-25,115.5
2015-06-26,113.4000015258789
2015-06-29,109.19999694824219
2015-06-30,118.6500015258789
2015-07-01,128.10000610351562
2015-07-02,128.10000610351562
2015-07-06,130.1999969482422
2015-07-07,128.10000610351562
2015-07-08,121.69499969482422
2015-07-09,123.375
2015-07-10,119.69999694824219
2015-07-13,120.75
2015-07-14,118.6500015258789
2015-07-15,116.55000305175781
2015-07-16,118.6500015258789
2015-07-17,116.55000305175781
2015-07-20,119.69999694824219
2015-07-21,118.6500015258789
2015-07-22,115.5
2015-07-23,113.4000015258789
2015-07-24,115.5
2015-07-27,112.3499984741211
2015-07-28,111.30000305175781
2015-07-29,111.30000305175781
2015-07-30,108.1500015258789
2015-07-31,108.1500015258789
2015-08-03,107.0999984741211
2015-08-04,119.69999694824219
2015-08-05,120.75
2015-08-06,119.69999694824219
2015-08-07,113.4000015258789
2015-08-10,116.55000305175781
2015-08-11,115.5
2015-08-12,112.3499984741211
2015-08-13,111.30000305175781
2015-08-14,110.25
2015-08-17,102.9000015258789
2015-08-18,105.0
2015-08-19,123.9000015258789
2015-08-20,117.5999984741211
2015-08-21,115.5
2015-08-24,120.75
2015-08-25,122.8499984741211
2015-08-26,137.5500030517578
2015-08-27,152.25
2015-08-28,143.85000610351562
2015-08-31,152.25
2015-09-01,145.9499969482422
2015-09-02,142.8000030517578
2015-09-03,151.1999969482422
2015-09-04,142.8000030517578
2015-09-08,147.0
2015-09-09,143.85000610351562
2015-09-10,140.6999969482422
2015-09-11,136.5
2015-09-14,142.8000030517578
2015-09-15,141.75
2015-09-16,140.6999969482422
2015-09-17,142.8000030517578
2015-09-18,140.6999969482422
2015-09-21,148.0500030517578
2015-09-22,144.89999389648438
2015-09-23,141.75
2015-09-24,138.60000610351562
2015-09-25,136.5
2015-09-28,123.9000015258789
2015-09-29,119.69999694824219
2015-09-30,122.8499984741211
2015-10-01,118.6500015258789
2015-10-02,119.69999694824219
2015-10-05,126.0
2015-10-06,121.80000305175781
2015-10-07,120.75
2015-10-08,118.6500015258789
2015-10-09,119.69999694824219
2015-10-12,118.6500015258789
2015-10-13,118.6500015258789
2015-10-14,118.6500015258789
2015-10-15,121.80000305175781
2015-10-16,120.75
2015-10-19,121.80000305175781
2015-10-20,118.6500015258789
2015-10-21,117.07499694824219
2015-10-22,117.5999984741211
2015-10-23,117.5999984741211
2015-10-26,117.5999984741211
2015-10-27,118.6500015258789
2015-10-28,117.5999984741211
2015-10-29,120.2249984741211
2015-10-30,122.8499984741211
2015-11-02,131.25
2015-11-03,132.3000030517578
2015-11-04,131.25
2015-11-05,132.8249969482422
2015-11-06,120.75
2015-11-09,120.75
2015-11-10,117.5999984741211
2015-11-11,136.5
2015-11-12,123.9000015258789
2015-11-13,131.25
2015-11-16,136.5
2015-11-17,140.6999969482422
2015-11-18,148.0500030517578
2015-11-19,145.9499969482422
2015-11-20,137.5500030517578
2015-11-23,135.4499969482422
2015-11-24,134.39999389648438
2015-11-25,140.6999969482422
2015-11-27,141.75
2015-11-30,143.85000610351562
2015-12-01,143.85000610351562
2015-12-02,139.64999389648438
2015-12-03,137.5500030517578
2015-12-04,133.35000610351562
2015-12-07,137.5500030517578
2015-12-08,134.39999389648438
2015-12-09,132.3000030517578
2015-12-10,129.14999389648438
2015-12-11,128.10000610351562
2015-12-14,122.8499984741211
2015-12-15,118.6500015258789
2015-12-16,120.75
2015-12-17,132.3000030517578
2015-12-18,133.35000610351562
2015-12-21,130.30499267578125
2015-12-22,129.14999389648438
2015-12-23,132.3000030517578
2015-12-24,132.3000030517578
2015-12-28,114.44999694824219
2015-12-29,110.25
2015-12-30,107.0999984741211
2015-12-31,107.0999984741211
2016-01-04,107.0999984741211
2016-01-05,103.84500122070312
2016-01-06,98.80500030517578
2016-01-07,88.7249984741211
