,ENTG
2000-07-11,11.1875
2000-07-12,12.1875
2000-07-13,14.1875
2000-07-14,13.25
2000-07-17,13.0625
2000-07-18,12.5
2000-07-19,12.375
2000-07-20,11.8125
2000-07-21,11.375
2000-07-24,12.0
2000-07-25,11.75
2000-07-26,11.75
2000-07-27,10.25
2000-07-28,9.8125
2000-07-31,9.625
2000-08-01,9.4375
2000-08-02,9.0625
2000-08-03,8.875
2000-08-04,9.9375
2000-08-07,9.21875
2000-08-08,8.4375
2000-08-09,8.125
2000-08-10,7.5
2000-08-11,7.25
2000-08-14,7.375
2000-08-15,8.75
2000-08-16,8.75
2000-08-17,9.4375
2000-08-18,11.0625
2000-08-21,11.0625
2000-08-22,10.8125
2000-08-23,10.125
2000-08-24,11.0
2000-08-25,10.875
2000-08-28,10.9375
2000-08-29,11.125
2000-08-30,10.875
2000-08-31,11.125
2000-09-01,11.0
2000-09-05,10.71875
2000-09-06,10.0625
2000-09-07,10.5625
2000-09-08,10.5625
2000-09-11,10.5625
2000-09-12,10.25
2000-09-13,10.125
2000-09-14,10.8125
2000-09-15,10.0
2000-09-18,9.4375
2000-09-19,9.625
2000-09-20,9.25
2000-09-21,9.125
2000-09-22,8.8125
2000-09-25,8.6875
2000-09-26,8.875
2000-09-27,8.375
2000-09-28,9.125
2000-09-29,9.5625
2000-10-02,9.6875
2000-10-03,8.9375
2000-10-04,9.375
2000-10-05,9.375
2000-10-06,8.125
2000-10-09,8.9375
2000-10-10,8.6875
2000-10-11,9.0
2000-10-12,9.375
2000-10-13,9.375
2000-10-16,9.375
2000-10-17,9.0
2000-10-18,9.3125
2000-10-19,9.5
2000-10-20,9.90625
2000-10-23,9.625
2000-10-24,9.0625
2000-10-25,8.8125
2000-10-26,9.0625
2000-10-27,8.875
2000-10-30,8.625
2000-10-31,8.9375
2000-11-01,8.75
2000-11-02,8.5
2000-11-03,8.4375
2000-11-06,8.5
2000-11-07,8.5
2000-11-08,8.625
2000-11-09,8.0
2000-11-10,7.6875
2000-11-13,7.875
2000-11-14,8.125
2000-11-15,8.0
2000-11-16,7.6875
2000-11-17,7.5
2000-11-20,7.375
2000-11-21,7.8125
2000-11-22,7.625
2000-11-24,7.625
2000-11-27,8.375
2000-11-28,7.875
2000-11-29,7.5
2000-11-30,7.0
2000-12-01,7.25
2000-12-04,7.125
2000-12-05,7.125
2000-12-06,6.875
2000-12-07,6.875
2000-12-08,7.25
2000-12-11,8.0
2000-12-12,8.03125
2000-12-13,7.3125
2000-12-14,7.875
2000-12-15,7.0
2000-12-18,7.0
2000-12-19,7.125
2000-12-20,6.9375
2000-12-21,7.1875
2000-12-22,7.0
2000-12-26,6.5
2000-12-27,6.75
2000-12-28,6.75
2000-12-29,7.484375
2001-01-02,7.0
2001-01-03,7.8125
2001-01-04,8.0625
2001-01-05,8.125
2001-01-08,8.03125
2001-01-09,8.5
2001-01-10,8.3125
2001-01-11,8.0625
2001-01-12,8.625
2001-01-16,8.25
2001-01-17,8.625
2001-01-18,9.0
2001-01-19,9.0
2001-01-22,8.625
2001-01-23,9.125
2001-01-24,9.125
2001-01-25,9.125
2001-01-26,8.875
2001-01-29,9.0
2001-01-30,9.25
2001-01-31,9.375
2001-02-01,8.9375
2001-02-02,8.875
2001-02-05,8.5
2001-02-06,8.25
2001-02-07,8.0
2001-02-08,8.0625
2001-02-09,7.9375
2001-02-12,8.3125
2001-02-13,8.375
2001-02-14,8.3125
2001-02-15,8.1875
2001-02-16,7.875
2001-02-20,7.625
2001-02-21,7.53125
2001-02-22,7.5
2001-02-23,7.625
2001-02-26,8.125
2001-02-27,8.1875
2001-02-28,7.9375
2001-03-01,7.875
2001-03-02,7.9375
2001-03-05,7.96875
2001-03-06,8.25
2001-03-07,8.25
2001-03-08,8.375
2001-03-09,7.90625
2001-03-12,7.4375
2001-03-13,7.5
2001-03-14,7.25
2001-03-15,7.125
2001-03-16,7.125
2001-03-19,7.4375
2001-03-20,7.375
2001-03-21,6.625
2001-03-22,6.75
2001-03-23,7.0
2001-03-26,7.0
2001-03-27,7.25
2001-03-28,7.25
2001-03-29,7.125
2001-03-30,7.3125
2001-04-02,7.125
2001-04-03,7.5
2001-04-04,7.34375
2001-04-05,7.75
2001-04-06,7.25
2001-04-09,7.489999771118164
2001-04-10,7.690000057220459
2001-04-11,8.119999885559082
2001-04-12,8.100000381469727
2001-04-16,8.100000381469727
2001-04-17,7.980000019073486
2001-04-18,8.699999809265137
2001-04-19,9.039999961853027
2001-04-20,9.100000381469727
2001-04-23,9.0
2001-04-24,9.0
2001-04-25,8.979999542236328
2001-04-26,9.0
2001-04-27,9.039999961853027
2001-04-30,9.149999618530273
2001-05-01,10.399999618530273
2001-05-02,10.199999809265137
2001-05-03,10.449999809265137
2001-05-04,11.319999694824219
2001-05-07,11.15999984741211
2001-05-08,11.4399995803833
2001-05-09,11.300000190734863
2001-05-10,11.260000228881836
2001-05-11,11.239999771118164
2001-05-14,10.800000190734863
2001-05-15,11.0
2001-05-16,10.979999542236328
2001-05-17,12.119999885559082
2001-05-18,12.25
2001-05-21,13.100000381469727
2001-05-22,12.600000381469727
2001-05-23,13.079999923706055
2001-05-24,12.789999961853027
2001-05-25,13.010000228881836
2001-05-29,13.010000228881836
2001-05-30,11.8100004196167
2001-05-31,12.199999809265137
2001-06-01,13.0
2001-06-04,14.149999618530273
2001-06-05,15.199999809265137
2001-06-06,14.760000228881836
2001-06-07,14.069999694824219
2001-06-08,13.279999732971191
2001-06-11,14.050000190734863
2001-06-12,14.100000381469727
2001-06-13,14.050000190734863
2001-06-14,12.350000381469727
2001-06-15,11.0600004196167
2001-06-18,12.0
2001-06-19,10.75
2001-06-20,11.09000015258789
2001-06-21,11.0
2001-06-22,11.489999771118164
2001-06-25,10.670000076293945
2001-06-26,10.1899995803833
2001-06-27,10.050000190734863
2001-06-28,10.130000114440918
2001-06-29,11.449999809265137
2001-07-02,10.350000381469727
2001-07-03,10.630000114440918
2001-07-05,10.4399995803833
2001-07-06,10.079999923706055
2001-07-09,10.600000381469727
2001-07-10,10.899999618530273
2001-07-11,10.779999732971191
2001-07-12,11.0
2001-07-13,11.199999809265137
2001-07-16,10.949999809265137
2001-07-17,11.869999885559082
2001-07-18,11.229999542236328
2001-07-19,11.0
2001-07-20,11.0
2001-07-23,10.649999618530273
2001-07-24,10.75
2001-07-25,11.050000190734863
2001-07-26,11.079999923706055
2001-07-27,11.100000381469727
2001-07-30,11.100000381469727
2001-07-31,11.449999809265137
2001-08-01,12.0
2001-08-02,13.0
2001-08-03,13.0
2001-08-06,12.399999618530273
2001-08-07,12.0
2001-08-08,11.989999771118164
2001-08-09,12.649999618530273
2001-08-10,12.75
2001-08-13,12.989999771118164
2001-08-14,12.960000038146973
2001-08-15,12.460000038146973
2001-08-16,12.449999809265137
2001-08-17,11.930000305175781
2001-08-20,12.25
2001-08-21,11.699999809265137
2001-08-22,12.5
2001-08-23,11.949999809265137
2001-08-24,11.75
2001-08-27,12.489999771118164
2001-08-28,12.399999618530273
2001-08-29,12.149999618530273
2001-08-30,11.710000038146973
2001-08-31,12.0
2001-09-04,11.600000381469727
2001-09-05,10.699999809265137
2001-09-06,10.399999618530273
2001-09-07,10.199999809265137
2001-09-10,10.25
2001-09-17,9.050000190734863
2001-09-18,8.609999656677246
2001-09-19,8.600000381469727
2001-09-20,7.849999904632568
2001-09-21,7.329999923706055
2001-09-24,7.900000095367432
2001-09-25,7.989999771118164
2001-09-26,7.949999809265137
2001-09-27,7.599999904632568
2001-09-28,7.900000095367432
2001-10-01,7.559999942779541
2001-10-02,7.449999809265137
2001-10-03,7.550000190734863
2001-10-04,7.929999828338623
2001-10-05,7.5
2001-10-08,7.25
2001-10-09,7.0
2001-10-10,6.820000171661377
2001-10-11,8.050000190734863
2001-10-12,8.350000381469727
2001-10-15,8.039999961853027
2001-10-16,8.0
2001-10-17,7.5
2001-10-18,7.019999980926514
2001-10-19,6.949999809265137
2001-10-22,7.159999847412109
2001-10-23,7.099999904632568
2001-10-24,7.150000095367432
2001-10-25,8.039999961853027
2001-10-26,7.809999942779541
2001-10-29,7.260000228881836
2001-10-30,7.179999828338623
2001-10-31,7.690000057220459
2001-11-01,8.050000190734863
2001-11-02,8.5
2001-11-05,8.739999771118164
2001-11-06,8.800000190734863
2001-11-07,8.550000190734863
2001-11-08,8.960000038146973
2001-11-09,8.8100004196167
2001-11-12,8.770000457763672
2001-11-13,8.850000381469727
2001-11-14,8.760000228881836
2001-11-15,8.979999542236328
2001-11-16,9.390000343322754
2001-11-19,9.300000190734863
2001-11-20,9.010000228881836
2001-11-21,9.0600004196167
2001-11-23,9.079999923706055
2001-11-26,9.390000343322754
2001-11-27,10.34000015258789
2001-11-28,10.010000228881836
2001-11-29,10.0600004196167
2001-11-30,9.949999809265137
2001-12-03,10.0
2001-12-04,9.949999809265137
2001-12-05,10.25
2001-12-06,10.789999961853027
2001-12-07,10.729999542236328
2001-12-10,10.699999809265137
2001-12-11,11.0
2001-12-12,10.5
2001-12-13,9.34000015258789
2001-12-14,9.649999618530273
2001-12-17,10.699999809265137
2001-12-18,11.350000381469727
2001-12-19,11.279999732971191
2001-12-20,10.720000267028809
2001-12-21,10.979999542236328
2001-12-24,10.989999771118164
2001-12-26,11.09000015258789
2001-12-27,11.25
2001-12-28,11.039999961853027
2001-12-31,10.960000038146973
2002-01-02,11.1899995803833
2002-01-03,11.989999771118164
2002-01-04,12.470000267028809
2002-01-07,11.930000305175781
2002-01-08,12.199999809265137
2002-01-09,12.510000228881836
2002-01-10,12.640000343322754
2002-01-11,12.600000381469727
2002-01-14,11.850000381469727
2002-01-15,11.75
2002-01-16,10.800000190734863
2002-01-17,10.479999542236328
2002-01-18,10.289999961853027
2002-01-22,10.0
2002-01-23,10.569999694824219
2002-01-24,10.6899995803833
2002-01-25,10.800000190734863
2002-01-28,10.949999809265137
2002-01-29,10.75
2002-01-30,11.399999618530273
2002-01-31,11.239999771118164
2002-02-01,11.4399995803833
2002-02-04,10.739999771118164
2002-02-05,10.380000114440918
2002-02-06,10.100000381469727
2002-02-07,9.550000190734863
2002-02-08,9.970000267028809
2002-02-11,10.300000190734863
2002-02-12,10.0
2002-02-13,10.34000015258789
2002-02-14,10.199999809265137
2002-02-15,10.4399995803833
2002-02-19,10.0
2002-02-20,10.350000381469727
2002-02-21,9.59000015258789
2002-02-22,10.069999694824219
2002-02-25,10.300000190734863
2002-02-26,10.5
2002-02-27,10.210000038146973
2002-02-28,10.319999694824219
2002-03-01,11.220000267028809
2002-03-04,12.4399995803833
2002-03-05,12.6899995803833
2002-03-06,12.649999618530273
2002-03-07,12.65999984741211
2002-03-08,12.970000267028809
2002-03-11,13.050000190734863
